date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.95,9.995,9.95,9.95,9.95,12270.0,0.0,1.0
2021-04-15,9.95,9.95,9.95,9.95,9.95,422.0,0.0,1.0
2021-04-14,9.97,9.97,9.95,9.95,9.95,17748.0,0.0,1.0
2021-04-13,10.0,10.01,9.99,10.01,10.01,5249.0,0.0,1.0
2021-04-12,9.955,9.99,9.9286,9.99,9.99,6403.0,0.0,1.0
2021-04-09,9.964,9.99,9.93,9.99,9.99,45117.0,0.0,1.0
2021-04-08,9.96,9.97,9.92,9.92,9.92,11013.0,0.0,1.0
2021-04-07,9.955,9.975,9.95,9.96,9.96,27331.0,0.0,1.0
2021-04-06,9.91,9.91,9.91,9.91,9.91,44.0,0.0,1.0
2021-04-05,9.91,9.91,9.91,9.91,9.91,3746.0,0.0,1.0
2021-04-01,9.97,10.0,9.9,9.9,9.9,26103.0,0.0,1.0
2021-03-31,9.89,9.915,9.88,9.88,9.88,22990.0,0.0,1.0
2021-03-30,9.89,9.89,9.89,9.89,9.89,201.0,0.0,1.0
2021-03-29,9.97,9.97,9.915,9.97,9.97,25424.0,0.0,1.0
2021-03-26,9.87,9.9753,9.87,9.9,9.9,56463.0,0.0,1.0
2021-03-25,9.94,9.94,9.84,9.88,9.88,14433.0,0.0,1.0
2021-03-24,9.9,9.91,9.9,9.9,9.9,414501.0,0.0,1.0
2021-03-23,9.92,9.98,9.88,9.89,9.89,15153.0,0.0,1.0
2021-03-22,9.91,9.97,9.9,9.97,9.97,6578.0,0.0,1.0
2021-03-19,9.95,9.95,9.9105,9.94,9.94,26178.0,0.0,1.0
2021-03-18,9.99,9.99,9.93,9.945,9.945,4101.0,0.0,1.0
2021-03-17,9.91,9.92,9.91,9.92,9.92,9127.0,0.0,1.0
2021-03-16,9.92,9.95,9.92,9.93,9.93,2595.0,0.0,1.0
2021-03-15,9.94,9.95,9.92,9.95,9.95,285545.0,0.0,1.0
2021-03-12,9.98,9.98,9.91,9.94,9.94,6892.0,0.0,1.0
2021-03-11,9.93,10.0,9.93,10.0,10.0,11083.0,0.0,1.0
2021-03-10,10.0,10.0,9.93,9.956,9.956,283309.0,0.0,1.0
2021-03-09,10.0,10.09,9.95,9.95,9.95,59064.0,0.0,1.0
2021-03-08,10.0,10.0,9.95,9.95,9.95,3056.0,0.0,1.0
2021-03-05,9.9,9.93,9.85,9.9,9.9,35366.0,0.0,1.0
2021-03-04,10.005,10.04,9.9,9.9001,9.9001,112564.0,0.0,1.0
2021-03-03,10.05,10.05,10.0,10.015,10.015,102734.0,0.0,1.0
2021-03-02,10.01,10.085,9.96,10.005,10.005,127523.0,0.0,1.0
2021-03-01,10.11,10.14,10.03,10.08,10.08,112394.0,0.0,1.0
2021-02-26,10.2,10.2,10.06,10.1,10.1,106466.0,0.0,1.0
2021-02-25,10.2,10.23,10.18,10.2075,10.2075,117220.0,0.0,1.0
2021-02-24,10.13,10.24,10.13,10.24,10.24,33122.0,0.0,1.0
2021-02-23,10.16,10.19,10.1,10.19,10.19,43144.0,0.0,1.0
2021-02-22,10.2,10.2,10.11,10.15,10.15,147206.0,0.0,1.0
2021-02-19,10.17,10.25,10.1298,10.2,10.2,70429.0,0.0,1.0
2021-02-18,10.181,10.2103,10.15,10.17,10.17,70127.0,0.0,1.0
2021-02-17,10.23,10.23,10.2,10.2025,10.2025,7133.0,0.0,1.0
2021-02-16,10.2,10.22,10.185,10.21,10.21,26413.0,0.0,1.0
2021-02-12,10.17,10.22,10.17,10.22,10.22,16942.0,0.0,1.0
2021-02-11,10.17,10.256,10.17,10.2,10.2,12626.0,0.0,1.0
2021-02-10,10.16,10.25,10.1501,10.22,10.22,19229.0,0.0,1.0
2021-02-09,10.19,10.24,10.15,10.15,10.15,14037.0,0.0,1.0
2021-02-08,10.44,10.44,10.17,10.17,10.17,12183.0,0.0,1.0
2021-02-05,10.2362,10.2362,10.2,10.21,10.21,20676.0,0.0,1.0
2021-02-04,10.1,10.28,10.1,10.2,10.2,169000.0,0.0,1.0
