date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,15.32,15.61,15.3,15.45,15.45,34342.0,0.0,1.0
2021-04-15,15.42,15.7,15.11,15.43,15.43,42004.0,0.0,1.0
2021-04-14,15.6,15.87,15.3701,15.49,15.49,33438.0,0.0,1.0
2021-04-13,15.44,15.75,15.32,15.64,15.64,83920.0,0.0,1.0
2021-04-12,15.36,15.72,15.24,15.54,15.54,48576.0,0.0,1.0
2021-04-09,15.56,15.64,15.32,15.32,15.32,17116.0,0.0,1.0
2021-04-08,15.69,15.8401,15.46,15.65,15.65,47252.0,0.0,1.0
2021-04-07,15.78,15.83,15.5,15.83,15.83,64844.0,0.0,1.0
2021-04-06,15.19,15.62,15.17,15.61,15.61,51880.0,0.0,1.0
2021-04-05,15.19,15.33,14.905,15.09,15.09,37826.0,0.0,1.0
2021-04-01,14.84,15.37,14.64,15.22,15.22,45316.0,0.0,1.0
2021-03-31,14.99,15.25,14.5,14.59,14.59,191075.0,0.0,1.0
2021-03-30,14.76,15.18,14.76,15.0,15.0,64076.0,0.0,1.0
2021-03-29,15.35,15.56,14.92,14.98,14.98,44054.0,0.0,1.0
2021-03-26,15.08,15.42,14.8,15.26,15.26,35768.0,0.0,1.0
2021-03-25,15.31,15.46,14.52,15.15,15.15,69355.0,0.0,1.0
2021-03-24,15.51,16.2,15.24,15.24,15.24,79196.0,0.0,1.0
2021-03-23,15.8,15.85,15.12,15.21,15.21,62463.0,0.0,1.0
2021-03-22,15.98,16.0,15.485,15.66,15.66,34346.0,0.0,1.0
2021-03-19,15.24,16.18,15.24,16.15,16.15,142195.0,0.0,1.0
2021-03-18,16.07,16.07,15.11,15.47,15.47,51784.0,0.0,1.0
2021-03-17,15.75,16.16,15.53,16.15,16.15,67264.0,0.0,1.0
2021-03-16,16.0,16.32,15.55,15.68,15.68,74987.0,0.0,1.0
2021-03-15,16.1,16.26,15.69,15.95,15.95,50626.0,0.0,1.0
2021-03-12,15.6,16.38,15.6,15.93,15.93,141219.0,0.0,1.0
2021-03-11,16.05,16.06,15.35,15.63,15.63,66677.0,0.0,1.0
2021-03-10,15.18,16.11,15.08,15.82,15.82,93230.0,0.0,1.0
2021-03-09,15.5,15.5,14.86,15.16,15.16,79447.0,0.0,1.0
2021-03-08,14.57,15.46,14.57,15.22,15.22,105032.0,0.0,1.0
2021-03-05,14.1,15.095,13.8033,14.6,14.6,203768.0,0.0,1.0
2021-03-04,13.97,14.49,13.36,13.46,13.46,122622.0,0.0,1.0
2021-03-03,13.85,14.46,13.8469,13.92,13.92,108407.0,0.0,1.0
2021-03-02,13.48,14.07,13.35,13.71,13.71,105993.0,0.0,1.0
2021-03-01,13.25,14.0,13.25,13.54,13.54,79064.0,0.0,1.0
2021-02-26,12.59,13.57,12.33,13.02,13.02,120942.0,0.0,1.0
2021-02-25,13.29,13.57,12.31,12.59,12.59,129274.0,0.0,1.0
2021-02-24,12.28,13.19,12.28,13.19,13.19,135465.0,0.0,1.0
2021-02-23,12.87,12.89,12.07,12.35,12.35,123369.0,0.0,1.0
2021-02-22,11.79,12.96,11.74,12.6,12.6,141021.0,0.0,1.0
2021-02-19,11.09,12.2,11.0,11.98,11.98,166717.0,0.0,1.0
2021-02-18,11.59,11.59,10.67,10.91,10.91,333287.0,0.0,1.0
2021-02-17,12.0,12.45,11.5,11.65,11.65,236542.0,0.0,0.333333333333
2021-02-16,4.08,4.4304,4.055,4.34,13.02,822233.0,0.0,1.0
2021-02-12,4.02,4.16,4.02,4.04,12.12,520729.0,0.0,1.0
2021-02-11,4.05,4.15,3.93,4.02,12.06,546426.0,0.0,1.0
2021-02-10,4.03,4.13,3.995,4.07,12.21,439347.0,0.0,1.0
2021-02-09,3.9,4.1,3.9,3.97,11.91,744192.0,0.0,1.0
2021-02-08,3.93,4.01,3.91,3.94,11.82,562506.0,0.0,1.0
2021-02-05,3.94,4.01,3.825,3.98,11.94,788238.0,0.0,1.0
2021-02-04,4.05,4.17,3.89,3.89,11.67,782404.0,0.0,1.0
2021-02-03,4.06,4.19,4.05,4.07,12.21,361740.0,0.0,1.0
2021-02-02,4.0,4.14,4.0,4.02,12.06,318205.0,0.0,1.0
2021-02-01,3.98,4.04,3.86,3.96,11.88,444210.0,0.0,1.0
2021-01-29,4.05,4.16,3.89,3.98,11.94,706407.0,0.0,1.0
2021-01-28,4.07,4.26,3.95,4.07,12.21,517105.0,0.0,1.0
2021-01-27,4.34,4.42,3.98,4.06,12.18,734216.0,0.0,1.0
2021-01-26,4.26,4.63,4.26,4.42,13.26,1290556.0,0.0,1.0
2021-01-25,4.15,4.37,4.08,4.22,12.66,490366.0,0.0,1.0
2021-01-22,4.22,4.27,4.075,4.21,12.63,372197.0,0.0,1.0
2021-01-21,4.02,4.33,3.99,4.28,12.84,720220.0,0.0,1.0
2021-01-20,4.02,4.0901,3.99,4.02,12.06,397225.0,0.0,1.0
2021-01-19,4.12,4.14,3.98,4.02,12.06,395926.0,0.0,1.0
2021-01-15,4.08,4.17,4.005,4.01,12.03,300731.0,0.0,1.0
2021-01-14,4.09,4.23,4.09,4.09,12.27,515972.0,0.0,1.0
2021-01-13,4.08,4.19,3.98,4.06,12.18,318970.0,0.0,1.0
2021-01-12,4.06,4.17,3.95,4.05,12.15,370996.0,0.0,1.0
2021-01-11,4.2,4.345,3.975,4.03,12.09,526206.0,0.0,1.0
2021-01-08,4.03,4.35,3.86,4.3,12.9,1007371.0,0.0,1.0
2021-01-07,3.93,4.035,3.885,3.94,11.82,330454.0,0.0,1.0
2021-01-06,3.85,4.14,3.85,3.9,11.7,506160.0,0.0,1.0
2021-01-05,3.79,3.88,3.769,3.85,11.55,408572.0,0.0,1.0
2021-01-04,4.0,4.07,3.76,3.81,11.43,611844.0,0.0,1.0
2020-12-31,4.0,4.055,3.925,3.99,11.97,303573.0,0.0,1.0
2020-12-30,3.98,4.0801,3.95,3.99,11.97,364288.0,0.0,1.0
2020-12-29,4.14,4.18,3.94,3.97,11.91,495296.0,0.0,1.0
2020-12-28,4.03,4.25,4.0247,4.12,12.36,416540.0,0.0,1.0
2020-12-24,4.07,4.14,3.98,4.04,12.12,254175.0,0.0,1.0
2020-12-23,3.73,4.14,3.73,4.08,12.24,886935.0,0.0,1.0
2020-12-22,3.71,3.77,3.695,3.73,11.19,420106.0,0.0,1.0
2020-12-21,3.83,3.87,3.65,3.67,11.01,885290.0,0.0,1.0
2020-12-18,3.99,4.06,3.9,3.9,11.7,451875.0,0.0,1.0
2020-12-17,3.99,4.0301,3.955,4.0,12.0,394982.0,0.0,1.0
2020-12-16,4.04,4.0816,3.955,3.99,11.97,278267.0,0.0,1.0
2020-12-15,3.93,4.105,3.8801,4.03,12.09,329051.0,0.0,1.0
2020-12-14,3.95,4.0584,3.89,3.96,11.88,508550.0,0.0,1.0
2020-12-11,3.89,3.95,3.8188,3.93,11.79,361007.0,0.0,1.0
2020-12-10,4.01,4.09,3.885,3.94,11.82,479509.0,0.0,1.0
2020-12-09,4.15,4.36,3.9806,4.08,12.24,642150.0,0.0,1.0
2020-12-08,4.0,4.11,3.9756,4.07,12.21,394272.0,0.0,1.0
2020-12-07,4.11,4.12,3.92,4.02,12.06,414774.0,0.0,1.0
2020-12-04,4.1,4.25,4.0,4.13,12.39,565452.0,0.0,1.0
2020-12-03,3.87,4.28,3.86,4.04,12.12,1209583.0,0.0,1.0
2020-12-02,3.76,3.87,3.75,3.86,11.58,436441.0,0.0,1.0
2020-12-01,3.58,3.82,3.5635,3.76,11.28,702383.0,0.0,1.0
2020-11-30,3.71,3.75,3.46,3.48,10.44,539304.0,0.0,1.0
2020-11-27,3.67,3.75,3.63,3.72,11.16,209067.0,0.0,1.0
2020-11-25,3.72,3.77,3.66,3.66,10.98,548242.0,0.0,1.0
2020-11-24,3.86,4.015,3.6,3.68,11.04,1216393.0,0.0,1.0
2020-11-23,3.32,3.87,3.3124,3.66,10.98,1494057.0,0.0,1.0
2020-11-20,3.2,3.3617,3.155,3.24,9.72,765894.0,0.0,1.0
2020-11-19,3.28,3.28,2.9801,3.06,9.18,953868.0,0.0,1.0
2020-11-18,3.3,3.4799,3.29,3.32,9.96,1067845.0,0.0,1.0
2020-11-17,2.85,3.3,2.83,3.28,9.84,1665529.0,0.0,1.0
2020-11-16,2.95,3.03,2.76,2.87,8.61,1608073.0,0.0,1.0
2020-11-13,2.54,2.87,2.5168,2.76,8.28,1232407.0,0.0,1.0
2020-11-12,2.46,2.58,2.42,2.5,7.5,623075.0,0.0,1.0
2020-11-11,2.6,2.6,2.475,2.54,7.62,662843.0,0.0,1.0
2020-11-10,2.5,2.61,2.41,2.6,7.8,1630507.0,0.0,1.0
2020-11-09,2.3,2.47,2.26,2.41,7.23,1566510.0,0.0,1.0
2020-11-06,2.18,2.2,2.1,2.13,6.39,777656.0,0.0,1.0
2020-11-05,2.21,2.36,2.15,2.16,6.48,1042752.0,0.0,1.0
2020-11-04,2.2,2.23,2.0817,2.21,6.63,548601.0,0.0,1.0
2020-11-03,2.15,2.22,2.1,2.2,6.6,648466.0,0.0,1.0
2020-11-02,1.9,2.14,1.9,2.1,6.3,750981.0,0.0,1.0
2020-10-30,1.98,2.03,1.88,1.88,5.64,433717.0,0.0,1.0
2020-10-29,1.89,2.03,1.84,1.99,5.97,615317.0,0.0,1.0
2020-10-28,1.96,1.97,1.86,1.87,5.61,755798.0,0.0,1.0
2020-10-27,1.98,2.07,1.97,2.0,6.0,455693.0,0.0,1.0
2020-10-26,2.01,2.0201,1.98,2.0,6.0,734510.0,0.0,1.0
2020-10-23,2.01,2.03,1.98,2.02,6.06,710966.0,0.0,1.0
2020-10-22,1.97,2.02,1.96,2.0,6.0,440561.0,0.0,1.0
2020-10-21,2.0,2.03,1.96,1.96,5.88,443731.0,0.0,1.0
2020-10-20,2.04,2.07,1.99,2.0,6.0,470690.0,0.0,1.0
2020-10-19,2.09,2.09,2.0099,2.01,6.03,439722.0,0.0,1.0
2020-10-16,2.11,2.1362,2.075,2.09,6.27,247945.0,0.0,1.0
2020-10-15,2.17,2.1711,2.105,2.11,6.33,361244.0,0.0,1.0
2020-10-14,2.24,2.33,2.16,2.17,6.51,482632.0,0.0,1.0
2020-10-13,2.25,2.28,2.22,2.25,6.75,167232.0,0.0,1.0
2020-10-12,2.29,2.33,2.24,2.29,6.87,294300.0,0.0,1.0
2020-10-09,2.16,2.35,2.085,2.32,6.96,845259.0,0.0,1.0
2020-10-08,2.17,2.2401,2.16,2.16,6.48,319081.0,0.0,1.0
2020-10-07,2.24,2.24,2.17,2.18,6.54,165644.0,0.0,1.0
2020-10-06,2.17,2.29,2.16,2.19,6.57,490346.0,0.0,1.0
2020-10-05,2.25,2.2699,2.185,2.19,6.57,204955.0,0.0,1.0
2020-10-02,2.11,2.239,2.1032,2.23,6.69,361417.0,0.0,1.0
2020-10-01,2.1,2.18,2.04,2.18,6.54,423098.0,0.0,1.0
2020-09-30,2.1,2.18,2.05,2.09,6.27,337320.0,0.0,1.0
2020-09-29,2.19,2.19,2.02,2.1,6.3,444364.0,0.0,1.0
2020-09-28,2.07,2.18,2.03,2.17,6.51,510978.0,0.0,1.0
2020-09-25,1.88,2.02,1.87,2.02,6.06,473286.0,0.0,1.0
2020-09-24,1.84,1.93,1.76,1.91,5.73,661106.0,0.0,1.0
2020-09-23,2.01,2.04,1.84,1.85,5.55,866631.0,0.0,1.0
2020-09-22,2.12,2.12,1.96,2.0,6.0,964435.0,0.0,1.0
2020-09-21,2.07,2.09,1.96,1.98,5.94,1087504.0,0.0,1.0
2020-09-18,2.11,2.17,2.08,2.1,6.3,863700.0,0.0,1.0
2020-09-17,2.06,2.165,2.035,2.13,6.39,602609.0,0.0,1.0
2020-09-16,2.14,2.14,2.075,2.09,6.27,967441.0,0.0,1.0
2020-09-15,2.18,2.23,2.13,2.14,6.42,680599.0,0.0,1.0
2020-09-14,2.14,2.22,2.12,2.14,6.42,832117.0,0.0,1.0
2020-09-11,2.21,2.21,2.11,2.14,6.42,565782.0,0.0,1.0
2020-09-10,2.3,2.3,2.17,2.18,6.54,535658.0,0.0,1.0
2020-09-09,2.32,2.35,2.2,2.28,6.84,717956.0,0.0,1.0
2020-09-08,2.2,2.29,2.14,2.29,6.87,504183.0,0.0,1.0
2020-09-04,2.29,2.29,2.1646,2.2,6.6,666734.0,0.0,1.0
2020-09-03,2.27,2.375,2.225,2.25,6.75,563964.0,0.0,1.0
2020-09-02,2.3,2.3,2.22,2.26,6.78,522666.0,0.0,1.0
2020-09-01,2.3,2.3701,2.28,2.31,6.93,444050.0,0.0,1.0
2020-08-31,2.34,2.37,2.29,2.33,6.99,550996.0,0.0,1.0
2020-08-28,2.39,2.39,2.32,2.35,7.05,667717.0,0.0,1.0
2020-08-27,2.35,2.47,2.35,2.36,7.08,405303.0,0.0,1.0
2020-08-26,2.45,2.51,2.355,2.37,7.11,642432.0,0.0,1.0
2020-08-25,2.52,2.52,2.4,2.49,7.47,370978.0,0.0,1.0
2020-08-24,2.4,2.53,2.36,2.51,7.53,1268039.0,0.0,1.0
2020-08-21,2.51,2.52,2.345,2.37,7.11,862054.0,0.0,1.0
2020-08-20,2.42,2.53,2.39,2.48,7.44,513231.0,0.0,1.0
2020-08-19,2.38,2.48,2.36,2.45,7.35,512196.0,0.0,1.0
2020-08-18,2.38,2.42,2.33,2.36,7.08,360923.0,0.0,1.0
2020-08-17,2.5,2.5104,2.33,2.35,7.05,709246.0,0.0,1.0
2020-08-14,2.42,2.575,2.36,2.48,7.44,971380.0,0.0,1.0
2020-08-13,2.48,2.53,2.4,2.4,7.2,534652.0,0.0,1.0
2020-08-12,2.76,2.76,2.45,2.49,7.47,1056912.0,0.0,1.0
2020-08-11,2.69,2.85,2.64,2.65,7.95,1276722.0,0.0,1.0
2020-08-10,2.6,2.68,2.55,2.62,7.86,810088.0,0.0,1.0
2020-08-07,2.43,2.6248,2.3901,2.59,7.77,1092130.0,0.0,1.0
2020-08-06,2.55,2.68,2.41,2.44,7.32,827653.0,0.0,1.0
2020-08-05,2.48,2.55,2.39,2.52,7.56,763523.0,0.0,1.0
2020-08-04,2.37,2.52,2.34,2.5,7.5,895108.0,0.0,1.0
2020-08-03,2.52,2.52,2.27,2.37,7.11,1473566.0,0.0,1.0
2020-07-31,2.24,2.295,2.18,2.23,6.69,526013.0,0.0,1.0
2020-07-30,2.25,2.3386,2.21,2.3,6.9,341908.0,0.0,1.0
2020-07-29,2.4,2.4,2.26,2.28,6.84,472453.0,0.0,1.0
2020-07-28,2.27,2.4176,2.245,2.36,7.08,584811.0,0.0,1.0
2020-07-27,2.37,2.39,2.18,2.25,6.75,764259.0,0.0,1.0
2020-07-24,2.3,2.42,2.3,2.4,7.2,754289.0,0.0,1.0
2020-07-23,2.51,2.51,2.29,2.33,6.99,903574.0,0.0,1.0
2020-07-22,2.4,2.51,2.4,2.45,7.35,395890.0,0.0,1.0
2020-07-21,2.43,2.55,2.38,2.38,7.14,845538.0,0.0,1.0
2020-07-20,2.39,2.46,2.3,2.43,7.29,561381.0,0.0,1.0
2020-07-17,2.52,2.52,2.38,2.42,7.26,452377.0,0.0,1.0
2020-07-16,2.56,2.58,2.42,2.47,7.41,801315.0,0.0,1.0
2020-07-15,2.41,2.63,2.35,2.61,7.83,1178087.0,0.0,1.0
2020-07-14,2.22,2.31,2.18,2.29,6.87,722536.0,0.0,1.0
2020-07-13,2.41,2.46,2.25,2.25,6.75,570380.0,0.0,1.0
2020-07-10,2.2,2.39,2.2,2.38,7.14,1003857.0,0.0,1.0
2020-07-09,2.27,2.32,2.15,2.25,6.75,838913.0,0.0,1.0
2020-07-08,2.2,2.29,2.15,2.27,6.81,912974.0,0.0,1.0
2020-07-07,2.25,2.39,2.21,2.22,6.66,963160.0,0.0,1.0
2020-07-06,2.5,2.51,2.26,2.31,6.93,1494484.0,0.0,1.0
2020-07-02,2.6,2.62,2.4,2.41,7.23,1461936.0,0.0,1.0
2020-07-01,2.62,2.79,2.48,2.53,7.59,1209740.0,0.0,1.0
2020-06-30,2.6,2.75,2.6,2.65,7.95,666881.0,0.0,1.0
2020-06-29,2.55,2.74,2.4,2.65,7.95,968199.0,0.0,1.0
2020-06-26,2.62,2.65,2.43,2.57,7.71,3820985.0,0.0,1.0
2020-06-25,2.41,2.69,2.41,2.68,8.04,1925971.0,0.0,1.0
2020-06-24,2.6,2.6,2.4,2.56,7.68,2026663.0,0.0,1.0
2020-06-23,2.7,2.7,2.57,2.69,8.07,1254631.0,0.0,1.0
2020-06-22,2.67,2.7,2.42,2.6,7.8,1495826.0,0.0,1.0
2020-06-19,2.84,2.88,2.61,2.65,7.95,2770002.0,0.0,1.0
2020-06-18,2.93,3.01,2.8,2.82,8.46,1199480.0,0.0,1.0
2020-06-17,3.12,3.13,2.91,2.98,8.94,933813.0,0.0,1.0
2020-06-16,3.28,3.37,3.01,3.12,9.36,1515043.0,0.0,1.0
2020-06-15,2.78,3.13,2.7,3.01,9.03,2115366.0,0.0,1.0
2020-06-12,3.01,3.07,2.63,3.05,9.15,2592095.0,0.0,1.0
