date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,28.53,28.76,28.4,28.76,28.76,8943.0,0.0,1.0
2021-04-15,28.51,28.63,28.2153,28.63,28.63,17251.0,0.0,1.0
2021-04-14,28.19,28.51,28.1699,28.51,28.51,31116.0,0.0,1.0
2021-04-13,28.2,28.44,28.101,28.44,28.44,18295.0,0.0,1.0
2021-04-12,28.19,28.2,28.19,28.2,28.2,1635.0,0.0,1.0
2021-04-09,28.3,28.33,28.187,28.2427,28.2427,13412.0,0.0,1.0
2021-04-08,28.17,28.3302,28.1224,28.32,28.32,5067.0,0.0,1.0
2021-04-07,27.937,28.1953,27.937,28.16,28.16,6136.0,0.0,1.0
2021-04-06,27.853,28.0,27.853,28.0,28.0,12998.0,0.0,1.0
2021-04-05,27.61,27.93,27.61,27.86,27.86,7082.0,0.0,1.0
2021-04-01,27.59,27.89,27.58,27.87,27.87,33230.0,0.0,1.0
2021-03-31,27.27,27.52,27.25,27.45,27.45,16818.0,0.0,1.0
2021-03-30,27.26,27.26,27.13,27.24,27.24,4403.0,0.0,1.0
2021-03-29,27.1639,27.32,27.14,27.25,27.25,5687.0,0.0,1.0
2021-03-26,27.31,27.381,27.2856,27.31,27.31,4792.0,0.0,1.0
2021-03-25,27.4007,27.42,27.28,27.3084,27.3084,3159.0,0.0,1.0
2021-03-24,27.27,27.41,27.245,27.41,27.41,12341.0,0.0,1.0
2021-03-23,27.1447,27.2449,27.1447,27.2,27.2,3276.0,0.0,1.0
2021-03-22,26.84,27.18,26.84,27.1,27.1,11579.0,0.0,1.0
2021-03-19,26.97,27.01,26.8101,26.9,26.9,7420.0,0.0,1.0
2021-03-18,27.16,27.16,26.91,26.91,26.91,6582.0,0.0,1.0
2021-03-17,27.16,27.29,27.09,27.17,27.17,6851.0,0.0,1.0
2021-03-16,27.05,27.33,27.05,27.33,27.33,7127.0,0.0,1.0
2021-03-15,27.06,27.195,27.04,27.14,27.14,5496.0,0.0,1.0
2021-03-12,27.26,27.26,26.9826,27.14,27.14,5928.0,0.367,1.0
2021-03-11,27.5499,27.55,27.535,27.55,27.1824262915,7826.0,0.0,1.0
2021-03-10,27.52,27.56,27.49,27.55,27.1824262915,13198.0,0.0,1.0
2021-03-09,27.355,27.575,27.355,27.55,27.1824262915,9737.0,0.0,1.0
2021-03-08,27.34,27.44,27.34,27.44,27.0738939179,9239.0,0.0,1.0
2021-03-05,27.24,27.35,27.2,27.34,26.9752281238,10193.0,0.0,1.0
2021-03-04,27.15,27.2777,27.05,27.17,26.8074962737,10748.0,0.0,1.0
2021-03-03,27.0,27.17,26.94,27.1285,26.7665499691,15660.0,0.0,1.0
2021-03-02,26.98,27.0,26.8505,26.93,26.5706983677,3761.0,0.0,1.0
2021-03-01,26.8,26.98,26.8,26.8999,26.5409999636,4309.0,0.0,1.0
2021-02-26,26.71,26.8255,26.6211,26.76,26.4029665176,10440.0,0.0,1.0
2021-02-25,26.83,26.83,26.61,26.71,26.3536336205,9543.0,0.0,1.0
2021-02-24,27.03,27.03,26.9,26.96,26.6002981059,5199.0,0.0,1.0
2021-02-23,26.9,27.0429,26.86,27.012,26.6516043189,5345.0,0.0,1.0
2021-02-22,27.14,27.14,26.93,26.94,26.5805649471,15126.0,0.0,1.0
2021-02-19,26.9337,27.16,26.9,27.08,26.7186970589,17728.0,0.0,1.0
2021-02-18,26.98,27.09,26.8819,26.9808,26.6208205911,7354.0,0.0,1.0
2021-02-17,27.12,27.21,26.88,26.91,26.5509652089,11605.0,0.0,1.0
2021-02-16,27.0,27.14,27.0,27.01,26.649631003,16576.0,0.0,1.0
2021-02-12,27.24,27.24,27.03,27.04,26.6792307413,7549.0,0.0,1.0
2021-02-11,27.33,27.36,27.15,27.17,26.8074962737,10232.0,0.0,1.0
2021-02-10,27.24,27.4,27.19,27.19,26.8272294325,10189.0,0.0,1.0
2021-02-09,27.32,27.4,27.32,27.39,27.0245610208,5023.0,0.0,1.0
2021-02-08,27.194,27.35,27.194,27.3285,26.9638815574,3798.0,0.0,1.0
2021-02-05,27.37,27.4499,27.2281,27.3692,27.0040385356,6630.0,0.0,1.0
2021-02-04,27.09,27.34,27.06,27.32,26.9554949649,17194.0,0.0,1.0
2021-02-03,27.34,27.4131,27.08,27.13,26.768029956,8307.0,0.0,1.0
2021-02-02,27.4,27.52,27.31,27.31,26.9456283855,8875.0,0.0,1.0
2021-02-01,27.1162,27.4399,27.1162,27.3845,27.0191344022,7310.0,0.0,1.0
2021-01-29,27.14,27.25,26.95,27.25,26.886428909,26306.0,0.0,1.0
2021-01-28,27.25,27.25,27.0465,27.2,26.8370960119,6009.0,0.0,1.0
2021-01-27,27.45,27.45,27.05,27.05,26.6890973207,17654.0,0.0,1.0
2021-01-26,27.475,27.5,27.3113,27.48,27.1133602356,8267.0,0.0,1.0
2021-01-25,27.56,27.56,27.34,27.45,27.0837604973,8812.0,0.0,1.0
2021-01-22,27.39,27.54,27.39,27.5,27.1330933944,9983.0,0.0,1.0
2021-01-21,27.42,27.4499,27.3,27.43,27.0640273385,12153.0,0.0,1.0
2021-01-20,27.4,27.49,27.32,27.49,27.123226815,12486.0,0.0,1.0
2021-01-19,27.39,27.46,27.3061,27.44,27.0738939179,14088.0,0.0,1.0
2021-01-15,27.13,27.43,27.05,27.43,27.0640273385,34695.0,0.0,1.0
2021-01-14,27.26,27.31,26.94,27.15,26.7877631148,53326.0,0.0,1.0
2021-01-13,27.06,27.546,26.98,27.17,26.8074962737,130949.0,0.0,1.0
2021-01-12,27.75,27.77,26.98,27.0,26.6397644236,81880.0,0.0,1.0
2021-01-11,27.95,28.02,27.76,27.9,27.5277565711,16683.0,0.0,1.0
2021-01-08,27.99,28.15,27.9055,28.15,27.7744210565,3036.0,0.0,1.0
2021-01-07,28.22,28.22,27.8632,28.05,27.6757552623,8857.0,0.0,1.0
2021-01-06,28.5056,28.5056,27.7601,28.3204,27.9425475697,7008.0,0.0,1.0
2021-01-05,28.54,28.63,28.4681,28.58,28.1986839714,7925.0,0.0,1.0
2021-01-04,28.45,28.717,28.45,28.6,28.2184171302,2932.0,0.0,1.0
2020-12-31,28.42,28.77,28.42,28.77,28.3861489803,27051.0,0.0,1.0
2020-12-30,28.35,28.53,28.21,28.53,28.1493510743,7197.0,0.0,1.0
2020-12-29,28.3565,28.39,28.295,28.35,27.9717526448,10407.0,0.0,1.0
2020-12-28,28.2178,28.34,28.2,28.2,27.8237539535,13551.0,0.0,1.0
2020-12-24,28.19,28.39,28.1,28.285,27.9076198786,6312.0,0.0,1.0
2020-12-23,28.05,28.06,27.92,28.06,27.6856218417,7580.0,0.0,1.0
2020-12-22,28.16,28.21,27.99,28.1129,27.7378160468,7150.0,0.0,1.0
2020-12-21,27.8475,28.14,27.8475,28.095,27.7201548697,17993.0,0.0,1.0
2020-12-18,27.99,27.99,27.91,27.915,27.5425564402,4296.0,0.0,1.0
2020-12-17,27.88,27.96,27.75,27.96,27.5869560476,11868.0,0.0,1.0
2020-12-16,27.53,27.94,27.53,27.94,27.5672228887,21502.0,0.0,1.0
2020-12-15,27.57,27.74,27.501,27.74,27.3698913004,7971.0,0.0,1.0
2020-12-14,27.44,27.55,27.34,27.54,27.1725597121,11616.0,0.367,1.0
2020-12-11,27.89,27.89,27.64,27.64,26.9125864637,13402.0,0.0,1.0
2020-12-10,27.85,27.8999,27.7976,27.89,27.1560071082,5478.0,0.0,1.0
2020-12-09,27.83,27.85,27.755,27.85,27.1170598051,3876.0,0.0,1.0
2020-12-08,27.7949,27.8485,27.76,27.79,27.0586388504,7738.0,0.0,1.0
2020-12-07,27.64,27.8025,27.57,27.75,27.0196915473,4823.0,0.0,1.0
2020-12-04,27.85,27.94,27.54,27.69,26.9612705926,28016.0,0.0,1.0
2020-12-03,27.69,27.79,27.69,27.79,27.0586388504,4607.0,0.0,1.0
2020-12-02,27.705,27.79,27.58,27.77,27.0391651988,9983.0,0.0,1.0
2020-12-01,27.73,27.74,27.66,27.74,27.0099547215,3029.0,0.0,1.0
2020-11-30,27.7256,27.8,27.63,27.74,27.0099547215,10470.0,0.0,1.0
2020-11-27,27.75,27.8,27.7483,27.8,27.0683756762,2605.0,0.0,1.0
2020-11-25,27.73,27.7999,27.63,27.79,27.0586388504,3716.0,0.0,1.0
2020-11-24,27.83,27.9,27.63,27.74,27.0099547215,15717.0,0.0,1.0
2020-11-23,27.7255,27.88,27.7,27.7,26.9710074184,20042.0,0.0,1.0
2020-11-20,27.7738,27.7738,27.651,27.74,27.0099547215,7427.0,0.0,1.0
2020-11-19,27.75,27.82,27.71,27.72,26.9904810699,10849.0,0.0,1.0
2020-11-18,27.63,27.7599,27.63,27.65,26.9223232895,6648.0,0.0,1.0
2020-11-17,27.75,27.78,27.63,27.701,26.9719811009,14154.0,0.0,1.0
2020-11-16,27.63,27.69,27.55,27.69,26.9612705926,60897.0,0.0,1.0
