date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,27.42,27.52,27.3,27.52,27.52,7595.0,0.0,1.0
2021-04-15,27.41,27.443,27.29,27.3,27.3,9956.0,0.0,1.0
2021-04-14,27.32,27.43,27.2736,27.43,27.43,2500.0,0.0,1.0
2021-04-13,27.38,27.38,27.2,27.32,27.32,9155.0,0.0,1.0
2021-04-12,27.3015,27.3015,27.1935,27.26,27.26,2646.0,0.0,1.0
2021-04-09,27.39,27.45,27.315,27.315,27.315,6903.0,0.0,1.0
2021-04-08,27.42,27.45,27.31,27.37,27.37,9588.0,0.0,1.0
2021-04-07,27.38,27.48,27.32,27.37,27.37,10145.0,0.0,1.0
2021-04-06,26.945,27.411,26.945,27.41,27.41,46075.0,0.0,1.0
2021-04-05,26.85,27.0,26.81,27.0,27.0,4788.0,0.0,1.0
2021-04-01,26.72,26.88,26.72,26.81,26.81,10929.0,0.0,1.0
2021-03-31,26.57,26.75,26.515,26.75,26.75,7552.0,0.0,1.0
2021-03-30,26.56,26.56,26.56,26.56,26.56,2818.0,0.0,1.0
2021-03-29,26.57,26.57,26.53,26.53,26.53,1637.0,0.0,1.0
2021-03-26,26.63,26.63,26.5,26.57,26.57,2257.0,0.0,1.0
2021-03-25,26.62,26.67,26.56,26.56,26.56,3008.0,0.0,1.0
2021-03-24,26.59,26.75,26.4,26.68,26.68,16818.0,0.0,1.0
2021-03-23,26.47,26.57,26.47,26.57,26.57,1849.0,0.0,1.0
2021-03-22,26.378,26.45,26.31,26.45,26.45,2152.0,0.0,1.0
2021-03-19,26.38,26.38,26.1232,26.34,26.34,2918.0,0.0,1.0
2021-03-18,26.3,26.41,26.26,26.3816,26.3816,2306.0,0.0,1.0
2021-03-17,26.7,26.7,26.43,26.56,26.56,7597.0,0.0,1.0
2021-03-16,26.43,26.72,26.3317,26.65,26.65,21056.0,0.0,1.0
2021-03-15,26.29,26.43,26.2801,26.43,26.43,6985.0,0.0,1.0
2021-03-12,26.32,26.32,26.19,26.2319,26.2319,2976.0,0.0,1.0
2021-03-11,26.25,26.32,26.165,26.32,26.32,5571.0,0.0,1.0
2021-03-10,26.17,26.27,26.0027,26.16,26.16,11490.0,0.0,1.0
2021-03-09,26.12,26.25,26.08,26.17,26.17,5185.0,0.0,1.0
2021-03-08,26.12,26.12,25.93,26.05,26.05,2818.0,0.0,1.0
2021-03-05,25.86,26.12,25.83,26.12,26.12,5852.0,0.0,1.0
2021-03-04,25.83,25.9,25.64,25.88,25.88,10116.0,0.0,1.0
