date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,27.0437,27.06,27.0437,27.06,27.06,1812.0,0.0,1.0
2021-04-15,26.96,26.96,26.9,26.91,26.91,1661.0,0.0,1.0
2021-04-14,26.97,26.98,26.945,26.98,26.98,1047.0,0.0,1.0
2021-04-13,26.8,26.93,26.8,26.93,26.93,1474.0,0.0,1.0
2021-04-12,26.87,26.87,26.82,26.82,26.82,569.0,0.0,1.0
2021-04-09,26.91,26.99,26.71,26.99,26.99,723.0,0.0,1.0
2021-04-08,26.851,26.871,26.74,26.85,26.85,2357.0,0.0,1.0
2021-04-07,26.94,26.96,26.855,26.855,26.855,3755.0,0.0,1.0
2021-04-06,26.72,26.92,26.64,26.92,26.92,7300.0,0.0,1.0
2021-04-05,26.73,26.76,26.73,26.76,26.76,3265.0,0.0,1.0
2021-04-01,26.5,26.7508,26.5,26.65,26.65,7141.0,0.0,1.0
2021-03-31,26.32,26.51,26.32,26.51,26.51,4036.0,0.0,1.0
2021-03-30,26.19,26.22,26.19,26.22,26.22,1053.0,0.0,1.0
2021-03-29,26.14,26.14,26.14,26.14,26.14,573.0,0.0,1.0
2021-03-26,26.08,26.14,26.05,26.14,26.14,1050.0,0.0,1.0
2021-03-25,26.21,26.21,26.21,26.21,26.21,844.0,0.0,1.0
2021-03-24,26.184,26.31,26.184,26.28,26.28,2982.0,0.0,1.0
2021-03-23,26.16,26.17,26.13,26.13,26.13,1353.0,0.0,1.0
2021-03-22,25.91,26.1699,25.91,26.09,26.09,3883.0,0.0,1.0
2021-03-19,25.87,26.01,25.8,25.84,25.84,7668.0,0.0,1.0
2021-03-18,26.15,26.15,25.87,25.87,25.87,3782.0,0.0,1.0
2021-03-17,26.0629,26.26,26.0629,26.26,26.26,1200.0,0.0,1.0
2021-03-16,26.3028,26.34,26.301,26.34,26.34,2278.0,0.0,1.0
2021-03-15,26.0,26.21,25.97,26.21,26.21,130925.0,0.0,1.0
2021-03-12,26.02,26.0827,26.01,26.0205,26.0205,1329.0,0.0,1.0
2021-03-11,26.12,26.3,26.12,26.3,26.3,4555.0,0.0,1.0
2021-03-10,25.93,26.04,25.8905,26.04,26.04,6631.0,0.0,1.0
2021-03-09,25.78,25.94,25.78,25.92,25.92,3480.0,0.0,1.0
2021-03-08,25.71,25.77,25.71,25.77,25.77,14556.0,0.0,1.0
2021-03-05,25.54,25.72,25.52,25.72,25.72,11525.0,0.0,1.0
2021-03-04,25.528,25.6599,25.45,25.52,25.52,29882.0,0.0,1.0
2021-03-03,25.24,25.4874,25.24,25.44,25.44,2395.0,0.0,1.0
2021-03-02,25.275,25.42,25.275,25.29,25.29,5308.0,0.0,1.0
2021-03-01,25.18,25.32,25.18,25.23,25.23,2714.0,0.0,1.0
