date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.0,10.0,9.935,10.0,10.0,1536648.0,0.0,1.0
2021-04-15,9.95,10.0,9.95,10.0,10.0,220483.0,0.0,1.0
2021-04-14,10.0,10.0,9.9,9.98,9.98,960670.0,0.0,1.0
2021-04-13,9.9899,10.0,9.923,10.0,10.0,2896.0,0.0,1.0
2021-04-12,9.9728,10.0,9.95,9.99,9.99,408746.0,0.0,1.0
2021-04-09,9.97,10.0,9.94,10.0,10.0,158740.0,0.0,1.0
2021-04-08,9.92,9.98,9.92,9.96,9.96,61075.0,0.0,1.0
2021-04-07,9.92,9.94,9.915,9.92,9.92,159810.0,0.0,1.0
2021-04-06,9.95,9.95,9.935,9.94,9.94,18988.0,0.0,1.0
2021-04-05,9.94,9.96,9.89,9.95,9.95,87446.0,0.0,1.0
2021-04-01,9.95,9.95,9.91,9.91,9.91,24921.0,0.0,1.0
2021-03-31,9.845,9.95,9.845,9.93,9.93,13306.0,0.0,1.0
2021-03-30,9.91,9.9472,9.85,9.85,9.85,25676.0,0.0,1.0
2021-03-29,9.91,9.91,9.8801,9.9,9.9,31357.0,0.0,1.0
2021-03-26,9.86,9.95,9.86,9.95,9.95,9060.0,0.0,1.0
2021-03-25,9.79,9.83,9.76,9.78,9.78,47908.0,0.0,1.0
2021-03-24,9.84,9.95,9.7901,9.84,9.84,41564.0,0.0,1.0
2021-03-23,9.88,9.88,9.75,9.79,9.79,79496.0,0.0,1.0
2021-03-22,9.91,9.97,9.88,9.95,9.95,707004.0,0.0,1.0
2021-03-19,9.94,9.94,9.88,9.91,9.91,33894.0,0.0,1.0
2021-03-18,9.96,9.96,9.8357,9.9,9.9,230800.0,0.0,1.0
2021-03-17,9.93,9.97,9.93,9.97,9.97,198688.0,0.0,1.0
2021-03-16,9.95,9.962,9.92,9.95,9.95,217887.0,0.0,1.0
2021-03-15,10.0,10.0,9.92,9.93,9.93,640674.0,0.0,1.0
2021-03-12,10.0,10.0,9.98,10.0,10.0,681417.0,0.0,1.0
2021-03-11,9.97,10.0,9.96,9.99,9.99,2061529.0,0.0,1.0
2021-03-10,10.0,10.0,9.96,9.97,9.97,10566826.0,0.0,1.0
