date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.7594,25.8941,25.63,25.63,25.63,35536.0,0.0,1.0
2021-04-15,25.86,25.87,25.67,25.87,25.87,12850.0,0.0,1.0
2021-04-14,25.68,25.82,25.67,25.7311,25.7311,14079.0,0.0,1.0
2021-04-13,25.67,25.805,25.62,25.71,25.71,21749.0,0.0,1.0
2021-04-12,25.68,25.72,25.54,25.65,25.65,24958.0,0.0,1.0
2021-04-09,25.61,25.715,25.6,25.6,25.6,12215.0,0.0,1.0
2021-04-08,25.655,25.76,25.6,25.67,25.67,13385.0,0.0,1.0
2021-04-07,25.72,25.78,25.6,25.63,25.63,9047.0,0.0,1.0
2021-04-06,25.585,25.758,25.585,25.64,25.64,23755.0,0.0,1.0
2021-04-05,25.53,25.74,25.475,25.66,25.66,30772.0,0.0,1.0
2021-04-01,25.54,25.59,25.41,25.57,25.57,33377.0,0.0,1.0
2021-03-31,25.65,25.82,25.36,25.36,25.36,36583.0,0.4375,1.0
2021-03-30,25.91,25.94,25.84,25.86,25.421440062,17876.0,0.0,1.0
2021-03-29,25.93,25.95,25.79,25.92,25.4804225216,20482.0,0.0,1.0
2021-03-26,25.9099,25.96,25.855,25.93,25.4902529315,16074.0,0.0,1.0
2021-03-25,25.8,25.885,25.75,25.8199,25.3820201182,14587.0,0.0,1.0
2021-03-24,25.87,25.97,25.67,25.67,25.2346622735,45417.0,0.0,1.0
2021-03-23,25.98,25.98,25.74,25.9799,25.539306677,19795.0,0.0,1.0
2021-03-22,25.81,25.98,25.8,25.84,25.4017792422,12187.0,0.0,1.0
2021-03-19,25.8,25.97,25.79,25.79,25.3526271926,17409.0,0.0,1.0
2021-03-18,25.72,25.88,25.72,25.88,25.4411008819,25061.0,0.0,1.0
2021-03-17,25.6,25.89,25.6,25.81,25.3722880124,18154.0,0.0,1.0
2021-03-16,25.885,25.93,25.75,25.85,25.4116096521,23702.0,0.0,1.0
2021-03-15,25.7787,25.98,25.75,25.86,25.421440062,26204.0,0.0,1.0
2021-03-12,25.7723,25.7723,25.6801,25.76,25.3231359628,5018.0,0.0,1.0
2021-03-11,25.56,25.8475,25.56,25.69,25.2543230933,26080.0,0.0,1.0
2021-03-10,25.68,25.75,25.51,25.51,25.0773757147,14239.0,0.0,1.0
2021-03-09,25.52,25.77,25.4514,25.7373,25.3008209323,13843.0,0.0,1.0
2021-03-08,25.35,25.59,25.35,25.41,24.9790716155,22663.0,0.0,1.0
2021-03-05,25.37,25.4296,25.23,25.38,24.9495803857,13268.0,0.0,1.0
2021-03-04,25.81,25.81,25.31,25.37,24.9397499758,48412.0,0.0,1.0
2021-03-03,25.66,25.83,25.55,25.75,25.3133055529,16950.0,0.0,1.0
2021-03-02,25.55,25.68,25.39,25.68,25.2444926834,23382.0,0.0,1.0
2021-03-01,25.62,25.699,25.51,25.54,25.1068669445,45905.0,0.0,1.0
2021-02-26,25.47,25.6435,25.4,25.49,25.0577148949,32235.0,0.0,1.0
2021-02-25,25.44,25.57,25.32,25.57,25.1363581742,35822.0,0.0,1.0
2021-02-24,25.48,25.48,25.4,25.47,25.038054075,27304.0,0.0,1.0
2021-02-23,25.365,25.5,25.2,25.49,25.0577148949,41749.0,0.0,1.0
2021-02-22,25.31,25.49,25.31,25.49,25.0577148949,21259.0,0.0,1.0
2021-02-19,25.37,25.52,25.37,25.42,24.9889020254,23124.0,0.0,1.0
2021-02-18,25.3021,25.5,25.3,25.5,25.0675453048,19907.0,0.0,1.0
2021-02-17,25.3,25.42,25.27,25.42,24.9889020254,25050.0,0.0,1.0
2021-02-16,25.4,25.53,25.2681,25.35,24.9200891559,22119.0,0.0,1.0
2021-02-12,25.22,25.49,25.14,25.45,25.0183932552,46426.0,0.0,1.0
2021-02-11,25.15,25.28,25.145,25.26,24.8316154666,17926.0,0.0,1.0
2021-02-10,25.32,25.32,25.1145,25.22,24.7922938269,28756.0,0.0,1.0
2021-02-09,25.235,25.32,25.09,25.28,24.8512762865,21104.0,0.0,1.0
2021-02-08,25.42,25.42,25.16,25.16,24.7333113674,23218.0,0.0,1.0
2021-02-05,25.2894,25.3,25.17,25.25,24.8217850567,34965.0,0.0,1.0
2021-02-04,25.06,25.2436,25.06,25.24,24.8119546468,50721.0,0.0,1.0
2021-02-03,25.34,25.34,25.04,25.1,24.6743289078,49383.0,0.0,1.0
2021-02-02,25.14,25.25,25.1,25.21,24.782463417,83314.0,0.0,1.0
2021-02-01,25.19,25.19,24.98,25.07,24.6448376781,32366.0,0.0,1.0
2021-01-29,25.29,25.295,25.09,25.09,24.6644984979,65029.0,0.0,1.0
2021-01-28,25.45,25.45,25.08,25.36,24.9299195658,98684.0,0.0,1.0
2021-01-27,25.6013,25.61,25.36,25.36,24.9299195658,48813.0,0.0,1.0
2021-01-26,25.53,25.725,25.53,25.64,25.2051710437,54642.0,0.0,1.0
2021-01-25,25.75,25.77,25.58,25.64,25.2051710437,37050.0,0.0,1.0
2021-01-22,25.6,25.72,25.4958,25.66,25.2248318636,32437.0,0.0,1.0
2021-01-21,25.66,25.74,25.5,25.51,25.0773757147,38114.0,0.0,1.0
2021-01-20,25.59,25.71,25.52,25.6,25.165849404,18750.0,0.0,1.0
2021-01-19,25.4783,25.67,25.45,25.66,25.2248318636,58621.0,0.0,1.0
2021-01-15,25.43,25.6,25.3228,25.52,25.0872061246,21559.0,0.0,1.0
2021-01-14,25.37,25.43,25.26,25.43,24.9987324353,19997.0,0.0,1.0
2021-01-13,25.21,25.38,25.21,25.21,24.782463417,34071.0,0.0,1.0
2021-01-12,25.25,25.25,25.13,25.21,24.782463417,38905.0,0.0,1.0
2021-01-11,25.2395,25.29,25.1538,25.28,24.8512762865,53499.0,0.0,1.0
2021-01-08,25.2201,25.43,25.0981,25.3691,24.9388652389,31857.0,0.0,1.0
2021-01-07,25.11,25.33,24.93,25.2,24.7726330071,58651.0,0.0,1.0
2021-01-06,25.21,25.29,25.11,25.16,24.7333113674,82182.0,0.0,1.0
2021-01-05,25.15,25.35,25.0958,25.17,24.7431417773,14974.0,0.0,1.0
2021-01-04,25.51,25.517,25.01,25.08,24.654668088,33101.0,0.0,1.0
2020-12-31,25.61,25.7,25.44,25.49,25.0577148949,41176.0,0.0,1.0
2020-12-30,25.36,25.74,25.23,25.67,25.2346622735,64033.0,0.4375,1.0
2020-12-29,25.73,25.94,25.71,25.77,24.9084457258,32944.0,0.0,1.0
2020-12-28,25.8,25.84,25.52,25.78,24.9181114013,22224.0,0.0,1.0
2020-12-24,25.8,25.8815,25.7,25.86,24.9954368052,8649.0,0.0,1.0
2020-12-23,25.3676,25.75,25.3676,25.75,24.8891143749,34270.0,0.0,1.0
2020-12-22,25.25,25.44,25.24,25.44,24.5894784348,59087.0,0.0,1.0
2020-12-21,25.3,25.45,25.26,25.41,24.5604814084,42053.0,0.0,1.0
2020-12-18,25.31,25.44,25.2658,25.41,24.5604814084,44167.0,0.0,1.0
2020-12-17,25.175,25.5,25.08,25.42,24.5701470839,27224.0,0.0,1.0
2020-12-16,25.05,25.26,25.05,25.26,24.4154962761,30279.0,0.0,1.0
2020-12-15,25.0277,25.13,25.0,25.04,24.2028514154,46129.0,0.0,1.0
2020-12-14,25.03,25.12,24.9601,24.99,24.154523038,31996.0,0.0,1.0
2020-12-11,24.82,25.11,24.81,25.03,24.1931857399,71556.0,0.0,1.0
2020-12-10,24.92,24.95,24.85,24.95,24.115860336,59419.0,0.0,1.0
2020-12-09,24.95,25.14,24.78,24.98,24.1448573625,53685.0,0.0,1.0
2020-12-08,24.57,24.89,24.57,24.83,23.9998722302,60426.0,0.0,1.0
2020-12-07,24.35,24.7,24.2,24.65,23.8258900715,64551.0,0.0,1.0
2020-12-04,24.1,24.38,24.05,24.35,23.5359198069,57961.0,0.0,1.0
2020-12-03,23.95,24.1,23.91,24.01,23.2072868404,73344.0,0.0,1.0
2020-12-02,23.95,24.06,23.93,24.0,23.1976211649,72481.0,0.0,1.0
2020-12-01,23.89,24.05,23.85,23.95,23.1492927875,96423.0,0.0,1.0
2020-11-30,23.9,24.02,23.8127,23.85,23.0526360326,88128.0,0.0,1.0
2020-11-27,23.93,24.04,23.93,23.99,23.1879554894,18522.0,0.0,1.0
2020-11-25,24.02,24.0537,23.86,23.99,23.1879554894,43848.0,0.0,1.0
2020-11-24,24.26,24.26,23.91,24.01,23.2072868404,158115.0,0.0,1.0
2020-11-23,23.88,24.21,23.88,24.1781,23.3697668453,38825.0,0.0,1.0
2020-11-20,23.91,23.98,23.78,23.78,22.9849763043,24860.0,0.0,1.0
2020-11-19,23.81,23.97,23.8,23.92,23.120295761,14940.0,0.0,1.0
