date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,7.67,7.82,7.3791,7.75,7.75,169427.0,0.0,1.0
2021-04-15,7.97,7.97,7.64,7.67,7.67,182120.0,0.0,1.0
2021-04-14,7.87,8.03,7.72,7.93,7.93,154300.0,0.0,1.0
2021-04-13,7.73,7.92,7.5,7.82,7.82,148006.0,0.0,1.0
2021-04-12,7.97,8.02,7.67,7.87,7.87,115259.0,0.0,1.0
2021-04-09,8.05,8.09,7.775,7.97,7.97,143866.0,0.0,1.0
2021-04-08,8.1,8.29,7.895,8.04,8.04,241803.0,0.0,1.0
2021-04-07,8.37,8.395,7.9086,8.1,8.1,382306.0,0.0,1.0
2021-04-06,8.38,8.7,8.3378,8.39,8.39,140969.0,0.0,1.0
2021-04-05,8.59,8.81,8.24,8.25,8.25,154264.0,0.0,1.0
2021-04-01,8.05,8.44,8.05,8.43,8.43,166105.0,0.0,1.0
2021-03-31,8.25,8.4,7.85,8.08,8.08,254987.0,0.0,1.0
2021-03-30,7.75,8.04,7.63,7.98,7.98,168043.0,0.0,1.0
2021-03-29,7.91,8.04,7.43,7.74,7.74,499368.0,0.0,1.0
2021-03-26,8.07,8.11,7.76,8.06,8.06,254510.0,0.0,1.0
2021-03-25,7.6,8.1,7.54,7.85,7.85,344190.0,0.0,1.0
2021-03-24,8.26,8.3989,7.65,7.7,7.7,243609.0,0.0,1.0
2021-03-23,8.44,8.5648,8.02,8.04,8.04,409610.0,0.0,1.0
2021-03-22,8.46,8.73,8.23,8.66,8.66,335416.0,0.0,1.0
2021-03-19,8.75,8.92,8.21,8.56,8.56,470803.0,0.0,1.0
2021-03-18,9.6,9.6,8.69,8.74,8.74,286919.0,0.0,1.0
2021-03-17,9.3,9.75,9.1,9.7,9.7,503616.0,0.0,1.0
2021-03-16,9.77,9.77,9.02,9.34,9.34,430086.0,0.0,1.0
2021-03-15,9.3,10.39,9.28,9.83,9.83,947741.0,0.0,1.0
2021-03-12,8.25,9.29,8.25,9.26,9.26,1512850.0,0.0,1.0
2021-03-11,7.55,7.86,7.25,7.51,7.51,251189.0,0.0,1.0
2021-03-10,7.15,7.625,7.15,7.56,7.56,239652.0,0.0,1.0
2021-03-09,7.96,7.96,7.05,7.13,7.13,374990.0,0.0,1.0
2021-03-08,7.91,7.9916,7.5401,7.81,7.81,268966.0,0.0,1.0
2021-03-05,8.32,8.69,7.01,7.84,7.84,454965.0,0.0,1.0
2021-03-04,8.35,8.4,7.6,8.04,8.04,345340.0,0.0,1.0
2021-03-03,8.36,8.93,8.31,8.38,8.38,337228.0,0.0,1.0
2021-03-02,8.03,8.64,8.02,8.34,8.34,309614.0,0.0,1.0
2021-03-01,8.46,8.62,7.99,8.13,8.13,415217.0,0.0,1.0
2021-02-26,8.05,8.4005,7.85,8.17,8.17,323713.0,0.0,1.0
2021-02-25,8.1,8.22,7.65,8.09,8.09,267937.0,0.0,1.0
2021-02-24,8.19,8.44,8.02,8.07,8.07,267897.0,0.0,1.0
2021-02-23,7.89,8.325,7.55,8.04,8.04,469684.0,0.0,1.0
2021-02-22,7.54,8.4035,7.4415,7.96,7.96,503418.0,0.0,1.0
2021-02-19,6.96,7.7,6.793,7.59,7.59,298431.0,0.0,1.0
2021-02-18,7.06,7.19,6.76,6.92,6.92,265887.0,0.0,1.0
2021-02-17,7.0,7.41,6.88,7.1,7.1,356361.0,0.0,1.0
2021-02-16,6.92,7.18,6.64,7.07,7.07,488234.0,0.0,1.0
2021-02-12,6.27,6.5,6.1705,6.48,6.48,344928.0,0.0,1.0
2021-02-11,6.49,6.55,6.1,6.28,6.28,328271.0,0.0,1.0
2021-02-10,6.33,6.48,6.08,6.44,6.44,334897.0,0.0,1.0
2021-02-09,6.47,6.475,6.0597,6.32,6.32,302292.0,0.0,1.0
2021-02-08,6.11,6.48,6.08,6.4,6.4,320279.0,0.0,1.0
2021-02-05,6.21,6.372,6.06,6.09,6.09,291017.0,0.0,1.0
2021-02-04,5.93,6.13,5.77,6.05,6.05,238354.0,0.0,1.0
2021-02-03,5.54,5.95,5.53,5.75,5.75,363177.0,0.0,1.0
2021-02-02,5.59,5.6,5.33,5.48,5.48,239822.0,0.0,1.0
2021-02-01,5.18,5.52,5.12,5.46,5.46,372612.0,0.0,1.0
2021-01-29,5.13,5.19,4.99,5.15,5.15,462212.0,0.0,1.0
2021-01-28,5.0,5.28,4.92,5.2,5.2,396077.0,0.0,1.0
2021-01-27,5.2,5.51,4.73,4.88,4.88,812474.0,0.0,1.0
2021-01-26,5.58,5.69,5.28,5.37,5.37,466447.0,0.0,1.0
2021-01-25,5.74,5.9,5.53,5.57,5.57,634343.0,0.0,1.0
2021-01-22,5.78,5.89,5.65,5.83,5.83,308712.0,0.0,1.0
2021-01-21,5.85,6.03,5.6584,5.9,5.9,319596.0,0.0,1.0
2021-01-20,5.96,5.9899,5.62,5.88,5.88,295466.0,0.0,1.0
2021-01-19,5.93,6.3,5.875,5.98,5.98,449756.0,0.0,1.0
2021-01-15,6.16,6.29,5.94,6.28,6.28,322376.0,0.0,1.0
2021-01-14,6.26,6.51,6.11,6.3,6.3,285019.0,0.0,1.0
