date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.179,0.179,0.16,0.179,0.179,4527.0,0.0,1.0
2021-04-15,0.1536,0.18,0.1513,0.1787,0.1787,6443.0,0.0,1.0
2021-04-14,0.192,0.192,0.175,0.175,0.175,13505.0,0.0,1.0
2021-04-13,0.195,0.2,0.15821,0.1919,0.1919,26973.0,0.0,1.0
2021-04-12,0.1989,0.24,0.1622,0.1911,0.1911,73813.0,0.0,1.0
2021-04-09,0.1505,0.1596,0.14,0.1575,0.1575,31798.0,0.0,1.0
2021-04-08,0.142101,0.159,0.14,0.15,0.15,111341.0,0.0,1.0
2021-04-07,0.17,0.17,0.131,0.1391,0.1391,29288.0,0.0,1.0
2021-04-06,0.17,0.17,0.12,0.16,0.16,192444.0,0.0,1.0
2021-04-05,0.189,0.189,0.1419,0.168,0.168,59120.0,0.0,1.0
2021-04-01,0.1802,0.2,0.118,0.1898,0.1898,71948.0,0.0,1.0
2021-03-31,0.1715,0.219,0.1715,0.2,0.2,32156.0,0.0,1.0
2021-03-30,0.211,0.211,0.1602,0.2,0.2,17444.0,0.0,1.0
2021-03-29,0.229,0.248,0.2,0.2199,0.2199,22550.0,0.0,1.0
2021-03-26,0.238,0.250145,0.214,0.229799,0.229799,24392.0,0.0,1.0
2021-03-25,0.233,0.2489,0.213,0.2221,0.2221,40155.0,0.0,1.0
2021-03-24,0.260101,0.279899,0.211,0.229699,0.229699,53948.0,0.0,1.0
2021-03-23,0.26,0.26046,0.2515,0.2599,0.2599,24173.0,0.0,1.0
2021-03-22,0.2984,0.2984,0.2552,0.2598,0.2598,34611.0,0.0,1.0
2021-03-19,0.28,0.28,0.26,0.26,0.26,32630.0,0.0,1.0
2021-03-18,0.273,0.302899,0.26,0.2653,0.2653,14464.0,0.0,1.0
2021-03-17,0.3,0.3,0.262,0.3,0.3,27186.0,0.0,1.0
2021-03-16,0.318,0.318,0.2802,0.29025,0.29025,38341.0,0.0,1.0
2021-03-15,0.31,0.31,0.28,0.295751,0.295751,33734.0,0.0,1.0
2021-03-12,0.3304,0.3401,0.2802,0.299899,0.299899,115741.0,0.0,1.0
2021-03-11,0.3,0.33,0.3,0.3151,0.3151,67374.0,0.0,1.0
2021-03-10,0.34,0.34,0.28,0.29,0.29,136529.0,0.0,1.0
2021-03-09,0.2996,0.2996,0.26,0.29,0.29,40593.0,0.0,1.0
2021-03-08,0.245101,0.34,0.240101,0.26,0.26,102627.0,0.0,1.0
2021-03-05,0.220101,0.2639,0.2,0.245,0.245,62590.0,0.0,1.0
2021-03-04,0.26,0.279899,0.24,0.24,0.24,24292.0,0.0,1.0
2021-03-03,0.2887,0.2887,0.25,0.26,0.26,31579.0,0.0,1.0
2021-03-02,0.29,0.2945,0.28,0.28,0.28,34788.0,0.0,1.0
2021-03-01,0.2601,0.294699,0.255999,0.28,0.28,38857.0,0.0,1.0
2021-02-26,0.29,0.3198,0.25,0.28,0.28,62214.0,0.0,1.0
2021-02-25,0.3399,0.3429,0.28,0.2901,0.2901,120964.0,0.0,1.0
2021-02-24,0.3,0.359899,0.3,0.3401,0.3401,42320.0,0.0,1.0
2021-02-23,0.38,0.38,0.2822,0.3143,0.3143,91249.0,0.0,1.0
2021-02-22,0.2814,0.385,0.2814,0.370599,0.370599,117182.0,0.0,1.0
2021-02-19,0.2996,0.399899,0.2984,0.3431,0.3431,87747.0,0.0,1.0
2021-02-18,0.3,0.34,0.2711,0.2714,0.2714,56047.0,0.0,1.0
2021-02-17,0.338,0.3399,0.2761,0.3,0.3,46085.0,0.0,1.0
2021-02-16,0.32,0.399999,0.276,0.32,0.32,226922.0,0.0,1.0
2021-02-12,0.3899,0.4,0.25,0.3306,0.3306,58371.0,0.0,1.0
2021-02-11,0.35,0.4104,0.323,0.35,0.35,92755.0,0.0,1.0
2021-02-10,0.42,0.441,0.335,0.386001,0.386001,180369.0,0.0,1.0
2021-02-09,0.5085,0.55,0.37,0.42,0.42,379325.0,0.0,1.0
2021-02-08,0.264,0.54,0.264,0.5,0.5,809148.0,0.0,1.0
2021-02-05,0.25,0.265,0.24,0.265,0.265,17282.0,0.0,1.0
2021-02-04,0.24,0.252499,0.24,0.252499,0.252499,47344.0,0.0,1.0
2021-02-03,0.2601,0.275,0.22,0.2501,0.2501,48670.0,0.0,1.0
2021-02-02,0.308,0.31,0.2201,0.25,0.25,126407.0,0.0,1.0
