date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.25,12.45,11.8433,11.85,11.85,559067.0,0.0,1.0
2021-04-15,12.15,12.3335,11.85,12.19,12.19,367677.0,0.0,1.0
2021-04-14,12.0,12.22,11.81,12.05,12.05,494197.0,0.0,1.0
2021-04-13,11.99,12.156,11.56,11.97,11.97,470776.0,0.0,1.0
2021-04-12,12.24,12.31,11.81,11.93,11.93,541823.0,0.0,1.0
2021-04-09,11.92,12.42,11.79,12.37,12.37,433001.0,0.0,1.0
2021-04-08,12.16,12.25,11.75,12.04,12.04,706305.0,0.0,1.0
2021-04-07,13.29,13.7,12.07,12.075,12.075,1136251.0,0.0,1.0
2021-04-06,14.06,14.1112,13.55,13.77,13.77,375153.0,0.0,1.0
2021-04-05,14.3,14.38,13.8,14.08,14.08,406026.0,0.0,1.0
2021-04-01,13.71,14.01,13.62,14.0,14.0,397573.0,0.0,1.0
2021-03-31,12.88,13.43,12.84,13.34,13.34,484877.0,0.0,1.0
2021-03-30,12.75,12.88,12.17,12.81,12.81,694312.0,0.0,1.0
2021-03-29,12.6238,13.07,12.5,12.99,12.99,552836.0,0.0,1.0
2021-03-26,12.93,13.16,12.1937,12.74,12.74,666558.0,0.0,1.0
2021-03-25,12.5,12.86,12.1,12.8,12.8,829045.0,0.0,1.0
2021-03-24,13.52,13.5547,12.88,12.96,12.96,599599.0,0.0,1.0
2021-03-23,13.63,14.02,13.245,13.4,13.4,608004.0,0.0,1.0
2021-03-22,13.5,14.08,13.17,13.745,13.745,594160.0,0.0,1.0
2021-03-19,13.28,13.78,12.95,13.41,13.41,1226978.0,0.0,1.0
2021-03-18,13.63,13.7,13.09,13.22,13.22,736464.0,0.0,1.0
2021-03-17,13.09,14.05,12.95,13.965,13.965,590223.0,0.0,1.0
2021-03-16,13.74,13.77,12.8,13.41,13.41,945723.0,0.0,1.0
2021-03-15,14.43,14.44,13.52,13.745,13.745,875413.0,0.0,1.0
2021-03-12,14.0,14.54,13.78,14.27,14.27,688777.0,0.0,1.0
2021-03-11,13.9716,14.62,13.66,14.43,14.43,1174467.0,0.0,1.0
2021-03-10,13.0,13.85,12.89,13.41,13.41,1433101.0,0.0,1.0
2021-03-09,12.06,13.1497,12.06,12.73,12.73,1079486.0,0.0,1.0
2021-03-08,12.57,12.8,11.56,11.67,11.67,1011846.0,0.0,1.0
2021-03-05,12.8826,13.0,11.26,12.26,12.26,1985933.0,0.0,1.0
2021-03-04,13.35,13.795,12.555,12.8,12.8,1591424.0,0.0,1.0
2021-03-03,14.85,14.94,14.0,14.06,14.06,541599.0,0.0,1.0
2021-03-02,15.66,15.66,14.825,14.87,14.87,445142.0,0.0,1.0
2021-03-01,14.7,15.62,14.5,15.54,15.54,601950.0,0.0,1.0
2021-02-26,14.5,14.8787,13.935,14.29,14.29,578419.0,0.0,1.0
2021-02-25,15.01,15.21,14.51,14.58,14.58,751468.0,0.0,1.0
2021-02-24,15.495,15.8565,14.81,15.18,15.18,427518.0,0.0,1.0
2021-02-23,14.5,15.05,13.18,14.98,14.98,1580509.0,0.0,1.0
2021-02-22,15.83,15.94,15.28,15.5,15.5,614097.0,0.0,1.0
2021-02-19,14.95,15.93,14.95,15.83,15.83,600647.0,0.0,1.0
2021-02-18,14.75,15.1322,14.5373,14.86,14.86,597918.0,0.0,1.0
2021-02-17,15.5,15.5,14.6,14.88,14.88,900244.0,0.0,1.0
2021-02-16,16.11,16.44,15.35,15.47,15.47,1033880.0,0.0,1.0
2021-02-12,16.25,16.53,15.6,16.13,16.13,799204.0,0.0,1.0
2021-02-11,17.0,17.23,16.08,16.46,16.46,808287.0,0.0,1.0
2021-02-10,17.7,17.85,16.75,17.01,17.01,808947.0,0.0,1.0
2021-02-09,17.25,17.95,16.9086,17.61,17.61,682154.0,0.0,1.0
2021-02-08,18.5,18.63,17.2,17.38,17.38,1355011.0,0.0,1.0
2021-02-05,18.5,18.85,17.7005,18.58,18.58,1278821.0,0.0,1.0
2021-02-04,17.36,18.13,16.62,18.03,18.03,2203497.0,0.0,1.0
2021-02-03,17.96,18.12,17.2,17.46,17.46,979518.0,0.0,1.0
2021-02-02,16.65,19.15,16.44,17.99,17.99,2113120.0,0.0,1.0
2021-02-01,15.93,16.9089,15.1827,16.1,16.1,1549587.0,0.0,1.0
2021-01-29,15.54,16.1539,14.93,15.08,15.08,1078952.0,0.0,1.0
2021-01-28,16.73,17.13,15.1101,15.34,15.34,1113368.0,0.0,1.0
2021-01-27,15.67,17.39,15.5401,16.375,16.375,1108880.0,0.0,1.0
2021-01-26,17.35,17.3595,15.9295,16.27,16.27,1051561.0,0.0,1.0
2021-01-25,15.76,17.96,15.66,16.99,16.99,1913804.0,0.0,1.0
2021-01-22,14.85,15.37,14.47,15.37,15.37,687472.0,0.0,1.0
2021-01-21,14.65,15.34,14.26,15.12,15.12,709833.0,0.0,1.0
2021-01-20,14.92,15.43,14.39,14.61,14.61,802390.0,0.0,1.0
2021-01-19,13.29,14.88,13.26,14.4,14.4,917710.0,0.0,1.0
2021-01-15,13.4907,13.83,12.94,13.11,13.11,459206.0,0.0,1.0
2021-01-14,13.0,13.7,13.0,13.42,13.42,441982.0,0.0,1.0
2021-01-13,13.14,13.2,12.85,13.04,13.04,516154.0,0.0,1.0
2021-01-12,13.51,13.55,12.9601,13.315,13.315,624111.0,0.0,1.0
2021-01-11,13.26,13.77,13.15,13.56,13.56,726265.0,0.0,1.0
2021-01-08,13.31,14.24,13.12,13.445,13.445,999290.0,0.0,1.0
2021-01-07,12.5,13.19,12.459,12.89,12.89,717927.0,0.0,1.0
2021-01-06,12.56,13.12,12.055,12.29,12.29,902655.0,0.0,1.0
2021-01-05,11.89,12.52,11.86,12.37,12.37,726068.0,0.0,1.0
2021-01-04,12.49,12.75,11.56,11.87,11.87,772193.0,0.0,1.0
2020-12-31,12.54,12.72,12.12,12.23,12.23,416077.0,0.0,1.0
2020-12-30,11.71,12.63,11.7,12.37,12.37,571787.0,0.0,1.0
2020-12-29,12.56,12.65,11.12,11.675,11.675,1127931.0,0.0,1.0
2020-12-28,12.73,13.0,12.36,12.49,12.49,965210.0,0.0,1.0
2020-12-24,12.61,12.77,11.9389,12.33,12.33,330906.0,0.0,1.0
2020-12-23,12.76,13.23,12.17,12.49,12.49,1581848.0,0.0,1.0
2020-12-22,11.85,12.59,11.5,12.43,12.43,1835372.0,0.0,1.0
2020-12-21,10.84,11.3315,10.81,11.15,11.15,903272.0,0.0,1.0
2020-12-18,11.55,11.6,11.03,11.03,11.03,1590858.0,0.0,1.0
2020-12-17,11.1104,11.82,10.83,11.33,11.33,2269103.0,0.0,1.0
2020-12-16,9.83,10.73,9.8,10.66,10.66,1731295.0,0.0,1.0
2020-12-15,9.19,9.9616,9.18,9.72,9.72,1138656.0,0.0,1.0
2020-12-14,8.91,9.28,8.7,9.07,9.07,1209616.0,0.0,1.0
2020-12-11,8.62,9.47,8.61,8.73,8.73,1534952.0,0.0,1.0
2020-12-10,8.35,8.74,8.2,8.69,8.69,813705.0,0.0,1.0
2020-12-09,8.4518,8.76,8.28,8.44,8.44,892832.0,0.0,1.0
2020-12-08,8.29,8.55,8.21,8.42,8.42,837607.0,0.0,1.0
2020-12-07,7.9298,8.37,7.9298,8.205,8.205,711230.0,0.0,1.0
2020-12-04,7.69,8.0,7.64,7.97,7.97,615200.0,0.0,1.0
2020-12-03,7.5,7.75,7.4,7.68,7.68,493912.0,0.0,1.0
2020-12-02,7.55,7.59,7.41,7.52,7.52,703917.0,0.0,1.0
2020-12-01,7.68,7.75,7.47,7.54,7.54,717611.0,0.0,1.0
2020-11-30,7.88,7.97,7.58,7.61,7.61,949156.0,0.0,1.0
2020-11-27,7.72,7.98,7.62,7.98,7.98,548704.0,0.0,1.0
2020-11-25,7.56,7.71,7.41,7.67,7.67,990485.0,0.0,1.0
2020-11-24,7.66,7.91,7.51,7.56,7.56,1354190.0,0.0,1.0
2020-11-23,8.0,8.01,7.6,7.67,7.67,1032367.0,0.0,1.0
2020-11-20,7.9,7.99,7.75,7.92,7.92,527851.0,0.0,1.0
2020-11-19,8.0,8.11,7.87,7.93,7.93,625839.0,0.0,1.0
2020-11-18,7.95,8.06,7.74,7.96,7.96,891170.0,0.0,1.0
2020-11-17,8.0,8.06,7.78,7.87,7.87,659462.0,0.0,1.0
2020-11-16,8.0,8.018,7.79,7.88,7.88,381477.0,0.0,1.0
2020-11-13,7.88,7.95,7.73,7.91,7.91,374351.0,0.0,1.0
2020-11-12,7.91,7.98,7.68,7.82,7.82,526324.0,0.0,1.0
2020-11-11,7.91,8.04,7.74,7.85,7.85,549491.0,0.0,1.0
2020-11-10,8.07,8.2,7.7,7.9,7.9,653158.0,0.0,1.0
2020-11-09,8.51,8.6,7.94,7.96,7.96,779821.0,0.0,1.0
2020-11-06,8.89,8.89,8.16,8.24,8.24,674050.0,0.0,1.0
2020-11-05,8.54,8.9,8.54,8.85,8.85,860559.0,0.0,1.0
2020-11-04,8.46,8.65,8.3,8.47,8.47,358597.0,0.0,1.0
2020-11-03,8.35,8.85,8.28,8.42,8.42,804495.0,0.0,1.0
2020-11-02,8.58,8.65,8.1,8.23,8.23,471360.0,0.0,1.0
2020-10-30,8.485,8.92,8.05,8.29,8.29,860161.0,0.0,1.0
2020-10-29,8.15,8.55,8.15,8.54,8.54,564440.0,0.0,1.0
2020-10-28,8.04,8.19,7.81,8.1,8.1,418606.0,0.0,1.0
2020-10-27,8.13,8.35,8.0,8.29,8.29,380279.0,0.0,1.0
2020-10-26,8.1,8.279,7.83,7.965,7.965,504328.0,0.0,1.0
2020-10-23,8.0,8.07,7.8,8.06,8.06,463784.0,0.0,1.0
2020-10-22,7.815,8.05,7.72,7.83,7.83,481859.0,0.0,1.0
2020-10-21,7.905,7.98,7.65,7.67,7.67,435918.0,0.0,1.0
2020-10-20,7.99,7.9999,7.8,7.9,7.9,282216.0,0.0,1.0
2020-10-19,7.95,8.0,7.61,7.84,7.84,426138.0,0.0,1.0
2020-10-16,8.02,8.1709,7.75,7.76,7.76,553069.0,0.0,1.0
2020-10-15,8.1,8.13,7.86,8.02,8.02,393477.0,0.0,1.0
2020-10-14,8.51,8.61,8.14,8.2,8.2,222298.0,0.0,1.0
2020-10-13,8.47,8.7,8.45,8.51,8.51,282693.0,0.0,1.0
2020-10-12,8.59,8.66,8.44,8.52,8.52,237290.0,0.0,1.0
2020-10-09,8.5,8.58,8.4247,8.54,8.54,203730.0,0.0,1.0
2020-10-08,8.49,8.59,8.38,8.45,8.45,224031.0,0.0,1.0
2020-10-07,8.31,8.44,8.18,8.38,8.38,206892.0,0.0,1.0
2020-10-06,8.08,8.415,8.02,8.19,8.19,274188.0,0.0,1.0
2020-10-05,8.0,8.29,7.96,8.08,8.08,235589.0,0.0,1.0
