date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,61.98,63.36,60.5467,63.3,63.3,300959.0,0.0,1.0
2021-04-15,64.02,66.84,60.83,61.59,61.59,473195.0,0.0,1.0
2021-04-14,63.68,65.47,63.68,63.99,63.99,273206.0,0.0,1.0
2021-04-13,64.57,65.3,63.71,63.76,63.76,150816.0,0.0,1.0
2021-04-12,64.75,64.9,63.46,63.96,63.96,187852.0,0.0,1.0
2021-04-09,65.06,65.42,64.5,65.15,65.15,105785.0,0.0,1.0
2021-04-08,64.92,65.47,64.37,65.13,65.13,176472.0,0.0,1.0
2021-04-07,64.39,64.77,63.46,64.05,64.05,144194.0,0.0,1.0
2021-04-06,64.66,65.5,63.94,64.29,64.29,730172.0,0.0,1.0
2021-04-05,63.56,65.45,63.305,65.18,65.18,199569.0,0.0,1.0
2021-04-01,63.59,66.03,62.845,63.32,63.32,371110.0,0.0,1.0
2021-03-31,61.4,63.42,61.17,62.57,62.57,288952.0,0.0,1.0
2021-03-30,61.56,62.47,60.715,60.97,60.97,227026.0,0.0,1.0
2021-03-29,63.16,63.91,60.92,61.38,61.38,201394.0,0.0,1.0
2021-03-26,61.13,63.45,60.85,63.45,63.45,170104.0,0.0,1.0
2021-03-25,59.41,61.06,58.03,60.66,60.66,177276.0,0.0,1.0
2021-03-24,61.98,61.98,59.93,60.02,60.02,275105.0,0.0,1.0
2021-03-23,62.72,64.2,61.15,61.46,61.46,293632.0,0.0,1.0
2021-03-22,61.96,63.98,61.95,62.75,62.75,277519.0,0.0,1.0
2021-03-19,58.79,61.89,58.45,61.4,61.4,460247.0,0.0,1.0
2021-03-18,59.67,60.86,58.65,59.14,59.14,217233.0,0.0,1.0
2021-03-17,59.58,61.11,59.05,60.38,60.38,347749.0,0.0,1.0
2021-03-16,60.43,62.11,59.29,60.64,60.64,266677.0,0.0,1.0
2021-03-15,59.75,62.03,59.67,61.93,61.93,189566.0,0.0,1.0
2021-03-12,59.45,62.39,59.45,60.63,60.63,327744.0,0.0,1.0
2021-03-11,61.13,63.39,60.9,62.9,62.9,431728.0,0.0,1.0
2021-03-10,61.68,62.98,59.48,59.74,59.74,322488.0,0.0,1.0
2021-03-09,57.24,61.055,57.115,60.52,60.52,249552.0,0.0,1.0
2021-03-08,58.56,59.5,55.5,55.67,55.67,277069.0,0.0,1.0
2021-03-05,59.24,59.24,55.7951,58.44,58.44,546865.0,0.0,1.0
2021-03-04,61.51,62.49,58.03,58.67,58.67,405667.0,0.0,1.0
2021-03-03,64.06,64.06,62.08,62.5,62.5,321734.0,0.0,1.0
2021-03-02,63.89,64.64,62.875,63.65,63.65,1046502.0,0.0,1.0
2021-03-01,63.31,64.41,62.51,63.27,63.27,429704.0,0.0,1.0
2021-02-26,57.03,62.03,57.0,61.59,61.59,660115.0,0.0,1.0
2021-02-25,60.83,61.37,57.67,57.67,57.67,288365.0,0.0,1.0
2021-02-24,60.0,61.56,58.62,61.17,61.17,176843.0,0.0,1.0
2021-02-23,59.74,61.15,58.05,60.59,60.59,347863.0,0.0,1.0
2021-02-22,62.18,62.98,60.7,61.22,61.22,203136.0,0.0,1.0
2021-02-19,61.38,64.47,61.38,63.08,63.08,201432.0,0.0,1.0
2021-02-18,61.38,62.47,60.25,61.03,61.03,246214.0,0.0,1.0
2021-02-17,64.52,65.7436,61.82,62.055,62.055,282845.0,0.0,1.0
2021-02-16,67.8,68.58,64.64,65.01,65.01,267659.0,0.0,1.0
2021-02-12,66.12,67.38,65.29,67.34,67.34,183201.0,0.0,1.0
2021-02-11,66.1,66.62,65.01,66.35,66.35,167715.0,0.0,1.0
2021-02-10,65.8,66.97,64.04,65.83,65.83,195610.0,0.0,1.0
2021-02-09,65.09,67.17,64.62,65.35,65.35,428836.0,0.0,1.0
2021-02-08,66.15,67.25,64.13,65.49,65.49,438683.0,0.0,1.0
2021-02-05,64.54,64.74,63.625,64.64,64.64,217600.0,0.0,1.0
2021-02-04,61.12,64.21,60.91,63.54,63.54,276096.0,0.0,1.0
2021-02-03,59.82,61.55,59.63,61.18,61.18,227467.0,0.0,1.0
2021-02-02,59.7,60.95,59.49,59.86,59.86,369513.0,0.0,1.0
2021-02-01,56.36,59.44,56.36,59.15,59.15,467546.0,0.0,1.0
2021-01-29,57.35,58.45,55.92,55.93,55.93,416367.0,0.0,1.0
2021-01-28,55.75,57.9,54.6401,56.95,56.95,361139.0,0.0,1.0
2021-01-27,56.92,57.84,55.31,55.52,55.52,382022.0,0.0,1.0
2021-01-26,59.25,59.25,57.89,58.21,58.21,217139.0,0.0,1.0
2021-01-25,59.61,60.67,58.865,59.01,59.01,215149.0,0.0,1.0
2021-01-22,61.06,61.24,59.09,59.75,59.75,426009.0,0.0,1.0
2021-01-21,62.03,62.355,61.42,61.58,61.58,202647.0,0.0,1.0
2021-01-20,60.97,62.74,60.86,61.87,61.87,235982.0,0.0,1.0
2021-01-19,60.99,61.51,60.19,60.5,60.5,195815.0,0.0,1.0
2021-01-15,61.34,63.14,59.0,59.9,59.9,352971.0,0.0,1.0
2021-01-14,60.21,62.13,60.21,61.73,61.73,249874.0,0.0,1.0
2021-01-13,62.97,63.0,59.59,60.2,60.2,289610.0,0.0,1.0
2021-01-12,61.86,63.14,61.78,62.99,62.99,389698.0,0.0,1.0
2021-01-11,59.79,61.69,58.77,61.63,61.63,357349.0,0.0,1.0
2021-01-08,61.01,61.57,59.695,60.51,60.51,185082.0,0.0,1.0
2021-01-07,60.02,61.16,59.45,60.82,60.82,306400.0,0.0,1.0
2021-01-06,58.27,60.155,58.09,59.75,59.75,330030.0,0.0,1.0
2021-01-05,57.5,58.46,57.25,58.35,58.35,158846.0,0.0,1.0
