date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,6.39,6.62,5.81,6.6,6.6,1050705.0,0.0,1.0
2021-04-15,7.59,7.77,6.33,6.59,6.59,3275800.0,0.0,1.0
2021-04-14,8.91,9.0,8.29,8.39,8.39,919131.0,0.0,1.0
2021-04-13,8.9,11.56,8.71,9.01,9.01,4211094.0,0.0,1.0
2021-04-12,9.33,9.75,8.63,9.0,9.0,591354.0,0.0,1.0
2021-04-09,9.41,9.72,8.77,9.34,9.34,438907.0,0.0,1.0
2021-04-08,9.69,10.15,9.5101,9.58,9.58,218190.0,0.0,1.0
2021-04-07,9.65,10.2,9.09,9.54,9.54,775819.0,0.0,1.0
2021-04-06,13.0,13.75,10.05,10.25,10.25,5557442.0,0.0,1.0
2021-04-05,11.74,12.43,11.3491,12.43,12.43,580842.0,0.0,1.0
2021-04-01,10.93,11.74,10.9,11.73,11.73,873680.0,0.0,1.0
2021-03-31,10.98,11.25,10.56,10.95,10.95,490031.0,0.0,1.0
2021-03-30,10.74,11.22,10.5,11.03,11.03,350695.0,0.0,1.0
2021-03-29,12.08,12.9,9.5,11.15,11.15,3591686.0,0.0,1.0
2021-03-26,9.79,11.0,9.57,10.78,10.78,1027410.0,0.0,1.0
2021-03-25,8.72,9.85,8.66,9.8,9.8,448708.0,0.0,1.0
2021-03-24,8.5,9.28,8.221,8.96,8.96,601783.0,0.0,1.0
2021-03-23,8.415,8.94,8.3,8.5,8.5,381007.0,0.0,1.0
2021-03-22,8.65,8.77,8.22,8.34,8.34,233892.0,0.0,1.0
2021-03-19,8.32,8.9435,8.3,8.62,8.62,217379.0,0.0,1.0
2021-03-18,9.63,9.63,8.52,8.53,8.53,841184.0,0.0,1.0
2021-03-17,9.04,9.6699,8.85,9.31,9.31,421259.0,0.0,1.0
2021-03-16,10.05,10.5,9.19,9.4699,9.4699,854034.0,0.0,1.0
2021-03-15,10.2,11.0,9.65,10.04,10.04,779958.0,0.0,1.0
2021-03-12,11.57,13.14,10.9,11.03,11.03,7758669.0,0.0,1.0
2021-03-11,10.51,11.28,10.3728,10.85,10.85,585088.0,0.0,1.0
2021-03-10,10.72,11.0,10.2,10.4,10.4,666206.0,0.0,1.0
2021-03-09,10.5,11.1999,9.6601,10.6,10.6,879685.0,0.0,1.0
2021-03-08,9.65,11.7,9.65,11.04,11.04,2764012.0,0.0,1.0
2021-03-05,8.72,10.2534,8.23,9.96,9.96,1343301.0,0.0,1.0
2021-03-04,8.18,8.76,7.78,8.4,8.4,660278.0,0.0,1.0
2021-03-03,8.46,8.6,8.01,8.28,8.28,226270.0,0.0,1.0
2021-03-02,8.7,8.87,8.34,8.3892,8.3892,177738.0,0.0,1.0
2021-03-01,8.75,9.21,8.13,8.75,8.75,554161.0,0.0,1.0
2021-02-26,8.52,9.4075,8.52,9.0,9.0,387152.0,0.0,1.0
2021-02-25,8.73,10.2,8.06,8.52,8.52,810176.0,0.0,1.0
2021-02-24,8.6,9.5,8.6,9.25,9.25,550233.0,0.0,1.0
2021-02-23,8.56,9.69,7.51,8.78,8.78,2560780.0,0.0,1.0
2021-02-22,8.26,9.12,7.75,8.5,8.5,336402.0,0.0,1.0
2021-02-19,8.16,8.96,7.71,8.36,8.36,366481.0,0.0,1.0
2021-02-18,7.15,8.0,6.73,7.45,7.45,789979.0,0.0,1.0
2021-02-17,6.25,7.5,6.0,6.61,6.61,687977.0,0.0,0.05
2021-02-16,0.585,0.99,0.57,0.9,18.0,2291576.0,0.0,1.0
2021-02-12,0.65,0.65,0.54,0.6344,12.688,445583.0,0.0,1.0
2021-02-11,0.661,0.695,0.6,0.65,13.0,497634.0,0.0,1.0
2021-02-10,0.67,0.69,0.64,0.65,13.0,149467.0,0.0,1.0
2021-02-09,0.661,0.72,0.65,0.65,13.0,149467.0,0.0,1.0
2021-02-08,0.75,0.75,0.64,0.66,13.2,537236.0,0.0,1.0
2021-02-05,0.75,0.8,0.699,0.725,14.5,356660.0,0.0,1.0
2021-02-04,0.6425,0.79,0.63,0.72,14.4,407328.0,0.0,1.0
2021-02-03,0.65,0.6764,0.55,0.635,12.7,89819.0,0.0,1.0
2021-02-02,0.695,0.695,0.62,0.65,13.0,146215.0,0.0,1.0
2021-02-01,0.615,0.7,0.6,0.6599,13.198,309811.0,0.0,1.0
2021-01-29,0.7,0.7,0.6,0.6599,13.198,322741.0,0.0,1.0
2021-01-28,0.849,0.849,0.65,0.68,13.6,304032.0,0.0,1.0
2021-01-27,0.625,0.87,0.55,0.73,14.6,797344.0,0.0,1.0
2021-01-26,0.65,0.7,0.521,0.625,12.5,499315.0,0.0,1.0
2021-01-25,0.45,0.6,0.4499,0.6,12.0,1204724.0,0.0,1.0
2021-01-22,0.43,0.45,0.4,0.4495,8.99,298764.0,0.0,1.0
2021-01-21,0.45,0.469,0.415,0.44,8.8,204332.0,0.0,1.0
2021-01-20,0.47,0.47,0.412,0.45,9.0,150167.0,0.0,1.0
2021-01-19,0.432,0.51,0.402,0.47,9.4,827032.0,0.0,1.0
2021-01-15,0.451,0.471,0.353,0.43,8.6,560904.0,0.0,1.0
2021-01-14,0.475,0.48,0.441,0.46,9.2,279184.0,0.0,1.0
2021-01-13,0.47,0.48,0.44,0.47,9.4,241849.0,0.0,1.0
2021-01-12,0.46,0.479,0.431,0.475,9.5,494824.0,0.0,1.0
2021-01-11,0.424,0.49,0.424,0.46,9.2,247577.0,0.0,1.0
2021-01-08,0.45,0.4935,0.415,0.44,8.8,507149.0,0.0,1.0
2021-01-07,0.4299,0.485,0.40505,0.413,8.26,524818.0,0.0,1.0
2021-01-06,0.43,0.45,0.345,0.413715,8.2743,1130193.0,0.0,1.0
2021-01-05,0.22,0.419,0.22,0.335,6.7,1840256.0,0.0,1.0
2021-01-04,0.18495,0.247,0.18495,0.231,4.62,687633.0,0.0,1.0
2020-12-31,0.175,0.185,0.156,0.1834,3.668,240014.0,0.0,1.0
2020-12-30,0.18,0.185,0.1602,0.175,3.5,210740.0,0.0,1.0
2020-12-29,0.19,0.192,0.16,0.165,3.3,152601.0,0.0,1.0
2020-12-28,0.199,0.199,0.16,0.17345,3.469,358447.0,0.0,1.0
2020-12-24,0.1819,0.199,0.15,0.17765,3.553,388181.0,0.0,1.0
2020-12-23,0.1625,0.18,0.1525,0.1798,3.596,249825.0,0.0,1.0
2020-12-22,0.15249,0.155,0.14,0.1525,3.05,286352.0,0.0,1.0
2020-12-21,0.155,0.162,0.145,0.1505,3.01,879517.0,0.0,1.0
2020-12-18,0.168,0.17,0.13,0.15,3.0,496234.0,0.0,1.0
2020-12-17,0.175,0.175,0.1612,0.16445,3.289,204038.0,0.0,1.0
2020-12-16,0.16875,0.1748,0.16125,0.162,3.24,312400.0,0.0,1.0
2020-12-15,0.18,0.1899,0.162,0.165,3.3,534580.0,0.0,1.0
2020-12-14,0.2,0.2,0.17495,0.1775,3.55,332195.0,0.0,1.0
2020-12-11,0.2,0.2,0.1611,0.1987,3.974,342165.0,0.0,1.0
2020-12-10,0.232,0.232,0.161,0.2,4.0,578693.0,0.0,1.0
2020-12-09,0.239,0.246,0.19,0.23,4.6,862642.0,0.0,1.0
2020-12-08,0.22455,0.239,0.22125,0.235,4.7,449891.0,0.0,1.0
2020-12-07,0.22845,0.239,0.195,0.22,4.4,804953.0,0.0,1.0
2020-12-04,0.2187,0.22,0.19,0.2075,4.15,424216.0,0.0,1.0
2020-12-03,0.21,0.239,0.191,0.215,4.3,1598457.0,0.0,1.0
2020-12-02,0.1705,0.21,0.1661,0.2055,4.11,1511322.0,0.0,1.0
2020-12-01,0.18,0.23,0.1706,0.185,3.7,885849.0,0.0,1.0
2020-11-30,0.159,0.24,0.155,0.18,3.6,1441832.0,0.0,1.0
2020-11-27,0.157,0.1578,0.1413,0.1578,3.156,397222.0,0.0,1.0
2020-11-25,0.12,0.16,0.12,0.15,3.0,1880551.0,0.0,1.0
2020-11-24,0.121,0.125,0.11,0.12,2.4,339199.0,0.0,1.0
2020-11-23,0.0998,0.1415,0.09515,0.121,2.42,522005.0,0.0,1.0
2020-11-20,0.1048,0.11,0.09745,0.0998,1.996,459551.0,0.0,1.0
2020-11-19,0.1048,0.1048,0.098,0.1048,2.096,321794.0,0.0,1.0
2020-11-18,0.105,0.105,0.094,0.1046,2.092,682841.0,0.0,1.0
2020-11-17,0.093,0.0935,0.09,0.092,1.84,331462.0,0.0,1.0
2020-11-16,0.091,0.094,0.0891,0.0939,1.878,113766.0,0.0,1.0
2020-11-13,0.09,0.093,0.09,0.093,1.86,103101.0,0.0,1.0
2020-11-12,0.094,0.094,0.0851,0.0851,1.702,24200.0,0.0,1.0
2020-11-11,0.089,0.095,0.08655,0.095,1.9,171713.0,0.0,1.0
2020-11-10,0.08445,0.089,0.08,0.0841,1.682,120057.0,0.0,1.0
2020-11-09,0.08,0.09,0.08,0.0844,1.688,145594.0,0.0,1.0
2020-11-06,0.09,0.09,0.085,0.0868,1.736,193350.0,0.0,1.0
2020-11-05,0.09,0.0928,0.088,0.09,1.8,48131.0,0.0,1.0
2020-11-04,0.095,0.096,0.09,0.09,1.8,144812.0,0.0,1.0
2020-11-03,0.105,0.105,0.0932,0.0955,1.91,164015.0,0.0,1.0
2020-11-02,0.0897,0.10515,0.08775,0.1001,2.002,648731.0,0.0,1.0
2020-10-30,0.08355,0.09,0.078,0.08735,1.747,380043.0,0.0,1.0
