date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.89,14.89,13.6,14.07,14.07,92431.0,0.0,1.0
2021-04-15,15.19,15.56,14.75,14.86,14.86,24502.0,0.0,1.0
2021-04-14,14.0,15.67,14.0,15.13,15.13,83218.0,0.0,1.0
2021-04-13,14.81,14.81,14.05,14.29,14.29,59232.0,0.0,1.0
2021-04-12,15.35,15.69,14.63,14.81,14.81,113977.0,0.0,1.0
2021-04-09,16.0,16.1899,15.065,15.48,15.48,66281.0,0.0,1.0
2021-04-08,16.32,16.32,15.495,15.7,15.7,38897.0,0.0,1.0
2021-04-07,16.6,17.58,15.75,16.02,16.02,80258.0,0.0,1.0
2021-04-06,17.48,17.545,16.8401,16.99,16.99,45883.0,0.0,1.0
2021-04-05,17.9,17.9,17.27,17.47,17.47,78215.0,0.0,1.0
2021-04-01,18.51,18.59,17.45,17.83,17.83,108342.0,0.0,1.0
2021-03-31,18.5,18.88,17.05,18.07,18.07,155320.0,0.0,1.0
2021-03-30,18.1,18.1,17.53,17.99,17.99,52944.0,0.0,1.0
2021-03-29,18.2,18.25,17.4,18.0,18.0,46590.0,0.0,1.0
2021-03-26,17.98,18.38,17.33,18.17,18.17,55188.0,0.0,1.0
2021-03-25,16.8,18.11,15.81,18.0,18.0,172341.0,0.0,1.0
2021-03-24,16.97,17.41,16.36,16.74,16.74,143247.0,0.0,1.0
2021-03-23,17.4,17.5099,16.75,17.17,17.17,262206.0,0.0,1.0
2021-03-22,17.8,18.5,17.2,17.39,17.39,246330.0,0.0,1.0
2021-03-19,18.44,19.16,17.53,17.67,17.67,845393.0,0.0,1.0
2021-03-18,18.53,19.12,17.95,18.15,18.15,183808.0,0.0,1.0
2021-03-17,19.78,20.77,18.7,19.13,19.13,273961.0,0.0,1.0
2021-03-16,21.23,21.5,19.71,20.65,20.65,112379.0,0.0,1.0
2021-03-15,20.7,21.49,20.26,20.83,20.83,135257.0,0.0,1.0
2021-03-12,19.8,21.44,19.2062,20.45,20.45,141123.0,0.0,1.0
2021-03-11,20.44,21.75,20.0,20.2,20.2,185250.0,0.0,1.0
2021-03-10,18.1,20.1,17.5,20.0,20.0,232680.0,0.0,1.0
2021-03-09,15.52,18.78,15.52,18.0,18.0,186325.0,0.0,1.0
2021-03-08,15.55,16.5,15.0,15.01,15.01,245757.0,0.0,1.0
2021-03-05,17.44,17.99,12.563,16.05,16.05,324505.0,0.0,1.0
2021-03-04,20.56,21.01,16.65,17.12,17.12,217774.0,0.0,1.0
2021-03-03,21.15,21.3366,19.52,20.51,20.51,170055.0,0.0,1.0
2021-03-02,20.85,23.24,20.0,20.9,20.9,470121.0,0.0,1.0
2021-03-01,21.01,21.5799,18.6018,19.92,19.92,308146.0,0.0,1.0
2021-02-26,21.11,21.4,17.05,17.34,17.34,239181.0,0.0,1.0
2021-02-25,22.3,22.75,21.25,21.39,21.39,142171.0,0.0,1.0
2021-02-24,21.92,23.39,21.08,22.4,22.4,270733.0,0.0,1.0
2021-02-23,25.27,25.465,20.95,21.1,21.1,159476.0,0.0,1.0
2021-02-22,25.03,26.1,23.88,25.74,25.74,97019.0,0.0,1.0
2021-02-19,23.63,26.3,23.35,25.02,25.02,195449.0,0.0,1.0
2021-02-18,21.68,23.7,20.69,23.7,23.7,174286.0,0.0,1.0
2021-02-17,20.09,21.58,19.82,21.44,21.44,217003.0,0.0,1.0
2021-02-16,19.9,20.1,19.61,19.84,19.84,108963.0,0.0,1.0
2021-02-12,18.52,19.54,18.05,19.54,19.54,149565.0,0.0,1.0
2021-02-11,18.07,18.75,17.91,18.34,18.34,113353.0,0.0,1.0
2021-02-10,18.18,18.45,17.5,18.2,18.2,130145.0,0.0,1.0
2021-02-09,18.0,18.58,16.98,17.98,17.98,186985.0,0.0,1.0
2021-02-08,16.15,18.7,16.0,18.25,18.25,562694.0,0.0,1.0
2021-02-05,17.62,18.985,16.5,17.02,17.02,1667084.0,0.0,1.0
