date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,32.5,32.545,31.66,32.1,32.1,117570.0,0.0,1.0
2021-04-15,32.96,33.3,31.9,32.53,32.53,173308.0,0.0,1.0
2021-04-14,32.21,33.3132,32.1021,32.38,32.38,147998.0,0.0,1.0
2021-04-13,32.56,33.36,31.77,32.35,32.35,150431.0,0.0,1.0
2021-04-12,33.22,33.605,31.832,32.46,32.46,198182.0,0.0,1.0
2021-04-09,34.55,34.75,33.01,33.63,33.63,209140.0,0.0,1.0
2021-04-08,34.9382,34.9382,33.26,34.85,34.85,216827.0,0.0,1.0
2021-04-07,34.63,34.88,33.1,33.26,33.26,230253.0,0.0,1.0
2021-04-06,35.22,35.8299,34.213,34.96,34.96,177005.0,0.0,1.0
2021-04-05,35.86,35.86,33.81,34.97,34.97,208984.0,0.0,1.0
2021-04-01,33.51,34.87,33.3951,34.5,34.5,212232.0,0.0,1.0
2021-03-31,32.19,33.1992,31.8366,32.7,32.7,229856.0,0.0,1.0
2021-03-30,30.42,31.76,29.8193,31.63,31.63,176313.0,0.0,1.0
2021-03-29,31.98,32.51,30.21,30.33,30.33,193881.0,0.0,1.0
2021-03-26,31.14,32.37,30.85,32.28,32.28,157940.0,0.0,1.0
2021-03-25,29.45,31.13,28.6,30.85,30.85,262637.0,0.0,1.0
2021-03-24,32.7,33.0663,30.51,30.51,30.51,251413.0,0.0,1.0
2021-03-23,34.64,34.7665,31.43,31.63,31.63,382139.0,0.0,1.0
2021-03-22,35.1,35.96,34.4,34.93,34.93,191600.0,0.0,1.0
2021-03-19,34.27,35.8,33.33,34.88,34.88,982995.0,0.0,1.0
2021-03-18,36.44,36.98,34.19,34.32,34.32,283817.0,0.0,1.0
2021-03-17,35.563,37.55,34.57,37.24,37.24,244810.0,0.0,1.0
2021-03-16,36.28,38.47,35.36,36.36,36.36,675665.0,0.0,1.0
2021-03-15,36.9,37.1999,35.74,36.27,36.27,271044.0,0.0,1.0
2021-03-12,35.63,36.37,34.44,36.24,36.24,303070.0,0.0,1.0
2021-03-11,35.78,36.71,34.69,36.67,36.67,303367.0,0.0,1.0
2021-03-10,34.57,35.41,33.38,33.92,33.92,236147.0,0.0,1.0
2021-03-09,31.45,34.44,31.45,34.0,34.0,315464.0,0.0,1.0
2021-03-08,32.88,33.9,29.82,30.34,30.34,382442.0,0.0,1.0
2021-03-05,33.51,34.36,30.03,32.92,32.92,381288.0,0.0,1.0
2021-03-04,35.6,36.09,31.69,32.29,32.29,581698.0,0.0,1.0
2021-03-03,36.02,36.905,34.56,35.1,35.1,215157.0,0.0,1.0
2021-03-02,37.255,38.14,35.65,35.67,35.67,253711.0,0.0,1.0
2021-03-01,36.22,38.2,35.8528,37.85,37.85,351956.0,0.0,1.0
2021-02-26,34.63,36.22,34.13,35.19,35.19,263659.0,0.0,1.0
2021-02-25,37.37,38.27,33.58,33.8,33.8,433894.0,0.0,1.0
2021-02-24,36.29,37.2587,35.06,36.81,36.81,215354.0,0.0,1.0
2021-02-23,36.6495,37.12,33.1642,36.33,36.33,545633.0,0.0,1.0
2021-02-22,38.86,39.62,37.41,37.92,37.92,565838.0,0.0,1.0
2021-02-19,37.3,38.99,36.8,38.89,38.89,346506.0,0.0,1.0
2021-02-18,37.647,38.15,36.04,36.5,36.5,357006.0,0.0,1.0
2021-02-17,38.75,39.741,37.1489,38.24,38.24,382280.0,0.0,1.0
2021-02-16,41.25,42.9999,38.89,39.49,39.49,840906.0,0.0,1.0
2021-02-12,40.51,40.815,38.25,40.37,40.37,854767.0,0.0,1.0
2021-02-11,37.45,39.85,37.1001,38.57,38.57,1421150.0,0.0,1.0
2021-02-10,34.66,34.789,32.6,32.72,32.72,266092.0,0.0,1.0
2021-02-09,34.45,35.22,33.78,33.97,33.97,252077.0,0.0,1.0
2021-02-08,35.09,36.48,33.83,34.43,34.43,286241.0,0.0,1.0
2021-02-05,38.3945,40.04,33.38,33.58,33.58,581870.0,0.0,1.0
2021-02-04,33.0,34.9,32.34,34.74,34.74,359277.0,0.0,1.0
