date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,16.37,16.55,15.8,16.0,16.0,1538814.0,0.0,1.0
2021-04-15,17.8,17.85,15.9,16.19,16.19,2075761.0,0.0,1.0
2021-04-14,16.22,17.94,16.1701,17.57,17.57,2774970.0,0.0,1.0
2021-04-13,16.767,16.9299,15.935,16.42,16.42,1720329.0,0.0,1.0
2021-04-12,16.89,17.5,16.5435,16.93,16.93,1208656.0,0.0,1.0
2021-04-09,18.0,18.1,16.87,16.98,16.98,1500568.0,0.0,1.0
2021-04-08,18.35,18.57,17.57,18.02,18.02,1131515.0,0.0,1.0
2021-04-07,19.01,19.01,17.99,18.29,18.29,990435.0,0.0,1.0
2021-04-06,18.58,18.97,18.1,18.97,18.97,1211717.0,0.0,1.0
2021-04-05,18.13,18.5,17.74,18.47,18.47,1032405.0,0.0,1.0
2021-04-01,19.26,19.26,17.51,17.84,17.84,1153953.0,0.0,1.0
2021-03-31,18.05,18.46,17.47,18.3,18.3,1215950.0,0.0,1.0
2021-03-30,16.53,18.3,16.13,17.93,17.93,1538863.0,0.0,1.0
2021-03-29,17.93,18.5699,16.64,16.7,16.7,1683415.0,0.0,1.0
2021-03-26,17.95,18.28,16.9,17.96,17.96,1515840.0,0.0,1.0
2021-03-25,19.0,19.18,17.74,17.81,17.81,2237907.0,0.0,1.0
2021-03-24,21.01,21.37,19.02,19.29,19.29,2264965.0,0.0,1.0
2021-03-23,21.3317,22.0799,20.38,20.71,20.71,2679841.0,0.0,1.0
2021-03-22,21.93,22.0,20.43,20.89,20.89,2685241.0,0.0,1.0
2021-03-19,21.71,22.49,20.65,21.59,21.59,6876145.0,0.0,1.0
2021-03-18,21.39,23.5134,20.61,21.91,21.91,4914716.0,0.0,1.0
2021-03-17,21.62,23.29,21.06,21.52,21.52,4128505.0,0.0,1.0
2021-03-16,24.2,24.99,21.79,23.12,23.12,2320585.0,0.0,1.0
2021-03-15,24.3604,25.0,23.65,24.51,24.51,1968020.0,0.0,1.0
2021-03-12,21.51,24.95,21.04,23.33,23.33,2486447.0,0.0,1.0
2021-03-11,22.04,23.7,21.57,22.27,22.27,2760314.0,0.0,1.0
2021-03-10,19.31,21.7499,19.31,20.64,20.64,2387022.0,0.0,1.0
2021-03-09,18.79,20.68,18.31,19.49,19.49,3483082.0,0.0,1.0
2021-03-08,18.21,18.27,16.5,17.41,17.41,3406937.0,0.0,1.0
2021-03-05,20.5,20.74,15.3001,16.87,16.87,5841749.0,0.0,1.0
2021-03-04,28.71,29.17,17.77,18.75,18.75,10420406.0,0.0,1.0
2021-03-03,30.41,30.96,28.36,28.56,28.56,1167835.0,0.0,1.0
2021-03-02,31.79,32.29,29.4506,30.4,30.4,1617813.0,0.0,1.0
2021-03-01,31.52,32.48,30.4,30.76,30.76,751865.0,0.0,1.0
2021-02-26,31.6455,33.5,30.24,30.45,30.45,1016470.0,0.0,1.0
2021-02-25,34.24,34.2463,31.74,33.34,33.34,905358.0,0.0,1.0
2021-02-24,34.41,34.9099,32.68,33.48,33.48,986507.0,0.0,1.0
2021-02-23,36.5,37.3199,30.15,34.0,34.0,1429912.0,0.0,1.0
2021-02-22,35.7,39.5,35.7,37.64,37.64,1260283.0,0.0,1.0
2021-02-19,33.41,37.49,33.01,35.7,35.7,1155552.0,0.0,1.0
2021-02-18,31.89,34.17,31.77,32.48,32.48,582027.0,0.0,1.0
2021-02-17,31.81,33.05,30.51,32.2,32.2,884077.0,0.0,1.0
2021-02-16,35.88,35.9,31.24,32.88,32.88,979131.0,0.0,1.0
2021-02-12,36.1,37.1,33.26,33.26,33.26,749854.0,0.0,1.0
2021-02-11,37.58,37.9,35.9,36.8,36.8,783453.0,0.0,1.0
2021-02-10,39.05,39.5,35.8,36.0,36.0,955411.0,0.0,1.0
2021-02-09,36.39,38.77,34.75,38.21,38.21,1056263.0,0.0,1.0
2021-02-08,36.2,37.45,34.65,35.97,35.97,958187.0,0.0,1.0
2021-02-05,30.99,34.88,29.53,33.75,33.75,1197333.0,0.0,1.0
2021-02-04,34.4103,34.92,29.0,29.08,29.08,1257161.0,0.0,1.0
2021-02-03,35.0,36.0,31.0001,31.37,31.37,1213084.0,0.0,1.0
2021-02-02,42.87,42.9,33.45,36.77,36.77,2688585.0,0.0,1.0
2021-02-01,35.69,37.1866,26.0,35.85,35.85,1211553.0,0.0,1.0
2021-01-29,24.69,25.76,23.7501,24.95,24.95,248747.0,0.0,1.0
2021-01-28,23.11,24.79,20.71,24.68,24.68,478470.0,0.0,1.0
2021-01-27,24.0,24.6,23.03,23.03,23.03,181670.0,0.0,1.0
2021-01-26,25.61,25.99,24.26,24.65,24.65,148479.0,0.0,1.0
2021-01-25,25.99,25.99,23.7,25.11,25.11,263737.0,0.0,1.0
2021-01-22,25.1,26.46,24.2201,25.03,25.03,310567.0,0.0,1.0
2021-01-21,25.45,25.99,24.68,25.3,25.3,307187.0,0.0,1.0
2021-01-20,26.01,27.88,23.56,24.86,24.86,555847.0,0.0,1.0
2021-01-19,24.26,28.98,23.44,26.71,26.71,933356.0,0.0,1.0
2021-01-15,24.69,24.83,23.2,23.67,23.67,261632.0,0.0,1.0
2021-01-14,24.77,26.6899,24.08,24.44,24.44,303591.0,0.0,1.0
2021-01-13,22.32,24.66,22.22,24.0,24.0,354634.0,0.0,1.0
2021-01-12,21.35,23.93,21.35,22.94,22.94,569218.0,0.0,1.0
2021-01-11,19.44,22.2,19.18,21.25,21.25,538586.0,0.0,1.0
2021-01-08,19.1,20.75,18.02,19.15,19.15,355017.0,0.0,1.0
2021-01-07,16.6,19.7999,16.5,19.63,19.63,604639.0,0.0,1.0
2021-01-06,15.3,16.7,15.3,16.2,16.2,235886.0,0.0,1.0
2021-01-05,14.93,15.675,14.9001,15.28,15.28,153585.0,0.0,1.0
2021-01-04,15.74,16.0,14.63,14.93,14.93,237350.0,0.0,1.0
2020-12-31,15.97,15.97,15.27,15.65,15.65,119832.0,0.0,1.0
2020-12-30,15.06,16.3699,15.06,15.74,15.74,147354.0,0.0,1.0
2020-12-29,15.35,15.52,14.11,15.01,15.01,246075.0,0.0,1.0
2020-12-28,16.34,16.4899,14.54,15.39,15.39,442394.0,0.0,1.0
2020-12-24,15.52,16.3231,15.29,15.93,15.93,231958.0,0.0,1.0
2020-12-23,16.51,17.9099,15.15,15.15,15.15,331480.0,0.0,1.0
2020-12-22,17.2924,17.5057,16.2,16.74,16.74,295784.0,0.0,1.0
2020-12-21,16.5,16.9857,16.15,16.65,16.65,111415.0,0.0,1.0
2020-12-18,16.24,16.8699,15.68,16.07,16.07,118888.0,0.0,1.0
2020-12-17,16.15,16.8799,16.002,16.5,16.5,221898.0,0.0,1.0
2020-12-16,15.58,16.24,15.58,16.0,16.0,146717.0,0.0,1.0
2020-12-15,16.6,17.1799,14.61,15.3,15.3,318049.0,0.0,1.0
2020-12-14,17.6,18.13,16.5,16.6,16.6,198844.0,0.0,1.0
2020-12-11,17.87,18.47,17.03,17.35,17.35,312626.0,0.0,1.0
2020-12-10,16.23,18.7327,16.2001,17.37,17.37,426827.0,0.0,1.0
2020-12-09,14.71,16.4394,14.4308,16.15,16.15,337423.0,0.0,1.0
2020-12-08,14.42,14.65,13.95,14.5,14.5,254657.0,0.0,1.0
2020-12-07,13.99,15.38,13.75,13.94,13.94,596843.0,0.0,1.0
2020-12-04,13.88,14.2195,13.41,13.51,13.51,204998.0,0.0,1.0
2020-12-03,12.95,13.88,12.6001,13.62,13.62,266915.0,0.0,1.0
2020-12-02,12.67,12.95,12.5,12.72,12.72,211555.0,0.0,1.0
2020-12-01,13.2,13.29,12.51,13.24,13.24,427842.0,0.0,1.0
2020-11-30,12.0158,13.541,11.8501,12.8,12.8,788045.0,0.0,1.0
2020-11-27,12.32,12.36,11.8,11.88,11.88,369835.0,0.0,1.0
2020-11-25,12.14,12.14,11.71,11.92,11.92,229090.0,0.0,1.0
2020-11-24,12.1,12.1,11.85,11.98,11.98,421288.0,0.0,1.0
2020-11-23,12.1529,12.22,11.85,11.89,11.89,262399.0,0.0,1.0
2020-11-20,12.14,12.2676,11.7279,11.84,11.84,281719.0,0.0,1.0
2020-11-19,11.4,12.1799,11.14,11.97,11.97,927447.0,0.0,1.0
2020-11-18,11.06,11.75,11.0265,11.33,11.33,138775.0,0.0,1.0
2020-11-17,11.09,11.2198,10.99,11.06,11.06,62680.0,0.0,1.0
2020-11-16,10.66,11.3,10.66,11.09,11.09,241489.0,0.0,1.0
2020-11-13,10.85,10.85,10.55,10.65,10.65,42319.0,0.0,1.0
2020-11-12,10.9,10.9,10.77,10.85,10.85,27702.0,0.0,1.0
2020-11-11,11.11,11.15,10.85,10.9,10.9,38725.0,0.0,1.0
2020-11-10,10.81,11.11,10.8,11.02,11.02,12750.0,0.0,1.0
2020-11-09,11.07,11.15,10.65,11.03,11.03,49369.0,0.0,1.0
2020-11-06,11.09,11.34,10.78,11.04,11.04,58328.0,0.0,1.0
2020-11-05,11.22,11.4,11.05,11.21,11.21,222296.0,0.0,1.0
2020-11-04,11.3,11.46,11.17,11.21,11.21,203159.0,0.0,1.0
2020-11-03,10.99,11.3,10.82,11.19,11.19,96873.0,0.0,1.0
2020-11-02,11.27,11.27,10.8,10.81,10.81,103185.0,0.0,1.0
2020-10-30,11.01,11.25,11.01,11.105,11.105,141330.0,0.0,1.0
2020-10-29,11.235,11.41,11.0001,11.15,11.15,230040.0,0.0,1.0
2020-10-28,11.28,11.5,11.1,11.33,11.33,301873.0,0.0,1.0
2020-10-27,11.4,11.7,11.34,11.53,11.53,387916.0,0.0,1.0
2020-10-26,11.8,11.8,11.27,11.4,11.4,152136.0,0.0,1.0
2020-10-23,11.24,11.6,11.24,11.5,11.5,403058.0,0.0,1.0
2020-10-22,11.18,11.35,11.02,11.17,11.17,670434.0,0.0,1.0
2020-10-21,11.1,11.15,10.95,11.01,11.01,484307.0,0.0,1.0
2020-10-20,10.9,10.99,10.8,10.95,10.95,642611.0,0.0,1.0
2020-10-19,10.75,10.84,10.6284,10.8,10.8,318834.0,0.0,1.0
2020-10-16,10.5,10.71,10.31,10.66,10.66,1303695.0,0.0,1.0
2020-10-15,10.66,10.66,10.355,10.4,10.4,49550.0,0.0,1.0
2020-10-14,10.25,10.43,10.16,10.43,10.43,112045.0,0.0,1.0
2020-10-13,10.32,10.4299,10.21,10.21,10.21,165386.0,0.0,1.0
2020-10-12,10.59,10.5999,10.26,10.32,10.32,172233.0,0.0,1.0
2020-10-09,10.47,10.7856,10.43,10.52,10.52,272212.0,0.0,1.0
2020-10-08,10.74,10.74,10.26,10.4,10.4,125844.0,0.0,1.0
2020-10-07,10.46,10.61,10.31,10.44,10.44,239736.0,0.0,1.0
2020-10-06,10.77,10.8297,10.25,10.35,10.35,474560.0,0.0,1.0
2020-10-05,11.73,11.73,10.515,10.75,10.75,280692.0,0.0,1.0
2020-10-02,11.3,11.54,11.25,11.35,11.35,290640.0,0.0,1.0
2020-10-01,11.8,11.8,11.13,11.8,11.8,639849.0,0.0,1.0
2020-09-30,12.0,12.16,11.56,11.75,11.75,1225418.0,0.0,1.0
2020-09-29,12.55,12.99,11.41,12.18,12.18,7740853.0,0.0,1.0
2020-09-28,10.065,10.09,10.05,10.08,10.08,18748.0,0.0,1.0
2020-09-25,10.01,10.05,10.0,10.03,10.03,11215.0,0.0,1.0
2020-09-24,9.9224,10.01,9.9081,9.93,9.93,27297.0,0.0,1.0
2020-09-23,10.085,10.085,10.03,10.055,10.055,10720.0,0.0,1.0
2020-09-22,10.1,10.1,10.03,10.03,10.03,146046.0,0.0,1.0
2020-09-21,10.04,10.1,10.02,10.03,10.03,24680.0,0.0,1.0
2020-09-18,10.0,10.07,9.95,10.0695,10.0695,314738.0,0.0,1.0
2020-09-17,9.9,10.005,9.88,9.98,9.98,184393.0,0.0,1.0
2020-09-16,9.91,10.03,9.87,9.925,9.925,43767.0,0.0,1.0
2020-09-15,9.94,9.98,9.82,9.8501,9.8501,8330.0,0.0,1.0
2020-09-14,9.97,9.97,9.89,9.91,9.91,14505.0,0.0,1.0
2020-09-11,9.8805,9.98,9.87,9.88,9.88,6969.0,0.0,1.0
2020-09-10,9.89,9.98,9.88,9.93,9.93,32059.0,0.0,1.0
2020-09-09,9.9046,9.9046,9.81,9.82,9.82,10703.0,0.0,1.0
2020-09-08,9.91,9.9216,9.87,9.87,9.87,40264.0,0.0,1.0
2020-09-04,9.915,9.97,9.9001,9.97,9.97,6193.0,0.0,1.0
2020-09-03,9.86,9.86,9.86,9.86,9.86,10066.0,0.0,1.0
2020-09-02,9.94,9.94,9.9,9.9,9.9,256.0,0.0,1.0
2020-09-01,9.8693,9.9,9.82,9.9,9.9,890.0,0.0,1.0
2020-08-31,9.85,9.86,9.8,9.86,9.86,137521.0,0.0,1.0
2020-08-28,9.8837,9.8999,9.8837,9.8999,9.8999,356.0,0.0,1.0
2020-08-27,9.8501,9.89,9.85,9.855,9.855,109571.0,0.0,1.0
2020-08-26,9.8501,9.9,9.8501,9.9,9.9,1275.0,0.0,1.0
2020-08-25,9.86,9.9,9.8501,9.8501,9.8501,125970.0,0.0,1.0
2020-08-24,9.98,9.98,9.98,9.98,9.98,166.0,0.0,1.0
2020-08-21,9.8814,9.89,9.85,9.85,9.85,209106.0,0.0,1.0
2020-08-20,9.88,9.9,9.88,9.9,9.9,330256.0,0.0,1.0
2020-08-19,9.8774,10.0,9.87,9.925,9.925,842.0,0.0,1.0
2020-08-18,9.9196,9.9196,9.87,9.9099,9.9099,3198.0,0.0,1.0
2020-08-17,9.9143,9.95,9.9,9.9,9.9,8027.0,0.0,1.0
2020-08-14,9.9,9.91,9.9,9.91,9.91,605.0,0.0,1.0
2020-08-13,9.88,9.95,9.87,9.95,9.95,15531.0,0.0,1.0
2020-08-12,9.93,9.93,9.9,9.9,9.9,27897.0,0.0,1.0
2020-08-11,9.88,9.93,9.87,9.93,9.93,6111.0,0.0,1.0
2020-08-10,9.87,9.97,9.87,9.97,9.97,4598.0,0.0,1.0
2020-08-07,9.86,9.97,9.86,9.97,9.97,1294.0,0.0,1.0
2020-08-06,9.925,9.97,9.9206,9.97,9.97,2639.0,0.0,1.0
2020-08-05,10.0,10.0,9.915,9.915,9.915,1041.0,0.0,1.0
2020-08-04,9.9,9.97,9.9,9.97,9.97,4657.0,0.0,1.0
2020-08-03,9.9001,9.93,9.83,9.93,9.93,4752.0,0.0,1.0
2020-07-31,9.9,9.97,9.9,9.9359,9.9359,6252.0,0.0,1.0
2020-07-30,9.97,9.97,9.96,9.96,9.96,5795.0,0.0,1.0
2020-07-29,9.9601,9.965,9.95,9.95,9.95,8826.0,0.0,1.0
2020-07-28,9.97,9.99,9.965,9.97,9.97,30659.0,0.0,1.0
2020-07-27,10.0025,10.0025,9.98,9.98,9.98,1293.0,0.0,1.0
2020-07-24,10.0,10.0,10.0,10.0,10.0,1981.0,0.0,1.0
2020-07-23,10.01,10.01,9.97,9.98,9.98,12062.0,0.0,1.0
2020-07-22,10.0,10.02,9.98,9.99,9.99,5191.0,0.0,1.0
2020-07-21,9.972,9.996,9.972,9.99,9.99,3983.0,0.0,1.0
2020-07-20,10.0,10.0,9.97,9.99,9.99,5014.0,0.0,1.0
2020-07-17,10.19,10.2,10.0,10.02,10.015,34700.0,0.0,1.0
2020-07-16,10.0,10.2,9.97,10.07,10.07,4700.0,0.0,1.0
2020-07-15,10.0,10.0,9.93,9.97,9.97,9400.0,0.0,1.0
2020-07-14,9.91,10.04,9.9,10.0,10.0,7400.0,0.0,1.0
2020-07-13,9.98,10.05,9.9,9.93,9.93,16900.0,0.0,1.0
2020-07-10,10.0,10.0,9.9,9.94,9.94,13300.0,0.0,1.0
2020-07-09,9.77,9.9,9.77,9.9,9.9,2700.0,0.0,1.0
2020-07-08,9.79,9.89,9.76,9.8,9.8,2900.0,0.0,1.0
2020-07-07,9.77,9.9,9.76,9.8,9.8,9100.0,0.0,1.0
2020-07-06,9.87,9.9,9.78,9.82,9.82,11500.0,0.0,1.0
2020-07-02,9.78,9.88,9.77,9.82,9.82,2900.0,0.0,1.0
2020-07-01,9.76,9.9,9.76,9.84,9.84,6200.0,0.0,1.0
2020-06-30,10.0,10.0,9.76,9.81,9.81,20500.0,0.0,1.0
2020-06-29,10.0,10.5,9.75,9.9,9.9,78800.0,0.0,1.0
2020-06-26,9.77,10.19,9.75,9.85,9.85,35025.0,0.0,1.0
2020-06-25,9.76,9.77,9.74,9.77,9.77,101109.0,0.0,1.0
2020-06-24,9.76,9.7799,9.74,9.75,9.75,20728.0,0.0,1.0
2020-06-23,9.78,9.78,9.705,9.7799,9.7799,234761.0,0.0,1.0
2020-06-22,9.94,9.94,9.7301,9.7301,9.7301,40897.0,0.0,1.0
2020-06-19,9.85,9.9,9.75,9.88,9.88,9765.0,0.0,1.0
2020-06-18,9.72,9.84,9.675,9.75,9.75,61009.0,0.0,1.0
2020-06-17,9.81,10.0,9.61,9.7,9.7,164581.0,0.0,1.0
2020-06-16,9.61,9.7,9.61,9.7,9.7,13332.0,0.0,1.0
2020-06-15,10.1,10.1,10.1,10.1,10.1,238.0,0.0,1.0
2020-06-12,10.01,10.01,10.01,10.01,10.01,2000.0,0.0,1.0
