date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.4,2.4799,2.36,2.47,2.47,166875.0,0.0,1.0
2021-04-15,2.65,2.65,2.44,2.55,2.55,183593.0,0.0,1.0
2021-04-14,2.74,2.74,2.28,2.39,2.39,246549.0,0.0,1.0
2021-04-13,2.75,2.85,2.5,2.61,2.61,153455.0,0.0,1.0
2021-04-12,3.29,3.29,2.66,2.75,2.75,244324.0,0.0,1.0
2021-04-09,3.36,3.36,2.97,3.09,3.09,99179.0,0.0,1.0
2021-04-08,2.9,3.11,2.79,2.95,2.95,165303.0,0.0,1.0
2021-04-07,2.7899,2.94,2.74,2.78,2.78,77004.0,0.0,1.0
2021-04-06,2.67,2.92,2.67,2.75,2.75,58385.0,0.0,1.0
2021-04-05,2.99,2.99,2.64,2.6804,2.6804,193215.0,0.0,1.0
2021-04-01,2.76,3.01,2.6,2.99,2.99,142089.0,0.0,1.0
2021-03-31,2.66,2.7699,2.6,2.62,2.62,59110.0,0.0,1.0
2021-03-30,2.81,2.81,2.58,2.68,2.68,115953.0,0.0,1.0
2021-03-29,2.92,2.92,2.66,2.8,2.8,96588.0,0.0,1.0
2021-03-26,3.02,3.07,2.76,2.85,2.85,106712.0,0.0,1.0
2021-03-25,2.93,3.0602,2.52,3.0,3.0,295666.0,0.0,1.0
2021-03-24,3.58,3.58,2.86,3.0,3.0,173707.0,0.0,1.0
2021-03-23,3.66,3.67,3.26,3.47,3.47,255841.0,0.0,1.0
2021-03-22,3.52,3.75,3.42,3.71,3.71,144108.0,0.0,1.0
2021-03-19,3.61,3.64,3.3,3.6,3.6,192090.0,0.0,1.0
2021-03-18,3.65,3.71,3.47,3.55,3.55,176279.0,0.0,1.0
2021-03-17,3.36,3.8899,3.36,3.8,3.8,667698.0,0.0,1.0
2021-03-16,3.665,3.68,3.38,3.5,3.5,184722.0,0.0,1.0
2021-03-15,3.44,3.71,3.44,3.615,3.615,379417.0,0.0,1.0
2021-03-12,3.1,3.5,3.1,3.44,3.44,287017.0,0.0,1.0
2021-03-11,3.21,3.44,3.15,3.44,3.44,315678.0,0.0,1.0
2021-03-10,3.1,3.1,2.88,3.1,3.1,136786.0,0.0,1.0
2021-03-09,2.7893,3.0,2.61,3.0,3.0,197672.0,0.0,1.0
2021-03-08,2.6,2.96,2.57,2.7,2.7,254846.0,0.0,1.0
2021-03-05,2.6,2.8,2.01,2.76,2.76,540620.0,0.0,1.0
2021-03-04,2.78,3.05,2.35,2.565,2.565,442147.0,0.0,1.0
2021-03-03,3.43,3.43,2.95,2.98,2.98,209412.0,0.0,1.0
2021-03-02,3.61,3.66,3.4,3.43,3.43,141194.0,0.0,1.0
2021-03-01,3.65,3.65,3.34,3.4999,3.4999,384122.0,0.0,1.0
2021-02-26,3.23,3.43,2.89,3.27,3.27,371887.0,0.0,1.0
2021-02-25,3.68,3.76,3.13,3.3,3.3,270427.0,0.0,1.0
2021-02-24,3.55,3.92,3.55,3.63,3.63,263949.0,0.0,1.0
2021-02-23,3.45,3.73,3.02,3.55,3.55,502226.0,0.0,1.0
2021-02-22,3.85,4.0,3.8,3.96,3.96,352901.0,0.0,1.0
2021-02-19,4.0,4.0575,3.75,3.796,3.796,502279.0,0.0,1.0
2021-02-18,3.99,4.11,3.95,3.99,3.99,235770.0,0.0,1.0
2021-02-17,4.17,4.19,3.9,4.09,4.09,328156.0,0.0,1.0
2021-02-16,4.08,4.25,4.01,4.12,4.12,295439.0,0.0,1.0
2021-02-12,4.12,4.2,4.05,4.2,4.2,412195.0,0.0,1.0
2021-02-11,4.29,4.29,3.99,4.01,4.01,292448.0,0.0,1.0
2021-02-10,4.2,4.29,4.14,4.19,4.19,308072.0,0.0,1.0
2021-02-09,4.25,4.32,4.14,4.26,4.26,294319.0,0.0,1.0
2021-02-08,4.23,4.38,4.1,4.23,4.23,608887.0,0.0,1.0
2021-02-05,4.33,4.33,4.18,4.25,4.25,497095.0,0.0,1.0
2021-02-04,4.89,4.94,4.26,4.4399,4.4399,1016069.0,0.0,1.0
2021-02-03,4.36,4.9,4.36,4.74,4.74,441987.0,0.0,1.0
2021-02-02,4.66,4.8,4.36,4.55,4.55,597945.0,0.0,1.0
2021-02-01,3.88,4.65,3.83,4.65,4.65,697244.0,0.0,1.0
2021-01-29,3.88,3.96,3.68,3.82,3.82,331194.0,0.0,1.0
2021-01-28,3.9,4.1,3.64,4.07,4.07,622889.0,0.0,1.0
2021-01-27,3.87,4.44,3.55,3.96,3.96,685243.0,0.0,1.0
2021-01-26,4.5,4.5,4.14,4.26,4.26,603268.0,0.0,1.0
2021-01-25,4.51,4.7,4.2,4.35,4.35,664693.0,0.0,1.0
2021-01-22,4.44,4.7,4.44,4.6,4.6,351484.0,0.0,1.0
2021-01-21,4.41,4.59,4.41,4.49,4.49,431744.0,0.0,1.0
2021-01-20,4.47,4.68,4.4,4.51,4.51,254374.0,0.0,1.0
2021-01-19,4.56,4.69,4.26,4.57,4.57,364664.0,0.0,1.0
2021-01-15,4.8,4.909,4.56,4.6,4.6,380299.0,0.0,1.0
2021-01-14,4.6,5.05,4.58,4.78,4.78,567038.0,0.0,1.0
2021-01-13,4.75,4.75,4.425,4.58,4.58,668805.0,0.0,1.0
2021-01-12,4.45,4.7617,4.13,4.51,4.51,984376.0,0.0,1.0
2021-01-11,3.75,4.06,3.72,3.83,3.83,795256.0,0.0,1.0
2021-01-08,3.86,3.86,3.62,3.72,3.72,585660.0,0.0,1.0
2021-01-07,3.85,3.98,3.72,3.82,3.82,736062.0,0.0,1.0
2021-01-06,3.9,4.035,3.7,3.76,3.76,458478.0,0.0,1.0
2021-01-05,3.8,4.14,3.75,3.99,3.99,374887.0,0.0,1.0
2021-01-04,4.28,4.3,3.7,3.88,3.88,682848.0,0.0,1.0
2020-12-31,4.43,4.49,4.25,4.28,4.28,306319.0,0.0,1.0
2020-12-30,4.58,4.76,4.32,4.4,4.4,415957.0,0.0,1.0
2020-12-29,5.12,5.17,4.25,4.58,4.58,498225.0,0.0,1.0
2020-12-28,5.2,5.47,4.72,4.78,4.78,728440.0,0.0,1.0
2020-12-24,4.77,4.92,4.5,4.72,4.72,650677.0,0.0,1.0
2020-12-23,4.16,4.6398,4.16,4.21,4.21,869242.0,0.0,1.0
2020-12-22,3.9,4.3,3.8301,4.13,4.13,686185.0,0.0,1.0
2020-12-21,3.5,3.89,3.44,3.8,3.8,624598.0,0.0,1.0
2020-12-18,3.45,3.5,3.33,3.48,3.48,404990.0,0.0,1.0
2020-12-17,3.23,3.4,3.11,3.3999,3.3999,420260.0,0.0,1.0
2020-12-16,3.1,3.2,3.04,3.1,3.1,584316.0,0.0,1.0
2020-12-15,3.35,3.37,3.08,3.1299,3.1299,526102.0,0.0,1.0
2020-12-14,3.39,3.4501,3.28,3.35,3.35,1207200.0,0.0,1.0
2020-12-11,3.45,3.5,3.3,3.35,3.35,516542.0,0.0,1.0
2020-12-10,3.29,3.5,3.2,3.47,3.47,476485.0,0.0,1.0
2020-12-09,3.5,3.56,3.1601,3.38,3.38,812464.0,0.0,1.0
2020-12-08,3.49,3.53,3.32,3.33,3.33,959416.0,0.0,1.0
2020-12-07,3.45,3.4689,3.3,3.37,3.37,906334.0,0.0,1.0
2020-12-04,3.18,3.44,3.05,3.235,3.235,537146.0,0.0,1.0
2020-12-03,3.33,3.33,2.99,3.13,3.13,875421.0,0.0,1.0
2020-12-02,2.5,3.0,2.5,2.85,2.85,1038906.0,0.0,1.0
2020-12-01,3.36,3.505,2.9,2.99,2.99,1327791.0,0.0,1.0
2020-11-30,4.4899,4.5,3.2,3.67,3.67,2780869.0,0.0,1.0
2020-11-27,3.63,3.94,3.17,3.2,3.2,3029002.0,0.0,1.0
2020-11-25,2.03,2.35,1.96,2.18,2.18,2103602.0,0.0,1.0
2020-11-24,2.0,2.0,1.845,1.95,1.95,1635732.0,0.0,1.0
2020-11-23,2.26,2.3,1.735,1.78,1.78,2823763.0,0.0,1.0
2020-11-20,1.69,1.7004,1.56,1.5999,1.5999,13520.0,0.0,1.0
2020-11-19,1.63,1.6799,1.51,1.6177,1.6177,25089.0,0.0,1.0
2020-11-18,1.4,1.63,1.4,1.63,1.63,33248.0,0.0,1.0
2020-11-17,1.47,1.51,1.47,1.485,1.485,11830.0,0.0,1.0
2020-11-16,1.63,1.63,1.45,1.47,1.47,10885.0,0.0,1.0
2020-11-13,1.45,1.54,1.44,1.53,1.53,16952.0,0.0,1.0
2020-11-12,1.43,1.54,1.38,1.4205,1.4205,14643.0,0.0,1.0
2020-11-11,1.4841,1.4841,1.42,1.42,1.42,1301.0,0.0,1.0
2020-11-10,1.39,1.485,1.37,1.42,1.42,3702.0,0.0,1.0
2020-11-09,1.45,1.5,1.45,1.4601,1.4601,2801.0,0.0,1.0
2020-11-06,1.39,1.48,1.38,1.46,1.46,13319.0,0.0,1.0
2020-11-05,1.3502,1.4,1.33,1.4,1.4,7390.0,0.0,1.0
2020-11-04,1.3,1.4799,1.3,1.385,1.385,6702.0,0.0,1.0
2020-11-03,1.37,1.4,1.34,1.36,1.36,56063.0,0.0,1.0
2020-11-02,1.45,1.53,1.33,1.39,1.39,88078.0,0.0,1.0
2020-10-30,1.31,1.36,1.31,1.36,1.36,20430.0,0.0,1.0
2020-10-29,1.43,1.43,1.36,1.39,1.39,11791.0,0.0,1.0
2020-10-28,1.4499,1.5,1.31,1.43,1.43,53073.0,0.0,1.0
2020-10-27,1.6,1.6,1.37,1.49,1.49,26513.0,0.0,1.0
2020-10-26,1.44,1.55,1.28,1.55,1.55,65082.0,0.0,1.0
2020-10-23,1.59,1.5995,1.42,1.57,1.57,14937.0,0.0,1.0
2020-10-22,1.65,1.7,1.43,1.5,1.5,20682.0,0.0,1.0
2020-10-21,1.56,1.61,1.5,1.535,1.535,31337.0,0.0,1.0
2020-10-20,1.5373,1.59,1.47,1.55,1.55,8953.0,0.0,1.0
2020-10-19,1.65,1.65,1.51,1.6,1.6,62202.0,0.0,1.0
2020-10-16,1.51,1.64,1.5,1.6,1.6,12783.0,0.0,1.0
2020-10-15,1.45,1.52,1.41,1.5,1.5,21392.0,0.0,1.0
2020-10-14,1.37,1.5,1.37,1.49,1.49,48032.0,0.0,1.0
2020-10-13,1.55,1.62,1.34,1.4,1.4,115411.0,0.0,1.0
2020-10-12,1.5,1.62,1.43,1.5,1.5,111662.0,0.0,1.0
2020-10-09,1.4625,1.74,1.4625,1.5,1.5,139097.0,0.0,1.0
2020-10-08,1.5,1.6395,1.45,1.45,1.45,86837.0,0.0,1.0
2020-10-07,1.63,1.95,1.46,1.55,1.55,145376.0,0.0,1.0
2020-10-06,1.72,1.8,1.55,1.75,1.75,74984.0,0.0,1.0
2020-10-05,2.0,2.0,1.65,1.91,1.91,60904.0,0.0,1.0
2020-10-02,1.97,2.0545,1.8602,1.9922,1.9922,23649.0,0.0,1.0
2020-10-01,1.9,2.1,1.8,1.9876,1.9876,57315.0,0.0,1.0
2020-09-30,2.03,2.1,1.9,1.9406,1.9406,40962.0,0.0,1.0
2020-09-29,2.01,2.095,1.95,1.98,1.98,39703.0,0.0,1.0
2020-09-28,2.01,2.05,1.9,1.98,1.98,31025.0,0.0,1.0
2020-09-25,1.85,2.18,1.8,1.86,1.86,28751.0,0.0,1.0
2020-09-24,2.16,2.16,1.81,1.81,1.81,121947.0,0.0,1.0
2020-09-23,2.5699,2.5699,2.1,2.16,2.16,111918.0,0.0,1.0
2020-09-22,2.27,2.64,2.2,2.47,2.47,187570.0,0.0,1.0
2020-09-21,2.5,2.5,2.05,2.24,2.24,118435.0,0.0,1.0
2020-09-18,2.25,2.5,2.0,2.28,2.28,126825.0,0.0,1.0
2020-09-17,1.6691,2.76,1.6691,2.16,2.16,522485.0,0.0,1.0
2020-09-16,1.85,1.85,1.6197,1.62,1.62,18994.0,0.0,1.0
2020-09-15,1.87,1.87,1.65,1.66,1.66,26286.0,0.0,1.0
2020-09-14,1.88,1.88,1.52,1.7101,1.7101,3504.0,0.0,1.0
2020-09-11,1.55,1.85,1.43,1.7,1.7,53019.0,0.0,1.0
2020-09-10,1.54,1.606,1.4888,1.5319,1.5319,73653.0,0.0,1.0
2020-09-09,1.61,1.63,1.52,1.565,1.565,42014.0,0.0,1.0
2020-09-08,1.5,1.7,1.44,1.605,1.605,40919.0,0.0,1.0
2020-09-04,1.58,1.58,1.4,1.497,1.497,41880.0,0.0,1.0
2020-09-03,1.4,1.5,1.34,1.5,1.5,38062.0,0.0,1.0
2020-09-02,1.25,1.6,1.25,1.4,1.4,90927.0,0.0,1.0
2020-09-01,1.3,1.33,1.2,1.25,1.25,47609.0,0.0,1.0
2020-08-31,1.22,1.25,1.18,1.19,1.19,125335.0,0.0,1.0
2020-08-28,1.3,1.3,1.15,1.26,1.26,112148.0,0.0,1.0
2020-08-27,1.42,1.4788,1.31,1.31,1.31,74630.0,0.0,1.0
2020-08-26,1.4,1.459,1.4,1.4,1.4,24587.0,0.0,1.0
2020-08-25,1.42,1.42,1.3,1.3,1.3,1500.0,0.0,1.0
2020-08-24,1.25,1.3507,1.24,1.35,1.35,2201.0,0.0,1.0
2020-08-21,1.22,1.39,1.21,1.36,1.36,14500.0,0.0,1.0
2020-08-20,1.25,1.25,1.22,1.235,1.235,1230.0,0.0,1.0
2020-08-19,1.38,1.39,1.2,1.246,1.246,46969.0,0.0,1.0
2020-08-18,1.32,1.365,1.25,1.25,1.25,61730.0,0.0,1.0
2020-08-17,1.31,1.39,1.25,1.36,1.36,102263.0,0.0,1.0
2020-08-14,1.3,1.36,1.3,1.31,1.31,12635.0,0.0,1.0
2020-08-13,1.271,1.33,1.26,1.26,1.26,12960.0,0.0,1.0
2020-08-12,1.27,1.33,1.26,1.33,1.33,1449.0,0.0,1.0
2020-08-11,1.38,1.38,1.25,1.3,1.3,20634.0,0.0,1.0
2020-08-10,1.43,1.43,1.36,1.3614,1.3614,25224.0,0.0,1.0
2020-08-07,1.3502,1.42,1.35,1.4,1.4,15510.0,0.0,1.0
2020-08-06,1.32,1.5,1.32,1.4,1.4,8810.0,0.0,1.0
2020-08-05,1.51,1.51,1.36,1.45,1.45,32851.0,0.0,1.0
2020-08-04,1.42,1.53,1.4,1.4,1.4,10200.0,0.0,1.0
2020-08-03,1.6,1.6,1.36,1.4,1.4,63544.0,0.0,1.0
2020-07-31,1.61,1.6101,1.4,1.5,1.5,35079.0,0.0,1.0
2020-07-30,1.7,1.7,1.6,1.61,1.61,10580.0,0.0,1.0
2020-07-29,1.8,1.8,1.7,1.7,1.7,17630.0,0.0,1.0
2020-07-28,1.78,1.78,1.72,1.7399,1.7399,26286.0,0.0,1.0
2020-07-27,1.77,1.85,1.77,1.85,1.85,37109.0,0.0,1.0
2020-07-24,1.75,1.8,1.72,1.7999,1.7999,10640.0,0.0,1.0
2020-07-23,1.85,1.85,1.7,1.79,1.79,29910.0,0.0,1.0
2020-07-22,1.79,1.8,1.61,1.7911,1.7911,22800.0,0.0,1.0
2020-07-21,1.8,1.85,1.78,1.85,1.85,25000.0,0.0,1.0
2020-07-20,1.9,1.9,1.87,1.8886,1.8886,10300.0,0.0,1.0
2020-07-17,1.74,1.85,1.74,1.85,1.85,11100.0,0.0,1.0
2020-07-16,1.93,1.93,1.73,1.73,1.73,5900.0,0.0,1.0
2020-07-15,1.8,1.95,1.7,1.7,1.7,99100.0,0.0,1.0
2020-07-14,1.9748,1.9748,1.8273,1.8273,1.8273,21500.0,0.0,1.0
2020-07-13,1.85,2.15,1.85,1.88,1.88,92000.0,0.0,1.0
2020-07-10,1.85,2.0,1.8,1.83,1.83,76600.0,0.0,1.0
2020-07-09,1.706,1.85,1.7,1.84,1.84,55800.0,0.0,1.0
2020-07-08,1.6,1.7,1.5,1.66,1.66,14800.0,0.0,1.0
2020-07-07,1.95,1.95,1.645,1.7,1.7,4300.0,0.0,1.0
2020-07-06,1.6,1.96,1.6,1.93,1.93,12200.0,0.0,1.0
2020-07-02,1.99,1.99,1.77,1.9209,1.9209,2144.0,0.0,1.0
2020-07-01,1.53,1.85,1.53,1.85,1.85,959028.0,0.0,1.0
2020-06-30,1.5,1.9899,1.4921,1.7,1.7,229416.0,0.0,1.0
2020-06-29,1.5,1.55,1.49,1.5,1.5,69526.0,0.0,1.0
2020-06-26,1.5,1.5,1.4901,1.495,1.495,9054.0,0.0,1.0
2020-06-25,1.5,1.52,1.49,1.49,1.49,1450.0,0.0,1.0
2020-06-24,1.6,1.6,1.4777,1.53,1.53,15446.0,0.0,1.0
2020-06-23,1.53,1.62,1.53,1.61,1.61,20802.0,0.0,1.0
2020-06-22,1.6199,1.6199,1.54,1.55,1.55,6596.0,0.0,1.0
2020-06-19,1.6099,1.62,1.6,1.6001,1.6001,14633.0,0.0,1.0
2020-06-18,1.6799,1.6799,1.5997,1.61,1.61,16280.0,0.0,1.0
2020-06-17,1.7,1.845,1.59,1.68,1.68,81480.0,0.0,1.0
2020-06-16,1.7,1.7,1.63,1.7,1.7,3372.0,0.0,1.0
2020-06-15,1.635,1.635,1.49,1.49,1.49,2150.0,0.0,1.0
2020-06-12,1.56,1.65,1.362,1.53,1.53,18960.0,0.0,1.0
2020-06-11,1.595,1.69,1.5501,1.65,1.65,109610.0,0.0,1.0
2020-06-10,1.7,1.71,1.61,1.64,1.64,46522.0,0.0,1.0
2020-06-09,1.69,1.75,1.54,1.65,1.65,82172.0,0.0,1.0
2020-06-08,1.56,1.65,1.56,1.65,1.65,627123.0,0.0,1.0
2020-06-05,1.43,1.5,1.43,1.5,1.5,429030.0,0.0,1.0
2020-06-04,1.42,1.4201,1.42,1.4201,1.4201,1501.0,0.0,1.0
