date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.18,1.2,1.15,1.2,1.2,550402.0,0.0,1.0
2021-04-15,1.27,1.28,1.19,1.2,1.2,805996.0,0.0,1.0
2021-04-14,1.24,1.27,1.23,1.25,1.25,563910.0,0.0,1.0
2021-04-13,1.26,1.29,1.19,1.25,1.25,812776.0,0.0,1.0
2021-04-12,1.33,1.34,1.24,1.27,1.27,695314.0,0.0,1.0
2021-04-09,1.36,1.38,1.31,1.35,1.35,798918.0,0.0,1.0
2021-04-08,1.36,1.41,1.35,1.38,1.38,1341028.0,0.0,1.0
2021-04-07,1.29,1.345,1.26,1.33,1.33,1270445.0,0.0,1.0
2021-04-06,1.31,1.35,1.2894,1.3,1.3,698540.0,0.0,1.0
2021-04-05,1.3,1.3599,1.25,1.3,1.3,928124.0,0.0,1.0
2021-04-01,1.29,1.33,1.27,1.28,1.28,1323925.0,0.0,1.0
2021-03-31,1.32,1.375,1.268,1.29,1.29,1006282.0,0.0,1.0
2021-03-30,1.28,1.38,1.28,1.31,1.31,622956.0,0.0,1.0
2021-03-29,1.43,1.48,1.3,1.31,1.31,2289140.0,0.0,1.0
2021-03-26,1.6,1.61,1.485,1.49,1.49,558096.0,0.0,1.0
2021-03-25,1.55,1.61,1.44,1.6,1.6,2174881.0,0.0,1.0
2021-03-24,1.55,1.62,1.495,1.62,1.62,2695481.0,0.0,1.0
2021-03-23,1.68,2.09,1.54,1.55,1.55,18561821.0,0.0,1.0
2021-03-22,1.71,1.71,1.64,1.65,1.65,478043.0,0.0,1.0
2021-03-19,1.68,1.715,1.65,1.67,1.67,599656.0,0.0,1.0
2021-03-18,1.67,1.79,1.65,1.67,1.67,955780.0,0.0,1.0
2021-03-17,1.61,1.69,1.595,1.66,1.66,733110.0,0.0,1.0
2021-03-16,1.68,1.6999,1.6,1.63,1.63,576266.0,0.0,1.0
2021-03-15,1.64,1.73,1.61,1.64,1.64,705204.0,0.0,1.0
2021-03-12,1.56,1.665,1.54,1.62,1.62,1044138.0,0.0,1.0
2021-03-11,1.63,1.68,1.58,1.6,1.6,866871.0,0.0,1.0
2021-03-10,1.55,1.64,1.55,1.59,1.59,827273.0,0.0,1.0
2021-03-09,1.54,1.62,1.54,1.58,1.58,584491.0,0.0,1.0
2021-03-08,1.47,1.555,1.4413,1.5,1.5,711828.0,0.0,1.0
2021-03-05,1.48,1.51,1.25,1.47,1.47,3845138.0,0.0,1.0
2021-03-04,1.68,1.685,1.48,1.55,1.55,1727115.0,0.0,1.0
2021-03-03,1.74,1.785,1.6,1.7,1.7,1433233.0,0.0,1.0
2021-03-02,1.76,1.81,1.72,1.74,1.74,602130.0,0.0,1.0
2021-03-01,1.8,1.82,1.73,1.76,1.76,512049.0,0.0,1.0
2021-02-26,1.77,1.82,1.71,1.78,1.78,700695.0,0.0,1.0
2021-02-25,1.83,1.89,1.73,1.77,1.77,1671720.0,0.0,1.0
2021-02-24,1.81,1.92,1.805,1.82,1.82,818252.0,0.0,1.0
2021-02-23,1.9,1.91,1.71,1.78,1.78,2724646.0,0.0,1.0
2021-02-22,1.94,2.0201,1.92,1.94,1.94,1113090.0,0.0,1.0
2021-02-19,1.97,2.12,1.95,1.97,1.97,1700277.0,0.0,1.0
2021-02-18,1.92,2.0299,1.87,1.94,1.94,1969252.0,0.0,1.0
2021-02-17,2.05,2.055,1.86,1.93,1.93,1600655.0,0.0,1.0
2021-02-16,2.05,2.085,1.94,2.06,2.06,1959109.0,0.0,1.0
2021-02-12,1.97,2.0822,1.92,2.03,2.03,1830348.0,0.0,1.0
2021-02-11,2.01,2.075,1.91,2.01,2.01,3598419.0,0.0,1.0
2021-02-10,1.81,2.15,1.72,2.0,2.0,6545853.0,0.0,1.0
2021-02-09,1.72,1.86,1.7,1.78,1.78,2776393.0,0.0,1.0
2021-02-08,1.64,1.71,1.58,1.69,1.69,2326236.0,0.0,1.0
2021-02-05,1.61,1.63,1.56,1.63,1.63,1709544.0,0.0,1.0
2021-02-04,1.53,1.63,1.52,1.63,1.63,1926514.0,0.0,1.0
2021-02-03,1.47,1.54,1.45,1.52,1.52,1675782.0,0.0,1.0
2021-02-02,1.49,1.5,1.38,1.49,1.49,2228896.0,0.0,1.0
2021-02-01,1.49,1.55,1.4,1.46,1.46,3833144.0,0.0,1.0
2021-01-29,1.29,1.5802,1.26,1.51,1.51,10347242.0,0.0,1.0
2021-01-28,1.19,1.27,1.19,1.25,1.25,1035544.0,0.0,1.0
2021-01-27,1.25,1.275,1.17,1.21,1.21,1970944.0,0.0,1.0
2021-01-26,1.31,1.31,1.27,1.3,1.3,1366479.0,0.0,1.0
2021-01-25,1.3,1.31,1.23,1.29,1.29,1227276.0,0.0,1.0
2021-01-22,1.29,1.32,1.26,1.27,1.27,1383087.0,0.0,1.0
2021-01-21,1.37,1.39,1.3,1.31,1.31,1331609.0,0.0,1.0
2021-01-20,1.26,1.37,1.26,1.34,1.34,3040296.0,0.0,1.0
2021-01-19,1.24,1.29,1.215,1.27,1.27,2339564.0,0.0,1.0
2021-01-15,1.21,1.22,1.19,1.2,1.2,1085876.0,0.0,1.0
2021-01-14,1.2,1.25,1.18,1.22,1.22,1881125.0,0.0,1.0
2021-01-13,1.2,1.21,1.16,1.18,1.18,2030800.0,0.0,1.0
2021-01-12,1.18,1.23,1.14,1.2,1.2,2233611.0,0.0,1.0
2021-01-11,1.12,1.19,1.08,1.18,1.18,3072425.0,0.0,1.0
2021-01-08,1.14,1.14,1.08,1.12,1.12,1389606.0,0.0,1.0
2021-01-07,1.12,1.14,1.06,1.13,1.13,1653428.0,0.0,1.0
2021-01-06,1.1331,1.19,1.06,1.1,1.1,4959433.0,0.0,1.0
2021-01-05,1.05,1.07,1.0,1.07,1.07,6181551.0,0.0,1.0
2021-01-04,0.9951,1.07,0.972,1.05,1.05,5608754.0,0.0,1.0
2020-12-31,1.0,1.0,0.9602,0.98,0.98,879849.0,0.0,1.0
2020-12-30,0.9696,1.02,0.9681,0.99,0.99,1383127.0,0.0,1.0
2020-12-29,1.01,1.02,0.96,0.96,0.96,2083839.0,0.0,1.0
2020-12-28,1.05,1.07,1.01,1.02,1.02,1914343.0,0.0,1.0
2020-12-24,1.09,1.09,1.04,1.05,1.05,892926.0,0.0,1.0
2020-12-23,1.03,1.12,1.01,1.06,1.06,4000513.0,0.0,1.0
2020-12-22,1.05,1.06,1.01,1.03,1.03,1884059.0,0.0,1.0
2020-12-21,1.0,1.08,1.0,1.04,1.04,4373179.0,0.0,1.0
2020-12-18,1.0,1.03,1.0,1.0,1.0,2412745.0,0.0,1.0
2020-12-17,1.04,1.05,1.01,1.03,1.03,2559302.0,0.0,1.0
2020-12-16,1.08,1.08,1.01,1.05,1.05,4802208.0,0.0,1.0
2020-12-15,1.21,1.22,1.13,1.14,1.14,4932020.0,0.0,1.0
2020-12-14,1.22,1.25,1.13,1.2,1.2,19505105.0,0.0,1.0
2020-12-11,2.2,2.29,2.1,2.25,2.25,11109529.0,0.0,1.0
2020-12-10,1.99,2.28,1.98,2.22,2.22,2349402.0,0.0,1.0
2020-12-09,2.3,2.31,1.9,2.06,2.06,4146282.0,0.0,1.0
2020-12-08,1.75,2.15,1.71,2.0,2.0,4984896.0,0.0,1.0
2020-12-07,1.81,1.82,1.66,1.72,1.72,824867.0,0.0,1.0
2020-12-04,1.76,1.8,1.73,1.79,1.79,347081.0,0.0,1.0
2020-12-03,1.78,1.8,1.74,1.75,1.75,644342.0,0.0,1.0
2020-12-02,1.68,1.78,1.625,1.73,1.73,627983.0,0.0,1.0
2020-12-01,1.73,1.8,1.6271,1.7,1.7,1382557.0,0.0,1.0
2020-11-30,1.64,1.73,1.63,1.71,1.71,593115.0,0.0,1.0
2020-11-27,1.59,1.63,1.59,1.62,1.62,238421.0,0.0,1.0
2020-11-25,1.55,1.61,1.5477,1.56,1.56,229051.0,0.0,1.0
2020-11-24,1.64,1.65,1.5,1.53,1.53,755404.0,0.0,1.0
2020-11-23,1.58,1.679,1.55,1.63,1.63,706737.0,0.0,1.0
2020-11-20,1.62,1.6694,1.5411,1.57,1.57,888024.0,0.0,1.0
2020-11-19,1.78,1.7889,1.54,1.65,1.65,2017496.0,0.0,1.0
2020-11-18,1.8,1.86,1.735,1.77,1.77,1061087.0,0.0,1.0
2020-11-17,1.76,1.92,1.67,1.83,1.83,1413697.0,0.0,1.0
2020-11-16,1.65,1.89,1.53,1.85,1.85,3368785.0,0.0,1.0
2020-11-13,1.38,1.69,1.3717,1.68,1.68,3765438.0,0.0,1.0
2020-11-12,1.35,1.39,1.31,1.39,1.39,1235298.0,0.0,1.0
2020-11-11,1.28,1.39,1.24,1.35,1.35,2502647.0,0.0,1.0
2020-11-10,1.26,1.33,1.24,1.27,1.27,731461.0,0.0,1.0
2020-11-09,1.27,1.41,1.25,1.38,1.38,836006.0,0.0,1.0
2020-11-06,1.26,1.3,1.23,1.3,1.3,248189.0,0.0,1.0
2020-11-05,1.31,1.31,1.24,1.26,1.26,488462.0,0.0,1.0
2020-11-04,1.25,1.32,1.241,1.31,1.31,454304.0,0.0,1.0
2020-11-03,1.23,1.28,1.22,1.27,1.27,258683.0,0.0,1.0
2020-11-02,1.28,1.3,1.23,1.25,1.25,205362.0,0.0,1.0
2020-10-30,1.3,1.35,1.28,1.34,1.34,455929.0,0.0,1.0
2020-10-29,1.27,1.36,1.22,1.34,1.34,1090790.0,0.0,1.0
2020-10-28,1.26,1.3,1.2,1.3,1.3,1664573.0,0.0,1.0
2020-10-27,1.3,1.367,1.25,1.3,1.3,2789026.0,0.0,1.0
2020-10-26,1.34,1.355,1.25,1.28,1.28,3454754.0,0.0,1.0
2020-10-23,1.32,1.365,1.3,1.34,1.34,634580.0,0.0,1.0
2020-10-22,1.29,1.36,1.22,1.33,1.33,667895.0,0.0,1.0
2020-10-21,1.37,1.37,1.28,1.29,1.29,488234.0,0.0,1.0
2020-10-20,1.4,1.4217,1.33,1.34,1.34,736739.0,0.0,1.0
2020-10-19,1.4,1.41,1.36,1.36,1.36,364675.0,0.0,1.0
2020-10-16,1.38,1.42,1.36,1.36,1.36,657564.0,0.0,1.0
2020-10-15,1.39,1.43,1.34,1.36,1.36,1321341.0,0.0,1.0
2020-10-14,1.44,1.47,1.38,1.39,1.39,618413.0,0.0,1.0
2020-10-13,1.41,1.525,1.4,1.47,1.47,1416367.0,0.0,1.0
2020-10-12,1.44,1.44,1.4,1.4,1.4,314281.0,0.0,1.0
2020-10-09,1.41,1.43,1.33,1.4,1.4,506139.0,0.0,1.0
2020-10-08,1.4,1.44,1.38,1.42,1.42,350269.0,0.0,1.0
2020-10-07,1.4,1.45,1.39,1.39,1.39,473067.0,0.0,1.0
2020-10-06,1.48,1.51,1.375,1.41,1.41,1055120.0,0.0,1.0
2020-10-05,1.5,1.54,1.47,1.49,1.49,611769.0,0.0,1.0
2020-10-02,1.46,1.5,1.4,1.46,1.46,651861.0,0.0,1.0
