date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,33.71,34.0,32.76,33.54,33.54,1676585.0,0.0,1.0
2021-04-15,33.97,34.35,33.41,33.86,33.86,719717.0,0.0,1.0
2021-04-14,34.43,35.06,32.86,33.42,33.42,540372.0,0.0,1.0
2021-04-13,34.41,35.05,34.1,34.51,34.51,877617.0,0.0,1.0
2021-04-12,33.6,33.9929,32.41,33.83,33.83,572867.0,0.0,1.0
2021-04-09,33.35,34.07,32.9,33.9,33.9,606362.0,0.0,1.0
2021-04-08,33.48,33.73,32.47,33.3,33.3,1000658.0,0.0,1.0
2021-04-07,33.65,33.98,32.51,33.08,33.08,1046406.0,0.0,1.0
2021-04-06,32.0,33.66,31.6764,33.46,33.46,958430.0,0.0,1.0
2021-04-05,31.13,32.19,30.25,32.13,32.13,1026103.0,0.0,1.0
2021-04-01,29.5,30.86,29.34,30.81,30.81,1190557.0,0.0,1.0
2021-03-31,27.46,28.87,27.26,28.58,28.58,1302838.0,0.0,1.0
2021-03-30,25.85,27.305,25.41,27.28,27.28,1611178.0,0.0,1.0
2021-03-29,27.54,27.54,26.0601,26.16,26.16,1326501.0,0.0,1.0
2021-03-26,27.64,28.1,25.8,27.39,27.39,1593400.0,0.0,1.0
2021-03-25,27.38,27.91,26.36,27.66,27.66,1869695.0,0.0,1.0
2021-03-24,29.31,29.4499,27.75,28.13,28.13,1484035.0,0.0,1.0
2021-03-23,30.04,30.2772,29.1,29.44,29.44,1685335.0,0.0,1.0
2021-03-22,29.63,30.74,29.63,29.95,29.95,1758213.0,0.0,1.0
2021-03-19,30.03,30.38,28.66,29.5,29.5,5044214.0,0.0,1.0
2021-03-18,32.17,32.99,30.2,30.32,30.32,2109433.0,0.0,1.0
2021-03-17,33.0,33.85,31.45,33.03,33.03,2315911.0,0.0,1.0
2021-03-16,32.75,33.59,32.49,33.34,33.34,1512408.0,0.0,1.0
2021-03-15,32.0,33.4899,31.8923,32.7,32.7,2236736.0,0.0,1.0
2021-03-12,32.69,32.88,31.4,32.17,32.17,1913791.0,0.0,1.0
2021-03-11,35.83,36.19,33.05,33.94,33.94,2369607.0,0.0,1.0
2021-03-10,33.25,34.35,31.91,31.92,31.92,1579603.0,0.0,1.0
2021-03-09,30.64,33.3,30.64,32.83,32.83,1386869.0,0.0,1.0
2021-03-08,30.17,32.3,28.945,29.67,29.67,1687828.0,0.0,1.0
2021-03-05,31.41,31.41,26.72,30.71,30.71,2688557.0,0.0,1.0
2021-03-04,31.72,32.96,29.29,30.56,30.56,1755132.0,0.0,1.0
2021-03-03,35.29,35.29,32.09,32.29,32.29,1225817.0,0.0,1.0
2021-03-02,37.22,37.61,34.78,35.13,35.13,898861.0,0.0,1.0
2021-03-01,35.57,37.06,35.39,36.97,36.97,746762.0,0.0,1.0
2021-02-26,34.5,35.08,33.45,34.63,34.63,1110081.0,0.0,1.0
