date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,3.12,3.12,2.91,3.01,3.01,296214.0,0.0,1.0
2021-04-15,3.16,3.2,3.0,3.09,3.09,238626.0,0.0,1.0
2021-04-14,3.07,3.26,3.0601,3.15,3.15,284902.0,0.0,1.0
2021-04-13,3.03,3.14,3.0,3.05,3.05,230168.0,0.0,1.0
2021-04-12,3.34,3.37,3.01,3.07,3.07,525529.0,0.0,1.0
2021-04-09,3.5,3.5,3.265,3.35,3.35,350457.0,0.0,1.0
2021-04-08,3.42,3.53,3.37,3.49,3.49,370751.0,0.0,1.0
2021-04-07,3.61,3.71,3.4,3.42,3.42,700838.0,0.0,1.0
2021-04-06,3.41,3.65,3.41,3.57,3.57,413043.0,0.0,1.0
2021-04-05,3.4035,3.5,3.36,3.45,3.45,376409.0,0.0,1.0
2021-04-01,3.4,3.48,3.29,3.35,3.35,431427.0,0.0,1.0
2021-03-31,3.3,3.39,3.21,3.35,3.35,1607354.0,0.0,1.0
2021-03-30,3.38,3.454,3.25,3.25,3.25,1456448.0,0.0,1.0
2021-03-29,3.5535,3.68,3.28,3.49,3.49,856164.0,0.0,1.0
2021-03-26,3.67,3.88,3.51,3.64,3.64,551739.0,0.0,1.0
2021-03-25,3.48,3.85,3.41,3.65,3.65,696455.0,0.0,1.0
2021-03-24,3.86,3.94,3.51,3.59,3.59,867914.0,0.0,1.0
2021-03-23,4.02,4.1,3.84,3.86,3.86,855962.0,0.0,1.0
2021-03-22,4.01,4.1599,3.77,4.1,4.1,1645985.0,0.0,1.0
2021-03-19,4.17,4.23,3.85,4.12,4.12,1620326.0,0.0,1.0
2021-03-18,4.01,4.74,3.88,4.17,4.17,13569569.0,0.0,1.0
2021-03-17,4.0,4.15,3.7601,4.0,4.0,943425.0,0.0,1.0
2021-03-16,4.13,4.13,3.65,3.82,3.82,663686.0,0.0,1.0
2021-03-15,4.08,4.1407,3.89,4.05,4.05,716605.0,0.0,1.0
2021-03-12,3.87,4.1999,3.81,4.1,4.1,1111425.0,0.0,1.0
2021-03-11,3.81,3.95,3.56,3.88,3.88,1374006.0,0.0,1.0
2021-03-10,3.7,3.77,3.5524,3.75,3.75,721155.0,0.0,1.0
2021-03-09,3.45,3.81,3.35,3.68,3.68,1519440.0,0.0,1.0
2021-03-08,3.45,3.59,3.2,3.35,3.35,1144394.0,0.0,1.0
2021-03-05,3.4,3.47,2.99,3.42,3.42,2345795.0,0.0,1.0
2021-03-04,3.9,3.9,3.22,3.31,3.31,4176542.0,0.0,1.0
2021-03-03,4.0,4.0,3.47,3.9,3.9,9122008.0,0.0,1.0
2021-03-02,5.03,5.16,4.3001,4.31,4.31,2748044.0,0.0,1.0
2021-03-01,6.47,6.75,5.06,5.25,5.25,52354350.0,0.0,1.0
