date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,75.97,77.57,75.97,77.3,77.3,126229.0,0.0,1.0
2021-04-15,75.93,75.93,74.5,75.21,75.21,48358.0,0.0,1.0
2021-04-14,75.26,75.95,75.064,75.22,75.22,69708.0,0.0,1.0
2021-04-13,76.39,76.47,74.63,75.0,75.0,102505.0,0.0,1.0
2021-04-12,75.86,76.74,75.175,76.46,76.46,64376.0,0.0,1.0
2021-04-09,75.33,76.05,74.98,75.86,75.86,79199.0,0.0,1.0
2021-04-08,75.37,75.37,74.5,75.1,75.1,109451.0,0.0,1.0
2021-04-07,77.23,77.7,74.51,75.13,75.13,97413.0,0.0,1.0
2021-04-06,77.6,79.62,77.14,77.21,77.21,83722.0,0.0,1.0
2021-04-05,78.28,78.71,76.9,77.82,77.82,144926.0,0.0,1.0
2021-04-01,75.61,77.2693,75.17,77.0,77.0,126791.0,0.0,1.0
2021-03-31,77.3,78.45,74.53,75.42,75.42,201418.0,0.0,1.0
2021-03-30,73.69,77.15,73.67,76.94,76.94,189457.0,0.0,1.0
2021-03-29,75.15,78.76,73.57,73.66,73.66,157544.0,0.0,1.0
2021-03-26,71.58,76.5163,71.58,76.29,76.29,424786.0,0.0,1.0
2021-03-25,68.09,70.71,67.215,70.65,70.65,114730.0,0.0,1.0
2021-03-24,70.06,71.99,68.73,68.84,68.84,95065.0,0.0,1.0
2021-03-23,70.86,71.265,68.955,69.17,69.17,125619.0,0.0,1.0
2021-03-22,71.89,72.69,70.83,71.64,71.64,97159.0,0.0,1.0
2021-03-19,73.54,73.96,70.73,71.74,71.74,296484.0,0.0,1.0
2021-03-18,75.41,77.59,73.81,74.35,74.35,104458.0,0.0,1.0
2021-03-17,75.66,75.97,74.62,75.68,75.68,76972.0,0.0,1.0
2021-03-16,77.23,77.37,75.6,75.9,75.9,128421.0,0.0,1.0
2021-03-15,76.83,77.72,75.851,77.23,77.23,163623.0,0.0,1.0
2021-03-12,75.0,77.375,74.26,77.17,77.17,118106.0,0.0,1.0
2021-03-11,75.27,75.42,73.26,75.0,75.0,136223.0,0.0,1.0
