date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.82,2.01,1.64,1.82,1.82,535028.0,0.0,1.0
2021-04-15,2.39,2.4,1.72,1.88,1.88,503872.0,0.0,1.0
2021-04-14,2.61,2.6199,2.3,2.32,2.32,215230.0,0.0,1.0
2021-04-13,2.38,2.69,2.26,2.3899,2.3899,535994.0,0.0,1.0
2021-04-12,1.64,2.97,1.64,2.6777,2.6777,2567951.0,0.0,1.0
2021-04-09,1.39,1.73,1.33,1.67,1.67,554646.0,0.0,1.0
2021-04-08,1.23,1.49,1.11,1.4,1.4,1361425.0,0.0,1.0
2021-04-07,1.04,1.2,1.0396,1.15,1.15,252765.0,0.0,1.0
2021-04-06,1.04,1.09,1.01,1.0421,1.0421,68211.0,0.0,1.0
2021-04-05,1.02,1.1,1.0,1.07,1.07,128117.0,0.0,1.0
2021-04-01,0.95,1.13,0.95,1.03,1.03,144129.0,0.0,1.0
2021-03-31,0.9099,0.95,0.87,0.95,0.95,32129.0,0.0,1.0
2021-03-30,0.89,0.99,0.861,0.92,0.92,89121.0,0.0,1.0
2021-03-29,0.91,1.0,0.89,0.94,0.94,91449.0,0.0,1.0
2021-03-26,1.26,1.4,0.921,0.932,0.932,977582.0,0.0,1.0
2021-03-25,0.8501,0.94,0.85,0.93,0.93,48713.0,0.0,1.0
2021-03-24,0.894949,0.9199,0.85,0.8651,0.8651,92411.0,0.0,1.0
2021-03-23,0.935,0.9599,0.85,0.857596,0.857596,80571.0,0.0,1.0
2021-03-22,0.991,0.991,0.91,0.925,0.925,68166.0,0.0,1.0
2021-03-19,1.03,1.03,0.961101,0.989899,0.989899,118228.0,0.0,1.0
2021-03-18,1.09,1.09,0.951,0.951,0.951,89162.0,0.0,1.0
2021-03-17,0.96,1.09,0.850001,1.0399,1.0399,97927.0,0.0,1.0
2021-03-16,0.9801,1.02,0.96,0.9976,0.9976,79157.0,0.0,1.0
2021-03-15,1.0,1.1,0.979751,1.02,1.02,480503.0,0.0,1.0
2021-03-12,0.9,1.09,0.9,1.0279,1.0279,315601.0,0.0,1.0
2021-03-11,0.919,0.95,0.889508,0.905001,0.905001,188590.0,0.0,1.0
2021-03-10,0.85,0.88,0.7991,0.84,0.84,260748.0,0.0,1.0
2021-03-09,0.7556,0.89,0.7556,0.85,0.85,81025.0,0.0,1.0
2021-03-08,0.7,0.85,0.7,0.78,0.78,59499.0,0.0,1.0
2021-03-05,0.717,0.8543,0.55,0.7899,0.7899,243523.0,0.0,1.0
2021-03-04,0.8,0.8,0.65,0.700201,0.700201,283490.0,0.0,1.0
2021-03-03,0.85,0.88495,0.803,0.809801,0.809801,71553.0,0.0,1.0
2021-03-02,0.904999,0.9499,0.841,0.841,0.841,70584.0,0.0,1.0
2021-03-01,0.8484,0.92,0.8,0.84,0.84,134075.0,0.0,1.0
2021-02-26,0.73,0.8199,0.73,0.7846,0.7846,67480.0,0.0,1.0
2021-02-25,0.9799,0.9799,0.7531,0.7861,0.7861,75246.0,0.0,1.0
2021-02-24,0.86,0.9099,0.81,0.8702,0.8702,70996.0,0.0,1.0
2021-02-23,0.8699,0.87,0.7002,0.85,0.85,148595.0,0.0,1.0
2021-02-22,0.9,0.9999,0.75,0.9403,0.9403,282778.0,0.0,1.0
2021-02-19,1.0,1.0,0.6973,0.8399,0.8399,712786.0,0.0,1.0
2021-02-18,1.14,1.15,1.05,1.05,1.05,210375.0,0.0,1.0
2021-02-17,1.2,1.2,1.0,1.1,1.1,295844.0,0.0,1.0
2021-02-16,1.09,1.25,0.9401,1.01,1.01,554203.0,0.0,1.0
2021-02-12,0.9199,1.08,0.8701,0.9773,0.9773,240924.0,0.0,1.0
2021-02-11,0.96,1.0,0.853,0.853,0.853,523070.0,0.0,1.0
2021-02-10,0.96,0.96,0.7077,0.83,0.83,725148.0,0.0,1.0
2021-02-09,0.6499,0.69,0.6199,0.69,0.69,291403.0,0.0,1.0
2021-02-08,0.69,0.69,0.6,0.6012,0.6012,283399.0,0.0,1.0
2021-02-05,0.59,0.707694,0.59,0.63,0.63,402056.0,0.0,1.0
2021-02-04,0.5,0.59,0.4899,0.57,0.57,510533.0,0.0,1.0
2021-02-03,0.4692,0.51,0.42,0.4899,0.4899,601746.0,0.0,1.0
2021-02-02,0.47,0.52,0.4206,0.44,0.44,420826.0,0.0,1.0
2021-02-01,0.43,0.52,0.3906,0.4768,0.4768,293574.0,0.0,1.0
2021-01-29,0.420001,0.45,0.3806,0.3901,0.3901,115590.0,0.0,1.0
2021-01-28,0.4,0.509899,0.3981,0.419876,0.419876,141051.0,0.0,1.0
2021-01-27,0.44,0.5004,0.4004,0.415,0.415,134240.0,0.0,1.0
2021-01-26,0.5197,0.53,0.4427,0.4535,0.4535,165361.0,0.0,1.0
2021-01-25,0.47,0.5355,0.465,0.51,0.51,581440.0,0.0,1.0
2021-01-22,0.439,0.47,0.411,0.4402,0.4402,570461.0,0.0,1.0
2021-01-21,0.44,0.45,0.4,0.4299,0.4299,165683.0,0.0,1.0
2021-01-20,0.4,0.46,0.3882,0.4325,0.4325,662868.0,0.0,1.0
2021-01-19,0.4189,0.4189,0.3506,0.3799,0.3799,122916.0,0.0,1.0
2021-01-15,0.409,0.41,0.385,0.395,0.395,115279.0,0.0,1.0
2021-01-14,0.4124,0.42,0.3622,0.39,0.39,217504.0,0.0,1.0
2021-01-13,0.395001,0.449899,0.355,0.3889,0.3889,451749.0,0.0,1.0
2021-01-12,0.43,0.43,0.36,0.389,0.389,409515.0,0.0,1.0
2021-01-11,0.34,0.429899,0.32,0.425,0.425,426751.0,0.0,1.0
2021-01-08,0.36,0.36,0.32,0.352501,0.352501,220128.0,0.0,1.0
2021-01-07,0.371,0.4,0.35,0.36,0.36,75196.0,0.0,1.0
2021-01-06,0.35,0.42,0.35,0.37,0.37,618529.0,0.0,1.0
2021-01-05,0.33,0.34,0.3,0.3399,0.3399,199024.0,0.0,1.0
2021-01-04,0.3275,0.34,0.2751,0.33,0.33,124317.0,0.0,1.0
2020-12-31,0.325101,0.36,0.3132,0.33,0.33,225296.0,0.0,1.0
2020-12-30,0.33,0.35,0.33,0.3322,0.3322,40269.0,0.0,1.0
2020-12-29,0.3601,0.364451,0.34,0.35,0.35,101820.0,0.0,1.0
2020-12-28,0.38,0.38,0.311,0.375,0.375,107569.0,0.0,1.0
2020-12-24,0.32,0.38,0.288,0.38,0.38,147791.0,0.0,1.0
2020-12-23,0.36,0.37,0.3,0.359999,0.359999,491466.0,0.0,1.0
2020-12-22,0.3301,0.37,0.3,0.3635,0.3635,169725.0,0.0,1.0
2020-12-21,0.2995,0.385,0.2111,0.33,0.33,417142.0,0.0,1.0
2020-12-18,0.375,0.385,0.28,0.329851,0.329851,1105075.0,0.0,1.0
2020-12-17,0.21,0.289,0.21,0.289,0.289,342129.0,0.0,1.0
2020-12-16,0.23,0.235,0.1951,0.22,0.22,227559.0,0.0,1.0
2020-12-15,0.21,0.24,0.204,0.21,0.21,181821.0,0.0,1.0
2020-12-14,0.2,0.2199,0.1901,0.2008,0.2008,333240.0,0.0,1.0
2020-12-11,0.21,0.2198,0.181,0.195,0.195,174845.0,0.0,1.0
2020-12-10,0.19,0.22,0.1753,0.22,0.22,229097.0,0.0,1.0
2020-12-09,0.1934,0.22,0.19,0.19,0.19,288003.0,0.0,1.0
2020-12-08,0.19,0.194,0.1752,0.19,0.19,360404.0,0.0,1.0
2020-12-07,0.1725,0.200101,0.166,0.18,0.18,284235.0,0.0,1.0
2020-12-04,0.1799,0.185,0.165,0.1847,0.1847,120446.0,0.0,1.0
2020-12-03,0.2,0.21,0.13,0.17,0.17,233257.0,0.0,1.0
2020-12-02,0.1797,0.21,0.17,0.19,0.19,213215.0,0.0,1.0
2020-12-01,0.18,0.18,0.1573,0.1797,0.1797,385910.0,0.0,1.0
2020-11-30,0.19,0.2,0.156401,0.18,0.18,357428.0,0.0,1.0
2020-11-27,0.2,0.2,0.1799,0.1999,0.1999,397423.0,0.0,1.0
2020-11-25,0.18,0.19,0.175,0.19,0.19,131152.0,0.0,1.0
2020-11-24,0.1813,0.21,0.18,0.1906,0.1906,98470.0,0.0,1.0
2020-11-23,0.19,0.22,0.1757,0.209999,0.209999,145881.0,0.0,1.0
2020-11-20,0.1802,0.181,0.1701,0.181,0.181,66980.0,0.0,1.0
2020-11-19,0.2,0.2,0.1749,0.195,0.195,38265.0,0.0,1.0
2020-11-18,0.160001,0.193001,0.160001,0.19,0.19,55162.0,0.0,1.0
2020-11-17,0.174,0.176499,0.172,0.1738,0.1738,6358.0,0.0,1.0
2020-11-16,0.18,0.1802,0.15,0.18,0.18,175298.0,0.0,1.0
2020-11-13,0.18,0.1901,0.18,0.19,0.19,101870.0,0.0,1.0
2020-11-12,0.18,0.19,0.18,0.18,0.18,141126.0,0.0,1.0
2020-11-11,0.199,0.2,0.175,0.19,0.19,177984.0,0.0,1.0
2020-11-10,0.15,0.1819,0.15,0.18,0.18,101270.0,0.0,1.0
2020-11-09,0.172,0.172,0.172,0.172,0.172,237208.0,0.0,1.0
2020-11-06,0.178,0.1858,0.1701,0.172,0.172,92789.0,0.0,1.0
2020-11-05,0.18,0.2,0.1701,0.178,0.178,136553.0,0.0,1.0
2020-11-04,0.17,0.18,0.17,0.18,0.18,120922.0,0.0,1.0
2020-11-03,0.2,0.2,0.1612,0.18,0.18,155336.0,0.0,1.0
2020-11-02,0.2049,0.2049,0.1801,0.2049,0.2049,179685.0,0.0,1.0
2020-10-30,0.1991,0.207999,0.1985,0.1985,0.1985,22250.0,0.0,1.0
2020-10-29,0.203899,0.218499,0.1985,0.208,0.208,48180.0,0.0,1.0
2020-10-28,0.2185,0.2185,0.2002,0.2075,0.2075,86142.0,0.0,1.0
2020-10-27,0.2012,0.23,0.2011,0.21,0.21,99010.0,0.0,1.0
2020-10-26,0.24,0.24,0.2001,0.204,0.204,113077.0,0.0,1.0
2020-10-23,0.220499,0.265,0.2197,0.225,0.225,202214.0,0.0,1.0
2020-10-22,0.195,0.24,0.195,0.2105,0.2105,150753.0,0.0,1.0
2020-10-21,0.2407,0.245001,0.193,0.21,0.21,227407.0,0.0,1.0
2020-10-20,0.2295,0.264,0.22,0.25,0.25,173178.0,0.0,1.0
2020-10-19,0.23,0.2395,0.221,0.234799,0.234799,143963.0,0.0,1.0
2020-10-16,0.2,0.23,0.2,0.2077,0.2077,148381.0,0.0,1.0
2020-10-15,0.210049,0.227,0.1911,0.2,0.2,176137.0,0.0,1.0
2020-10-14,0.207,0.249,0.195,0.195,0.195,325411.0,0.0,1.0
2020-10-13,0.2222,0.23,0.21,0.22,0.22,119285.0,0.0,1.0
2020-10-12,0.2505,0.2505,0.22,0.2301,0.2301,230454.0,0.0,1.0
2020-10-09,0.239999,0.24,0.2045,0.2379,0.2379,341216.0,0.0,1.0
2020-10-08,0.2228,0.2481,0.22,0.23,0.23,116868.0,0.0,1.0
2020-10-07,0.25,0.2501,0.2222,0.2434,0.2434,242647.0,0.0,1.0
2020-10-06,0.26,0.27,0.23,0.24,0.24,138067.0,0.0,1.0
2020-10-05,0.28,0.2948,0.265,0.274,0.274,135692.0,0.0,1.0
2020-10-02,0.2554,0.2701,0.2302,0.27,0.27,146838.0,0.0,1.0
2020-10-01,0.25,0.279,0.235,0.2437,0.2437,93090.0,0.0,1.0
2020-09-30,0.27,0.2701,0.2201,0.23,0.23,398210.0,0.0,1.0
2020-09-29,0.2535,0.28,0.2501,0.26,0.26,98045.0,0.0,1.0
2020-09-28,0.3,0.3,0.247,0.26,0.26,29932.0,0.0,1.0
2020-09-25,0.2401,0.279,0.2387,0.265,0.265,124892.0,0.0,1.0
2020-09-24,0.255201,0.277551,0.22,0.253551,0.253551,216864.0,0.0,1.0
2020-09-23,0.271,0.271,0.2551,0.2551,0.2551,74391.0,0.0,1.0
2020-09-22,0.3,0.302,0.2663,0.2851,0.2851,86238.0,0.0,1.0
2020-09-21,0.25,0.33,0.25,0.299699,0.299699,163805.0,0.0,1.0
2020-09-18,0.2659,0.282,0.2531,0.272,0.272,95866.0,0.0,1.0
2020-09-17,0.2644,0.29,0.263,0.2899,0.2899,36329.0,0.0,1.0
2020-09-16,0.29,0.30015,0.27,0.2786,0.2786,51265.0,0.0,1.0
2020-09-15,0.28,0.29,0.2686,0.2724,0.2724,41800.0,0.0,1.0
2020-09-14,0.299,0.329899,0.25,0.2711,0.2711,113222.0,0.0,1.0
2020-09-11,0.29,0.29,0.2521,0.28,0.28,63676.0,0.0,1.0
2020-09-10,0.33,0.33,0.275,0.29,0.29,99953.0,0.0,1.0
2020-09-09,0.2416,0.3298,0.2416,0.31,0.31,247528.0,0.0,1.0
2020-09-08,0.22,0.33,0.22,0.26,0.26,640958.0,0.0,1.0
2020-09-04,0.2011,0.2463,0.2011,0.2198,0.2198,51612.0,0.0,1.0
2020-09-03,0.22,0.2463,0.216301,0.226199,0.226199,91160.0,0.0,1.0
2020-09-02,0.248,0.261699,0.21,0.235,0.235,268976.0,0.0,1.0
2020-09-01,0.24,0.29,0.201,0.2484,0.2484,493235.0,0.0,1.0
2020-08-31,0.2,0.235,0.182,0.2,0.2,196589.0,0.0,1.0
2020-08-28,0.2298,0.24,0.182,0.182,0.182,56051.0,0.0,1.0
2020-08-27,0.19,0.2198,0.1803,0.2198,0.2198,130789.0,0.0,1.0
2020-08-26,0.1941,0.22,0.1802,0.19,0.19,111161.0,0.0,1.0
2020-08-25,0.21,0.22,0.17,0.179199,0.179199,93154.0,0.0,1.0
2020-08-24,0.18,0.22,0.18,0.2099,0.2099,135371.0,0.0,1.0
2020-08-21,0.1987,0.22,0.18,0.198651,0.198651,112039.0,0.0,1.0
2020-08-20,0.18,0.209,0.18,0.195,0.195,102205.0,0.0,1.0
2020-08-19,0.1818,0.1975,0.17,0.17,0.17,26865.0,0.0,1.0
2020-08-18,0.19,0.2,0.1702,0.175,0.175,72481.0,0.0,1.0
2020-08-17,0.1828,0.209799,0.162,0.189,0.189,41700.0,0.0,1.0
2020-08-14,0.19,0.195,0.17,0.1891,0.1891,104887.0,0.0,1.0
2020-08-13,0.1622,0.195,0.16,0.1739,0.1739,51239.0,0.0,1.0
2020-08-12,0.1751,0.1949,0.1751,0.18,0.18,44758.0,0.0,1.0
2020-08-11,0.219999,0.23,0.17165,0.185,0.185,92905.0,0.0,1.0
2020-08-10,0.1618,0.2412,0.1618,0.2099,0.2099,663658.0,0.0,1.0
2020-08-07,0.1518,0.1667,0.1518,0.1608,0.1608,22573.0,0.0,1.0
2020-08-06,0.15,0.17,0.15,0.15,0.15,89117.0,0.0,1.0
2020-08-05,0.1595,0.1595,0.141,0.156751,0.156751,137016.0,0.0,1.0
2020-08-04,0.1675,0.174899,0.1455,0.1499,0.1499,53720.0,0.0,1.0
2020-08-03,0.1789,0.18,0.15,0.153899,0.153899,61151.0,0.0,1.0
2020-07-31,0.179,0.179,0.141201,0.1597,0.1597,87177.0,0.0,1.0
2020-07-30,0.175,0.188099,0.161,0.1698,0.1698,96737.0,0.0,1.0
2020-07-29,0.1989,0.21,0.174201,0.174201,0.174201,91271.0,0.0,1.0
2020-07-28,0.171,0.1998,0.171,0.18,0.18,55765.0,0.0,1.0
2020-07-27,0.181524,0.2,0.1791,0.1812,0.1812,24840.0,0.0,1.0
2020-07-24,0.185999,0.2,0.1735,0.177,0.177,27684.0,0.0,1.0
2020-07-23,0.2,0.230001,0.1703,0.2,0.2,598338.0,0.0,1.0
2020-07-22,0.18,0.185,0.17,0.1725,0.1725,77300.0,0.0,1.0
2020-07-21,0.2,0.2098,0.1716,0.18,0.18,183900.0,0.0,1.0
2020-07-20,0.18,0.2,0.1715,0.189,0.189,87200.0,0.0,1.0
2020-07-17,0.219,0.219,0.173,0.1804,0.1804,149800.0,0.0,1.0
2020-07-16,0.2,0.2184,0.181,0.199899,0.199899,88500.0,0.0,1.0
2020-07-15,0.2109,0.2395,0.1918,0.199899,0.199899,153000.0,0.0,1.0
2020-07-14,0.225,0.25,0.201,0.23,0.23,117500.0,0.0,1.0
2020-07-13,0.26,0.2712,0.22,0.225,0.225,278800.0,0.0,1.0
2020-07-10,0.2791,0.2791,0.23,0.236,0.236,140600.0,0.0,1.0
2020-07-09,0.2394,0.3097,0.2202,0.2799,0.2799,567600.0,0.0,1.0
2020-07-08,0.24,0.2625,0.2005,0.227,0.227,259100.0,0.0,1.0
2020-07-07,0.2499,0.25,0.211,0.2399,0.2399,221000.0,0.0,1.0
2020-07-06,0.265,0.27,0.23,0.2499,0.2499,249400.0,0.0,1.0
2020-07-02,0.27,0.28,0.2202,0.23,0.23,300059.0,0.0,1.0
2020-07-01,0.2601,0.3198,0.2001,0.295,0.295,943362.0,0.0,1.0
2020-06-30,0.5,0.64,0.27,0.3084,0.3084,2742783.0,0.0,1.0
2020-06-29,0.261,0.4,0.18,0.354999,0.354999,3880356.0,0.0,1.0
2020-06-26,0.13,0.13,0.1014,0.11001,0.11001,178033.0,0.0,1.0
2020-06-25,0.135,0.1368,0.12,0.13,0.13,272532.0,0.0,1.0
2020-06-24,0.1421,0.15105,0.1251,0.135,0.135,205203.0,0.0,1.0
2020-06-23,0.1661,0.1787,0.1413,0.145,0.145,168227.0,0.0,1.0
2020-06-22,0.2,0.2,0.1308,0.1355,0.1355,359524.0,0.0,1.0
2020-06-19,0.25,0.3,0.1201,0.1699,0.1699,1448304.0,0.0,1.0
2020-06-18,0.3,0.3,0.13,0.1639,0.1639,2146659.0,0.0,1.0
2020-06-17,0.1003,0.229,0.1,0.2,0.2,2102026.0,0.0,1.0
2020-06-16,0.15,0.15,0.11,0.125,0.125,182431.0,0.0,1.0
2020-06-15,0.1,0.16,0.0999,0.1491,0.1491,258446.0,0.0,1.0
2020-06-12,0.12,0.12,0.075,0.1,0.1,88811.0,0.0,1.0
2020-06-11,0.14,0.14,0.1,0.1003,0.1003,302659.0,0.0,1.0
