date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,11.95,12.0,11.94,11.98,11.98,202721.0,0.0,1.0
2021-04-15,11.98,11.98,11.94,11.96,11.96,188555.0,0.0,1.0
2021-04-14,11.97,11.98,11.94,11.96,11.96,138301.0,0.0,1.0
2021-04-13,11.97,11.99,11.95,11.96,11.96,98503.0,0.0,1.0
2021-04-12,11.95,11.98,11.92,11.97,11.97,141291.0,0.0,1.0
2021-04-09,11.92,11.96,11.92,11.94,11.94,187730.0,0.0,1.0
2021-04-08,11.91,11.95,11.9,11.92,11.92,167541.0,0.0655,1.0
2021-04-07,11.93,11.97,11.93,11.97,11.9045847065,145698.0,0.0,1.0
2021-04-06,11.92,11.95,11.89,11.92,11.8548579534,148484.0,0.0,1.0
2021-04-05,11.94,11.94,11.85,11.91,11.8449126027,207421.0,0.0,1.0
2021-04-01,11.87,11.95,11.86,11.92,11.8548579534,268657.0,0.0,1.0
2021-03-31,11.87,11.87,11.85,11.85,11.7852404989,119466.0,0.0,1.0
2021-03-30,11.84,11.87,11.84,11.85,11.7852404989,135558.0,0.0,1.0
2021-03-29,11.85,11.87,11.84,11.84,11.7752951483,135832.0,0.0,1.0
2021-03-26,11.79,11.85,11.79,11.85,11.7852404989,95582.0,0.0,1.0
2021-03-25,11.81,11.8199,11.74,11.79,11.7255683951,187339.0,0.0,1.0
2021-03-24,11.81,11.84,11.81,11.83,11.7653497977,154292.0,0.0,1.0
2021-03-23,11.83,11.83,11.81,11.81,11.7454590964,82519.0,0.0,1.0
2021-03-22,11.8,11.85,11.8,11.81,11.7454590964,183120.0,0.0,1.0
2021-03-19,11.74,11.81,11.7311,11.8,11.7355137458,219972.0,0.0,1.0
2021-03-18,11.74,11.7799,11.7,11.72,11.6559509407,102581.0,0.0,1.0
2021-03-17,11.75,11.79,11.71,11.77,11.7056776939,144197.0,0.0,1.0
2021-03-16,11.82,11.8401,11.74,11.74,11.675841642,225067.0,0.0,1.0
2021-03-15,11.84,11.85,11.81,11.85,11.7852404989,165061.0,0.0,1.0
2021-03-12,11.84,11.84,11.7801,11.81,11.7454590964,151097.0,0.0,1.0
2021-03-11,11.8,11.87,11.78,11.85,11.7852404989,225106.0,0.0,1.0
2021-03-10,11.72,11.77,11.72,11.76,11.6957323432,145000.0,0.0,1.0
2021-03-09,11.68,11.75,11.665,11.71,11.6460055901,147489.0,0.0,1.0
2021-03-08,11.67,11.7,11.63,11.64,11.5763881357,212722.0,0.0,1.0
2021-03-05,11.73,11.73,11.56,11.67,11.6062241876,272493.0,0.0,1.0
2021-03-04,11.88,11.91,11.66,11.73,11.6658962914,210199.0,0.0655,1.0
2021-03-03,11.91,11.95,11.63,11.91,11.7791382163,323515.0,0.0,1.0
2021-03-02,11.8,11.94,11.76,11.9,11.7692480918,225380.0,0.0,1.0
2021-03-01,11.73,11.82,11.71,11.78,11.6505665985,214848.0,0.0,1.0
2021-02-26,11.6,11.72,11.59,11.68,11.551665354,184247.0,0.0,1.0
2021-02-25,11.91,11.9299,11.58,11.59,11.462654234,250270.0,0.0,1.0
2021-02-24,11.82,11.93,11.82,11.92,11.7890283407,199659.0,0.0,1.0
2021-02-23,11.81,11.87,11.76,11.85,11.7197974696,179518.0,0.0,1.0
2021-02-22,11.89,11.9,11.81,11.84,11.7099073451,238824.0,0.0,1.0
2021-02-19,11.84,11.92,11.8223,11.9,11.7692480918,201294.0,0.0,1.0
2021-02-18,11.81,11.8199,11.77,11.8,11.6703468474,127870.0,0.0,1.0
2021-02-17,11.82,11.88,11.8,11.85,11.7197974696,195269.0,0.0,1.0
2021-02-16,11.89,11.891,11.78,11.81,11.6802369718,191893.0,0.0,1.0
2021-02-12,11.84,11.8863,11.8218,11.86,11.729687594,147090.0,0.0,1.0
2021-02-11,11.87,11.89,11.8249,11.84,11.7099073451,137106.0,0.0,1.0
2021-02-10,11.86,11.91,11.8201,11.89,11.7593579674,176278.0,0.0,1.0
2021-02-09,11.86,11.9,11.83,11.85,11.7197974696,213078.0,0.0,1.0
2021-02-08,11.83,11.87,11.81,11.85,11.7197974696,177295.0,0.0,1.0
2021-02-05,11.75,11.84,11.74,11.83,11.7000172207,340330.0,0.0,1.0
2021-02-04,11.7,11.78,11.7,11.77,11.640676474,129859.0,0.0655,1.0
2021-02-03,11.75,11.82,11.74,11.77,11.576254666,168672.0,0.0,1.0
2021-02-02,11.71,11.82,11.71,11.75,11.5565838849,144891.0,0.0,1.0
2021-02-01,11.69,11.74,11.69,11.71,11.5172423227,162133.0,0.0,1.0
2021-01-29,11.74,11.75,11.67,11.69,11.4975715417,134095.0,0.0,1.0
2021-01-28,11.78,11.82,11.74,11.78,11.5860900565,207607.0,0.0,1.0
2021-01-27,11.71,11.78,11.66,11.77,11.576254666,230540.0,0.0,1.0
2021-01-26,11.73,11.75,11.66,11.73,11.5369131038,185678.0,0.0,1.0
2021-01-25,11.66,11.74,11.62,11.74,11.5467484944,266959.0,0.0,1.0
2021-01-22,11.7,11.72,11.65,11.65,11.4582299795,198694.0,0.0,1.0
2021-01-21,11.66,11.73,11.66,11.72,11.5270777133,169097.0,0.0,1.0
2021-01-20,11.64,11.69,11.63,11.68,11.4877361511,229346.0,0.0,1.0
2021-01-19,11.66,11.71,11.6,11.64,11.4483945889,277204.0,0.0,1.0
2021-01-15,11.66,11.67,11.59,11.65,11.4582299795,225334.0,0.0,1.0
2021-01-14,11.65,11.68,11.62,11.65,11.4582299795,200615.0,0.0,1.0
2021-01-13,11.57,11.68,11.57,11.62,11.4287238079,184696.0,0.0,1.0
2021-01-12,11.64,11.7,11.53,11.58,11.3893822457,277536.0,0.0,1.0
2021-01-11,11.7,11.74,11.63,11.64,11.4483945889,226862.0,0.0,1.0
2021-01-08,11.77,11.78,11.7,11.71,11.5172423227,250351.0,0.0,1.0
2021-01-07,11.75,11.82,11.73,11.81,11.6155962281,666251.0,0.0655,1.0
2021-01-06,11.78,11.85,11.75,11.81,11.5515297423,371518.0,0.0,1.0
2021-01-05,11.8,11.815,11.76,11.78,11.5221863136,289833.0,0.0,1.0
2021-01-04,11.85,11.85,11.72,11.81,11.5515297423,361181.0,0.0,1.0
2020-12-31,11.76,11.79,11.7201,11.77,11.5124051707,188439.0,0.0,1.0
2020-12-30,11.7,11.79,11.7,11.78,11.5221863136,172137.0,0.0,1.0
2020-12-29,11.73,11.74,11.66,11.72,11.4634994563,174966.0,0.0,1.0
2020-12-28,11.68,11.72,11.66,11.72,11.4634994563,244907.0,0.0,1.0
2020-12-24,11.69,11.71,11.65,11.69,11.4341560277,76622.0,0.0,1.0
2020-12-23,11.6,11.7,11.6,11.69,11.4341560277,209866.0,0.0,1.0
2020-12-22,11.67,11.68,11.57,11.6,11.3461257418,180378.0,0.0,1.0
2020-12-21,11.66,11.7,11.6,11.67,11.4145937419,211799.0,0.0,1.0
2020-12-18,11.73,11.75,11.67,11.71,11.4537183135,210356.0,0.0,1.0
2020-12-17,11.62,11.69,11.61,11.68,11.4243748848,183162.0,0.0,1.0
