date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,53.59,53.95,53.18,53.58,53.58,329930.0,0.0,1.0
2021-04-15,52.74,53.66,52.74,53.38,53.38,429465.0,0.0,1.0
2021-04-14,52.13,53.13,52.13,52.68,52.68,199760.0,0.0,1.0
2021-04-13,51.8,52.57,51.22,52.11,52.11,295307.0,0.0,1.0
2021-04-12,51.4,51.96,50.83,51.9,51.9,354242.0,0.0,1.0
2021-04-09,50.99,51.35,50.67,51.1,51.1,326396.0,0.0,1.0
2021-04-08,50.75,51.29,50.43,50.95,50.95,261944.0,0.0,1.0
2021-04-07,51.0,51.41,50.59,51.28,51.28,252585.0,0.0,1.0
2021-04-06,50.75,51.32,50.56,50.91,50.91,354074.0,0.0,1.0
2021-04-05,51.22,51.3584,50.61,50.79,50.79,386051.0,0.0,1.0
2021-04-01,49.55,50.815,49.17,50.76,50.76,248438.0,0.0,1.0
2021-03-31,50.62,50.83,49.47,49.57,49.57,483765.0,0.0,1.0
2021-03-30,51.2,51.43,50.34,50.83,50.83,231723.0,0.42,1.0
2021-03-29,50.01,51.4,49.99,51.12,50.7010653659,337559.0,0.0,1.0
2021-03-26,51.03,51.43,50.1,50.37,49.9572117073,379592.0,0.0,1.0
2021-03-25,50.16,50.81,49.4,50.81,50.3936058537,278585.0,0.0,1.0
2021-03-24,50.84,51.6,50.3,50.41,49.9968839024,417520.0,0.0,1.0
2021-03-23,50.15,50.435,49.39,50.3,49.8877853659,506037.0,0.0,1.0
2021-03-22,51.29,51.335,50.097,50.51,50.0960643902,415856.0,0.0,1.0
2021-03-19,52.62,52.73,51.31,51.7,51.2763121951,1586162.0,0.0,1.0
2021-03-18,51.94,53.26,51.435,53.09,52.6549209756,597086.0,0.0,1.0
2021-03-17,52.46,52.47,51.28,51.85,51.4250829268,337377.0,0.0,1.0
2021-03-16,52.21,52.81,51.67,52.32,51.8912312195,227576.0,0.0,1.0
2021-03-15,51.56,52.73,50.85,52.66,52.228444878,365078.0,0.0,1.0
2021-03-12,52.41,52.8,51.6,51.71,51.2862302439,558992.0,0.0,1.0
2021-03-11,51.72,52.2,50.985,52.12,51.6928702439,369652.0,0.0,1.0
2021-03-10,51.43,52.83,51.08,51.87,51.4449190244,381611.0,0.0,1.0
2021-03-09,51.86,52.2,50.47,51.49,51.0680331707,508972.0,0.0,1.0
2021-03-08,50.57,52.58,50.5,52.13,51.7027882927,677736.0,0.0,1.0
2021-03-05,49.61,50.3,48.88,50.03,49.6199980488,545567.0,0.0,1.0
2021-03-04,50.04,50.31,48.68,49.15,48.7472097561,391362.0,0.0,1.0
2021-03-03,50.0,50.885,49.62,49.95,49.5406536585,392290.0,0.0,1.0
2021-03-02,49.84,50.11,49.35,49.82,49.4117190244,309319.0,0.0,1.0
2021-03-01,51.04,51.57,49.88,49.97,49.5604897561,581491.0,0.0,1.0
2021-02-26,50.0,50.77,49.42,50.53,50.1159004878,499967.0,0.0,1.0
2021-02-25,50.89,51.15,50.04,50.08,49.6695882927,243156.0,0.0,1.0
2021-02-24,50.3,52.04,50.3,50.53,50.1159004878,463597.0,0.0,1.0
2021-02-23,50.39,50.93,50.02,50.17,49.7588507317,334906.0,0.0,1.0
2021-02-22,48.9,50.66,48.67,50.39,49.9770478049,286679.0,0.0,1.0
2021-02-19,50.17,50.31,48.92,49.03,48.6281931707,308335.0,0.0,1.0
2021-02-18,50.3,50.4,49.94,50.0,49.5902439024,281808.0,0.0,1.0
2021-02-17,50.06,50.825,49.94,50.52,50.105982439,409040.0,0.0,1.0
2021-02-16,50.75,50.75,49.46,50.17,49.7588507317,345796.0,0.0,1.0
2021-02-12,51.14,51.39,50.29,50.58,50.1654907317,353682.0,0.0,1.0
2021-02-11,50.32,51.87,50.27,51.42,50.9986068293,469654.0,0.0,1.0
2021-02-10,49.25,50.62,49.06,50.46,50.0464741463,500643.0,0.0,1.0
2021-02-09,49.99,50.36,48.6,49.06,48.6579473171,661512.0,0.0,1.0
2021-02-08,49.61,50.79,49.39,50.0,49.5902439024,618324.0,0.0,1.0
2021-02-05,49.08,49.74,48.89,49.06,48.6579473171,503062.0,0.0,1.0
2021-02-04,46.58,48.68,46.52,48.62,48.2215531707,492958.0,0.0,1.0
2021-02-03,45.95,46.47,45.66,46.14,45.7618770732,639078.0,0.0,1.0
2021-02-02,46.71,46.93,45.95,46.18,45.8015492683,364897.0,0.0,1.0
2021-02-01,46.11,46.38,45.23,46.18,45.8015492683,502044.0,0.0,1.0
2021-01-29,44.72,46.535,44.26,45.9,45.5238439024,989803.0,0.0,1.0
2021-01-28,47.68,48.5,44.78,45.0,44.6312195122,606133.0,0.0,1.0
2021-01-27,47.08,48.5,46.7001,47.4,47.0115512195,515256.0,0.0,1.0
2021-01-26,48.66,48.727,47.75,47.79,47.398355122,384900.0,0.0,1.0
2021-01-25,48.31,48.905,48.055,48.49,48.0926185366,307334.0,0.0,1.0
2021-01-22,49.43,49.9299,48.69,48.84,48.4397502439,391957.0,0.0,1.0
2021-01-21,51.53,51.81,49.92,49.93,49.520817561,253382.0,0.0,1.0
2021-01-20,51.51,51.96,51.01,51.53,51.1077053659,328494.0,0.0,1.0
2021-01-19,51.24,51.94,50.49,51.5,51.0779512195,380026.0,0.0,1.0
2021-01-15,51.16,51.62,50.844,50.92,50.5027043902,356283.0,0.0,1.0
2021-01-14,51.58,52.09,51.19,51.66,51.23664,354503.0,0.0,1.0
2021-01-13,51.05,52.18,50.9,51.34,50.919262439,388707.0,0.0,1.0
2021-01-12,50.59,51.25,50.17,51.02,50.601884878,899718.0,0.0,1.0
2021-01-11,50.0,50.5499,49.28,50.29,49.8778673171,344141.0,0.0,1.0
2021-01-08,51.18,51.18,49.64,50.56,50.1456546341,399446.0,0.0,1.0
2021-01-07,51.94,52.56,50.7,50.81,50.3936058537,511467.0,0.0,1.0
2021-01-06,50.1,52.66,50.1,52.5,52.0697560976,438765.0,0.0,1.0
2021-01-05,49.11,49.765,48.8,49.24,48.8364721951,283382.0,0.0,1.0
2021-01-04,50.38,50.39,48.75,49.03,48.6281931707,261301.0,0.0,1.0
2020-12-31,50.0,50.63,49.66,50.39,49.9770478049,198576.0,0.0,1.0
2020-12-30,49.97,50.69,49.915,50.02,49.61008,149611.0,0.42,1.0
2020-12-29,51.17,51.17,49.99,50.29,49.4625480412,249680.0,0.0,1.0
2020-12-28,50.8,51.24,50.22,50.83,49.9936630928,193598.0,0.0,1.0
2020-12-24,50.63,50.71,49.65,50.36,49.5313962887,165042.0,0.0,1.0
2020-12-23,50.33,51.55,50.33,50.62,49.7871183505,310075.0,0.0,1.0
2020-12-22,49.84,50.66,49.32,50.19,49.3641934021,368896.0,0.0,1.0
2020-12-21,50.53,50.6,49.42,50.13,49.3051806186,366155.0,0.0,1.0
2020-12-18,50.83,51.845,50.34,50.85,50.0133340206,749826.0,0.0,1.0
2020-12-17,52.03,52.49,51.17,51.53,50.682145567,399885.0,0.0,1.0
2020-12-16,52.81,52.895,51.79,51.92,51.0657286598,308008.0,0.0,1.0
2020-12-15,51.68,52.71,51.1,52.68,51.8132239175,201424.0,0.0,1.0
2020-12-14,52.33,52.68,50.72,51.25,50.4067525773,311574.0,0.0,1.0
2020-12-11,51.81,52.67,51.54,51.88,51.0263868041,274511.0,0.0,1.0
2020-12-10,51.77,52.49,51.25,52.32,51.4591472165,257079.0,0.0,1.0
2020-12-09,52.5,52.85,51.79,52.19,51.3312861856,319421.0,0.0,1.0
2020-12-08,52.42,52.6814,51.96,52.38,51.51816,429160.0,0.0,1.0
2020-12-07,52.99,53.96,52.4,53.09,52.2164779381,384363.0,0.0,1.0
2020-12-04,52.04,53.37,51.68,53.33,52.4525290722,417682.0,0.0,1.0
2020-12-03,51.13,51.55,50.73,51.54,50.6919810309,387490.0,0.0,1.0
2020-12-02,51.15,51.49,50.48,51.17,50.328068866,265127.0,0.0,1.0
2020-12-01,50.97,51.44,50.67,51.4,50.5542845361,320460.0,0.0,1.0
2020-11-30,51.47,51.8,49.947,50.11,49.2855096907,516484.0,0.0,1.0
2020-11-27,52.99,52.99,51.52,51.84,50.9870449485,105571.0,0.0,1.0
2020-11-25,53.1,53.2487,51.94,52.66,51.7935529897,389506.0,0.0,1.0
2020-11-24,53.0,53.72,52.47,53.49,52.6098964948,281708.0,0.0,1.0
2020-11-23,51.62,52.59,51.21,52.35,51.4886536082,328557.0,0.0,1.0
2020-11-20,51.53,52.17,50.27,51.28,50.4362589691,771996.0,0.0,1.0
2020-11-19,51.06,51.89,50.56,51.83,50.9772094845,503200.0,0.0,1.0
2020-11-18,50.92,52.21,50.83,51.46,50.6132973196,803516.0,0.0,1.0
2020-11-17,50.82,50.88,50.03,50.87,50.0330049485,532213.0,0.0,1.0
2020-11-16,49.99,51.04,49.65,50.98,50.1411950515,569943.0,0.0,1.0
2020-11-13,48.04,49.11,47.9,48.56,47.7610127835,405830.0,0.0,1.0
2020-11-12,48.19,48.53,47.0,47.51,46.7282890722,457786.0,0.0,1.0
2020-11-11,49.76,49.76,48.08,48.71,47.9085447423,307392.0,0.0,1.0
2020-11-10,47.75,49.83,47.48,49.81,48.9904457732,382808.0,0.0,1.0
2020-11-09,47.5,48.47,46.98,47.61,46.8266437113,445431.0,0.0,1.0
2020-11-06,44.78,44.9582,44.165,44.5,43.767814433,403103.0,0.0,1.0
2020-11-05,43.29,45.1075,43.28,44.36,43.6301179381,498230.0,0.0,1.0
2020-11-04,43.65,44.85,43.16,43.25,42.5383814433,435712.0,0.0,1.0
2020-11-03,44.32,44.965,44.03,44.4,43.6694597938,533045.0,0.0,1.0
2020-11-02,43.18,43.97,42.9,43.54,42.8236098969,569980.0,0.0,1.0
2020-10-30,44.24,44.64,42.435,42.69,41.9875954639,980106.0,0.0,1.0
2020-10-29,44.57,45.5,43.14,44.52,43.7874853608,886969.0,0.0,1.0
2020-10-28,44.77,45.6,44.45,44.62,43.88584,731210.0,0.0,1.0
2020-10-27,46.53,46.83,45.38,45.42,44.6726771134,517570.0,0.0,1.0
2020-10-26,47.73,47.73,46.23,46.59,45.8234263918,431975.0,0.0,1.0
2020-10-23,47.91,48.34,47.38,48.24,47.4462779381,416772.0,0.0,1.0
2020-10-22,46.69,47.7,46.38,47.44,46.6594408247,339201.0,0.0,1.0
2020-10-21,45.0,46.97,44.9,46.79,46.0201356701,545876.0,0.0,1.0
2020-10-20,44.65,44.98,44.34,44.82,44.0825492784,388140.0,0.0,1.0
2020-10-19,45.0,45.2,44.05,44.06,43.3350540206,499403.0,0.0,1.0
2020-10-16,45.25,45.36,44.34,44.88,44.1415620619,340605.0,0.0,1.0
2020-10-15,45.0,45.1,44.29,45.04,44.2989294845,638210.0,0.0,1.0
2020-10-14,44.13,46.26,44.13,45.43,44.6825125773,963238.0,0.0,1.0
2020-10-13,45.25,45.7499,44.11,44.4,43.6694597938,562309.0,0.0,1.0
2020-10-12,45.06,45.85,44.94,45.65,44.8988927835,215812.0,0.0,1.0
2020-10-09,45.37,45.83,44.97,45.27,44.5251451546,424959.0,0.0,1.0
2020-10-08,44.93,45.26,44.34,45.0,44.2595876289,463792.0,0.0,1.0
2020-10-07,45.29,45.66,43.92,44.53,43.7973208247,406515.0,0.0,1.0
2020-10-06,46.03,46.14,44.59,45.01,44.2694230928,399628.0,0.0,1.0
2020-10-05,44.87,45.82,44.475,45.66,44.9087282474,469414.0,0.0,1.0
2020-10-02,43.14,44.5,42.97,44.23,43.5022569072,378135.0,0.0,1.0
2020-10-01,43.84,44.1938,43.32,43.82,43.0990028866,477303.0,0.41,1.0
2020-09-30,44.13,44.47,43.58,44.04,42.9138613413,526863.0,0.0,1.0
2020-09-29,43.95,44.1,43.38,43.88,42.7579526716,275966.0,0.0,1.0
2020-09-28,43.53,44.64,43.5,44.22,43.0892585947,564489.0,0.0,1.0
2020-09-25,42.6,43.13,42.42,42.91,41.8127563614,343675.0,0.0,1.0
2020-09-24,42.57,43.81,42.17,43.12,42.0173864904,508957.0,0.0,1.0
2020-09-23,44.06,44.62,42.77,42.78,41.6860805672,849079.0,0.0,1.0
2020-09-22,44.34,45.04,43.88,44.01,42.8846284657,782281.0,0.0,1.0
2020-09-21,45.75,46.1909,43.7,44.48,43.342610183,1150033.0,0.0,1.0
2020-09-18,46.1,46.86,46.0,46.5,45.3109571383,1663178.0,0.0,1.0
2020-09-17,45.6,46.34,45.23,46.05,44.8724640047,599244.0,0.0,1.0
2020-09-16,45.58,46.48,45.32,46.11,44.9309297558,705411.0,0.0,1.0
2020-09-15,46.32,46.42,45.495,45.55,44.3852494118,390249.0,0.0,1.0
2020-09-14,45.95,46.21,45.38,46.08,44.9016968803,615120.0,0.0,1.0
2020-09-11,45.88,45.89,45.1312,45.56,44.3949937037,751775.0,0.0,1.0
2020-09-10,46.82,47.0342,45.77,45.78,44.6093681245,808832.0,0.0,1.0
2020-09-09,47.22,47.88,46.2366,46.82,45.6227744777,916606.0,0.0,1.0
2020-09-08,48.71,48.96,46.6927,47.06,45.8566374823,1033588.0,0.0,1.0
2020-09-04,49.66,49.66,47.88,49.13,47.8737058969,883032.0,0.0,1.0
2020-09-03,49.0,50.05,48.36,48.69,47.4449570551,1002178.0,0.0,1.0
2020-09-02,48.74,49.19,48.34,48.71,47.4644456388,675115.0,0.0,1.0
2020-09-01,47.45,48.9,47.0,48.69,47.4449570551,738065.0,0.0,1.0
2020-08-31,48.38,48.46,47.42,47.76,46.5387379124,716865.0,0.0,1.0
2020-08-28,48.04,48.72,47.67,48.37,47.1331397157,1035406.0,0.0,1.0
2020-08-27,45.65,47.9,45.65,47.39,46.1781991136,923359.0,0.0,1.0
2020-08-26,45.54,45.56,44.585,45.41,44.2488293258,1226677.0,0.0,1.0
2020-08-25,46.22,46.43,45.13,45.49,44.3267836607,1111008.0,0.0,1.0
2020-08-24,45.2,45.97,44.98,45.96,44.784765378,677388.0,0.0,1.0
2020-08-21,45.37,45.65,44.77,45.01,43.8590576515,863359.0,0.0,1.0
2020-08-20,45.76,46.0,45.22,45.52,44.3560165362,1000513.0,0.0,1.0
2020-08-19,46.0,46.19,45.56,46.0,44.8237425454,1073651.0,0.0,1.0
2020-08-18,46.0,46.18,45.43,45.6,44.4339708711,1858839.0,0.0,1.0
2020-08-17,46.04,46.23,45.45,46.0,44.8237425454,1437109.0,0.0,1.0
2020-08-14,45.89,46.6,45.515,46.0,44.8237425454,899563.0,0.0,1.0
2020-08-13,46.32,46.49,45.41,46.19,45.0088840907,949127.0,0.0,1.0
2020-08-12,46.63,46.63,45.975,46.01,44.8334868373,1764488.0,0.0,1.0
2020-08-11,46.15,46.695,44.991,45.74,44.5703909571,1386780.0,0.0,1.0
2020-08-10,44.59,45.14,44.09,44.78,43.6349389388,893362.0,0.0,1.0
2020-08-07,42.83,44.135,42.74,44.09,42.9625828006,940005.0,0.0,1.0
2020-08-06,42.85,43.49,42.74,42.82,41.7250577347,1063195.0,0.0,1.0
2020-08-05,41.69,43.02,41.465,42.98,41.8809664044,874410.0,0.0,1.0
2020-08-04,41.29,41.39,40.5,40.78,39.7372221957,925502.0,0.0,1.0
2020-08-03,40.5,41.69,40.16,41.5,40.4388112094,896233.0,0.0,1.0
2020-07-31,40.34,40.48,39.61,40.12,39.0940989331,824686.0,0.0,1.0
2020-07-30,40.8,41.15,39.79,40.17,39.1428203924,825528.0,0.0,1.0
2020-07-29,42.71,42.71,40.8,41.71,40.6434413385,1383069.0,0.0,1.0
2020-07-28,40.83,41.17,40.38,40.8,39.7567107794,668054.0,0.0,1.0
2020-07-27,40.81,41.56,40.03,40.83,39.785943655,1002246.0,0.0,1.0
2020-07-24,41.4,41.55,40.72,40.91,39.8638979898,714888.0,0.0,1.0
2020-07-23,40.6,41.6,40.52,41.39,40.331623999,626989.0,0.0,1.0
2020-07-22,40.06,40.83,39.82,40.73,39.6885007364,545683.0,0.0,1.0
2020-07-21,39.58,40.69,39.58,40.23,39.2012861435,718835.0,0.0,1.0
2020-07-20,40.56,40.73,39.46,39.64,38.6263729239,549709.0,0.0,1.0
2020-07-17,41.23,41.23,40.5,40.84,39.7956879468,452830.0,0.0,1.0
2020-07-16,40.45,41.72,40.16,41.18,40.12699387,663190.0,0.0,1.0
2020-07-15,40.1,40.61,39.79,40.45,39.4156605644,897352.0,0.0,1.0
2020-07-14,38.73,39.72,38.42,39.43,38.4217427949,726438.0,0.0,1.0
2020-07-13,39.01,39.53,38.01,38.91,37.9150396183,938108.0,0.0,1.0
2020-07-10,37.21,38.87,36.91,38.83,37.8370852834,1420997.0,0.0,1.0
2020-07-09,38.42,38.44,36.68,37.2,36.2487657106,1090272.0,0.0,1.0
2020-07-08,38.5,39.21,38.1,38.46,37.4765464847,1417045.0,0.0,1.0
2020-07-07,39.45,39.45,38.55,38.63,37.6421994463,2506532.0,0.0,1.0
2020-07-06,40.24,40.35,39.46,39.59,38.5776514646,531610.0,0.0,1.0
2020-07-02,40.56,40.81,39.44,39.48,38.4704642542,792610.0,0.0,1.0
2020-07-01,40.55,40.85,39.31,39.8,38.7822815936,1828329.0,0.0,1.0
2020-06-30,40.71,41.16,40.35,40.56,39.5228477748,1152243.0,0.0,1.0
2020-06-29,40.21,41.1,39.73,40.74,39.6982450283,763833.0,0.0,1.0
2020-06-26,41.15,41.55,39.69,39.69,38.6750943832,1683387.0,0.41,1.0
2020-06-25,41.74,42.4,41.1,42.25,40.7486967005,847489.0,0.0,1.0
2020-06-24,42.92,43.11,41.45,41.86,40.3725548848,1008667.0,0.0,1.0
2020-06-23,43.38,43.9,42.94,43.5,41.9542794431,1027294.0,0.0,1.0
2020-06-22,43.39,43.39,42.18,42.84,41.317731755,847880.0,0.0,1.0
2020-06-19,43.5,43.78,42.78,43.3,41.7613862043,1612821.0,0.0,1.0
2020-06-18,41.36,42.84,41.19,42.19,40.6908287289,1410432.0,0.0,1.0
2020-06-17,42.03,42.58,41.08,41.76,40.2761082654,1378525.0,0.0,1.0
2020-06-16,42.89,43.42,41.73,42.03,40.5365141378,1683827.0,0.0,1.0
2020-06-15,38.69,41.07,38.69,40.94,39.4852459862,1153940.0,0.0,1.0
2020-06-12,40.33,40.56,38.9,40.08,38.6558050593,729784.0,0.0,1.0
2020-06-11,39.79,40.51,38.79,38.89,37.5080902883,1117884.0,0.0,1.0
2020-06-10,42.75,42.75,41.35,41.42,39.9481897594,797141.0,0.0,1.0
2020-06-09,42.11,43.11,41.89,42.78,41.2598637834,892990.0,0.0,1.0
2020-06-08,41.95,43.28,41.5,43.02,41.49133567,737820.0,0.0,1.0
2020-06-05,42.01,42.01,40.06,41.05,39.5913372676,1024448.0,0.0,1.0
2020-06-04,38.97,40.15,38.58,40.0,38.5786477638,765613.0,0.0,1.0
2020-06-03,37.99,39.54,37.62,39.04,37.6527602175,856101.0,0.0,1.0
2020-06-02,37.25,37.9,37.03,37.33,36.0035230256,1195467.0,0.0,1.0
2020-06-01,37.5,37.62,36.78,37.03,35.7141831673,523269.0,0.0,1.0
2020-05-29,38.65,38.65,37.18,37.54,36.2060609263,686013.0,0.0,1.0
2020-05-28,39.55,39.55,38.63,39.06,37.6720495413,495814.0,0.0,1.0
2020-05-27,40.57,40.73,38.87,39.16,37.7684961608,641341.0,0.0,1.0
2020-05-26,39.51,39.84,39.05,39.15,37.7588514988,532018.0,0.0,1.0
2020-05-22,38.08,38.42,37.51,38.0,36.6497153756,468085.0,0.0,1.0
2020-05-21,36.5,38.04,36.18,38.04,36.6882940234,618487.0,0.0,1.0
2020-05-20,35.95,36.79,35.87,36.69,35.3862646613,1256261.0,0.0,1.0
2020-05-19,36.08,36.26,35.48,35.49,34.2289052284,471598.0,0.0,1.0
2020-05-18,35.44,36.57,35.44,36.28,34.9908335218,576914.0,0.0,1.0
2020-05-15,33.39,34.39,32.87,34.3,33.0811904575,1340088.0,0.0,1.0
2020-05-14,34.15,34.45,32.82,33.29,32.1070796014,1215119.0,0.0,1.0
2020-05-13,36.53,36.76,34.46,34.77,33.5344895687,881443.0,0.0,1.0
2020-05-12,37.87,38.22,36.9,36.9,35.5888025621,616419.0,0.0,1.0
2020-05-11,38.83,39.0,37.58,37.87,36.5243347704,1161963.0,0.0,1.0
2020-05-08,38.59,39.6,38.18,39.38,37.9806787235,673261.0,0.0,1.0
2020-05-07,36.78,38.48,36.62,37.8,36.4568221368,1017535.0,0.0,1.0
2020-05-06,36.5,36.99,36.14,36.33,35.0390568315,1041221.0,0.0,1.0
2020-05-05,35.68,37.9,35.46,35.85,34.5761130583,1421938.0,0.0,1.0
2020-05-04,34.75,35.6,34.16,35.41,34.1517479329,738550.0,0.0,1.0
2020-05-01,35.97,36.05,34.23,34.93,33.6888041597,658035.0,0.0,1.0
2020-04-30,37.23,37.47,36.0,36.6,35.2994627039,889443.0,0.0,1.0
2020-04-29,36.57,37.98,36.33,37.82,36.4761114607,863492.0,0.0,1.0
2020-04-28,35.46,36.39,35.01,35.83,34.5568237344,1383682.0,0.0,1.0
2020-04-27,34.1,35.42,33.96,34.98,33.7370274694,1120246.0,0.0,1.0
2020-04-24,34.34,34.36,33.6,34.1,32.8882972186,1028754.0,0.0,1.0
2020-04-23,35.32,35.67,33.96,33.99,32.7822059373,1127742.0,0.0,1.0
2020-04-22,37.11,37.35,34.95,35.07,33.8238294269,1240876.0,0.0,1.0
2020-04-21,36.76,37.58,36.09,36.46,35.1644374367,963286.0,0.0,1.0
2020-04-20,38.06,38.63,37.44,37.74,36.3989541651,974853.0,0.0,1.0
