date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,6.54,6.56,6.35,6.49,6.49,425309.0,0.0,1.0
2021-04-15,6.89,6.9,6.55,6.64,6.64,345540.0,0.0,1.0
2021-04-14,6.69,7.03,6.57,6.82,6.82,322086.0,0.0,1.0
2021-04-13,6.83,6.85,6.5322,6.75,6.75,476303.0,0.0,1.0
2021-04-12,7.2,7.26,6.8,6.84,6.84,372245.0,0.0,1.0
2021-04-09,7.11,7.47,7.05,7.23,7.23,362343.0,0.0,1.0
2021-04-08,6.95,7.22,6.83,7.17,7.17,402998.0,0.0,1.0
2021-04-07,6.94,7.14,6.88,6.935,6.935,448038.0,0.0,1.0
2021-04-06,7.14,7.165,6.93,6.98,6.98,689861.0,0.0,1.0
2021-04-05,7.5,7.55,7.02,7.15,7.15,780426.0,0.0,1.0
2021-04-01,7.63,7.71,7.33,7.56,7.56,595046.0,0.0,1.0
2021-03-31,7.45,7.61,7.36,7.6,7.6,479038.0,0.0,1.0
2021-03-30,7.62,7.77,7.4,7.42,7.42,441145.0,0.0,1.0
2021-03-29,7.67,7.79,7.42,7.49,7.49,568587.0,0.0,1.0
2021-03-26,7.72,7.88,7.47,7.71,7.71,621238.0,0.0,1.0
2021-03-25,7.49,8.01,7.4,7.76,7.76,728633.0,0.0,1.0
2021-03-24,8.53,8.56,7.76,7.96,7.96,864926.0,0.0,1.0
2021-03-23,8.47,8.57,8.11,8.56,8.56,940776.0,0.0,1.0
2021-03-22,9.64,9.65,8.1223,8.77,8.77,1547676.0,0.0,1.0
2021-03-19,9.97,10.17,9.51,9.73,9.73,3149123.0,0.0,1.0
2021-03-18,11.0,11.7643,9.76,9.88,9.88,3136023.0,0.0,1.0
2021-03-17,9.4,10.03,9.13,9.8,9.8,913028.0,0.0,1.0
2021-03-16,8.8,9.78,8.79,9.51,9.51,1242335.0,0.0,1.0
2021-03-15,8.73,9.07,8.56,8.76,8.76,781716.0,0.0,1.0
2021-03-12,8.24,8.72,8.11,8.59,8.59,583654.0,0.0,1.0
2021-03-11,7.85,9.51,7.7546,8.53,8.53,2249918.0,0.0,1.0
2021-03-10,7.99,8.12,7.71,7.81,7.81,389457.0,0.0,1.0
2021-03-09,8.32,8.32,7.51,8.02,8.02,1018939.0,0.0,1.0
2021-03-08,7.305,8.53,7.25,7.72,7.72,1994642.0,0.0,1.0
2021-03-05,7.34,7.46,6.66,7.46,7.46,523793.0,0.0,1.0
2021-03-04,7.66,7.76,7.11,7.35,7.35,505953.0,0.0,1.0
2021-03-03,7.88,8.01,7.65,7.68,7.68,367034.0,0.0,1.0
2021-03-02,7.85,8.09,7.8,7.84,7.84,274113.0,0.0,1.0
2021-03-01,7.79,8.07,7.7,7.82,7.82,257503.0,0.0,1.0
2021-02-26,7.91,7.95,7.5706,7.67,7.67,352489.0,0.0,1.0
2021-02-25,8.0,8.18,7.72,7.9,7.9,428349.0,0.0,1.0
2021-02-24,8.1,8.19,8.0,8.04,8.04,285003.0,0.0,1.0
2021-02-23,8.13,8.2,7.31,7.89,7.89,525490.0,0.0,1.0
2021-02-22,8.03,8.69,8.0,8.37,8.37,658300.0,0.0,1.0
2021-02-19,8.05,8.25,7.99,8.07,8.07,446600.0,0.0,1.0
2021-02-18,8.46,8.46,7.96,8.02,8.02,525734.0,0.0,1.0
2021-02-17,8.37,8.6187,8.06,8.51,8.51,528718.0,0.0,1.0
2021-02-16,8.6,8.85,8.14,8.24,8.24,990793.0,0.0,1.0
2021-02-12,8.27,8.62,8.15,8.57,8.57,543182.0,0.0,1.0
2021-02-11,9.06,9.11,8.27,8.74,8.74,972235.0,0.0,1.0
2021-02-10,9.16,9.33,8.53,9.05,9.05,829129.0,0.0,1.0
2021-02-09,8.5,9.25,8.41,8.96,8.96,1883997.0,0.0,1.0
2021-02-08,8.29,8.34,7.95,8.31,8.31,576276.0,0.0,1.0
2021-02-05,8.29,8.29,7.89,8.16,8.16,332735.0,0.0,1.0
2021-02-04,7.9461,8.23,7.8,8.2,8.2,394983.0,0.0,1.0
2021-02-03,7.45,7.9,7.43,7.8,7.8,405512.0,0.0,1.0
2021-02-02,7.43,7.64,7.17,7.5,7.5,290312.0,0.0,1.0
2021-02-01,7.23,7.5,6.85,7.32,7.32,508790.0,0.0,1.0
2021-01-29,7.33,7.55,7.04,7.14,7.14,381432.0,0.0,1.0
2021-01-28,7.85,8.0324,7.21,7.29,7.29,680241.0,0.0,1.0
2021-01-27,7.7902,8.35,7.69,7.89,7.89,681844.0,0.0,1.0
2021-01-26,8.4,8.69,8.25,8.35,8.35,470530.0,0.0,1.0
2021-01-25,8.0,8.328,7.73,8.31,8.31,698474.0,0.0,1.0
2021-01-22,7.9,8.1289,7.65,8.03,8.03,323425.0,0.0,1.0
2021-01-21,8.25,8.26,7.82,7.92,7.92,462090.0,0.0,1.0
2021-01-20,7.7,8.37,7.55,8.3,8.3,904925.0,0.0,1.0
2021-01-19,7.6,7.73,7.37,7.66,7.66,603600.0,0.0,1.0
2021-01-15,7.52,7.6,7.17,7.44,7.44,523723.0,0.0,1.0
2021-01-14,6.91,7.75,6.9,7.39,7.39,787046.0,0.0,1.0
2021-01-13,7.28,7.33,6.89,6.9,6.9,537459.0,0.0,1.0
2021-01-12,7.14,7.28,6.88,7.265,7.265,569396.0,0.0,1.0
2021-01-11,6.78,6.98,6.65,6.87,6.87,429304.0,0.0,1.0
2021-01-08,6.62,6.77,6.49,6.75,6.75,455647.0,0.0,1.0
2021-01-07,6.5389,6.59,6.405,6.59,6.59,378623.0,0.0,1.0
2021-01-06,6.43,6.63,6.12,6.35,6.35,748535.0,0.0,1.0
2021-01-05,6.19,6.63,6.18,6.39,6.39,679369.0,0.0,1.0
2021-01-04,5.98,6.24,5.89,6.23,6.23,631465.0,0.0,1.0
2020-12-31,6.0,6.073,5.94,5.98,5.98,616423.0,0.0,1.0
2020-12-30,6.04,6.15,5.97,6.04,6.04,533040.0,0.0,1.0
2020-12-29,6.19,6.205,5.95,6.04,6.04,723365.0,0.0,1.0
2020-12-28,6.17,6.34,6.1,6.19,6.19,1107227.0,0.0,1.0
2020-12-24,6.26,6.2849,6.065,6.12,6.12,351537.0,0.0,1.0
2020-12-23,6.14,6.4,6.06,6.21,6.21,784608.0,0.0,1.0
2020-12-22,6.2717,6.35,6.015,6.18,6.18,1710445.0,0.0,1.0
2020-12-21,6.04,6.24,6.02,6.15,6.15,641377.0,0.0,1.0
2020-12-18,6.3,6.3419,6.06,6.11,6.11,980970.0,0.0,1.0
2020-12-17,6.69,6.75,6.24,6.26,6.26,951346.0,0.0,1.0
2020-12-16,6.36,6.76,6.17,6.62,6.62,1692099.0,0.0,1.0
2020-12-15,6.06,6.25,5.86,6.04,6.04,1080667.0,0.0,1.0
2020-12-14,6.35,6.35,5.89,5.99,5.99,1659603.0,0.0,1.0
2020-12-11,6.0425,6.44,6.0,6.28,6.28,4808805.0,0.0,1.0
2020-12-10,7.236,11.36,7.2,8.13,8.13,12506559.0,0.0,1.0
2020-12-09,7.3904,7.4127,6.52,6.83,6.83,1644999.0,0.0,0.1
2020-12-08,0.88,0.89,0.859,0.87,8.7,4372574.0,0.0,1.0
2020-12-07,0.87,0.9,0.852,0.8945,8.945,2158728.0,0.0,1.0
2020-12-04,0.8675,0.882199,0.8523,0.8641,8.641,2891181.0,0.0,1.0
2020-12-03,0.8801,0.91,0.871,0.8791,8.791,1584826.0,0.0,1.0
2020-12-02,0.8522,0.9399,0.8468,0.8733,8.733,5729669.0,0.0,1.0
2020-12-01,0.88,0.895,0.8202,0.865,8.65,3839901.0,0.0,1.0
2020-11-30,0.9,0.9099,0.876,0.8838,8.838,2796099.0,0.0,1.0
2020-11-27,0.8926,0.9435,0.89,0.9198,9.198,1316990.0,0.0,1.0
2020-11-25,0.8771,0.91,0.8601,0.9,9.0,2228527.0,0.0,1.0
2020-11-24,0.8887,0.8976,0.8699,0.8771,8.771,3506048.0,0.0,1.0
2020-11-23,0.923,0.9399,0.9,0.9085,9.085,2399676.0,0.0,1.0
2020-11-20,0.9182,0.979,0.8938,0.9503,9.503,2896700.0,0.0,1.0
2020-11-19,0.92,0.93,0.88,0.9098,9.098,3019145.0,0.0,1.0
2020-11-18,0.93,0.9454,0.913,0.93,9.3,2317896.0,0.0,1.0
2020-11-17,0.93,0.94,0.93,0.931,9.31,2292308.0,0.0,1.0
2020-11-16,0.96,0.9606,0.9405,0.9498,9.498,2129448.0,0.0,1.0
2020-11-13,0.99,1.0,0.96,0.9692,9.692,4255784.0,0.0,1.0
