date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,50.8,51.01,50.61,50.74,50.74,22112043.0,0.0,1.0
2021-04-15,50.74,51.29,50.6,50.83,50.83,13902952.0,0.0,1.0
2021-04-14,50.04,50.32,49.74,49.84,49.84,11863557.0,0.0,1.0
2021-04-13,49.21,49.6,48.96,49.19,49.19,7733898.0,0.0,1.0
2021-04-12,49.83,49.92,49.365,49.42,49.42,7890565.0,0.0,1.0
2021-04-09,50.15,50.16,49.68,49.94,49.94,7432187.0,0.0,1.0
2021-04-08,49.67,49.8,49.425,49.5,49.5,10361279.0,0.0,1.0
2021-04-07,49.06,49.12,48.26,48.42,48.42,9469101.0,0.0,1.0
2021-04-06,49.45,49.68,49.16,49.22,49.22,7127805.0,0.0,1.0
2021-04-05,49.41,49.8,49.4,49.53,49.53,5293953.0,0.0,1.0
2021-04-01,49.61,49.785,49.325,49.53,49.53,5958613.0,0.0,1.0
2021-03-31,50.0419,50.13,49.7,49.72,49.72,6688265.0,0.0,1.0
2021-03-30,50.14,50.17,49.69,49.97,49.97,7085042.0,0.0,1.0
2021-03-29,50.55,51.06,50.4847,50.81,50.81,8652365.0,0.0,1.0
2021-03-26,49.56,50.67,49.475,50.64,50.64,9707470.0,0.0,1.0
2021-03-25,48.93,49.79,48.81,49.7,49.7,6800208.0,0.0,1.0
2021-03-24,49.13,49.295,48.76,48.79,48.79,6482640.0,0.0,1.0
2021-03-23,49.95,50.21,49.16,49.4,49.4,10891764.0,0.0,1.0
2021-03-22,49.98,51.21,49.87,51.2,51.2,10091989.0,0.0,1.0
2021-03-19,49.22,49.48,48.89,49.21,49.21,6788841.0,0.0,1.0
2021-03-18,49.47,49.97,49.275,49.33,49.33,9792160.0,0.0,1.0
2021-03-17,49.8,50.12,49.09,50.07,50.07,13008118.0,0.0,1.0
2021-03-16,49.95,50.465,49.855,50.05,50.05,16767753.0,0.0,1.0
2021-03-15,48.58,48.78,48.13,48.77,48.77,10650880.0,0.0,1.0
2021-03-12,48.27,48.575,47.88,48.42,48.42,8919784.0,0.0,1.0
2021-03-11,48.95,49.27,48.59,48.67,48.67,12653914.0,0.0,1.0
2021-03-10,50.2,50.29,49.7,49.81,49.81,12728689.0,0.0,1.0
2021-03-09,49.4,49.88,49.07,49.27,49.27,15539098.0,0.0,1.0
2021-03-08,47.75,48.47,47.66,48.19,48.19,11753021.0,0.0,1.0
2021-03-05,47.57,48.12,47.15,48.06,48.06,11174776.0,0.0,1.0
2021-03-04,47.59,47.95,46.48,47.23,47.23,15996354.0,0.0,1.0
2021-03-03,47.64,47.64,46.845,47.16,47.16,14031715.0,0.0,1.0
2021-03-02,48.4,48.43,47.67,47.73,47.73,14259650.0,0.0,1.0
2021-03-01,48.46,48.68,48.08,48.09,48.09,11384694.0,0.0,1.0
2021-02-26,48.85,48.92,47.98,48.38,48.38,8515806.0,0.0,1.0
2021-02-25,49.845,49.87,48.75,48.91,48.91,12789652.0,0.93,1.0
2021-02-24,49.66,50.32,49.505,50.1,49.1651484751,12218639.0,0.0,1.0
2021-02-23,50.7,50.77,49.215,49.31,48.3898896469,14535857.0,0.0,1.0
2021-02-22,50.67,50.81,50.36,50.57,49.6263784109,10765083.0,0.0,1.0
2021-02-19,51.13,51.16,50.545,50.59,49.6460052167,6895585.0,0.0,1.0
2021-02-18,51.49,51.98,51.41,51.5,50.5390248796,9765233.0,0.0,1.0
2021-02-17,51.05,51.79,50.85,51.45,50.4899578652,9505109.0,0.0,1.0
2021-02-16,51.02,51.255,50.595,50.89,49.9404073034,8823267.0,0.0,1.0
2021-02-12,50.93,51.735,50.8,51.69,50.7254795345,11856407.0,0.0,1.0
2021-02-11,50.34,50.43,49.6,50.09,49.1553350722,13276012.0,0.0,1.0
2021-02-10,50.78,50.8378,49.755,49.97,49.0375742376,9597838.0,0.0,1.0
2021-02-09,50.163,50.635,50.04,50.41,49.4693639647,8040352.0,0.0,1.0
2021-02-08,50.1,50.53,49.8,50.06,49.1258948636,8559086.0,0.0,1.0
2021-02-05,49.95,50.0985,49.65,49.73,48.8020525682,9809365.0,0.0,1.0
2021-02-04,50.31,50.445,50.04,50.36,49.4202969502,7317680.0,0.0,1.0
2021-02-03,50.16,50.34,49.725,50.0,49.0670144462,9069712.0,0.0,1.0
2021-02-02,50.52,50.63,50.02,50.06,49.1258948636,11340925.0,0.0,1.0
2021-02-01,51.255,51.3,50.21,50.4,49.4595505618,14590904.0,0.0,1.0
