date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.36,1.47,1.3,1.38,1.38,4977810.0,0.0,1.0
2021-04-15,1.43,1.44,1.355,1.38,1.38,3386489.0,0.0,1.0
2021-04-14,1.37,1.5,1.36,1.46,1.46,6089555.0,0.0,1.0
2021-04-13,1.44,1.4482,1.22,1.35,1.35,9994283.0,0.0,1.0
2021-04-12,1.6,1.62,1.375,1.41,1.41,7717368.0,0.0,1.0
2021-04-09,1.73,1.7482,1.61,1.61,1.61,3569323.0,0.0,1.0
2021-04-08,1.73,1.77,1.7,1.73,1.73,1637803.0,0.0,1.0
2021-04-07,1.78,1.8,1.7,1.7,1.7,3236865.0,0.0,1.0
2021-04-06,1.8,1.86,1.77,1.78,1.78,1138725.0,0.0,1.0
2021-04-05,1.91,1.925,1.76,1.79,1.79,2664715.0,0.0,1.0
2021-04-01,1.9,1.95,1.86,1.92,1.92,1593503.0,0.0,1.0
2021-03-31,1.84,1.92,1.82,1.88,1.88,2082610.0,0.0,1.0
2021-03-30,1.75,1.88,1.69,1.85,1.85,3213038.0,0.0,1.0
2021-03-29,1.79,1.8108,1.69,1.69,1.69,4723055.0,0.0,1.0
2021-03-26,1.9,1.925,1.73,1.83,1.83,6290951.0,0.0,1.0
2021-03-25,1.91,1.95,1.85,1.86,1.86,3506552.0,0.0,1.0
2021-03-24,2.06,2.1,1.88,1.9,1.9,6920508.0,0.0,1.0
2021-03-23,2.16,2.21,2.08,2.1,2.1,1554125.0,0.0,1.0
2021-03-22,2.27,2.2836,2.15,2.16,2.16,1881662.0,0.0,1.0
2021-03-19,2.3,2.3205,2.22,2.27,2.27,1626842.0,0.0,1.0
2021-03-18,2.37,2.45,2.29,2.31,2.31,1301327.0,0.0,1.0
2021-03-17,2.43,2.43,2.3,2.41,2.41,1165520.0,0.0,1.0
2021-03-16,2.5,2.5,2.37,2.4,2.4,1581226.0,0.0,1.0
2021-03-15,2.38,2.49,2.31,2.47,2.47,2486117.0,0.0,1.0
2021-03-12,2.18,2.415,2.17,2.39,2.39,3123495.0,0.0,1.0
2021-03-11,2.13,2.3,2.12,2.16,2.16,3856432.0,0.0,1.0
2021-03-10,2.36,2.42,2.28,2.34,2.34,2566665.0,0.0,1.0
2021-03-09,2.18,2.32,2.16,2.3,2.3,2986989.0,0.0,1.0
2021-03-08,2.18,2.24,2.115,2.14,2.14,2287999.0,0.0,1.0
2021-03-05,2.14,2.23,2.02,2.21,2.21,4929691.0,0.0,1.0
2021-03-04,2.21,2.24,2.07,2.16,2.16,3214257.0,0.0,1.0
2021-03-03,2.27,2.2981,2.19,2.22,2.22,2029062.0,0.0,1.0
2021-03-02,2.22,2.33,2.22,2.24,2.24,1496527.0,0.0,1.0
2021-03-01,2.22,2.35,2.215,2.3,2.3,2309574.0,0.0,1.0
2021-02-26,2.3,2.315,2.15,2.19,2.19,3342958.0,0.0,1.0
2021-02-25,2.45,2.4522,2.235,2.3,2.3,3943714.0,0.0,1.0
2021-02-24,2.41,2.5,2.39,2.44,2.44,1470125.0,0.0,1.0
