date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,31.19,31.23,30.6827,31.03,31.03,15255.0,0.0,1.0
2021-04-15,31.15,31.15,30.4,30.83,30.83,33984.0,0.0,1.0
2021-04-14,30.47,31.13,30.47,31.0,31.0,16373.0,0.0,1.0
2021-04-13,31.01,31.35,30.3,30.57,30.57,29605.0,0.0,1.0
2021-04-12,30.38,31.68,30.33,31.3,31.3,39097.0,0.0,1.0
2021-04-09,30.27,30.84,30.27,30.59,30.59,23018.0,0.0,1.0
2021-04-08,30.7,30.7,29.85,30.32,30.32,19888.0,0.0,1.0
2021-04-07,30.75,31.31,30.17,30.47,30.47,33653.0,0.0,1.0
2021-04-06,30.48,31.19,30.22,30.82,30.82,38036.0,0.0,1.0
2021-04-05,30.0,30.55,29.48,30.49,30.49,37952.0,0.0,1.0
2021-04-01,29.42,29.87,29.42,29.77,29.77,23344.0,0.0,1.0
2021-03-31,29.87,30.0,29.42,29.42,29.42,57022.0,0.0,1.0
2021-03-30,28.9,29.82,28.33,29.57,29.57,32811.0,0.0,1.0
2021-03-29,28.77,29.2668,28.6,28.74,28.74,30185.0,0.0,1.0
2021-03-26,28.75,29.23,28.53,28.95,28.95,13354.0,0.0,1.0
2021-03-25,27.44,28.93,27.3186,28.58,28.58,29309.0,0.0,1.0
2021-03-24,28.08,29.282,27.5,27.5,27.5,22439.0,0.0,1.0
2021-03-23,28.22,28.56,27.52,27.78,27.78,22935.0,0.0,1.0
2021-03-22,27.91,28.9,27.91,28.56,28.56,40642.0,0.0,1.0
2021-03-19,29.68,29.81,28.27,29.1,29.1,170823.0,0.0,1.0
2021-03-18,29.91,30.99,29.56,29.92,29.92,28992.0,0.0,1.0
2021-03-17,29.95,29.95,29.38,29.48,29.48,39603.0,0.0,1.0
2021-03-16,30.5,30.5,29.14,29.78,29.78,23584.0,0.0,1.0
2021-03-15,31.18,31.18,29.84,30.34,30.34,35268.0,0.0,1.0
2021-03-12,31.48,31.5882,30.84,31.23,31.23,18326.0,0.0,1.0
2021-03-11,31.53,31.53,30.47,31.23,31.23,31275.0,0.0,1.0
2021-03-10,30.78,31.78,30.365,31.58,31.58,32258.0,0.0,1.0
2021-03-09,32.0,32.0,30.32,30.92,30.92,38592.0,0.0,1.0
2021-03-08,31.2,32.37,30.76,32.15,32.15,48872.0,0.0,1.0
2021-03-05,30.0,31.18,29.94,31.15,31.15,97809.0,0.0,1.0
2021-03-04,29.36,30.04,28.56,29.64,29.64,63638.0,0.0,1.0
2021-03-03,28.01,29.5154,28.01,29.0,29.0,50390.0,0.0,1.0
2021-03-02,28.4,28.4,27.85,28.0,28.0,29206.0,0.0,1.0
2021-03-01,28.34,28.62,28.01,28.59,28.59,33552.0,0.0,1.0
2021-02-26,27.76,28.4,26.53,27.99,27.99,56795.0,0.0,1.0
2021-02-25,28.05,28.22,27.2986,28.0,28.0,60313.0,0.0,1.0
2021-02-24,26.63,28.25,26.63,28.23,28.23,45938.0,0.0,1.0
2021-02-23,26.12,26.73,26.0478,26.51,26.51,38057.0,0.0,1.0
