date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,26.62,26.66,26.36,26.49,26.49,61896.0,0.0,1.0
2021-04-15,26.69,26.69,26.55,26.62,26.62,34282.0,0.0,1.0
2021-04-14,26.71,26.71,26.53,26.54,26.54,20938.0,0.0,1.0
2021-04-13,26.5331,26.69,26.3916,26.56,26.56,32351.0,0.0,1.0
2021-04-12,26.46,26.5488,26.37,26.41,26.41,18978.0,0.0,1.0
2021-04-09,26.46,26.5837,26.41,26.4704,26.4704,50158.0,0.0,1.0
2021-04-08,26.65,26.7385,26.52,26.56,26.56,46863.0,0.0,1.0
2021-04-07,26.7529,26.9,26.58,26.67,26.67,39334.0,0.0,1.0
2021-04-06,26.6929,26.92,26.6365,26.76,26.76,46891.0,0.0,1.0
2021-04-05,26.7,26.8263,26.53,26.67,26.67,72360.0,0.0,1.0
2021-04-01,26.57,26.79,26.5,26.72,26.72,79205.0,0.0,1.0
2021-03-31,26.0455,26.64,26.0455,26.6,26.6,277101.0,0.0,1.0
2021-03-30,25.75,26.07,25.75,26.05,26.05,39998.0,0.0,1.0
2021-03-29,26.08,26.09,25.81,25.87,25.87,37470.0,0.0,1.0
2021-03-26,25.91,26.11,25.8724,25.88,25.88,26625.0,0.0,1.0
2021-03-25,25.95,26.07,25.8,25.9,25.9,53128.0,0.0,1.0
2021-03-24,25.93,26.1481,25.9258,26.01,26.01,45261.0,0.0,1.0
2021-03-23,25.9,25.97,25.81,25.93,25.93,41176.0,0.0,1.0
2021-03-22,25.79,25.97,25.6721,25.94,25.94,94243.0,0.0,1.0
2021-03-19,25.25,25.8,25.06,25.67,25.67,90774.0,0.0,1.0
2021-03-18,25.93,25.93,25.12,25.12,25.12,164521.0,0.0,1.0
2021-03-17,26.08,26.08,25.6387,25.98,25.98,70586.0,0.0,1.0
2021-03-16,25.55,26.1,25.54,25.98,25.98,73377.0,0.0,1.0
2021-03-15,25.32,25.55,25.215,25.53,25.53,58905.0,0.0,1.0
2021-03-12,25.45,25.45,25.0,25.2,25.2,71173.0,0.0,1.0
2021-03-11,25.21,25.5065,25.064,25.41,25.41,106704.0,0.0,1.0
2021-03-10,25.18,25.29,25.03,25.09,25.09,79508.0,0.0,1.0
2021-03-09,24.96,25.22,24.8427,25.05,25.05,110086.0,0.4666,1.0
