date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,42.47,43.42,42.3006,42.85,42.85,335154.0,0.0,1.0
2021-04-15,43.1,43.245,42.06,42.27,42.27,356940.0,0.0,1.0
2021-04-14,41.78,43.54,41.69,42.9,42.9,416852.0,0.33,1.0
2021-04-13,43.72,43.99,41.68,42.39,42.0664122137,644816.0,0.0,1.0
2021-04-12,43.2,44.08,42.37,43.72,43.386259542,622349.0,0.0,1.0
2021-04-09,41.51,42.99,41.12,42.94,42.6122137405,685213.0,0.0,1.0
2021-04-08,40.72,41.3399,39.76,41.17,40.8557251908,429292.0,0.0,1.0
2021-04-07,40.27,40.68,39.5,40.5,40.1908396947,608417.0,0.0,1.0
2021-04-06,39.95,42.011,39.69,40.05,39.7442748092,708852.0,0.0,1.0
2021-04-05,39.68,40.0,38.725,39.68,39.3770992366,313494.0,0.0,1.0
2021-04-01,39.68,40.0426,38.87,39.36,39.0595419847,463620.0,0.0,1.0
2021-03-31,39.65,40.35,39.14,39.28,38.9801526718,350146.0,0.0,1.0
2021-03-30,38.92,40.38,38.72,39.87,39.565648855,293341.0,0.0,1.0
2021-03-29,40.96,41.42,38.58,38.72,38.4244274809,406985.0,0.0,1.0
2021-03-26,40.8,41.39,40.29,41.0,40.6870229008,410022.0,0.0,1.0
2021-03-25,37.86,40.05,36.76,39.95,39.6450381679,527150.0,0.0,1.0
2021-03-24,39.6,39.99,38.22,38.36,38.0671755725,437135.0,0.0,1.0
2021-03-23,40.54,40.8,39.04,39.08,38.7816793893,587683.0,0.0,1.0
2021-03-22,41.61,41.84,40.18,40.59,40.2801526718,298988.0,0.0,1.0
2021-03-19,40.94,41.46,39.79,40.96,40.6473282443,751860.0,0.0,1.0
2021-03-18,41.62,42.52,40.59,40.91,40.5977099237,331594.0,0.0,1.0
2021-03-17,41.75,42.175,41.1,41.93,41.6099236641,316266.0,0.0,1.0
2021-03-16,42.17,42.63,40.74,42.11,41.7885496183,498982.0,0.0,1.0
2021-03-15,40.72,43.11,40.72,42.87,42.5427480916,615057.0,0.0,1.0
2021-03-12,40.46,41.0,39.5,40.65,40.3396946565,549652.0,0.0,1.0
2021-03-11,40.23,40.675,39.99,40.67,40.3595419847,339111.0,0.0,1.0
2021-03-10,39.43,40.47,38.9799,39.96,39.6549618321,439294.0,0.0,1.0
2021-03-09,39.67,40.03,39.16,39.36,39.0595419847,436272.0,0.0,1.0
2021-03-08,38.03,39.74,37.59,39.45,39.1488549618,624105.0,0.0,1.0
2021-03-05,37.27,37.8,36.34,37.56,37.2732824427,436471.0,0.0,1.0
2021-03-04,37.77,38.25,36.0,36.98,36.6977099237,674675.0,0.0,1.0
2021-03-03,37.48,38.63,36.56,37.88,37.5908396947,421142.0,0.0,1.0
2021-03-02,38.87,39.06,37.305,37.39,37.1045801527,417787.0,0.0,1.0
2021-03-01,39.0,39.85,38.38,38.93,38.6328244275,339992.0,0.0,1.0
2021-02-26,38.0,38.72,36.7601,38.44,38.1465648855,512719.0,0.0,1.0
2021-02-25,39.45,40.1925,38.06,38.27,37.9778625954,446946.0,0.0,1.0
2021-02-24,39.3,40.4,38.55,39.42,39.1190839695,595970.0,0.0,1.0
2021-02-23,38.62,39.517,37.6257,39.0,38.7022900763,343405.0,0.0,1.0
2021-02-22,38.45,39.71,38.1001,39.16,38.8610687023,325330.0,0.0,1.0
2021-02-19,38.41,38.928,37.93,38.57,38.2755725191,305644.0,0.0,1.0
2021-02-18,38.49,38.49,37.25,38.1,37.8091603053,336307.0,0.0,1.0
2021-02-17,37.92,39.19,37.74,38.7,38.4045801527,266214.0,0.0,1.0
2021-02-16,39.21,39.26,37.9217,38.7,38.4045801527,314072.0,0.0,1.0
2021-02-12,39.61,39.86,38.69,38.89,38.593129771,338578.0,0.0,1.0
2021-02-11,40.31,40.82,39.3,40.01,39.7045801527,518935.0,0.0,1.0
2021-02-10,39.69,40.86,38.87,40.17,39.8633587786,380629.0,0.0,1.0
2021-02-09,38.94,39.5,38.53,39.21,38.9106870229,389024.0,0.0,1.0
2021-02-08,40.55,40.615,38.86,39.06,38.7618320611,657587.0,0.0,1.0
2021-02-05,41.31,41.31,39.37,40.39,40.0816793893,451270.0,0.0,1.0
2021-02-04,39.78,41.41,39.65,41.02,40.706870229,463626.0,0.0,1.0
2021-02-03,38.1,39.27,37.97,39.07,38.7717557252,321530.0,0.0,1.0
2021-02-02,37.9,38.67,36.51,38.09,37.7992366412,414593.0,0.0,1.0
2021-02-01,39.32,39.32,35.77,37.58,37.293129771,683539.0,0.0,1.0
2021-01-29,39.85,42.3575,38.68,39.32,39.0198473282,1420776.0,0.0,1.0
2021-01-28,36.81,40.39,36.45,40.07,39.7641221374,2118254.0,0.0,1.0
2021-01-27,34.05,36.7099,33.46,36.17,35.8938931298,1123238.0,0.0,1.0
2021-01-26,34.84,35.13,33.32,34.49,34.2267175573,546548.0,0.0,1.0
2021-01-25,33.94,35.51,33.89,34.54,34.2763358779,440022.0,0.0,1.0
2021-01-22,33.24,33.81,32.9,33.8,33.5419847328,302709.0,0.0,1.0
2021-01-21,33.0,33.88,32.835,33.46,33.2045801527,310859.0,0.0,1.0
2021-01-20,32.35,33.0,32.3,32.7,32.4503816794,262940.0,0.0,1.0
2021-01-19,33.44,33.515,32.08,32.24,31.9938931298,271035.0,0.0,1.0
2021-01-15,33.03,33.655,32.35,32.99,32.7381679389,314794.0,0.0,1.0
2021-01-14,33.26,33.84,33.15,33.55,33.2938931298,350157.0,0.0,1.0
2021-01-13,33.43,33.865,32.97,33.09,32.8374045802,354906.0,0.0,1.0
2021-01-12,33.53,34.54,33.48,33.94,33.6809160305,478896.0,0.0,1.0
2021-01-11,32.49,33.99,32.49,33.55,33.2938931298,371434.0,0.0,1.0
2021-01-08,32.78,33.0,32.21,32.83,32.579389313,371986.0,0.0,1.0
2021-01-07,32.58,33.11,32.5,32.7,32.4503816794,364298.0,0.0,1.0
2021-01-06,30.85,32.6,30.84,32.45,32.2022900763,813164.0,0.0,1.0
2021-01-05,28.66,30.61,28.42,30.14,29.9099236641,519688.0,0.0,1.0
2021-01-04,29.5,29.73,28.44,28.67,28.4511450382,342264.0,0.0,1.0
2020-12-31,29.03,29.62,28.37,29.2,28.9770992366,390136.0,0.0,1.0
2020-12-30,29.77,30.5,28.98,29.06,28.8381679389,399220.0,0.0,1.0
2020-12-29,30.24,30.305,29.35,29.85,29.6221374046,278148.0,0.0,1.0
2020-12-28,30.15,30.52,29.81,30.33,30.0984732824,457968.0,0.0,1.0
2020-12-24,30.15,30.56,29.75,30.06,29.8305343511,170877.0,0.0,1.0
2020-12-23,29.19,30.18,29.19,29.97,29.741221374,343661.0,0.0,1.0
2020-12-22,29.99,30.1,28.85,28.99,28.7687022901,419565.0,0.0,1.0
2020-12-21,29.57,30.115,29.13,29.84,29.6122137405,500040.0,0.0,1.0
2020-12-18,30.25,30.83,29.79,30.08,29.8503816794,1790415.0,2.3,1.0
2020-12-17,32.8,33.12,31.92,32.47,29.9333506217,714825.0,0.0,1.0
2020-12-16,32.92,33.5,32.51,32.67,30.117726049,423539.0,0.0,1.0
2020-12-15,32.52,33.2,32.171,32.86,30.2928827049,404035.0,0.0,1.0
2020-12-14,32.85,33.5,32.1,32.11,29.6014748525,593224.0,0.0,1.0
