date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,4.59,4.65,4.51,4.54,4.54,10587.0,0.0,1.0
2021-04-15,4.55,4.73,4.4101,4.58,4.58,15322.0,0.0,1.0
2021-04-14,4.65,4.94,4.6,4.68,4.68,35817.0,0.0,1.0
2021-04-13,4.55,4.6,4.46,4.51,4.51,6618.0,0.0,1.0
2021-04-12,4.89,4.89,4.6,4.64,4.64,13762.0,0.0,1.0
2021-04-09,4.92,4.92,4.73,4.89,4.89,17470.0,0.02,1.0
2021-04-08,5.0,5.0242,4.82,4.89,4.8700814664,28381.0,0.0,1.0
2021-04-07,4.96,5.0301,4.84,4.98,4.95971486762,25621.0,0.0,1.0
2021-04-06,4.9,5.25,4.69,4.96,4.93979633401,94284.0,0.0,1.0
2021-04-05,4.82,4.97,4.64,4.97,4.94975560081,37830.0,0.0,1.0
2021-04-01,4.45,4.7877,4.26,4.61,4.59122199593,44639.0,0.0,1.0
2021-03-31,4.09,4.48,4.09,4.18,4.16297352342,40352.0,0.0,1.0
2021-03-30,4.32,4.37,4.21,4.21,4.19285132383,15413.0,0.0,1.0
2021-03-29,4.06,4.35,3.97,4.31,4.29244399185,35532.0,0.0,1.0
2021-03-26,4.65,4.72,4.25,4.25,4.23268839104,33955.0,0.0,1.0
2021-03-25,4.44,4.61,4.3001,4.51,4.4916293279,19635.0,0.0,1.0
2021-03-24,4.26,4.9515,4.17,4.57,4.55138492872,33296.0,0.0,1.0
2021-03-23,4.7599,5.0,4.01,4.09,4.0733401222,64270.0,0.0,1.0
2021-03-22,4.6,4.9,4.53,4.55,4.53146639511,43126.0,0.0,1.0
2021-03-19,4.78,4.8607,4.6,4.6,4.58126272912,26521.0,0.0,1.0
2021-03-18,4.89,4.8964,4.62,4.73,4.71073319756,67512.0,0.0,1.0
2021-03-17,5.32,5.32,4.87,4.87,4.85016293279,75703.0,0.0,1.0
2021-03-16,5.33,5.33,5.1193,5.15,5.12902240326,31444.0,0.0,1.0
2021-03-15,5.05,5.5,5.05,5.35,5.32820773931,190288.0,0.0,1.0
2021-03-12,5.14,5.14,4.9,5.0,4.97963340122,41401.0,0.0,1.0
2021-03-11,5.45,5.45,4.95,4.98,4.95971486762,78001.0,0.0,1.0
2021-03-10,5.0,5.45,4.8864,5.42,5.39792260692,156769.0,0.0,1.0
2021-03-09,4.91,5.19,4.845,5.0,4.97963340122,162285.0,0.0,1.0
2021-03-08,4.5,4.93,4.5,4.89,4.8700814664,114325.0,0.0,1.0
2021-03-05,4.53,4.53,4.0,4.49,4.4717107943,31656.0,0.0,1.0
2021-03-04,4.65,4.65,4.28,4.53,4.51154786151,55468.0,0.0,1.0
2021-03-03,4.52,4.55,4.32,4.34,4.32232179226,37129.0,0.0,1.0
2021-03-02,4.52,4.52,4.3,4.47,4.45179226069,19824.0,0.0,1.0
2021-03-01,4.1999,4.44,4.19,4.39,4.37211812627,17276.0,0.0,1.0
2021-02-26,4.1,4.25,4.0,4.21,4.19285132383,10647.0,0.0,1.0
2021-02-25,3.5,4.2908,3.5,4.12,4.10321792261,36782.0,0.0,1.0
2021-02-24,4.245,4.3678,4.245,4.31,4.29244399185,9726.0,0.0,1.0
2021-02-23,4.4,4.4,3.975,4.21,4.19285132383,13005.0,0.0,1.0
2021-02-22,4.56,4.66,4.33,4.43,4.41195519348,88560.0,0.0,1.0
2021-02-19,4.68,4.68,4.2524,4.47,4.45179226069,107894.0,0.0,1.0
2021-02-18,4.18,4.32,4.08,4.14,4.12313645621,119812.0,0.0,1.0
2021-02-17,4.2119,4.3,4.1,4.19,4.17293279022,21979.0,0.0,1.0
2021-02-16,4.5,4.58,4.12,4.19,4.17293279022,23119.0,0.0,1.0
2021-02-12,4.1,4.249,3.9378,4.21,4.19285132383,8177.0,0.0,1.0
2021-02-11,3.94,4.35,3.94,4.16,4.14305498982,33052.0,0.0,1.0
2021-02-10,4.1,4.1,3.8001,4.01,3.99366598778,20685.0,0.0,1.0
2021-02-09,4.05,4.08,3.88,3.99,3.97374745418,73492.0,0.0,1.0
2021-02-08,3.4714,3.87,3.4592,3.87,3.85423625255,36997.0,0.0,1.0
2021-02-05,3.39,3.48,3.39,3.45,3.43594704684,10573.0,0.0,1.0
2021-02-04,3.41,3.41,3.39,3.4,3.38615071283,11345.0,0.0,1.0
2021-02-03,3.425,3.425,3.3,3.37,3.35627291242,9274.0,0.0,1.0
2021-02-02,3.49,3.49,3.29,3.29,3.276598778,24785.0,0.0,1.0
2021-02-01,3.4583,3.49,3.4,3.46,3.44590631365,7995.0,0.0,1.0
2021-01-29,3.27,3.4585,3.27,3.4,3.38615071283,7622.0,0.0,1.0
2021-01-28,3.31,3.44,3.31,3.35,3.33635437882,5245.0,0.0,1.0
2021-01-27,3.27,3.29,3.2,3.28,3.2666395112,18639.0,0.0,1.0
2021-01-26,3.36,3.36,3.3144,3.35,3.33635437882,1974.0,0.0,1.0
2021-01-25,3.4,3.44,3.3227,3.36,3.34631364562,20276.0,0.0,1.0
2021-01-22,3.43,3.44,3.34,3.3916,3.37778492872,4782.0,0.0,1.0
2021-01-21,3.4999,3.4999,3.4327,3.46,3.44590631365,4902.0,0.0,1.0
2021-01-20,3.54,3.54,3.47,3.47,3.45586558045,9702.0,0.0,1.0
2021-01-19,3.53,3.6999,3.4501,3.4501,3.43604663951,3603.0,0.0,1.0
2021-01-15,3.65,3.65,3.42,3.43,3.41602851324,1722.0,0.0,1.0
2021-01-14,3.41,3.7096,3.41,3.7096,3.69448961303,58329.0,0.0,1.0
2021-01-13,3.45,3.51,3.325,3.51,3.49570264766,6193.0,0.0,1.0
2021-01-12,3.54,3.58,3.5,3.55,3.53553971487,28823.0,0.0,1.0
2021-01-11,3.2,3.5,3.19,3.47,3.45586558045,103351.0,0.0,1.0
2021-01-08,3.0601,3.2,2.98,3.1999,3.18686578411,42936.0,0.0,1.0
2021-01-07,3.0553,3.08,2.97,3.05,3.03757637475,72240.0,0.0,1.0
2021-01-06,2.86,3.07,2.86,2.92,2.90810590631,77223.0,0.0,1.0
2021-01-05,2.98,2.98,2.86,2.97,2.95790224033,19940.0,0.0,1.0
2021-01-04,2.96,3.03,2.96,3.01,2.99773930754,7535.0,0.0,1.0
2020-12-31,3.04,3.08,3.01,3.03,3.01765784114,13794.0,0.02,1.0
2020-12-30,2.99,3.04,2.99,3.03,2.99786992087,10706.0,0.0,1.0
2020-12-29,3.03,3.04,3.01,3.01,2.9780820006,10743.0,0.0,1.0
2020-12-28,3.0584,3.08,3.03,3.03,2.99786992087,58347.0,0.0,1.0
2020-12-24,3.0735,3.1,3.0,3.05,3.01765784114,84468.0,0.0,1.0
2020-12-23,2.8901,3.09,2.89,3.03,2.99786992087,159264.0,0.0,1.0
2020-12-22,2.61,2.88,2.61,2.85,2.81977863844,68172.0,0.0,1.0
2020-12-21,2.8616,2.867,2.5442,2.585,2.55758869487,178166.0,0.0,1.0
2020-12-18,2.94,3.08,2.82,2.82,2.79009675804,96206.0,0.0,1.0
2020-12-17,3.11,3.1325,2.9359,2.95,2.91871823979,18469.0,0.0,1.0
