date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.6535,2.68,2.56,2.63,2.63,450740.0,0.0,1.0
2021-04-15,2.75,2.79,2.62,2.67,2.67,595915.0,0.0,1.0
2021-04-14,2.77,2.7998,2.65,2.73,2.73,462467.0,0.0,1.0
2021-04-13,2.81,2.86,2.76,2.76,2.76,357740.0,0.0,1.0
2021-04-12,2.91,2.91,2.77,2.86,2.86,660475.0,0.0,1.0
2021-04-09,2.88,2.88,2.8077,2.87,2.87,315584.0,0.0,1.0
2021-04-08,2.86,2.89,2.81,2.85,2.85,305020.0,0.0,1.0
2021-04-07,2.8,2.87,2.78,2.85,2.85,352958.0,0.0,1.0
2021-04-06,2.87,2.88,2.79,2.86,2.86,469402.0,0.0,1.0
2021-04-05,2.95,2.98,2.83,2.89,2.89,553445.0,0.0,1.0
2021-04-01,2.86,2.91,2.8,2.85,2.85,348202.0,0.0,1.0
2021-03-31,2.85,2.89,2.78,2.79,2.79,246829.0,0.0,1.0
2021-03-30,2.788,2.8587,2.74,2.82,2.82,303321.0,0.0,1.0
2021-03-29,2.87,2.9,2.76,2.79,2.79,283095.0,0.0,1.0
2021-03-26,2.97,2.99,2.8,2.9,2.9,355216.0,0.0,1.0
2021-03-25,2.77,2.99,2.754,2.95,2.95,566973.0,0.0,1.0
2021-03-24,2.9814,2.9814,2.76,2.8,2.8,419207.0,0.0,1.0
2021-03-23,3.0,3.04,2.87,2.91,2.91,421943.0,0.0,1.0
2021-03-22,3.095,3.13,3.01,3.04,3.04,430407.0,0.0,1.0
2021-03-19,2.96,3.13,2.9523,3.06,3.06,319839.0,0.0,1.0
2021-03-18,3.042,3.1999,2.96,2.99,2.99,410834.0,0.0,1.0
2021-03-17,3.0,3.15,2.9501,3.1,3.1,558359.0,0.0,1.0
2021-03-16,3.19,3.19,3.01,3.06,3.06,360477.0,0.0,1.0
2021-03-15,3.1,3.21,3.07,3.16,3.16,558480.0,0.0,1.0
2021-03-12,2.99,3.03,2.9,3.03,3.03,327469.0,0.0,1.0
2021-03-11,2.93,3.03,2.88,3.01,3.01,591046.0,0.0,1.0
2021-03-10,2.925,2.97,2.82,2.85,2.85,449750.0,0.0,1.0
2021-03-09,2.7952,2.94,2.78,2.91,2.91,575261.0,0.0,1.0
2021-03-08,2.8171,2.875,2.7,2.73,2.73,561216.0,0.0,1.0
2021-03-05,2.93,2.93,2.58,2.89,2.89,1383668.0,0.0,1.0
2021-03-04,3.02,3.1,2.76,2.95,2.95,1570858.0,0.0,1.0
2021-03-03,3.13,3.13,2.83,2.9,2.9,1251486.0,0.0,1.0
2021-03-02,3.1997,3.24,3.05,3.08,3.08,547200.0,0.0,1.0
2021-03-01,3.25,3.3797,3.1124,3.16,3.16,939056.0,0.0,1.0
2021-02-26,3.15,3.27,3.06,3.09,3.09,944921.0,0.0,1.0
2021-02-25,3.3835,3.43,3.11,3.23,3.23,1058184.0,0.0,1.0
2021-02-24,3.41,3.57,3.39,3.5,3.5,1245662.0,0.0,1.0
2021-02-23,3.42,3.59,2.9,3.33,3.33,2150283.0,0.0,1.0
2021-02-22,3.34,3.74,3.33,3.44,3.44,2139146.0,0.0,1.0
2021-02-19,3.48,3.545,3.31,3.33,3.33,1092407.0,0.0,1.0
2021-02-18,3.47,3.65,3.37,3.45,3.45,1109817.0,0.0,1.0
2021-02-17,3.3,3.605,3.21,3.57,3.57,1335179.0,0.0,1.0
2021-02-16,3.62,3.64,3.06,3.32,3.32,2812653.0,0.0,1.0
2021-02-12,3.59,3.789,3.55,3.59,3.59,1326951.0,0.0,1.0
2021-02-11,3.95,3.9581,3.61,3.71,3.71,1304287.0,0.0,1.0
2021-02-10,3.9,3.95,3.54,3.88,3.88,2792693.0,0.0,1.0
2021-02-09,4.08,4.14,3.88,3.96,3.96,2901904.0,0.0,1.0
2021-02-08,3.5,4.23,3.5,4.0,4.0,6007821.0,0.0,1.0
2021-02-05,3.4,3.4989,3.21,3.49,3.49,2631806.0,0.0,1.0
2021-02-04,3.23,3.39,3.2,3.39,3.39,3608969.0,0.0,1.0
2021-02-03,3.0878,3.33,3.07,3.1,3.1,4186609.0,0.0,1.0
2021-02-02,2.9,3.08,2.8822,2.95,2.95,3088870.0,0.0,1.0
2021-02-01,2.97,3.007,2.83,2.85,2.85,3566568.0,0.0,1.0
2021-01-29,3.04,3.24,2.7,2.79,2.79,8456093.0,0.0,1.0
2021-01-28,2.38,3.16,2.36,2.93,2.93,17850227.0,0.0,1.0
2021-01-27,2.4,2.415,2.32,2.38,2.38,1890594.0,0.0,1.0
2021-01-26,2.51,2.54,2.42,2.46,2.46,1864292.0,0.0,1.0
2021-01-25,2.5,2.55,2.37,2.48,2.48,3049186.0,0.0,1.0
2021-01-22,2.5,2.53,2.43,2.53,2.53,1837765.0,0.0,1.0
2021-01-21,2.52,2.54,2.42,2.53,2.53,2613936.0,0.0,1.0
2021-01-20,2.46,2.58,2.34,2.45,2.45,13853913.0,0.0,1.0
2021-01-19,2.79,3.2799,2.79,3.17,3.17,3141608.0,0.0,1.0
2021-01-15,2.79,2.84,2.72,2.78,2.78,459257.0,0.0,1.0
2021-01-14,2.79,2.82,2.76,2.8,2.8,667783.0,0.0,1.0
2021-01-13,2.9,2.92,2.75,2.8,2.8,1085652.0,0.0,1.0
2021-01-12,2.98,2.99,2.75,2.82,2.82,1459900.0,0.0,1.0
2021-01-11,2.69,3.01,2.68,2.92,2.92,2058809.0,0.0,1.0
2021-01-08,2.5,2.63,2.45,2.62,2.62,867688.0,0.0,1.0
2021-01-07,2.47,2.5399,2.44,2.49,2.49,441708.0,0.0,1.0
2021-01-06,2.46,2.5393,2.42,2.46,2.46,555445.0,0.0,1.0
2021-01-05,2.446,2.49,2.38,2.46,2.46,583424.0,0.0,1.0
2021-01-04,2.48,2.53,2.42,2.45,2.45,614840.0,0.0,1.0
2020-12-31,2.55,2.59,2.46,2.52,2.52,705604.0,0.0,1.0
2020-12-30,2.5,2.59,2.48,2.55,2.55,531073.0,0.0,1.0
2020-12-29,2.5,2.52,2.33,2.48,2.48,923734.0,0.0,1.0
2020-12-28,2.59,2.5998,2.45,2.45,2.45,1041587.0,0.0,1.0
2020-12-24,2.67,2.6849,2.53,2.58,2.58,655480.0,0.0,1.0
2020-12-23,2.6,2.655,2.51,2.62,2.62,1273646.0,0.0,1.0
2020-12-22,2.65,2.69,2.53,2.62,2.62,1203000.0,0.0,1.0
2020-12-21,2.5,2.72,2.45,2.64,2.64,1531157.0,0.0,1.0
2020-12-18,2.65,2.69,2.52,2.63,2.63,2087915.0,0.0,1.0
2020-12-17,2.8919,2.96,2.68,2.73,2.73,2359199.0,0.0,1.0
2020-12-16,2.7958,3.07,2.4,2.86,2.86,13694310.0,0.0,1.0
2020-12-15,3.56,3.72,3.06,3.62,3.62,6314478.0,0.0,1.0
2020-12-14,2.77,3.58,2.75,3.39,3.39,13491380.0,0.0,1.0
2020-12-11,2.5,2.7,2.4307,2.67,2.67,1775402.0,0.0,1.0
2020-12-10,2.35,2.53,2.28,2.455,2.455,884514.0,0.0,1.0
2020-12-09,2.44,2.5,2.2701,2.37,2.37,680530.0,0.0,1.0
2020-12-08,2.36,2.54,2.29,2.45,2.45,1029572.0,0.0,1.0
2020-12-07,2.31,2.38,2.29,2.35,2.35,435560.0,0.0,1.0
2020-12-04,2.28,2.38,2.28,2.32,2.32,599406.0,0.0,1.0
2020-12-03,2.3517,2.4,2.25,2.31,2.31,482085.0,0.0,1.0
2020-12-02,2.26,2.342,2.2,2.34,2.34,620141.0,0.0,1.0
2020-12-01,2.28,2.29,2.215,2.26,2.26,611387.0,0.0,1.0
2020-11-30,2.3,2.3099,2.22,2.29,2.29,704474.0,0.0,1.0
2020-11-27,2.25,2.35,2.24,2.32,2.32,462050.0,0.0,1.0
2020-11-25,2.27,2.27,2.17,2.25,2.25,572265.0,0.0,1.0
2020-11-24,2.3,2.31,2.2,2.26,2.26,814436.0,0.0,1.0
2020-11-23,2.42,2.515,2.23,2.28,2.28,2568617.0,0.0,1.0
2020-11-20,2.36,2.68,2.31,2.64,2.64,1458488.0,0.0,1.0
2020-11-19,2.31,2.32,2.2,2.32,2.32,694484.0,0.0,1.0
2020-11-18,2.25,2.4,2.2,2.2,2.2,573301.0,0.0,1.0
2020-11-17,2.25,2.33,2.18,2.24,2.24,588426.0,0.0,1.0
2020-11-16,2.3,2.38,2.16,2.23,2.23,1248201.0,0.0,1.0
2020-11-13,2.35,2.43,2.3,2.35,2.35,761017.0,0.0,1.0
2020-11-12,2.3301,2.42,2.25,2.35,2.35,755020.0,0.0,1.0
2020-11-11,2.45,2.54,2.2699,2.38,2.38,1185174.0,0.0,1.0
2020-11-10,2.27,2.46,2.15,2.41,2.41,1075550.0,0.0,1.0
2020-11-09,2.609,2.609,2.0,2.28,2.28,3158420.0,0.0,1.0
2020-11-06,2.69,2.81,2.54,2.6,2.6,2288737.0,0.0,1.0
2020-11-05,2.6668,2.91,2.48,2.83,2.83,4382244.0,0.0,1.0
2020-11-04,2.77,2.8,2.54,2.68,2.68,7088741.0,0.0,1.0
2020-11-03,2.15,3.3,2.14,2.53,2.53,50232602.0,0.0,1.0
2020-11-02,2.23,2.38,2.03,2.29,2.29,16237345.0,0.0,1.0
2020-10-30,2.28,3.1,1.96,1.98,1.98,213121324.0,0.0,1.0
2020-10-29,1.46,1.55,1.45,1.48,1.48,173451.0,0.0,1.0
2020-10-28,1.48,1.49,1.4,1.47,1.47,125733.0,0.0,1.0
2020-10-27,1.51,1.5191,1.46,1.47,1.47,140186.0,0.0,1.0
2020-10-26,1.55,1.5734,1.5,1.52,1.52,117813.0,0.0,1.0
2020-10-23,1.56,1.5648,1.54,1.55,1.55,57985.0,0.0,1.0
2020-10-22,1.5609,1.5781,1.54,1.55,1.55,56599.0,0.0,1.0
2020-10-21,1.6,1.6,1.56,1.57,1.57,82009.0,0.0,1.0
