date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,11.27,11.37,10.41,10.54,10.54,87487.0,0.0,1.0
2021-04-15,11.51,11.51,10.61,11.11,11.11,61529.0,0.0,1.0
2021-04-14,11.25,11.48,11.15,11.39,11.39,16452.0,0.0,1.0
2021-04-13,11.28,11.54,11.0,11.26,11.26,25618.0,0.0,1.0
2021-04-12,11.58,11.58,11.05,11.31,11.31,40024.0,0.0,1.0
2021-04-09,11.85,11.85,11.25,11.47,11.47,28580.0,0.0,1.0
2021-04-08,11.75,12.15,11.65,11.7,11.7,8487.0,0.0,1.0
2021-04-07,11.79,11.91,11.0,11.89,11.89,100617.0,0.0,1.0
2021-04-06,12.14,12.23,11.5,11.74,11.74,43299.0,0.0,1.0
2021-04-05,12.0,12.2,11.32,11.89,11.89,85310.0,0.0,1.0
2021-04-01,12.32,12.32,11.3563,11.85,11.85,71276.0,0.0,1.0
2021-03-31,11.49,12.11,11.32,11.65,11.65,41089.0,0.0,1.0
2021-03-30,12.16,12.43,11.0,11.51,11.51,88731.0,0.0,1.0
2021-03-29,12.45,12.45,11.8,12.23,12.23,57218.0,0.0,1.0
2021-03-26,12.45,12.45,12.28,12.45,12.45,63477.0,0.0,1.0
2021-03-25,12.84,12.84,11.96,12.42,12.42,105584.0,0.0,1.0
2021-03-24,13.01,13.37,11.9,12.71,12.71,87800.0,0.0,1.0
2021-03-23,13.19,13.6,12.59,13.04,13.04,89575.0,0.0,1.0
2021-03-22,13.06,13.895,12.84,13.18,13.18,89550.0,0.0,1.0
2021-03-19,13.06,13.9,13.02,13.25,13.25,437661.0,0.0,1.0
2021-03-18,12.83,13.49,12.735,13.42,13.42,151364.0,0.0,1.0
2021-03-17,13.52,13.68,12.725,13.05,13.05,183422.0,0.0,1.0
2021-03-16,12.87,13.36,12.51,13.28,13.28,63697.0,0.0,1.0
2021-03-15,12.16,13.32,12.16,13.09,13.09,101794.0,0.0,1.0
2021-03-12,12.29,12.63,11.93,11.94,11.94,26676.0,0.0,1.0
2021-03-11,12.35,12.87,11.76,11.89,11.89,58234.0,0.0,1.0
2021-03-10,11.615,12.5,11.48,12.15,12.15,37519.0,0.0,1.0
2021-03-09,11.36,12.5,11.36,11.75,11.75,34090.0,0.0,1.0
2021-03-08,11.52,11.94,11.22,11.43,11.43,78266.0,0.0,1.0
2021-03-05,11.56,11.98,10.65,11.64,11.64,109557.0,0.0,1.0
2021-03-04,11.58,11.84,11.0801,11.33,11.33,70322.0,0.0,1.0
