date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,18.86,19.46,18.74,19.22,19.22,1242553.0,0.0,1.0
2021-04-15,18.72,18.91,18.61,18.89,18.89,964497.0,0.0,1.0
2021-04-14,18.92,19.0,18.73,18.83,18.83,881408.0,0.0,1.0
2021-04-13,18.7,18.94,18.6,18.92,18.92,432364.0,0.0,1.0
2021-04-12,18.5,18.65,18.41,18.65,18.65,404989.0,0.0,1.0
2021-04-09,18.62,18.75,18.49,18.57,18.57,556904.0,0.0,1.0
2021-04-08,18.84,18.92,18.51,18.61,18.61,458770.0,0.0,1.0
2021-04-07,18.8,18.87,18.54,18.77,18.77,426777.0,0.0,1.0
2021-04-06,18.62,18.85,18.52,18.8,18.8,1092374.0,0.0,1.0
2021-04-05,18.4,18.75,18.37,18.62,18.62,637840.0,0.0,1.0
2021-04-01,18.34,18.4,18.12,18.4,18.4,620692.0,0.0,1.0
2021-03-31,18.2,18.35,18.05,18.3,18.3,499128.0,0.0,1.0
2021-03-30,18.1,18.31,18.03,18.18,18.18,705954.0,0.25,1.0
2021-03-29,18.44,18.52,18.31,18.45,18.1997287032,515031.0,0.0,1.0
2021-03-26,18.16,18.51,18.12,18.49,18.2391861096,695922.0,0.0,1.0
2021-03-25,18.49,18.49,18.07,18.21,17.9629842648,872203.0,0.0,1.0
2021-03-24,17.9,18.55,17.9,18.49,18.2391861096,969980.0,0.0,1.0
2021-03-23,18.1,18.29,17.9,18.01,17.7656972328,957891.0,0.0,1.0
2021-03-22,18.67,18.68,17.95,18.18,17.93339121,1110871.0,0.0,1.0
