date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,62.24,62.24,61.9627,62.08,62.08,1772327.0,0.0,1.0
2021-04-15,62.14,62.28,61.62,61.85,61.85,820326.0,0.0,1.0
2021-04-14,61.81,62.3,61.63,62.03,62.03,2146941.0,0.0,1.0
2021-04-13,62.33,62.37,61.825,61.85,61.85,1257434.0,0.0,1.0
2021-04-12,62.45,62.68,62.099,62.47,62.47,1056458.0,0.0,1.0
2021-04-09,62.3,62.57,62.19,62.5,62.5,651020.0,0.0,1.0
2021-04-08,61.8,62.33,61.43,62.31,62.31,1089798.0,0.0,1.0
2021-04-07,62.04,62.27,61.85,61.91,61.91,908384.0,0.0,1.0
2021-04-06,62.43,62.6,62.05,62.17,62.17,858370.0,0.0,1.0
2021-04-05,62.43,62.79,62.22,62.56,62.56,4042490.0,0.716,1.0
2021-04-01,62.67,62.96,62.43,62.95,62.2376888552,2959695.0,0.0,1.0
2021-03-31,63.17,63.28,62.35,62.55,61.8422150578,1295770.0,0.0,1.0
2021-03-30,63.13,63.135,62.775,63.0,62.2871230798,984045.0,0.0,1.0
2021-03-29,62.89,63.23,62.63,63.06,62.3464441494,1256809.0,0.0,1.0
2021-03-26,62.89,63.38,62.85,63.24,62.5244073582,1230393.0,0.0,1.0
2021-03-25,62.1,62.52,61.82,62.34,61.6345913142,1104304.0,0.0,1.0
2021-03-24,62.1,62.7,62.06,62.2,61.4961754852,1059273.0,0.0,1.0
2021-03-23,62.37,62.7,61.945,62.01,61.3083254314,1040729.0,0.0,1.0
2021-03-22,62.92,62.96,62.44,62.7,61.9905177318,957847.0,0.0,1.0
2021-03-19,63.03,63.17,62.24,62.94,62.2278020102,1450674.0,0.0,1.0
2021-03-18,63.84,64.38,63.165,63.22,62.5046336684,1582682.0,0.0,1.0
2021-03-17,63.49,63.98,63.4,63.7,62.9792022252,2459985.0,0.0,1.0
2021-03-16,63.18,63.6758,62.965,63.49,62.7715784816,1955748.0,0.0,1.0
2021-03-15,63.61,63.69,62.82,63.18,62.4650862886,1135326.0,0.0,1.0
2021-03-12,63.88,63.88,63.21,63.61,62.8902206208,1070683.0,0.0,1.0
2021-03-11,62.77,63.37,62.65,63.26,62.5441810481,2260381.0,0.0,1.0
2021-03-10,62.01,62.8992,61.89,62.79,62.0794993362,1323404.0,0.0,1.0
2021-03-09,61.7,62.19,61.49,61.72,61.0216069284,1199576.0,0.0,1.0
2021-03-08,61.34,62.1,61.15,61.74,61.0413806182,2262158.0,0.0,1.0
2021-03-05,60.89,61.3399,60.64,61.23,60.5371515266,2134481.0,0.0,1.0
2021-03-04,60.79,61.37,59.79,60.22,59.5385801884,2033405.0,0.0,1.0
2021-03-03,61.05,61.38,60.63,60.9,60.2108856438,1088901.0,0.0,1.0
2021-03-02,60.09,61.16,59.93,60.76,60.0724698148,2497435.0,0.0,1.0
2021-03-01,59.37,59.93,58.87,59.74,59.0640116316,1417393.0,0.0,1.0
2021-02-26,59.51,59.85,58.28,58.29,57.6304191163,2315781.0,0.0,1.0
2021-02-25,61.2,61.29,59.81,59.94,59.2617485302,2842810.0,0.0,1.0
2021-02-24,59.25,61.35,58.88,61.2,60.5074909918,2436531.0,0.0,1.0
2021-02-23,58.0,59.18,57.85,58.88,58.2137429673,1678931.0,0.0,1.0
2021-02-22,56.52,57.51,56.52,57.18,56.5329793287,1044740.0,0.0,1.0
2021-02-19,56.45,56.9,56.19,56.67,56.0287502371,998908.0,0.0,1.0
2021-02-18,55.9,56.123,55.6,56.04,55.4058790063,803055.0,0.0,1.0
2021-02-17,55.83,56.11,55.65,55.95,55.3168974019,800679.0,0.0,1.0
2021-02-16,56.25,56.55,56.01,56.14,55.5047474556,1340892.0,0.0,1.0
2021-02-12,55.46,56.02,55.35,55.92,55.2872368671,719455.0,0.0,1.0
2021-02-11,55.59,55.74,55.36,55.69,55.0598394336,648737.0,0.0,1.0
2021-02-10,55.9,55.91,55.3,55.58,54.9510841393,761363.0,0.0,1.0
2021-02-09,55.59,55.93,55.41,55.82,55.1883684177,778632.0,0.0,1.0
2021-02-08,55.0,55.6,54.96,55.59,54.9609709843,1005368.0,0.0,1.0
2021-02-05,54.68,54.945,54.54,54.85,54.2293444592,1217492.0,0.0,1.0
2021-02-04,54.14,54.53,54.05,54.52,53.9030785764,886466.0,0.0,1.0
2021-02-03,54.21,54.21,53.85,54.05,53.4383968645,841703.0,0.0,1.0
2021-02-02,53.71,54.24,53.68,54.14,53.5273784689,871673.0,0.0,1.0
2021-02-01,53.57,53.77,53.31,53.35,52.7463177192,925660.0,0.0,1.0
