date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.0,12.0,11.93,11.98,11.98,154895.0,0.0,1.0
2021-04-15,11.92,11.9599,11.92,11.93,11.93,69517.0,0.0,1.0
2021-04-14,11.89,11.99,11.86,11.88,11.88,207417.0,0.063,1.0
2021-04-13,12.0,12.015,11.9743,11.99,11.9267520723,135052.0,0.0,1.0
2021-04-12,11.9,11.97,11.89,11.97,11.9068575735,118719.0,0.0,1.0
2021-04-09,11.89,11.91,11.865,11.89,11.827279578,105249.0,0.0,1.0
2021-04-08,11.84,11.87,11.79,11.86,11.7974378297,170591.0,0.0,1.0
2021-04-07,11.78,11.79,11.74,11.78,11.7178598342,137280.0,0.0,1.0
2021-04-06,11.72,11.77,11.72,11.75,11.6880180859,92127.0,0.0,1.0
2021-04-05,11.59,11.75,11.59,11.75,11.6880180859,193058.0,0.0,1.0
2021-04-01,11.54,11.55,11.47,11.54,11.4791258478,323128.0,0.0,1.0
2021-03-31,11.53,11.53,11.455,11.49,11.4293896006,285780.0,0.0,1.0
2021-03-30,11.48,11.4968,11.44,11.44,11.3796533534,128421.0,0.0,1.0
2021-03-29,11.47,11.49,11.42,11.48,11.4194423512,92774.0,0.0,1.0
2021-03-26,11.45,11.5008,11.36,11.47,11.4094951017,177691.0,0.0,1.0
2021-03-25,11.41,11.44,11.35,11.41,11.3498116051,164391.0,0.0,1.0
2021-03-24,11.47,11.52,11.43,11.43,11.369706104,144778.0,0.0,1.0
2021-03-23,11.48,11.4889,11.38,11.46,11.3995478523,125369.0,0.0,1.0
2021-03-22,11.55,11.56,11.47,11.47,11.4094951017,166556.0,0.0,1.0
2021-03-19,11.44,11.52,11.39,11.52,11.4592313489,127253.0,0.0,1.0
2021-03-18,11.47,11.51,11.41,11.44,11.3796533534,396686.0,0.0,1.0
2021-03-17,11.52,11.55,11.44,11.47,11.4094951017,205490.0,0.0,1.0
2021-03-16,11.47,11.54,11.45,11.5,11.43933685,294856.0,0.0,1.0
2021-03-15,11.52,11.52,11.34,11.43,11.369706104,854355.0,0.0,1.0
2021-03-12,11.29,11.3,11.2241,11.3,11.2403918613,199852.0,0.063,1.0
2021-03-11,11.23,11.34,11.19,11.31,11.1879637377,302611.0,0.0,1.0
2021-03-10,11.15,11.19,11.14,11.18,11.0593664534,128819.0,0.0,1.0
2021-03-09,11.14,11.16,11.05,11.13,11.0099059594,108748.0,0.0,1.0
