date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.28,26.57,24.865,26.38,26.38,193938.0,0.0,1.0
2021-04-15,26.0,26.7033,25.15,25.26,25.26,143637.0,0.0,1.0
2021-04-14,26.06,26.5,25.66,25.97,25.97,259174.0,0.0,1.0
2021-04-13,25.87,26.08,24.85,25.19,25.19,291869.0,0.0,1.0
2021-04-12,26.44,26.8899,25.32,25.61,25.61,277119.0,0.0,1.0
2021-04-09,27.54,28.01,25.82,26.28,26.28,300952.0,0.0,1.0
2021-04-08,27.88,27.99,26.3002,27.68,27.68,380371.0,0.0,1.0
2021-04-07,27.71,28.41,26.81,27.66,27.66,275899.0,0.0,1.0
2021-04-06,28.11,28.81,27.3401,27.76,27.76,288691.0,0.0,1.0
2021-04-05,30.5,30.675,27.5103,27.61,27.61,286833.0,0.0,1.0
2021-04-01,27.5,31.1,27.318,29.91,29.91,1049865.0,0.0,1.0
2021-03-31,31.35,32.44,29.47,29.56,29.56,440784.0,0.0,1.0
2021-03-30,33.22,33.9999,31.68,32.75,32.75,128238.0,0.0,1.0
2021-03-29,35.02,35.61,33.33,33.53,33.53,98927.0,0.0,1.0
2021-03-26,36.37,36.39,34.09,35.42,35.42,92877.0,0.0,1.0
2021-03-25,35.0,37.0342,34.231,36.21,36.21,115658.0,0.0,1.0
2021-03-24,37.58,38.1,35.63,35.74,35.74,102790.0,0.0,1.0
2021-03-23,38.1064,38.74,36.77,36.95,36.95,118595.0,0.0,1.0
2021-03-22,39.74,40.72,38.58,38.9,38.9,130531.0,0.0,1.0
2021-03-19,40.18,41.47,39.21,39.435,39.435,390013.0,0.0,1.0
2021-03-18,42.48,42.48,40.46,40.67,40.67,111492.0,0.0,1.0
2021-03-17,42.87,43.3388,41.2774,42.75,42.75,109122.0,0.0,1.0
2021-03-16,44.98,45.35,42.311,42.87,42.87,82806.0,0.0,1.0
2021-03-15,45.04,45.71,44.09,44.63,44.63,65802.0,0.0,1.0
2021-03-12,44.59,45.485,43.7,45.31,45.31,84024.0,0.0,1.0
2021-03-11,44.85,45.9,43.77,45.04,45.04,110528.0,0.0,1.0
2021-03-10,44.93,45.82,42.88,43.83,43.83,118344.0,0.0,1.0
2021-03-09,41.04,43.78,40.7,43.58,43.58,122548.0,0.0,1.0
2021-03-08,38.7,41.215,38.6599,39.62,39.62,122691.0,0.0,1.0
2021-03-05,39.89,40.2,35.64,38.68,38.68,270870.0,0.0,1.0
2021-03-04,43.07,43.63,37.5,39.77,39.77,329416.0,0.0,1.0
2021-03-03,44.71,45.61,42.67,43.31,43.31,150421.0,0.0,1.0
2021-03-02,46.25,46.5272,44.73,44.87,44.87,151402.0,0.0,1.0
2021-03-01,42.83,46.61,42.7154,46.25,46.25,237907.0,0.0,1.0
2021-02-26,41.96,44.7,41.21,41.98,41.98,243361.0,0.0,1.0
2021-02-25,46.04,46.62,41.83,42.03,42.03,207400.0,0.0,1.0
2021-02-24,46.14,47.65,44.835,45.99,45.99,174886.0,0.0,1.0
2021-02-23,46.4,46.44,41.145,44.39,44.39,370619.0,0.0,1.0
2021-02-22,47.08,48.9,46.57,47.23,47.23,217133.0,0.0,1.0
2021-02-19,47.78,49.9199,45.03,46.98,46.98,312724.0,0.0,1.0
2021-02-18,46.0,47.012,45.14,45.86,45.86,298356.0,0.0,1.0
2021-02-17,46.62,46.62,42.44,45.64,45.64,541708.0,0.0,1.0
2021-02-16,41.72,42.2904,40.0035,41.75,41.75,171737.0,0.0,1.0
2021-02-12,39.73,40.5,39.0553,40.33,40.33,78589.0,0.0,1.0
2021-02-11,40.65,40.9278,38.82,39.68,39.68,128538.0,0.0,1.0
2021-02-10,41.25,41.9973,38.925,40.38,40.38,177458.0,0.0,1.0
2021-02-09,40.28,41.82,39.0546,40.84,40.84,202110.0,0.0,1.0
2021-02-08,43.28,43.65,38.8339,39.9,39.9,307728.0,0.0,1.0
2021-02-05,38.85,41.28,37.7601,37.9,37.9,263894.0,0.0,1.0
2021-02-04,37.0,40.075,36.03,37.94,37.94,336183.0,0.0,1.0
2021-02-03,35.53,36.26,33.57,35.08,35.08,180944.0,0.0,1.0
2021-02-02,31.51,34.8,31.0,34.07,34.07,385013.0,0.0,1.0
2021-02-01,27.7,29.6899,27.7,29.08,29.08,131966.0,0.0,1.0
