date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,97.06,97.06,92.26,95.2,95.2,236234.0,0.0,1.0
2021-04-15,96.71,98.29,95.66,95.95,95.95,223712.0,0.0,1.0
2021-04-14,93.42,99.32,93.42,96.86,96.86,528605.0,0.0,1.0
2021-04-13,93.12,96.08,91.11,93.08,93.08,365474.0,0.0,1.0
2021-04-12,95.27,95.625,92.36,92.61,92.61,455170.0,0.0,1.0
2021-04-09,94.32,94.51,91.88,94.16,94.16,211701.0,0.0,1.0
2021-04-08,94.32,96.24,92.98,94.08,94.08,360605.0,0.0,1.0
2021-04-07,96.21,96.525,92.785,93.0,93.0,315142.0,0.0,1.0
2021-04-06,98.83,99.61,96.6,97.02,97.02,300950.0,0.0,1.0
2021-04-05,98.93,99.62,96.23,99.61,99.61,213119.0,0.0,1.0
2021-04-01,98.13,99.0,96.39,97.95,97.95,254794.0,0.0,1.0
2021-03-31,93.49,97.62,93.49,97.23,97.23,427979.0,0.0,1.0
2021-03-30,92.0,93.55,89.28,93.27,93.27,559856.0,0.0,1.0
2021-03-29,96.01,96.15,91.275,92.01,92.01,423379.0,0.0,1.0
2021-03-26,97.07,99.0,94.1,96.67,96.67,197010.0,0.0,1.0
2021-03-25,94.23,96.67,91.5,96.31,96.31,321380.0,0.0,1.0
2021-03-24,99.74,99.74,94.52,94.71,94.71,324923.0,0.0,1.0
2021-03-23,103.5,104.0,98.35,98.86,98.86,332394.0,0.0,1.0
2021-03-22,105.2,105.83,103.8,104.99,104.99,315061.0,0.0,1.0
2021-03-19,98.97,104.96,98.08,104.65,104.65,927942.0,0.0,1.0
2021-03-18,104.58,104.95,98.54,98.79,98.79,363532.0,0.0,1.0
2021-03-17,104.12,106.12,103.515,105.18,105.18,467599.0,0.0,1.0
2021-03-16,105.42,106.16,102.84,103.51,103.51,320364.0,0.0,1.0
2021-03-15,106.87,108.11,104.03,105.77,105.77,603530.0,0.0,1.0
2021-03-12,104.53,107.89,103.8,107.36,107.36,355238.0,0.0,1.0
2021-03-11,97.28,105.79,96.49,105.45,105.45,515324.0,0.0,1.0
2021-03-10,97.71,98.535,93.95,96.02,96.02,328301.0,0.0,1.0
2021-03-09,94.23,99.92,94.23,97.11,97.11,407025.0,0.0,1.0
2021-03-08,95.0,96.465,91.6,92.07,92.07,627321.0,0.0,1.0
2021-03-05,93.51,96.16,89.05,95.93,95.93,765738.0,0.0,1.0
2021-03-04,86.61,93.815,86.61,92.01,92.01,1291699.0,0.0,1.0
2021-03-03,98.45,99.655,92.52,93.02,93.02,412598.0,0.0,1.0
2021-03-02,98.45,100.43,97.895,98.79,98.79,324243.0,0.0,1.0
2021-03-01,99.4,101.4644,98.11,100.13,100.13,305895.0,0.0,1.0
2021-02-26,96.9,99.17,94.03,98.22,98.22,454432.0,0.0,1.0
2021-02-25,97.74,98.7105,94.83,96.09,96.09,341402.0,0.0,1.0
2021-02-24,97.17,98.96,94.95,97.79,97.79,303022.0,0.0,1.0
2021-02-23,96.35,99.92,94.04,97.45,97.45,441818.0,0.0,1.0
2021-02-22,99.75,100.0,96.85,97.96,97.96,351193.0,0.0,1.0
