date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,17.9193,17.98,17.85,17.91,17.91,3729860.0,0.0,1.0
2021-04-15,17.91,17.96,17.84,17.96,17.96,5145188.0,0.0,1.0
2021-04-14,17.86,17.96,17.8,17.83,17.83,1605221.0,0.0,1.0
2021-04-13,17.92,17.95,17.77,17.87,17.87,1488044.0,0.0,1.0
2021-04-12,17.85,18.0,17.8,17.94,17.94,3228754.0,0.0,1.0
2021-04-09,17.8,17.88,17.74,17.87,17.87,2426440.0,0.0,1.0
2021-04-08,17.8,17.86,17.77,17.81,17.81,4951807.0,0.0,1.0
2021-04-07,17.69,17.865,17.69,17.83,17.83,2958365.0,0.0,1.0
2021-04-06,17.7,17.87,17.7,17.78,17.78,7913739.0,0.0,1.0
2021-04-05,17.65,17.89,17.6,17.79,17.79,6703701.0,0.0,1.0
2021-04-01,17.86,17.89,17.53,17.74,17.74,16628686.0,0.0,1.0
2021-03-31,18.1,18.1,17.765,17.79,17.79,1070270.0,0.0,1.0
2021-03-30,17.93,18.15,17.93,18.05,18.05,1939322.0,0.0,1.0
2021-03-29,17.98,18.15,17.9,18.0,18.0,1823748.0,0.0,1.0
2021-03-26,18.18,18.22,17.86,18.11,18.11,1794256.0,0.0,1.0
2021-03-25,17.72,18.09,17.62,18.06,18.06,1629080.0,0.0,1.0
2021-03-24,17.95,18.24,17.82,17.84,17.84,5704398.0,0.0,1.0
2021-03-23,17.9,18.0,17.85,17.93,17.93,1856638.0,0.0,1.0
2021-03-22,17.87,18.115,17.8,18.0,18.0,1004852.0,0.0,1.0
2021-03-19,17.85,18.27,17.85,17.87,17.87,1848223.0,0.0,1.0
2021-03-18,18.09,18.09,17.83,17.95,17.95,2049013.0,0.0,1.0
2021-03-17,17.71,18.11,17.71,18.1,18.1,1822990.0,0.0,1.0
2021-03-16,17.78,17.88,17.66,17.87,17.87,1509029.0,0.0,1.0
2021-03-15,17.77,17.84,17.59,17.73,17.73,780854.0,0.0,1.0
2021-03-12,17.61,17.845,17.61,17.81,17.81,983314.0,0.0,1.0
2021-03-11,17.59,17.7,17.53,17.62,17.62,2047892.0,0.0,1.0
2021-03-10,17.48,17.7,17.41,17.53,17.53,1415479.0,0.0,1.0
2021-03-09,17.56,17.67,17.3789,17.48,17.48,1360204.0,0.0,1.0
2021-03-08,17.25,17.61,17.15,17.48,17.48,2792958.0,0.0,1.0
2021-03-05,17.24,17.38,17.0,17.32,17.32,2453359.0,0.0,1.0
2021-03-04,17.16,17.36,16.78,17.11,17.11,3680207.0,0.0,1.0
2021-03-03,17.33,17.35,17.16,17.16,17.16,1524597.0,0.0,1.0
2021-03-02,17.18,17.32,17.14,17.27,17.27,2001331.0,0.0,1.0
2021-03-01,17.2,17.35,17.115,17.14,17.14,2401725.0,0.0,1.0
2021-02-26,17.12,17.44,16.97,17.04,17.04,4180985.0,0.0,1.0
2021-02-25,17.81,17.85,17.12,17.19,17.19,3854796.0,0.3325,1.0
2021-02-24,17.78,18.07,17.63,18.04,17.6976801256,2406662.0,0.0,1.0
2021-02-23,17.78,17.9,17.55,17.74,17.4033728064,2566100.0,0.0,1.0
2021-02-22,17.83,17.84,17.685,17.78,17.4426137823,2549576.0,0.0,1.0
2021-02-19,17.88,17.96,17.77,17.84,17.5014752461,2080109.0,0.0,1.0
2021-02-18,17.81,17.88,17.72,17.82,17.4818547582,3487118.0,0.0,1.0
2021-02-17,17.86,17.92,17.74,17.89,17.550526466,2633469.0,0.0,1.0
2021-02-16,17.78,17.99,17.75,17.99,17.6486289057,1323705.0,0.0,1.0
2021-02-12,17.66,17.82,17.57,17.74,17.4033728064,2722530.0,0.0,1.0
2021-02-11,17.49,17.75,17.49,17.67,17.3347010986,3438060.0,0.0,1.0
2021-02-10,17.51,17.57,17.4,17.51,17.177737195,2487461.0,0.0,1.0
2021-02-09,17.41,17.51,17.31,17.49,17.1581167071,4209275.0,0.0,1.0
2021-02-08,17.27,17.49,17.26,17.48,17.1483064631,1878994.0,0.0,1.0
2021-02-05,16.85,17.41,16.8,17.32,16.9913425596,3474161.0,0.0,1.0
2021-02-04,17.07,17.42,17.07,17.2,16.8736196319,3413819.0,0.0,1.0
2021-02-03,17.25,17.29,17.025,17.2,16.8736196319,5324777.0,0.0,1.0
2021-02-02,17.08,17.31,17.0,17.29,16.9619118277,2580431.0,0.0,1.0
2021-02-01,17.01,17.185,17.0,17.08,16.7558967042,2538299.0,0.0,1.0
2021-01-29,17.02,17.06,16.85,17.03,16.7068454844,3981184.0,0.0,1.0
2021-01-28,16.86,17.15,16.86,17.05,16.7264659723,2952659.0,0.0,1.0
2021-01-27,16.94,17.16,16.785,16.9,16.5793123127,3881638.0,0.0,1.0
2021-01-26,17.07,17.2,17.01,17.15,16.824568412,3090522.0,0.0,1.0
2021-01-25,16.95,17.195,16.91,17.0,16.6774147525,2973178.0,0.0,1.0
2021-01-22,17.01,17.13,16.92,17.08,16.7558967042,3295052.0,0.0,1.0
2021-01-21,17.34,17.4,17.035,17.06,16.7362762163,4908338.0,0.0,1.0
2021-01-20,17.25,17.63,17.15,17.45,17.1188757312,4883306.0,0.0,1.0
2021-01-19,17.12,17.475,17.02,17.22,16.8932401198,4544748.0,0.0,1.0
2021-01-15,17.02,17.28,16.95,17.25,16.9226708518,4938464.0,0.0,1.0
2021-01-14,17.09,17.205,16.9768,17.16,16.834378656,4725356.0,0.0,1.0
2021-01-13,16.78,17.04,16.77,17.0,16.6774147525,3465531.0,0.0,1.0
2021-01-12,16.85,16.89,16.74,16.87,16.5498815808,4499815.0,0.0,1.0
2021-01-11,16.8,16.97,16.725,16.75,16.4321586532,5596828.0,0.0,1.0
2021-01-08,16.84,16.95,16.75,16.91,16.5891225567,9409230.0,0.0,1.0
2021-01-07,17.0,17.09,16.85,16.85,16.5302610929,11202325.0,0.0,1.0
2021-01-06,16.88,17.1,16.82,17.07,16.7460864603,9937201.0,0.0,1.0
2021-01-05,16.81,17.0,16.75,16.95,16.6283635326,17404706.0,0.0,1.0
2021-01-04,16.94,17.14,16.76,17.01,16.6872249964,39131927.0,0.0,1.0
2020-12-31,14.7,14.74,14.46,14.47,14.1954230275,738369.0,0.0,1.0
2020-12-30,14.75,14.955,14.61,14.64,14.3621971751,815282.0,0.0,1.0
2020-12-29,14.88,15.12,14.56,14.62,14.3425766871,919601.0,0.0,1.0
2020-12-28,14.97,15.175,14.79,14.87,14.5878327864,880928.0,0.0,1.0
2020-12-24,14.98,15.05,14.82,15.05,14.7644171779,556783.0,0.0,1.0
2020-12-23,14.49,15.02,14.45,14.94,14.6565044942,1392728.0,0.0,1.0
2020-12-22,14.63,14.6591,14.38,14.48,14.2052332715,1026457.0,0.0,1.0
2020-12-21,14.76,14.8,14.5,14.52,14.2444742474,1293560.0,0.0,1.0
2020-12-18,15.64,15.65,14.95,15.01,14.725176202,2241399.0,0.0,1.0
2020-12-17,15.72,15.7426,15.48,15.59,15.2941703524,1155517.0,0.0,1.0
2020-12-16,15.9,15.9,15.54,15.58,15.2843601084,890038.0,0.0,1.0
2020-12-15,15.46,15.85,15.46,15.84,15.5394264517,860107.0,0.0,1.0
2020-12-14,15.75,15.84,15.36,15.51,15.2156884006,1917170.0,0.0,1.0
2020-12-11,15.46,15.64,15.31,15.52,15.2254986446,733744.0,0.0,1.0
2020-12-10,15.36,15.62,15.29,15.59,15.2941703524,708083.0,0.0,1.0
2020-12-09,15.0,15.48,14.94,15.45,15.1568269368,1361305.0,0.0,1.0
2020-12-08,14.78,15.06,14.72,15.01,14.725176202,884520.0,0.0,1.0
