date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,100.11,103.09,97.7825,102.33,102.33,1061935.0,0.0,1.0
2021-04-15,98.8,101.14,97.3,99.8,99.8,794323.0,0.0,1.0
2021-04-14,95.76,97.66,94.99,96.3,96.3,596756.0,0.0,1.0
2021-04-13,96.03,98.9,94.5701,96.74,96.74,594571.0,0.0,1.0
2021-04-12,94.38,95.66,91.41,95.4,95.4,669414.0,0.0,1.0
2021-04-09,97.18,97.43,94.61,95.7,95.7,519916.0,0.0,1.0
2021-04-08,97.84,98.49,95.8212,98.36,98.36,623854.0,0.0,1.0
2021-04-07,99.07,100.1799,96.0,96.68,96.68,672354.0,0.0,1.0
2021-04-06,98.97,101.6325,97.02,99.52,99.52,958625.0,0.0,1.0
2021-04-05,93.42,101.43,93.24,98.36,98.36,1668801.0,0.0,1.0
2021-04-01,83.56,90.7,83.42,90.64,90.64,806701.0,0.0,1.0
2021-03-31,80.17,83.0,79.1,81.65,81.65,920617.0,0.0,1.0
2021-03-30,78.22,80.68,77.2,79.48,79.48,549044.0,0.0,1.0
2021-03-29,81.0,81.96,77.725,78.225,78.225,617757.0,0.0,1.0
2021-03-26,79.11,83.55,79.1,81.96,81.96,829705.0,0.0,1.0
2021-03-25,73.14,77.54,70.17,77.11,77.11,1214391.0,0.0,1.0
2021-03-24,80.88,81.72,74.69,74.74,74.74,901614.0,0.0,1.0
2021-03-23,88.17,88.37,76.795,78.45,78.45,1236919.0,0.0,1.0
2021-03-22,88.0,91.1,85.37,88.43,88.43,1325365.0,0.0,1.0
2021-03-19,83.34,87.6199,82.58,85.84,85.84,1389869.0,0.0,1.0
2021-03-18,87.62,88.58,83.23,83.64,83.64,451547.0,0.0,1.0
2021-03-17,84.99,90.005,83.5172,89.3,89.3,447313.0,0.0,1.0
2021-03-16,89.58,89.86,85.84,87.1,87.1,357697.0,0.0,1.0
2021-03-15,85.1,88.65,83.94,88.44,88.44,453124.0,0.0,1.0
2021-03-12,83.88,84.575,82.6201,84.09,84.09,302710.0,0.0,1.0
2021-03-11,83.63,86.42,82.45,85.83,85.83,461542.0,0.0,1.0
2021-03-10,83.43,84.7,79.87,80.12,80.12,426114.0,0.0,1.0
2021-03-09,75.83,82.51,75.36,81.52,81.52,723397.0,0.0,1.0
2021-03-08,78.01,79.27,73.2,74.48,74.48,586766.0,0.0,1.0
2021-03-05,78.87,79.17,72.26,77.8,77.8,814489.0,0.0,1.0
2021-03-04,81.15,81.7041,75.44,76.5,76.5,800612.0,0.1,1.0
2021-03-03,83.78,85.275,81.36,81.94,81.8330287206,873030.0,0.0,1.0
