date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.5,0.5,0.5,0.5,0.5,84412.0,0.0,1.0
2021-04-15,0.517101,0.517101,0.5,0.5,0.5,7526.0,0.0,1.0
2021-04-14,0.519751,0.519751,0.519751,0.519751,0.519751,1352.0,0.0,1.0
2021-04-13,0.520101,0.55,0.5,0.51393,0.51393,21295.0,0.0,1.0
2021-04-12,0.501,0.56,0.5,0.56,0.56,16066.0,0.0,1.0
2021-04-09,0.525,0.551,0.4976,0.551,0.551,73539.0,0.0,1.0
2021-04-08,0.5598,0.5599,0.559699,0.559803,0.559803,9266.0,0.0,1.0
2021-04-07,0.5011,0.5598,0.501,0.5598,0.5598,5510.0,0.0,1.0
2021-04-06,0.51,0.57597,0.499899,0.5601,0.5601,38427.0,0.0,1.0
2021-04-05,0.5501,0.5501,0.490299,0.5203,0.5203,5090.0,0.0,1.0
2021-04-01,0.5749,0.5749,0.519899,0.52,0.52,2520.0,0.0,1.0
2021-03-31,0.5001,0.559799,0.5,0.559799,0.559799,5412.0,0.0,1.0
2021-03-30,0.5295,0.5295,0.528016,0.529399,0.529399,10900.0,0.0,1.0
2021-03-29,0.4601,0.4902,0.4601,0.49,0.49,2641.0,0.0,1.0
2021-03-26,0.5,0.5495,0.4999,0.549399,0.549399,8114.0,0.0,1.0
2021-03-25,0.4,0.5,0.39,0.499899,0.499899,37322.0,0.0,1.0
2021-03-24,0.4493,0.48,0.429899,0.465,0.465,24645.0,0.0,1.0
2021-03-23,0.54,0.54,0.46,0.506,0.506,7489.0,0.0,1.0
2021-03-22,0.6,0.6,0.54,0.57,0.57,1500.0,0.0,1.0
2021-03-19,0.5,0.6,0.5,0.55,0.55,41584.0,0.0,1.0
2021-03-18,0.57775,0.6155,0.54,0.55,0.55,19608.0,0.0,1.0
2021-03-17,0.57,0.62,0.541,0.6,0.6,100569.0,0.0,1.0
2021-03-16,0.65,0.68,0.5399,0.6375,0.6375,44104.0,0.0,1.0
2021-03-15,0.67,0.71,0.66,0.71,0.71,477.0,0.0,1.0
2021-03-12,0.5806,0.73,0.5801,0.7,0.7,28291.0,0.0,1.0
2021-03-11,0.55,0.74,0.55,0.65,0.65,55598.0,0.0,1.0
2021-03-10,0.66,0.66,0.5601,0.58,0.58,106466.0,0.0,1.0
2021-03-09,0.75,0.82,0.65,0.65,0.65,9378.0,0.0,1.0
2021-03-08,0.6905,0.75,0.69,0.7,0.7,10713.0,0.0,1.0
2021-03-05,0.6,0.69,0.53,0.69,0.69,175761.0,0.0,1.0
2021-03-04,0.660251,0.685,0.540471,0.55,0.55,143541.0,0.0,1.0
2021-03-03,0.785,0.8,0.71,0.7199,0.7199,25400.0,0.0,1.0
2021-03-02,0.9,0.919899,0.79,0.82,0.82,42018.0,0.0,1.0
2021-03-01,0.9,0.945,0.9,0.91,0.91,8426.0,0.0,1.0
2021-02-26,0.925,0.95,0.8,0.91,0.91,88423.0,0.0,1.0
2021-02-25,0.99,1.0,0.88,1.0,1.0,64081.0,0.0,1.0
2021-02-24,0.9655,1.0,0.925,0.982,0.982,11972.0,0.0,1.0
2021-02-23,1.03,1.08,0.89,0.97,0.97,64231.0,0.0,1.0
2021-02-22,1.03,1.08,1.03,1.04,1.04,37610.0,0.0,1.0
2021-02-19,0.95,1.08,0.95,1.05,1.05,47389.0,0.0,1.0
2021-02-18,1.0693,1.08,0.99,0.99,0.99,56094.0,0.0,1.0
2021-02-17,1.03,1.1,0.96,1.0999,1.0999,52506.0,0.0,1.0
2021-02-16,0.9969,1.0,0.891,0.95,0.95,34755.0,0.0,1.0
2021-02-12,0.88,0.99,0.88,0.99,0.99,34402.0,0.0,1.0
2021-02-11,0.99,1.0,0.96,0.96,0.96,18792.0,0.0,1.0
2021-02-10,1.04,1.05,0.97,1.0,1.0,84418.0,0.0,1.0
2021-02-09,1.0,1.045,1.0,1.04,1.04,55252.0,0.0,1.0
2021-02-08,0.94,0.95,0.93,0.95,0.95,51468.0,0.0,1.0
2021-02-05,0.92,0.93,0.909999,0.93,0.93,41455.0,0.0,1.0
2021-02-04,0.92,0.93,0.88,0.899999,0.899999,8065.0,0.0,1.0
2021-02-03,0.93,0.9301,0.88,0.919782,0.919782,42499.0,0.0,1.0
2021-02-02,0.9,0.94,0.889801,0.93,0.93,60450.0,0.0,1.0
2021-02-01,0.8499,0.8595,0.73,0.849899,0.849899,91152.0,0.0,1.0
2021-01-29,0.79,0.79,0.735101,0.789201,0.789201,28490.0,0.0,1.0
2021-01-28,0.81,0.89,0.711,0.790301,0.790301,55327.0,0.0,1.0
2021-01-27,0.8501,0.9,0.7212,0.8989,0.8989,96053.0,0.0,1.0
2021-01-26,0.92,0.95,0.85,0.949,0.949,50165.0,0.0,1.0
2021-01-25,0.95,0.96,0.93,0.95,0.95,34294.0,0.0,1.0
2021-01-22,0.900101,0.95,0.900101,0.95,0.95,63608.0,0.0,1.0
2021-01-21,0.9499,0.97,0.85,0.97,0.97,255725.0,0.0,1.0
2021-01-20,0.93,0.9499,0.89,0.9,0.9,28679.0,0.0,1.0
2021-01-19,0.91,0.91,0.82,0.9,0.9,77047.0,0.0,1.0
2021-01-15,0.8998,0.900101,0.812101,0.88,0.88,64853.0,0.0,1.0
2021-01-14,0.97,0.99,0.811,0.94,0.94,44121.0,0.0,1.0
2021-01-13,0.79,0.98,0.779999,0.95,0.95,118286.0,0.0,1.0
2021-01-12,0.7492,0.8,0.74,0.7899,0.7899,134439.0,0.0,1.0
2021-01-11,0.75,0.75,0.68,0.75,0.75,51817.0,0.0,1.0
2021-01-08,0.71,0.75,0.7,0.7,0.7,17957.0,0.0,1.0
2021-01-07,0.74,0.75,0.69,0.71,0.71,58133.0,0.0,1.0
2021-01-06,0.720001,0.74,0.694999,0.72,0.72,60615.0,0.0,1.0
2021-01-05,0.709899,0.71,0.67,0.709124,0.709124,47198.0,0.0,1.0
2021-01-04,0.75,0.75,0.7,0.71,0.71,25475.0,0.0,1.0
2020-12-31,0.68,0.77,0.68,0.729999,0.729999,26228.0,0.0,1.0
2020-12-30,0.769899,0.77,0.7,0.71,0.71,10995.0,0.0,1.0
2020-12-29,0.75,0.7899,0.71,0.74,0.74,60392.0,0.0,1.0
2020-12-28,0.68,0.7499,0.645,0.7499,0.7499,156804.0,0.0,1.0
2020-12-24,0.75,0.75,0.6601,0.69,0.69,89685.0,0.0,1.0
2020-12-23,0.700101,0.73,0.68,0.7,0.7,78883.0,0.0,1.0
2020-12-22,0.65,0.709899,0.643,0.67,0.67,90559.0,0.0,1.0
2020-12-21,0.66,0.67,0.639999,0.65,0.65,128002.0,0.0,1.0
2020-12-18,0.61,0.64,0.61,0.639899,0.639899,111193.0,0.0,1.0
2020-12-17,0.6499,0.65,0.6201,0.6201,0.6201,71581.0,0.0,1.0
2020-12-16,0.65,0.67,0.64,0.65,0.65,70478.0,0.0,1.0
2020-12-15,0.689999,0.7,0.6,0.64,0.64,133634.0,0.0,1.0
2020-12-14,0.69,0.7,0.6,0.66,0.66,110687.0,0.0,1.0
2020-12-11,0.7,0.7,0.6865,0.7,0.7,46117.0,0.0,1.0
2020-12-10,0.67,0.7,0.61,0.6999,0.6999,38872.0,0.0,1.0
2020-12-09,0.7,0.7,0.679899,0.679899,0.679899,38634.0,0.0,1.0
2020-12-08,0.65,0.7,0.65,0.699999,0.699999,11751.0,0.0,1.0
2020-12-07,0.73,0.83,0.65,0.7,0.7,29169.0,0.0,1.0
2020-12-04,0.65,0.76,0.632001,0.71,0.71,69885.0,0.0,1.0
2020-12-03,0.64,0.64,0.62,0.64,0.64,12494.0,0.0,1.0
2020-12-02,0.55,0.6498,0.51,0.64,0.64,23001.0,0.0,1.0
2020-12-01,0.52,0.74,0.51,0.55,0.55,99903.0,0.0,1.0
2020-11-30,0.4101,0.46,0.4101,0.46,0.46,2910.0,0.0,1.0
2020-11-27,0.3,0.4799,0.3,0.44,0.44,24744.0,0.0,1.0
2020-11-25,0.33,0.429,0.3,0.39,0.39,30631.0,0.0,1.0
2020-11-24,0.3,0.36,0.28,0.330101,0.330101,29702.0,0.0,1.0
2020-11-23,0.28,0.29,0.25,0.28,0.28,92352.0,0.0,1.0
2020-11-20,0.27,0.3,0.27,0.2701,0.2701,9965.0,0.0,1.0
