date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,39.07,39.37,38.87,39.03,39.03,34807.0,0.0,1.0
2021-04-15,39.69,39.89,38.64,38.76,38.76,62117.0,0.0,1.0
2021-04-14,39.1,39.5875,38.86,39.47,39.47,39119.0,0.0,1.0
2021-04-13,39.32,39.32,38.74,39.15,39.15,32447.0,0.0,1.0
2021-04-12,39.16,39.53,39.02,39.43,39.43,40232.0,0.0,1.0
2021-04-09,39.08,39.21,38.6,39.11,39.11,40360.0,0.0,1.0
2021-04-08,38.47,38.6181,37.84,38.6181,38.6181,22758.0,0.0,1.0
2021-04-07,38.52,38.52,38.08,38.42,38.42,29528.0,0.0,1.0
2021-04-06,38.55,38.7644,38.08,38.39,38.39,34862.0,0.0,1.0
2021-04-05,38.97,39.01,38.34,38.55,38.55,52289.0,0.0,1.0
2021-04-01,38.14,38.6865,38.09,38.58,38.58,34290.0,0.0,1.0
2021-03-31,38.93,38.93,38.1,38.44,38.44,59098.0,0.0,1.0
2021-03-30,37.71,38.65,37.56,38.56,38.56,61899.0,0.0,1.0
2021-03-29,38.03,38.22,36.8681,37.51,37.51,60651.0,0.0,1.0
2021-03-26,37.88,38.31,37.005,38.26,38.26,79929.0,0.0,1.0
2021-03-25,36.19,37.47,35.71,37.41,37.41,58715.0,0.0,1.0
2021-03-24,36.76,37.58,36.31,36.41,36.41,62915.0,0.0,1.0
2021-03-23,37.13,37.2699,36.14,36.37,36.37,53054.0,0.0,1.0
2021-03-22,38.11,38.11,37.04,37.4,37.4,55195.0,0.0,1.0
2021-03-19,38.54,38.72,37.4,38.36,38.36,80643.0,0.0,1.0
2021-03-18,38.7,39.9,38.3301,38.54,38.54,111775.0,0.0,1.0
2021-03-17,38.81,38.9771,38.0,38.33,38.33,61204.0,0.0,1.0
2021-03-16,39.0,39.0371,37.9858,38.58,38.58,56420.0,0.0,1.0
2021-03-15,39.36,39.36,38.4474,39.09,39.09,84621.0,0.0,1.0
2021-03-12,38.87,39.39,38.59,39.0,39.0,95758.0,0.0,1.0
2021-03-11,38.54,38.94,38.31,38.47,38.47,69381.0,0.0,1.0
2021-03-10,37.76,38.638,37.6334,38.57,38.57,66062.0,0.55,1.0
2021-03-09,38.23,38.555,37.24,38.14,37.6037781186,91171.0,0.0,1.0
2021-03-08,37.7,38.76,37.52,38.49,37.948857362,123485.0,0.0,1.0
2021-03-05,37.15,37.38,36.21,37.38,36.8544631902,61076.0,0.0,1.0
2021-03-04,36.95,37.3462,35.82,36.4,35.8882413088,97835.0,0.0,1.0
2021-03-03,36.67,37.3771,36.575,36.76,36.2431799591,94083.0,0.0,1.0
2021-03-02,36.24,36.73,36.0701,36.43,35.9178195297,77571.0,0.0,1.0
2021-03-01,36.28,36.65,35.92,36.33,35.8192254601,80266.0,0.0,1.0
2021-02-26,35.53,36.2899,34.74,35.36,34.8628629857,133531.0,0.0,1.0
2021-02-25,36.38,36.81,35.5,35.5,35.000894683,89992.0,0.0,1.0
2021-02-24,35.75,36.67,35.75,36.3,35.7896472393,113589.0,0.0,1.0
2021-02-23,35.44,35.55,34.91,35.52,35.0206134969,56717.0,0.0,1.0
2021-02-22,34.78,35.37,34.25,35.24,34.7445501022,115083.0,0.0,1.0
2021-02-19,34.19,34.9,34.19,34.65,34.162845092,57475.0,0.0,1.0
2021-02-18,34.09,34.26,33.49,33.97,33.4924054192,58116.0,0.0,1.0
2021-02-17,34.21,34.66,33.97,34.45,33.965656953,53394.0,0.0,1.0
2021-02-16,34.0,34.71,33.96,34.39,33.9065005112,102227.0,0.0,1.0
2021-02-12,33.72,34.0,33.37,33.83,33.3543737219,47977.0,0.0,1.0
2021-02-11,33.84,33.9254,33.01,33.59,33.117747955,45922.0,0.0,1.0
2021-02-10,34.0,34.07,33.08,33.65,33.1769043967,88519.0,0.0,1.0
2021-02-09,33.91,34.0529,33.7,33.95,33.4726866053,71205.0,0.0,1.0
2021-02-08,33.7,33.88,33.48,33.88,33.4036707566,70767.0,0.0,1.0
2021-02-05,33.37,33.697,33.1,33.31,32.8416845603,74750.0,0.0,1.0
2021-02-04,32.47,33.4484,32.1265,33.2,32.7332310838,59607.0,0.0,1.0
2021-02-03,32.25,32.47,31.9017,32.44,31.9839161554,44947.0,0.0,1.0
2021-02-02,31.79,32.33,31.54,32.29,31.8360250511,43262.0,0.0,1.0
2021-02-01,31.02,31.53,30.775,31.35,30.9092407975,24383.0,0.0,1.0
2021-01-29,31.57,31.83,30.44,30.78,30.3472546012,46895.0,0.0,1.0
2021-01-28,31.11,31.65,31.0901,31.5,31.0571319018,39806.0,0.0,1.0
2021-01-27,31.23,31.25,30.7,31.01,30.5740209611,61064.0,0.0,1.0
2021-01-26,32.32,32.32,31.79,31.91,31.4613675869,44261.0,0.0,1.0
2021-01-25,32.96,32.96,31.87,32.37,31.9149003067,65409.0,0.0,1.0
2021-01-22,32.14,32.97,32.14,32.97,32.5064647239,73760.0,0.0,1.0
2021-01-21,32.99,33.3,31.72,32.31,31.855743865,77821.0,0.0,1.0
2021-01-20,33.64,33.99,32.83,32.98,32.5163241309,52896.0,0.0,1.0
2021-01-19,33.67,33.9251,33.2801,33.86,33.3839519427,48375.0,0.0,1.0
2021-01-15,34.0,34.0,33.0,33.67,33.1966232106,68773.0,0.0,1.0
2021-01-14,33.55,34.2,33.3,34.16,33.6797341513,111875.0,0.0,1.0
2021-01-13,33.47,33.765,33.01,33.28,32.8121063395,63880.0,0.0,1.0
2021-01-12,33.32,33.99,33.1037,33.47,32.9994350716,95516.0,0.0,1.0
2021-01-11,31.74,32.96,31.63,32.87,32.4078706544,86617.0,0.0,1.0
2021-01-08,32.84,32.84,31.51,32.31,31.855743865,65061.0,0.0,1.0
2021-01-07,32.11,32.96,32.11,32.57,32.1120884458,84380.0,0.0,1.0
2021-01-06,30.6,32.1,30.5397,31.5,31.0571319018,127589.0,0.0,1.0
2021-01-05,29.27,29.88,29.27,29.56,29.144406953,69437.0,0.0,1.0
2021-01-04,30.33,30.6,29.0627,29.41,28.9965158487,93920.0,0.0,1.0
2020-12-31,30.59,31.1901,30.28,30.35,29.9233001022,87279.0,0.0,1.0
2020-12-30,30.11,30.45,30.04,30.38,29.9528783231,120830.0,0.0,1.0
2020-12-29,31.17,31.17,30.0399,30.1,29.6768149284,90906.0,0.0,1.0
2020-12-28,30.77,31.15,30.71,30.78,30.3472546012,55259.0,0.0,1.0
2020-12-24,31.17,31.2737,30.39,30.65,30.2190823108,44568.0,0.0,1.0
2020-12-23,29.58,31.39,29.5301,30.93,30.4951457055,142462.0,0.0,1.0
