date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,3.01,3.1818,3.0,3.09,3.09,100860.0,0.0,1.0
2021-04-15,3.4,3.47,3.0,3.02,3.02,284243.0,0.0,1.0
2021-04-14,3.52,3.65,3.41,3.41,3.41,288925.0,0.0,1.0
2021-04-13,3.52,3.64,3.42,3.5,3.5,420329.0,0.0,1.0
2021-04-12,3.62,3.66,3.3944,3.53,3.53,310131.0,0.0,1.0
2021-04-09,3.68,3.94,3.66,3.69,3.69,252883.0,0.0,1.0
2021-04-08,3.7,3.8,3.61,3.61,3.61,286008.0,0.0,1.0
2021-04-07,3.86,3.91,3.64,3.7506,3.7506,286615.0,0.0,1.0
2021-04-06,3.6684,3.9999,3.6684,3.84,3.84,130412.0,0.0,1.0
2021-04-05,3.94,3.9999,3.75,3.77,3.77,81700.0,0.0,1.0
2021-04-01,3.85,3.99,3.85,3.91,3.91,66307.0,0.0,1.0
2021-03-31,3.83,3.99,3.7766,3.8,3.8,131023.0,0.0,1.0
2021-03-30,3.65,3.82,3.55,3.77,3.77,257563.0,0.0,1.0
2021-03-29,3.81,3.85,3.61,3.61,3.61,138002.0,0.0,1.0
2021-03-26,4.13,4.13,3.77,3.79,3.79,154619.0,0.0,1.0
2021-03-25,3.88,4.15,3.8,4.12,4.12,308691.0,0.0,1.0
2021-03-24,4.0,4.23,3.8,3.92,3.92,266831.0,0.0,1.0
2021-03-23,4.2,4.21,3.98,4.02,4.02,133585.0,0.0,1.0
2021-03-22,4.2,4.34,4.06,4.08,4.08,113595.0,0.0,1.0
2021-03-19,4.12,4.45,4.06,4.26,4.26,196409.0,0.0,1.0
2021-03-18,4.35,4.3501,4.1029,4.19,4.19,171649.0,0.0,1.0
2021-03-17,4.03,4.38,3.96,4.34,4.34,147503.0,0.0,1.0
2021-03-16,4.43,4.52,4.06,4.15,4.15,348552.0,0.0,1.0
2021-03-15,4.37,4.6,4.27,4.41,4.41,351454.0,0.0,1.0
2021-03-12,4.22,4.3256,4.1,4.24,4.24,249574.0,0.0,1.0
2021-03-11,3.94,4.45,3.89,4.38,4.38,570422.0,0.0,1.0
2021-03-10,3.99,4.12,3.75,3.89,3.89,214442.0,0.0,1.0
2021-03-09,3.7,3.89,3.56,3.87,3.87,180591.0,0.0,1.0
2021-03-08,3.6,3.76,3.34,3.63,3.63,113825.0,0.0,1.0
2021-03-05,3.65,3.74,3.0981,3.62,3.62,384384.0,0.0,1.0
2021-03-04,3.92,4.05,3.5,3.62,3.62,446296.0,0.0,1.0
2021-03-03,4.4204,4.4204,3.9,4.07,4.07,600429.0,0.0,1.0
2021-03-02,4.5,4.64,4.23,4.3,4.3,211744.0,0.0,1.0
2021-03-01,4.15,4.37,4.11,4.36,4.36,297436.0,0.0,1.0
2021-02-26,4.06,4.34,3.8,3.98,3.98,319204.0,0.0,1.0
2021-02-25,4.5535,4.69,4.07,4.15,4.15,556435.0,0.0,1.0
2021-02-24,4.39,4.73,4.37,4.41,4.41,728151.0,0.0,1.0
2021-02-23,4.6,4.6,3.7281,4.34,4.34,1264952.0,0.0,1.0
2021-02-22,5.14,5.16,4.71,4.82,4.82,1000662.0,0.0,1.0
2021-02-19,4.95,5.225,4.86,5.08,5.08,849437.0,0.0,1.0
2021-02-18,5.16,5.24,4.76,4.85,4.85,1009479.0,0.0,1.0
2021-02-17,5.54,5.75,5.08,5.18,5.18,1426204.0,0.0,1.0
2021-02-16,5.29,5.8799,5.12,5.56,5.56,1778869.0,0.0,1.0
