date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.29,12.29,12.2,12.2,12.2,77561.0,0.0,1.0
2021-04-15,12.2,12.32,12.2,12.29,12.29,66517.0,0.0,1.0
2021-04-14,12.2,12.26,12.18,12.2,12.2,83384.0,0.0,1.0
2021-04-13,12.25,12.26,12.18,12.2,12.2,66275.0,0.0,1.0
2021-04-12,12.2,12.25,12.2,12.23,12.23,86792.0,0.0,1.0
2021-04-09,12.26,12.26,12.18,12.2,12.2,50314.0,0.0,1.0
2021-04-08,12.22,12.2598,12.1902,12.245,12.245,59188.0,0.0,1.0
2021-04-07,12.12,12.2,12.12,12.17,12.17,56984.0,0.0,1.0
2021-04-06,12.17,12.2,12.15,12.17,12.17,42217.0,0.0,1.0
2021-04-05,12.21,12.25,12.11,12.14,12.14,93192.0,0.0,1.0
2021-04-01,12.13,12.2,12.12,12.2,12.2,44092.0,0.0,1.0
2021-03-31,12.01,12.08,12.01,12.06,12.06,120473.0,0.0,1.0
2021-03-30,11.98,12.03,11.95,11.99,11.99,31994.0,0.0,1.0
2021-03-29,11.93,12.05,11.93,11.98,11.98,41647.0,0.0,1.0
2021-03-26,11.99,12.09,11.96,11.96,11.96,25072.0,0.0,1.0
2021-03-25,12.05,12.08,11.99,12.02,12.02,37795.0,0.0,1.0
2021-03-24,12.12,12.12,12.04,12.07,12.07,32505.0,0.0,1.0
2021-03-23,12.13,12.14,12.06,12.07,12.07,42302.0,0.08,1.0
2021-03-22,12.18,12.24,12.14,12.24,12.1594074074,111973.0,0.0,1.0
2021-03-19,12.14,12.17,12.129,12.15,12.07,68623.0,0.0,1.0
2021-03-18,12.19,12.23,12.06,12.06,11.9805925926,41086.0,0.0,1.0
2021-03-17,12.17,12.23,12.13,12.2,12.1196707819,56143.0,0.0,1.0
2021-03-16,12.24,12.25,12.16,12.21,12.1296049383,43847.0,0.0,1.0
2021-03-15,12.17,12.25,12.17,12.24,12.1594074074,43705.0,0.0,1.0
2021-03-12,12.25,12.25,12.12,12.13,12.0501316872,33663.0,0.0,1.0
2021-03-11,12.25,12.25,12.235,12.25,12.1693415638,36354.0,0.0,1.0
2021-03-10,12.2,12.241,12.19,12.22,12.1395390947,40754.0,0.0,1.0
2021-03-09,12.11,12.24,12.06,12.2,12.1196707819,30068.0,0.0,1.0
2021-03-08,12.12,12.2,12.0077,12.03,11.9507901235,32954.0,0.0,1.0
2021-03-05,12.2,12.25,12.1037,12.15,12.07,25575.0,0.0,1.0
2021-03-04,12.29,12.4,12.22,12.22,12.1395390947,42633.0,0.0,1.0
