date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.35,10.43,10.33,10.35,10.35,39646.0,0.0,1.0
2021-04-15,10.4,10.4,10.35,10.4,10.4,28070.0,0.0,1.0
2021-04-14,10.42,10.43,10.35,10.35,10.35,57200.0,0.0,1.0
2021-04-13,10.49,10.49,10.35,10.42,10.42,49496.0,0.0,1.0
2021-04-12,10.44,10.44,10.35,10.37,10.37,48769.0,0.0,1.0
2021-04-09,10.44,10.49,10.4,10.43,10.43,59750.0,0.0,1.0
2021-04-08,10.66,10.66,10.3825,10.39,10.39,243006.0,0.0,1.0
2021-04-07,10.88,10.9573,10.41,10.5,10.5,1763999.0,0.0,1.0
2021-04-06,10.0,10.0442,9.99,9.99,9.99,9524.0,0.0,1.0
2021-04-05,10.06,10.06,10.0,10.04,10.04,24911.0,0.0,1.0
2021-04-01,9.9899,10.062,9.976,10.0,10.0,22518.0,0.0,1.0
2021-03-31,10.08,10.08,9.86,9.9,9.9,28498.0,0.0,1.0
2021-03-30,10.0,10.2,9.95,10.01,10.01,45977.0,0.0,1.0
2021-03-29,10.4,10.4,9.99,10.0,10.0,58346.0,0.0,1.0
2021-03-26,9.92,10.948,9.92,10.05,10.05,537755.0,0.0,1.0
2021-03-25,9.8331,9.92,9.82,9.92,9.92,6195.0,0.0,1.0
2021-03-24,9.93,9.93,9.92,9.92,9.92,22287.0,0.0,1.0
2021-03-23,9.94,9.96,9.93,9.93,9.93,12487.0,0.0,1.0
2021-03-22,10.08,10.08,9.96,9.96,9.96,21405.0,0.0,1.0
2021-03-19,10.04,10.04,9.99,9.99,9.99,1165.0,0.0,1.0
2021-03-18,10.0266,10.0266,10.0266,10.0266,10.0266,582.0,0.0,1.0
2021-03-17,10.02,10.02,9.9549,9.98,9.98,104722.0,0.0,1.0
2021-03-16,10.03,10.05,9.99,9.99,9.99,85980.0,0.0,1.0
2021-03-15,10.1451,10.1451,10.02,10.02,10.02,1889.0,0.0,1.0
2021-03-12,10.14,10.16,10.14,10.14,10.14,131603.0,0.0,1.0
2021-03-11,10.3,10.3,10.14,10.16,10.16,35571.0,0.0,1.0
2021-03-10,10.23,10.245,10.11,10.11,10.11,122927.0,0.0,1.0
2021-03-09,10.21,10.24,10.18,10.21,10.21,7657.0,0.0,1.0
2021-03-08,10.1784,10.21,10.16,10.21,10.21,1610.0,0.0,1.0
2021-03-05,10.0,10.3,10.0,10.16,10.16,202449.0,0.0,1.0
2021-03-04,10.04,10.1,10.0,10.02,10.02,195844.0,0.0,1.0
2021-03-03,10.07,10.14,10.05,10.1,10.1,98680.0,0.0,1.0
2021-03-02,10.1,10.16,10.0,10.05,10.05,187994.0,0.0,1.0
2021-03-01,10.1713,10.29,10.1,10.17,10.17,146252.0,0.0,1.0
2021-02-26,10.34,10.34,10.16,10.2,10.2,109280.0,0.0,1.0
2021-02-25,10.31,10.38,10.27,10.295,10.295,53642.0,0.0,1.0
2021-02-24,10.395,10.415,10.3,10.4,10.4,15083.0,0.0,1.0
2021-02-23,10.35,10.43,10.3,10.4199,10.4199,28011.0,0.0,1.0
2021-02-22,10.42,10.5,10.4,10.4,10.4,20493.0,0.0,1.0
2021-02-19,10.4,10.4799,10.4,10.4,10.4,2634.0,0.0,1.0
2021-02-18,10.45,10.45,10.38,10.4,10.4,215943.0,0.0,1.0
2021-02-17,10.39,10.45,10.32,10.3901,10.3901,108399.0,0.0,1.0
2021-02-16,10.36,10.36,10.32,10.35,10.35,243602.0,0.0,1.0
2021-02-12,10.36,10.37,10.3,10.34,10.34,17092.0,0.0,1.0
2021-02-11,10.37,10.37,10.35,10.35,10.35,35083.0,0.0,1.0
2021-02-10,10.37,10.44,10.35,10.4,10.4,11268.0,0.0,1.0
2021-02-09,10.33,10.49,10.3201,10.38,10.38,11179.0,0.0,1.0
2021-02-08,10.4,10.49,10.37,10.37,10.37,42905.0,0.0,1.0
2021-02-05,10.33,10.39,10.32,10.38,10.38,92727.0,0.0,1.0
2021-02-04,10.33,10.4,10.3,10.31,10.31,220583.0,0.0,1.0
2021-02-03,10.3,10.38,10.2701,10.32,10.32,70505.0,0.0,1.0
2021-02-02,10.24,10.35,10.24,10.32,10.32,114385.0,0.0,1.0
2021-02-01,10.34,10.35,10.23,10.27,10.27,317660.0,0.0,1.0
2021-01-29,10.25,10.3,10.22,10.26,10.26,368096.0,0.0,1.0
2021-01-28,10.15,10.22,10.15,10.22,10.22,286993.0,0.0,1.0
2021-01-27,10.2,10.3,10.145,10.16,10.16,5334687.0,0.0,1.0
