date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.8,8.8,8.45,8.69,8.69,67846.0,0.0,1.0
2021-04-15,9.06,9.24,8.69,8.72,8.72,108069.0,0.0,1.0
2021-04-14,9.24,9.24,8.7954,8.98,8.98,90746.0,0.0,1.0
2021-04-13,8.87,9.49,8.535,9.32,9.32,269225.0,0.0,1.0
2021-04-12,9.38,9.42,8.89,9.02,9.02,298141.0,0.0,1.0
2021-04-09,9.23,9.89,9.1522,9.39,9.39,316197.0,0.0,1.0
2021-04-08,9.54,9.54,9.07,9.21,9.21,72903.0,0.0,1.0
2021-04-07,9.7,9.7828,9.28,9.6,9.6,115639.0,0.0,1.0
2021-04-06,9.63,9.75,9.47,9.7,9.7,32584.0,0.0,1.0
2021-04-05,9.79,9.925,9.45,9.67,9.67,88471.0,0.0,1.0
2021-04-01,9.16,9.55,8.9,9.54,9.54,154998.0,0.0,1.0
2021-03-31,9.11,9.26,8.9601,9.08,9.08,115183.0,0.0,1.0
2021-03-30,8.94,9.4099,8.85,9.11,9.11,126326.0,0.0,1.0
2021-03-29,9.62,9.87,8.83,8.83,8.83,109957.0,0.0,1.0
2021-03-26,9.75,10.1,9.45,9.68,9.68,117693.0,0.0,1.0
2021-03-25,9.29,9.73,9.11,9.72,9.72,167472.0,0.0,1.0
2021-03-24,10.08,10.45,9.425,9.45,9.45,186852.0,0.0,1.0
2021-03-23,10.26,10.4099,9.92,10.01,10.01,121974.0,0.0,1.0
2021-03-22,10.61,10.63,10.31,10.33,10.33,75834.0,0.0,1.0
2021-03-19,10.87,11.12,10.3,10.44,10.44,141862.0,0.0,1.0
2021-03-18,11.16,11.63,10.6101,10.69,10.69,211063.0,0.0,1.0
2021-03-17,10.87,11.2,10.695,11.2,11.2,104772.0,0.0,1.0
2021-03-16,11.19,11.2,10.75,11.01,11.01,144791.0,0.0,1.0
2021-03-15,11.37,11.47,11.07,11.13,11.13,85189.0,0.0,1.0
2021-03-12,10.79,11.47,10.53,11.35,11.35,186718.0,0.0,1.0
2021-03-11,10.2,11.98,10.0801,11.5,11.5,940950.0,0.0,1.0
2021-03-10,10.52,10.52,9.92,10.14,10.14,209656.0,0.0,1.0
2021-03-09,9.53,10.49,9.2,10.09,10.09,1207563.0,0.0,1.0
2021-03-08,8.84,9.4,8.7401,9.36,9.36,142529.0,0.0,1.0
2021-03-05,9.08,9.28,8.1807,8.72,8.72,252712.0,0.0,1.0
2021-03-04,10.27,10.27,9.05,9.21,9.21,313561.0,0.0,1.0
2021-03-03,10.67,11.28,9.97,10.28,10.28,953893.0,0.0,1.0
2021-03-02,10.42,10.99,9.92,10.01,10.01,805429.0,0.0,1.0
2021-03-01,10.03,10.5945,9.8949,10.3,10.3,194984.0,0.0,1.0
2021-02-26,9.42,10.45,9.2,10.06,10.06,932149.0,0.0,1.0
2021-02-25,9.89,9.89,9.2,9.43,9.43,320034.0,0.0,1.0
2021-02-24,9.55,9.99,9.41,9.64,9.64,214436.0,0.0,1.0
2021-02-23,9.94,11.9,8.902,9.74,9.74,2416583.0,0.0,1.0
2021-02-22,10.59,12.9,10.14,10.25,10.25,2242518.0,0.0,1.0
2021-02-19,9.6,10.49,9.39,10.41,10.41,423559.0,0.0,1.0
2021-02-18,9.73,9.7499,9.1,9.46,9.46,351592.0,0.0,1.0
2021-02-17,9.58,9.59,8.95,9.34,9.34,322448.0,0.0,1.0
2021-02-16,8.71,9.67,8.52,9.61,9.61,804160.0,0.0,1.0
2021-02-12,8.68,8.94,8.5401,8.57,8.57,80849.0,0.0,1.0
2021-02-11,8.93,9.0299,8.5001,8.69,8.69,174360.0,0.0,1.0
2021-02-10,9.05,9.15,8.55,8.97,8.97,343748.0,0.0,1.0
2021-02-09,9.1,9.1514,8.66,9.0,9.0,257919.0,0.0,1.0
2021-02-08,9.05,9.67,8.8201,9.13,9.13,1003537.0,0.0,1.0
2021-02-05,9.16,10.3799,8.62,8.9,8.9,1710130.0,0.0,1.0
2021-02-04,9.01,9.4,8.85,9.08,9.08,277049.0,0.0,1.0
2021-02-03,8.56,9.12,8.47,8.92,8.92,313989.0,0.0,1.0
2021-02-02,8.7,8.96,8.35,8.61,8.61,324781.0,0.0,1.0
2021-02-01,8.16,8.45,8.01,8.38,8.38,263030.0,0.0,1.0
2021-01-29,8.32,8.8,7.9501,8.19,8.19,362619.0,0.0,1.0
2021-01-28,9.08,9.74,7.87,8.07,8.07,820813.0,0.0,1.0
2021-01-27,8.29,10.74,8.0,8.77,8.77,4215074.0,0.0,1.0
2021-01-26,7.9,8.49,7.65,7.85,7.85,1356853.0,0.0,1.0
2021-01-25,7.6,7.8,7.29,7.56,7.56,302880.0,0.0,1.0
2021-01-22,7.25,7.646,7.25,7.53,7.53,191018.0,0.0,1.0
2021-01-21,7.74,7.74,7.35,7.39,7.39,224618.0,0.0,1.0
2021-01-20,7.83,7.94,7.57,7.69,7.69,185870.0,0.0,1.0
2021-01-19,7.62,8.28,7.495,7.8,7.8,686469.0,0.0,1.0
2021-01-15,7.97,8.05,7.3,7.43,7.43,573341.0,0.0,1.0
2021-01-14,7.48,8.848,7.41,8.4,8.4,981472.0,0.0,1.0
2021-01-13,7.56,7.59,7.2227,7.4,7.4,136964.0,0.0,1.0
2021-01-12,7.2,7.8,7.1,7.48,7.48,377901.0,0.0,1.0
2021-01-11,6.97,7.2802,6.75,7.12,7.12,245286.0,0.0,1.0
