date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,109.2,110.19,108.4,109.09,109.09,1300738.0,0.0,1.0
2021-04-15,107.55,108.66,106.9,108.4,108.4,878162.0,0.0,1.0
2021-04-14,106.26,106.76,106.0,106.55,106.55,1229088.0,0.0,1.0
2021-04-13,105.25,106.55,104.5299,106.43,106.43,1023708.0,0.0,1.0
2021-04-12,103.95,106.3,103.95,105.54,105.54,1003174.0,0.0,1.0
2021-04-09,105.0,105.49,103.6,104.87,104.87,1045527.0,0.0,1.0
2021-04-08,101.03,102.01,100.09,101.99,101.99,659867.0,0.0,1.0
2021-04-07,103.03,103.31,100.94,100.95,100.95,902380.0,0.0,1.0
2021-04-06,101.28,103.13,100.65,102.89,102.89,738646.0,0.0,1.0
2021-04-05,101.38,102.08,100.47,101.71,101.71,834184.0,0.0,1.0
2021-04-01,97.99,100.445,97.13,100.38,100.38,1344049.0,0.0,1.0
2021-03-31,97.01,98.06,96.26,97.04,97.04,878888.0,0.0,1.0
2021-03-30,98.15,98.265,96.74,97.05,97.05,853323.0,0.0,1.0
2021-03-29,97.47,99.03,96.87,98.55,98.55,857816.0,0.0,1.0
2021-03-26,98.43,98.5,96.0,97.98,97.98,752548.0,0.0,1.0
2021-03-25,96.98,98.1,95.87,97.72,97.72,548327.0,0.0,1.0
2021-03-24,97.1,98.585,96.94,97.03,97.03,566080.0,0.0,1.0
2021-03-23,97.57,99.65,95.855,96.57,96.57,1292373.0,0.0,1.0
2021-03-22,96.23,98.63,95.35,98.13,98.13,660409.0,0.0,1.0
2021-03-19,96.01,97.245,95.63,96.48,96.48,2177874.0,0.0,1.0
2021-03-18,96.78,98.05,96.12,96.14,96.14,2019257.0,0.0,1.0
2021-03-17,96.85,97.7,96.53,96.93,96.93,636914.0,0.0,1.0
2021-03-16,97.36,97.6,96.225,97.0,97.0,1680435.0,0.0,1.0
2021-03-15,96.35,97.14,95.26,97.01,97.01,962219.0,0.0,1.0
2021-03-12,97.43,97.63,95.905,96.0,96.0,918488.0,0.0,1.0
2021-03-11,98.23,98.86,97.07,97.34,97.34,805538.0,0.0,1.0
2021-03-10,98.5,99.17,97.53,98.02,98.02,1515247.0,0.2,1.0
2021-03-09,96.84,98.57,96.0152,97.69,97.4910792099,1537233.0,0.0,1.0
2021-03-08,97.1,98.53,96.085,96.29,96.0939299532,1416193.0,0.0,1.0
2021-03-05,97.13,97.28,94.11,96.84,96.6428100183,1753124.0,0.0,1.0
2021-03-04,97.04,98.76,95.0,96.17,95.9741743026,1415755.0,0.0,1.0
2021-03-03,98.65,99.05,97.57,97.57,97.3713235594,1060627.0,0.0,1.0
2021-03-02,98.56,99.79,97.84,98.66,98.4591040521,852243.0,0.0,1.0
2021-03-01,96.72,99.59,96.72,98.37,98.1696945632,886719.0,0.0,1.0
2021-02-26,97.28,97.92,95.36,95.56,95.3654164121,1106207.0,0.0,1.0
2021-02-25,98.66,99.38,96.43,96.45,96.2536041539,1576544.0,0.0,1.0
2021-02-24,97.83,99.73,97.13,99.09,98.8882284667,808180.0,0.0,1.0
2021-02-23,99.49,99.9,96.55,97.85,97.6507534107,1080016.0,0.0,1.0
2021-02-22,101.65,101.65,99.64,100.16,99.9560496844,729990.0,0.0,1.0
2021-02-19,99.45,101.27,99.25,101.01,100.804318876,786457.0,0.0,1.0
2021-02-18,98.34,99.64,98.11,99.07,98.8682691916,833261.0,0.0,1.0
2021-02-17,99.33,99.42,98.11,98.99,98.7884320912,632720.0,0.0,1.0
2021-02-16,98.8,99.87,98.26,99.49,99.2874139686,626704.0,0.0,1.0
2021-02-12,96.84,99.45,96.795,98.96,98.7584931786,702886.0,0.0,1.0
2021-02-11,98.48,99.75,95.32,96.7,96.5030950926,1144942.0,0.0,1.0
2021-02-10,98.86,101.95,96.72,98.05,97.8503461617,2229765.0,0.0,1.0
2021-02-09,93.47,93.99,92.41,92.73,92.5411789859,597410.0,0.0,1.0
2021-02-08,93.11,94.2,92.72,93.69,93.4992241906,624802.0,0.0,1.0
2021-02-05,91.7,92.97,90.99,92.75,92.561138261,966508.0,0.0,1.0
2021-02-04,92.11,92.135,90.32,90.86,90.6749867644,840453.0,0.0,1.0
2021-02-03,92.69,93.12,91.49,91.78,91.5931134189,620162.0,0.0,1.0
2021-02-02,92.75,93.855,92.44,92.61,92.4214233354,751177.0,0.0,1.0
2021-02-01,91.24,91.92,89.07,91.82,91.633031969,1014624.0,0.0,1.0
2021-01-29,89.33,90.63,88.23,90.15,89.9664324985,837817.0,0.0,1.0
2021-01-28,87.14,90.81,87.08,90.28,90.0961677866,2974647.0,0.0,1.0
2021-01-27,91.75,91.75,85.65,86.0,85.8248829159,1848842.0,0.0,1.0
2021-01-26,93.48,94.32,92.725,93.23,93.0401608634,1574352.0,0.0,1.0
2021-01-25,92.9,93.45,89.27,92.99,92.8006495622,2021182.0,0.0,1.0
2021-01-22,94.25,94.29,90.855,93.74,93.5491223783,1366831.0,0.0,1.0
2021-01-21,95.62,95.6484,94.35,94.58,94.3874119324,691942.0,0.0,1.0
2021-01-20,94.33,96.23,92.56,95.72,95.5250906129,806519.0,0.0,1.0
2021-01-19,95.81,96.29,93.6,93.78,93.5890409285,801195.0,0.0,1.0
2021-01-15,95.2,96.27,93.87,95.2,95.0061494604,1250393.0,0.0,1.0
2021-01-14,98.37,98.66,95.51,95.75,95.5550295256,757436.0,0.0,1.0
2021-01-13,98.7,99.09,97.48,98.39,98.1896538383,718467.0,0.0,1.0
2021-01-12,99.76,99.99,98.4,98.78,98.5788597027,619128.0,0.0,1.0
2021-01-11,98.62,100.505,98.5,100.04,99.8362940338,623832.0,0.0,1.0
2021-01-08,101.3,101.4,98.1,99.65,99.4470881694,659896.0,0.0,1.0
2021-01-07,101.37,101.37,99.49,100.77,100.564807575,729525.0,0.0,1.0
2021-01-06,98.05,101.14,97.985,100.25,100.045866422,609592.0,0.0,1.0
2021-01-05,97.33,98.42,96.72,97.44,97.2415882712,480539.0,0.0,1.0
2021-01-04,100.32,100.85,97.06,97.27,97.0719344329,938317.0,0.0,1.0
2020-12-31,99.4,100.58,98.52,100.2,99.9959682346,507660.0,0.0,1.0
2020-12-30,99.0,100.42,98.16,99.84,99.6367012828,515598.0,0.0,1.0
2020-12-29,97.99,99.0,97.75,98.18,97.9800814498,495738.0,0.0,1.0
2020-12-28,98.96,99.51,97.31,97.66,97.4611402973,410968.0,0.0,1.0
2020-12-24,97.25,98.85,97.2,98.6,98.3992262268,346062.0,0.0,1.0
2020-12-23,97.36,97.87,96.63,96.96,96.7625656689,438766.0,0.0,1.0
2020-12-22,97.39,98.2,97.17,97.35,97.1517715333,727085.0,0.0,1.0
2020-12-21,95.33,98.16,94.59,97.69,97.4910792099,728441.0,0.0,1.0
2020-12-18,98.3,98.59,96.0,96.29,96.0939299532,1434896.0,0.0,1.0
2020-12-17,98.0,98.42,97.05,98.08,97.8802850743,836189.0,0.0,1.0
2020-12-16,98.66,98.84,97.0,97.29,97.091893708,636016.0,0.0,1.0
