date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,19.23,19.5,19.04,19.19,19.19,291536.0,0.0,1.0
2021-04-15,18.91,19.31,18.82,19.15,19.15,417227.0,0.3788,1.0
2021-04-14,18.56,19.26,18.56,19.17,18.7981397156,361793.0,0.0,1.0
2021-04-13,18.55,18.73,18.49,18.65,18.2882266926,204234.0,0.0,1.0
2021-04-12,18.64,18.81,18.49,18.55,18.1901664958,91197.0,0.0,1.0
2021-04-09,18.31,18.67,18.26,18.61,18.2490026139,143796.0,0.0,1.0
2021-04-08,18.19,18.555,18.08,18.3,17.945016004,270998.0,0.0,1.0
2021-04-07,18.15,18.28,18.05,18.1,17.7488956105,108461.0,0.0,1.0
2021-04-06,17.89,18.34,17.7,18.1,17.7488956105,258980.0,0.0,1.0
2021-04-05,17.85,18.03,17.65,17.85,17.5037451186,220104.0,0.0,1.0
2021-04-01,17.71,17.91,17.43,17.85,17.5037451186,352501.0,0.0,1.0
2021-03-31,18.0,18.06,17.63,17.67,17.3272367645,273015.0,0.0,1.0
2021-03-30,18.06,18.06,17.75,17.81,17.4645210399,155987.0,0.0,1.0
2021-03-29,18.13,18.27,17.87,18.15,17.7979257088,268015.0,0.0,1.0
2021-03-26,18.36,18.49,18.05,18.33,17.974434063,69493.0,0.0,1.0
2021-03-25,18.22,18.4,18.02,18.32,17.9646280433,110561.0,0.0,1.0
2021-03-24,18.62,18.75,18.29,18.29,17.9352099843,270762.0,0.0,1.0
2021-03-23,18.66,18.68,18.35,18.42,18.0626882401,294329.0,0.0,1.0
2021-03-22,18.73,18.89,18.52,18.62,18.2588086335,356040.0,0.0,1.0
2021-03-19,18.37,18.88,18.37,18.71,18.3470628106,195474.0,0.0,1.0
2021-03-18,18.46,18.53,18.29,18.31,17.9548220236,275182.0,0.0,1.0
2021-03-17,18.23,18.475,18.145,18.4,18.0430762007,126098.0,0.0,1.0
2021-03-16,18.63,18.76,18.19,18.38,18.0234641614,245393.0,0.0,1.0
2021-03-15,18.33,18.68,18.17,18.68,18.3176447516,414864.0,0.0,1.0
2021-03-12,18.31,18.51,18.14,18.33,17.974434063,135807.0,0.0,1.0
2021-03-11,18.43,18.6,18.29,18.38,18.0234641614,242669.0,0.0,1.0
2021-03-10,18.5,18.735,18.28,18.38,18.0234641614,289422.0,0.0,1.0
2021-03-09,17.71,18.34,17.6,18.09,17.7390895908,308570.0,0.0,1.0
2021-03-08,17.98,18.17,17.63,17.7,17.3566548235,241744.0,0.0,1.0
2021-03-05,17.9,18.09,17.59,17.95,17.6018053154,1285875.0,0.0,1.0
2021-03-04,18.12,18.36,17.6638,17.74,17.3958789022,500901.0,0.0,1.0
2021-03-03,17.95,18.36,17.83,18.15,17.7979257088,1540241.0,0.0,1.0
2021-03-02,17.75,18.11,17.75,17.9,17.552775217,341476.0,0.0,1.0
2021-03-01,17.74,17.75,17.44,17.6,17.2585946268,340917.0,0.0,1.0
2021-02-26,17.08,17.65,17.0,17.3,16.9644140365,1427845.0,0.0,1.0
2021-02-25,17.28,17.53,16.94,17.01,16.680039466,389643.0,0.0,1.0
2021-02-24,17.11,17.5,16.93,17.29,16.9546080169,463931.0,0.0,1.0
2021-02-23,16.78,17.1,16.55,17.09,16.7584876234,279429.0,0.0,1.0
2021-02-22,17.26,17.41,16.78,16.78,16.4545010135,153593.0,0.0,1.0
2021-02-19,17.08,17.34,16.77,17.22,16.8859658791,166687.0,0.0,1.0
