date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,26.6,26.92,25.61,25.88,25.88,92603.0,0.0,1.0
2021-04-15,26.29,27.2,25.59,26.55,26.55,115510.0,0.0,1.0
2021-04-14,26.05,27.1799,25.04,26.32,26.32,169694.0,0.0,1.0
2021-04-13,28.0972,28.0972,24.57,27.03,27.03,866844.0,0.0,1.0
2021-04-12,21.0,27.94,20.82,27.94,27.94,4958821.0,0.0,1.0
2021-04-09,22.08,24.25,19.04,21.6,21.6,15787109.0,0.0,1.0
2021-04-08,14.25,14.31,14.02,14.31,14.31,506083.0,0.0,1.0
2021-04-07,14.86,14.87,14.2,14.4,14.4,13209.0,0.0,1.0
2021-04-06,14.1,14.62,14.1,14.25,14.25,10286.0,0.0,1.0
2021-04-05,14.45,14.69,14.0676,14.25,14.25,20854.0,0.0,1.0
2021-04-01,14.5,15.2,14.27,14.75,14.75,20333.0,0.0,1.0
2021-03-31,14.27,14.59,14.25,14.34,14.34,2062.0,0.0,1.0
2021-03-30,14.325,14.325,14.17,14.17,14.17,1482.0,0.0,1.0
2021-03-29,14.0657,14.35,14.04,14.04,14.04,6533.0,0.0,1.0
2021-03-26,14.6,14.6,14.03,14.5492,14.5492,8858.0,0.0,1.0
2021-03-25,14.26,14.62,13.95,14.25,14.25,12198.0,0.0,1.0
2021-03-24,14.41,14.66,14.25,14.66,14.66,2062.0,0.0,1.0
2021-03-23,15.65,15.65,14.616,14.62,14.62,2921.0,0.0,1.0
2021-03-22,15.67,16.0,14.6,15.7,15.7,11245.0,0.0,1.0
2021-03-19,15.93,16.28,15.07,15.53,15.53,93346.0,0.0,1.0
2021-03-18,15.21,16.0,14.75,15.92,15.92,31874.0,0.0,1.0
2021-03-17,14.47,15.225,13.9,15.08,15.08,56162.0,0.0,1.0
2021-03-16,13.66,14.53,13.4506,13.75,13.75,97946.0,0.0,1.0
2021-03-15,13.32,13.5,13.04,13.5,13.5,23717.0,0.0,1.0
2021-03-12,13.385,13.45,13.22,13.22,13.22,19094.0,0.0,1.0
2021-03-11,13.02,13.51,12.975,13.51,13.51,20224.0,0.0,1.0
2021-03-10,14.0,14.8163,12.8,13.06,13.06,15330.0,0.0,1.0
2021-03-09,13.76,13.85,13.43,13.82,13.82,2519.0,0.0,1.0
2021-03-08,12.63,13.23,12.26,12.76,12.76,28666.0,0.0,1.0
2021-03-05,13.43,13.7,12.355,12.585,12.585,49291.0,0.0,1.0
2021-03-04,14.3432,14.71,13.1,13.44,13.44,27633.0,0.0,1.0
2021-03-03,15.4,15.4,14.4628,14.95,14.95,7686.0,0.0,1.0
2021-03-02,14.88,15.54,14.79,15.4,15.4,29768.0,0.0,1.0
2021-03-01,14.35,14.89,14.305,14.71,14.71,14743.0,0.0,1.0
2021-02-26,14.07,14.23,13.6489,14.2,14.2,16981.0,0.0,1.0
2021-02-25,14.4,14.6383,13.41,13.82,13.82,191522.0,0.0,1.0
2021-02-24,14.65,14.7788,14.21,14.37,14.37,404918.0,0.0,1.0
2021-02-23,17.09,17.3275,15.7,15.72,15.72,14454.0,0.0,1.0
2021-02-22,16.91,18.0,16.02,16.6,16.6,12679.0,0.0,1.0
2021-02-19,16.74,17.8,16.73,17.8,17.8,4067.0,0.0,1.0
2021-02-18,16.16,17.01,16.16,16.63,16.63,4103.0,0.0,1.0
2021-02-17,16.13,17.2499,16.13,16.76,16.76,15115.0,0.0,1.0
2021-02-16,16.015,16.6853,16.015,16.46,16.46,2287.0,0.0,1.0
2021-02-12,16.61,16.75,14.946,16.57,16.57,22326.0,0.0,1.0
2021-02-11,17.4,17.7237,16.68,16.73,16.73,8685.0,0.0,1.0
2021-02-10,15.95,17.69,15.9,17.4,17.4,13117.0,0.0,1.0
2021-02-09,15.84,16.64,15.75,16.05,16.05,7765.0,0.0,1.0
2021-02-08,15.26,15.73,15.0,15.73,15.73,8924.0,0.0,1.0
2021-02-05,14.83,15.19,14.25,14.99,14.99,4795.0,0.0,1.0
2021-02-04,14.88,15.7139,14.3,14.3,14.3,7517.0,0.0,1.0
2021-02-03,14.7542,15.2897,14.48,15.08,15.08,6439.0,0.0,1.0
2021-02-02,14.99,15.0,14.5467,14.84,14.84,7464.0,0.0,1.0
2021-02-01,14.74,15.58,14.5715,14.95,14.95,25612.0,0.0,1.0
