date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.26,1.2749,1.07,1.24,1.24,226511.0,0.0,1.0
2021-04-15,1.38,1.38,1.2,1.22,1.22,61770.0,0.0,1.0
2021-04-14,1.6,1.6,1.28,1.29,1.29,69269.0,0.0,1.0
2021-04-13,1.42,1.53,1.38,1.45,1.45,23862.0,0.0,1.0
2021-04-12,1.51,1.53,1.42,1.42,1.42,14075.0,0.0,1.0
2021-04-09,1.75,1.75,1.5,1.56,1.56,18639.0,0.0,1.0
2021-04-08,1.7,1.7,1.48,1.68,1.68,52422.0,0.0,1.0
2021-04-07,1.6,1.72,1.42,1.72,1.72,76127.0,0.0,1.0
2021-04-06,1.72,1.72,1.4101,1.62,1.62,100498.0,0.0,1.0
2021-04-05,1.49,1.52,1.37,1.49,1.49,97576.0,0.0,1.0
2021-04-01,1.4,1.62,1.4,1.62,1.62,46431.0,0.0,1.0
2021-03-31,1.46,1.47,1.41,1.41,1.41,16076.0,0.0,1.0
2021-03-30,1.36,1.49,1.36,1.441,1.441,28587.0,0.0,1.0
2021-03-29,1.66,1.66,1.49,1.55,1.55,154375.0,0.0,1.0
2021-03-26,1.4,1.65,1.35,1.59,1.59,94259.0,0.0,1.0
2021-03-25,1.35,1.39,1.15,1.3,1.3,115877.0,0.0,1.0
2021-03-24,1.6,1.73,1.36,1.5,1.5,113422.0,0.0,1.0
2021-03-23,1.74,1.74,1.575,1.64,1.64,93158.0,0.0,1.0
2021-03-22,1.75,1.75,1.6,1.68,1.68,30308.0,0.0,1.0
2021-03-19,1.54,1.7,1.519,1.63,1.63,254233.0,0.0,1.0
2021-03-18,1.72,1.75,1.54,1.54,1.54,47941.0,0.0,1.0
2021-03-17,1.75,1.75,1.61,1.65,1.65,27862.0,0.0,1.0
2021-03-16,1.94,1.94,1.58,1.69,1.69,50887.0,0.0,1.0
2021-03-15,1.94,1.94,1.62,1.7,1.7,137730.0,0.0,1.0
2021-03-12,1.94,1.99,1.6701,1.8,1.8,95139.0,0.0,1.0
2021-03-11,1.8,1.88,1.6201,1.85,1.85,126067.0,0.0,1.0
2021-03-10,1.64,1.72,1.46,1.71,1.71,113493.0,0.0,1.0
2021-03-09,1.47,1.48,1.37,1.4,1.4,162513.0,0.0,1.0
2021-03-08,1.47,1.57,1.32,1.47,1.47,71756.0,0.0,1.0
2021-03-05,1.42,1.55,1.18,1.45,1.45,250955.0,0.0,1.0
2021-03-04,1.74,1.7401,1.45,1.485,1.485,276535.0,0.0,1.0
2021-03-03,1.86,1.89,1.74,1.75,1.75,114730.0,0.0,1.0
2021-03-02,2.0,2.02,1.79,1.83,1.83,120789.0,0.0,1.0
2021-03-01,2.07,2.08,1.9,1.99,1.99,148669.0,0.0,1.0
2021-02-26,2.02,2.207,1.8,2.05,2.05,208887.0,0.0,1.0
2021-02-25,2.2,2.615,2.06,2.1799,2.1799,310127.0,0.0,1.0
2021-02-24,2.32,2.32,2.14,2.17,2.17,226977.0,0.0,1.0
2021-02-23,2.6,2.65,2.09,2.17,2.17,756481.0,0.0,1.0
2021-02-22,3.0,3.0,2.75,2.77,2.77,275646.0,0.0,1.0
2021-02-19,2.85,3.09,2.76,2.84,2.84,369793.0,0.0,1.0
2021-02-18,2.93,2.93,2.61,2.75,2.75,737187.0,0.0,1.0
2021-02-17,3.15,3.25,2.46,2.6,2.6,1402499.0,0.0,1.0
2021-02-16,3.2,3.3,3.11,3.27,3.27,120457.0,0.0,1.0
2021-02-12,3.01,3.2,3.01,3.2,3.2,96406.0,0.0,1.0
2021-02-11,3.1,3.2,3.01,3.01,3.01,63991.0,0.0,1.0
2021-02-10,3.02,3.2,3.0,3.05,3.05,110504.0,0.0,1.0
2021-02-09,3.1,3.13,3.0,3.01,3.01,221328.0,0.0,1.0
2021-02-08,3.07,3.1199,3.0,3.1089,3.1089,173456.0,0.0,1.0
2021-02-05,3.1,3.15,3.03,3.1,3.1,188760.0,0.0,1.0
2021-02-04,2.92,3.1,2.92,3.05,3.05,145938.0,0.0,1.0
2021-02-03,2.86,3.0,2.8,2.8999,2.8999,140475.0,0.0,1.0
2021-02-02,2.8,2.9826,2.6,2.775,2.775,77137.0,0.0,1.0
2021-02-01,2.5,2.73,2.25,2.66,2.66,145604.0,0.0,1.0
2021-01-29,2.69,2.69,2.4,2.49,2.49,81698.0,0.0,1.0
2021-01-28,2.56,2.65,2.4,2.55,2.55,114323.0,0.0,1.0
2021-01-27,2.74,2.75,2.6,2.6,2.6,107295.0,0.0,1.0
2021-01-26,2.75,2.98,2.72,2.77,2.77,85277.0,0.0,1.0
2021-01-25,2.96,3.14,2.75,2.8,2.8,225520.0,0.0,1.0
2021-01-22,2.79,3.0,2.6102,2.75,2.75,233846.0,0.0,1.0
2021-01-21,2.85,2.85,2.69,2.7,2.7,177606.0,0.0,1.0
2021-01-20,3.0,3.17,2.83,2.85,2.85,157715.0,0.0,1.0
2021-01-19,3.13,3.28,2.9,2.97,2.97,201019.0,0.0,1.0
2021-01-15,3.34,3.35,2.85,3.1253,3.1253,514092.0,0.0,1.0
2021-01-14,2.08,3.75,1.9,3.23,3.23,2292083.0,0.0,1.0
2021-01-13,1.75,2.18,1.7,1.9999,1.9999,352568.0,0.0,1.0
2021-01-12,1.85,1.85,1.73,1.732,1.732,278360.0,0.0,1.0
2021-01-11,2.0,2.0,1.8,1.85,1.85,21930.0,0.0,1.0
2021-01-08,2.0,2.25,1.89,1.9999,1.9999,47474.0,0.0,1.0
2021-01-07,2.0,2.0,1.75,1.87,1.87,27663.0,0.0,1.0
2021-01-06,4.95,4.95,4.95,4.95,4.95,111.0,0.0,1.0
