date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,27.79,27.97,27.7,27.85,27.85,14382.0,0.0,1.0
2021-04-15,27.7,27.89,27.7,27.85,27.85,13498.0,0.0,1.0
2021-04-14,27.91,27.95,27.7113,27.84,27.84,6669.0,0.0,1.0
2021-04-13,27.83,27.9811,27.6101,27.79,27.79,18194.0,0.0,1.0
2021-04-12,27.6535,27.8836,27.65,27.8,27.8,8878.0,0.0,1.0
2021-04-09,27.89,27.9999,27.71,27.8314,27.8314,7641.0,0.0,1.0
2021-04-08,28.0,28.0,27.66,28.0,28.0,8844.0,0.0,1.0
2021-04-07,28.0,28.11,27.6649,28.0,28.0,13447.0,0.0,1.0
2021-04-06,27.59,28.0,27.59,27.93,27.93,85782.0,0.0,1.0
2021-04-05,27.66,27.8663,27.57,27.66,27.66,31122.0,0.0,1.0
2021-04-01,27.63,27.85,27.52,27.8,27.8,31214.0,0.0,1.0
2021-03-31,27.65,27.8299,27.61,27.61,27.61,28308.0,0.0,1.0
2021-03-30,27.72,27.72,27.51,27.56,27.56,12436.0,0.0,1.0
2021-03-29,27.77,27.84,27.51,27.6456,27.6456,17593.0,0.0,1.0
2021-03-26,27.94,28.025,27.66,27.75,27.75,9567.0,0.0,1.0
2021-03-25,28.07,28.1194,27.88,27.88,27.88,9041.0,0.0,1.0
2021-03-24,28.06,28.146,27.86,28.0917,28.0917,28140.0,0.0,1.0
2021-03-23,27.8,28.09,27.8,28.08,28.08,5149.0,0.0,1.0
2021-03-22,28.09,28.1799,27.84,28.06,28.06,9538.0,0.0,1.0
2021-03-19,27.94,28.09,27.8181,28.09,28.09,5962.0,0.0,1.0
2021-03-18,27.98,28.02,27.68,27.87,27.87,9449.0,0.0,1.0
2021-03-17,28.2,28.2,27.7601,28.2,28.2,13530.0,0.0,1.0
2021-03-16,28.1,28.3,27.75,28.3,28.3,25224.0,0.4437,1.0
2021-03-15,28.44,28.49,28.21,28.24,27.8040269624,21312.0,0.0,1.0
2021-03-12,28.4048,28.5,28.32,28.38,27.941865623,8507.0,0.0,1.0
2021-03-11,28.34,28.55,28.34,28.5,28.0600130463,14843.0,0.0,1.0
2021-03-10,28.32,28.5222,28.32,28.44,28.0009393346,14408.0,0.0,1.0
2021-03-09,28.51,28.51,28.31,28.4597,28.0203352033,11177.0,0.0,1.0
2021-03-08,28.3,28.64,28.3,28.5,28.0600130463,19417.0,0.0,1.0
2021-03-05,28.0101,28.43,28.0101,28.4105,27.9718947597,10905.0,0.0,1.0
2021-03-04,28.0199,28.0991,27.79,28.0,27.5677321157,10218.0,0.0,1.0
2021-03-03,27.74,27.885,27.4369,27.86,27.4298934551,9015.0,0.0,1.0
2021-03-02,27.11,27.8,27.1,27.62,27.1935986084,10062.0,0.0,1.0
2021-03-01,27.27,27.37,26.97,27.12,26.7013176778,15769.0,0.0,1.0
2021-02-26,27.04,27.44,27.0,27.44,27.0163774734,24821.0,0.0,1.0
2021-02-25,27.02,27.09,26.85,26.98,26.5634790172,66709.0,0.0,1.0
2021-02-24,27.14,27.14,26.85,26.95,26.5339421613,27728.0,0.0,1.0
2021-02-23,26.96,27.13,26.93,27.0,26.5831702544,12641.0,0.0,1.0
2021-02-22,27.16,27.16,26.9,26.9,26.4847140683,12274.0,0.0,1.0
