date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,15.92,15.92,15.79,15.82,15.82,168137.0,0.0,1.0
2021-04-15,15.93,15.93,15.7902,15.81,15.81,208569.0,0.0,1.0
2021-04-14,15.94,15.9761,15.78,15.81,15.81,191093.0,0.0,1.0
2021-04-13,15.87,15.9362,15.79,15.885,15.885,264166.0,0.1,1.0
2021-04-12,16.05,16.1,15.87,15.88,15.7806568658,222426.0,0.0,1.0
2021-04-09,15.86,15.98,15.83,15.98,15.8800312793,197011.0,0.0,1.0
2021-04-08,15.72,15.82,15.6965,15.8,15.701157335,214536.0,0.0,1.0
2021-04-07,15.62,15.65,15.56,15.64,15.5421582734,339855.0,0.0,1.0
2021-04-06,15.21,15.52,15.164,15.52,15.4229089772,213233.0,0.0,1.0
2021-04-05,15.2,15.21,15.05,15.17,15.0750985299,373666.0,0.0,1.0
2021-04-01,14.91,15.13,14.86,15.06,14.965786675,167390.0,0.0,1.0
2021-03-31,14.74,14.933,14.66,14.91,14.8167250547,177272.0,0.0,1.0
2021-03-30,14.65,14.74,14.61,14.72,14.6279136691,119411.0,0.0,1.0
2021-03-29,14.65,14.77,14.62,14.71,14.6179762277,229456.0,0.0,1.0
2021-03-26,14.59,14.6986,14.555,14.67,14.5782264623,252876.0,0.0,1.0
2021-03-25,14.7,14.7,14.45,14.59,14.4987269315,300956.0,0.0,1.0
2021-03-24,14.89,14.9,14.71,14.71,14.6179762277,327537.0,0.0,1.0
2021-03-23,15.0,15.0899,14.87,14.88,14.7869127307,159257.0,0.0,1.0
2021-03-22,14.95,15.1,14.89,15.01,14.9160994683,258709.0,0.0,1.0
2021-03-19,14.77,14.94,14.64,14.89,14.796850172,220107.0,0.0,1.0
2021-03-18,14.99,15.0,14.74,14.75,14.6577259931,253430.0,0.0,1.0
2021-03-17,14.94,15.09,14.85,15.05,14.9558492337,200869.0,0.0,1.0
2021-03-16,15.05,15.065,14.94,14.99,14.8962245855,191652.0,0.0,1.0
2021-03-15,14.78,14.98,14.7504,14.95,14.8564748201,126933.0,0.0,1.0
2021-03-12,14.85,14.88,14.68,14.73,14.6378511104,323841.0,0.0,1.0
2021-03-11,14.84,14.98,14.76,14.89,14.796850172,291866.0,0.1,1.0
2021-03-10,15.0,15.1296,14.75,14.8,14.6092983687,460741.0,0.0,1.0
2021-03-09,14.45,14.93,14.42,14.88,14.688267549,241625.0,0.0,1.0
2021-03-08,14.51,14.64,14.27,14.3,14.1157409913,365930.0,0.0,1.0
2021-03-05,14.84,14.98,13.92,14.48,14.2934216472,856779.0,0.0,1.0
2021-03-04,15.3,15.3256,14.72,14.81,14.6191695162,441420.0,0.0,1.0
2021-03-03,15.46,15.48,15.27,15.33,15.1324691886,217527.0,0.0,1.0
2021-03-02,15.58,15.63,15.51,15.52,15.320020992,206815.0,0.0,1.0
2021-03-01,15.37,15.6497,15.35,15.56,15.3595055822,428101.0,0.0,1.0
2021-02-26,15.06,15.27,14.88,15.21,15.0140154181,527819.0,0.0,1.0
2021-02-25,15.45,15.64,15.0,15.02,14.8264636147,354134.0,0.0,1.0
2021-02-24,15.15,15.43,15.035,15.42,15.2213095165,362822.0,0.0,1.0
2021-02-23,15.26,15.27,14.51,15.1,14.905432795,427569.0,0.0,1.0
2021-02-22,15.5,15.57,15.34,15.37,15.1719537788,222218.0,0.0,1.0
2021-02-19,15.4,15.64,15.3732,15.52,15.320020992,247031.0,0.0,1.0
2021-02-18,15.55,15.55,15.29,15.31,15.1127268935,264811.0,0.0,1.0
2021-02-17,15.75,15.75,15.52,15.6,15.3989901724,214899.0,0.0,1.0
2021-02-16,15.77,15.8,15.56,15.75,15.5470573856,317097.0,0.0,1.0
2021-02-12,15.68,15.8,15.64,15.8,15.5964131233,232022.0,0.0,1.0
2021-02-11,15.72,15.79,15.59,15.64,15.4384747626,223482.0,0.1,1.0
2021-02-10,15.7,15.81,15.47,15.81,15.507133799,425974.0,0.0,1.0
2021-02-09,15.56,15.74,15.51,15.62,15.3207735572,261241.0,0.0,1.0
2021-02-08,15.45,15.57,15.425,15.56,15.2619229546,260249.0,0.0,1.0
2021-02-05,15.34,15.41,15.2878,15.35,15.0559458453,233722.0,0.0,1.0
2021-02-04,15.12,15.26,15.095,15.24,14.9480530738,189484.0,0.0,1.0
2021-02-03,15.05,15.15,15.02,15.0994,14.8101464949,211449.0,0.0,1.0
2021-02-02,14.7,15.0527,14.7,15.0,14.7126506632,503692.0,0.0,1.0
