date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.87,2.98,1.7299,2.32,2.32,5012494.0,0.0,1.0
2021-04-15,1.93,1.93,1.66,1.82,1.82,94598.0,0.0,1.0
2021-04-14,1.77,1.99,1.64,1.99,1.99,131945.0,0.0,1.0
2021-04-13,1.79,1.79,1.62,1.75,1.75,107187.0,0.0,1.0
2021-04-12,1.94,1.94,1.71,1.79,1.79,131997.0,0.0,1.0
2021-04-09,2.0,2.0,1.81,1.94,1.94,157877.0,0.0,1.0
2021-04-08,1.45,2.2193,1.4,2.13,2.13,881191.0,0.0,1.0
2021-04-07,1.72,1.72,1.44,1.51,1.51,152132.0,0.0,1.0
2021-04-06,1.48,1.69,1.48,1.62,1.62,199708.0,0.0,1.0
2021-04-05,1.59,1.66,1.37,1.66,1.66,99560.0,0.0,1.0
2021-04-01,1.73,1.73,1.48,1.63,1.63,80080.0,0.0,1.0
2021-03-31,1.49,1.62,1.41,1.61,1.61,145373.0,0.0,1.0
2021-03-30,1.48,1.49,1.3499,1.44,1.44,138104.0,0.0,1.0
2021-03-29,1.54,1.56,1.44,1.45,1.45,197727.0,0.0,1.0
2021-03-26,1.49,1.58,1.4,1.58,1.58,236612.0,0.0,1.0
2021-03-25,1.5,1.58,1.3506,1.48,1.48,243616.0,0.0,1.0
2021-03-24,1.73,1.73,1.48,1.6,1.6,227741.0,0.0,1.0
2021-03-23,1.88,1.88,1.61,1.76,1.76,194779.0,0.0,1.0
2021-03-22,1.91,1.91,1.78,1.81,1.81,171611.0,0.0,1.0
2021-03-19,2.02,2.02,1.7801,1.88,1.88,163260.0,0.0,1.0
2021-03-18,2.02,2.02,1.81,1.97,1.97,111248.0,0.0,1.0
2021-03-17,1.9,2.0,1.79,1.99,1.99,216298.0,0.0,1.0
2021-03-16,2.2,2.2,1.88,2.0,2.0,202641.0,0.0,1.0
2021-03-15,2.22,2.22,2.02,2.17,2.17,191503.0,0.0,1.0
2021-03-12,2.09,2.2,2.0072,2.2,2.2,114076.0,0.0,1.0
2021-03-11,2.07,2.1709,2.01,2.13,2.13,259813.0,0.0,1.0
2021-03-10,2.2,2.2,1.97,2.02,2.02,224864.0,0.0,1.0
2021-03-09,2.0,2.15,1.82,2.06,2.06,238665.0,0.0,1.0
2021-03-08,2.08,2.1,1.7,1.8499,1.8499,283724.0,0.0,1.0
2021-03-05,1.97,2.1,1.5,2.0,2.0,663381.0,0.0,1.0
2021-03-04,1.85,1.85,1.45,1.75,1.75,818313.0,0.0,1.0
2021-03-03,2.3,2.4,1.7401,1.75,1.75,827443.0,0.0,1.0
2021-03-02,2.77,2.77,2.31,2.382,2.382,606807.0,0.0,1.0
2021-03-01,2.7,2.98,2.7,2.89,2.89,631830.0,0.0,1.0
2021-02-26,2.53,2.74,2.35,2.58,2.58,512299.0,0.0,1.0
2021-02-25,3.0,3.08,2.51,2.69,2.69,429347.0,0.0,1.0
2021-02-24,3.0,3.11,2.94,2.975,2.975,272272.0,0.0,1.0
2021-02-23,3.0,3.15,2.7,2.99,2.99,432774.0,0.0,1.0
2021-02-22,3.29,3.39,3.13,3.25,3.25,446714.0,0.0,1.0
2021-02-19,3.13,3.29,2.93,3.24,3.24,603556.0,0.0,1.0
2021-02-18,3.01,3.22,2.93,2.93,2.93,471085.0,0.0,1.0
2021-02-17,3.1,3.25,3.05,3.17,3.17,535090.0,0.0,1.0
2021-02-16,3.39,3.39,3.11,3.2,3.2,644903.0,0.0,1.0
2021-02-12,3.32,3.5,3.26,3.39,3.39,851961.0,0.0,1.0
2021-02-11,3.32,3.43,3.28,3.317,3.317,564842.0,0.0,1.0
2021-02-10,3.7,3.74,3.27,3.4,3.4,580876.0,0.0,1.0
2021-02-09,3.54,3.75,3.36,3.52,3.52,919054.0,0.0,1.0
2021-02-08,3.47,3.51,3.2,3.42,3.42,1022998.0,0.0,1.0
2021-02-05,3.32,3.47,2.905,3.45,3.45,2461219.0,0.0,1.0
2021-02-04,2.84,3.45,2.81,3.39,3.39,3543436.0,0.0,1.0
2021-02-03,3.87,3.94,3.54,3.5697,3.5697,1121751.0,0.0,1.0
2021-02-02,3.98,4.02,3.78,3.86,3.86,612165.0,0.0,1.0
2021-02-01,3.89,3.95,3.55,3.82,3.82,583229.0,0.0,1.0
2021-01-29,3.75,3.89,3.61,3.77,3.77,791698.0,0.0,1.0
2021-01-28,3.94,4.3,3.5,3.62,3.62,878391.0,0.0,1.0
2021-01-27,4.0,4.9001,3.67,3.7,3.7,1417898.0,0.0,1.0
2021-01-26,3.85,4.5,3.74,4.4,4.4,1400715.0,0.0,1.0
2021-01-25,3.79,3.97,3.6,3.93,3.93,1435400.0,0.0,1.0
2021-01-22,3.36,3.77,3.35,3.58,3.58,695031.0,0.0,1.0
2021-01-21,3.5,3.63,3.35,3.45,3.45,646228.0,0.0,1.0
2021-01-20,3.67,3.7,3.39,3.55,3.55,819252.0,0.0,1.0
2021-01-19,3.35,3.6,3.25,3.45,3.45,997306.0,0.0,1.0
2021-01-15,3.4,3.5,3.2,3.22,3.22,1518750.0,0.0,1.0
2021-01-14,3.29,3.5,3.22,3.38,3.38,1020517.0,0.0,1.0
2021-01-13,3.4,3.45,3.21,3.28,3.28,1226143.0,0.0,1.0
2021-01-12,3.27,3.6,3.1,3.34,3.34,920156.0,0.0,1.0
2021-01-11,3.6,3.65,3.09,3.45,3.45,1520895.0,0.0,1.0
