date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.67,0.675001,0.65,0.675001,0.675001,4720.0,0.0,1.0
2021-04-15,0.64,0.67,0.63,0.67,0.67,18736.0,0.0,1.0
2021-04-14,0.6768,0.6768,0.6768,0.6768,0.6768,0.0,0.0,1.0
2021-04-13,0.6201,0.6768,0.61,0.6768,0.6768,226115.0,0.0,1.0
2021-04-12,0.695,0.695,0.65,0.65,0.65,30600.0,0.0,1.0
2021-04-09,0.711,0.711,0.66,0.689899,0.689899,14651.0,0.0,1.0
2021-04-08,0.67,0.73,0.67,0.729899,0.729899,6400.0,0.0,1.0
2021-04-07,0.65,0.75,0.65,0.75,0.75,9200.0,0.0,1.0
2021-04-06,0.650101,0.652501,0.6099,0.651251,0.651251,40113.0,0.0,1.0
2021-04-05,0.547781,0.5501,0.535,0.5501,0.5501,99508.0,0.0,1.0
2021-04-01,0.6,0.6,0.543,0.55,0.55,165566.0,0.0,1.0
2021-03-31,0.62,0.62,0.619999,0.619999,0.619999,5824.0,0.0,1.0
2021-03-30,0.679899,0.68,0.66,0.66,0.66,19668.0,0.0,1.0
2021-03-29,0.7,0.72,0.67505,0.67505,0.67505,14420.0,0.0,1.0
2021-03-26,0.8,0.8,0.8,0.8,0.8,0.0,0.0,1.0
2021-03-25,0.8,0.8,0.8,0.8,0.8,0.0,0.0,1.0
2021-03-24,0.8,0.8,0.8,0.8,0.8,0.0,0.0,1.0
2021-03-23,0.85,0.85,0.8,0.8,0.8,11900.0,0.0,1.0
