date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,4.545,4.65,4.4,4.53,4.53,21901.0,0.0,1.0
2021-04-15,4.7,4.7,4.5,4.6299,4.6299,7804.0,0.0,1.0
2021-04-14,4.53,4.7,4.53,4.68,4.68,8528.0,0.0,1.0
2021-04-13,4.52,4.8599,4.52,4.57,4.57,12530.0,0.0,1.0
2021-04-12,4.7832,4.95,4.5362,4.58,4.58,15027.0,0.0,1.0
2021-04-09,4.71,4.7879,4.6,4.64,4.64,10282.0,0.0,1.0
2021-04-08,4.83,4.95,4.72,4.82,4.82,37820.0,0.0,1.0
2021-04-07,4.63,4.89,4.63,4.67,4.67,74036.0,0.0,1.0
2021-04-06,4.7338,4.94,4.5501,4.81,4.81,107911.0,0.0,1.0
2021-04-05,4.8,4.875,4.3,4.55,4.55,32181.0,0.0,1.0
2021-04-01,4.95,5.1372,4.8,4.8,4.8,48127.0,0.0,1.0
2021-03-31,4.6,4.9223,4.6,4.9,4.9,53688.0,0.0,1.0
2021-03-30,4.85,4.85,4.5,4.55,4.55,32982.0,0.0,1.0
2021-03-29,4.71,4.89,4.71,4.76,4.76,17690.0,0.0,1.0
2021-03-26,4.95,4.95,4.6506,4.73,4.73,33979.0,0.0,1.0
2021-03-25,4.58,4.94,4.45,4.89,4.89,35496.0,0.0,1.0
2021-03-24,4.93,5.2,4.68,4.7,4.7,30267.0,0.0,1.0
2021-03-23,5.24,5.3,4.95,5.0,5.0,81035.0,0.0,1.0
2021-03-22,5.9,5.9,5.07,5.24,5.24,139166.0,0.0,1.0
2021-03-19,5.6,5.88,5.5,5.7,5.7,31977.0,0.0,1.0
2021-03-18,5.61,5.67,5.5,5.59,5.59,23229.0,0.0,1.0
2021-03-17,5.62,5.79,5.44,5.78,5.78,40631.0,0.0,1.0
2021-03-16,5.58,5.9499,5.34,5.7,5.7,67175.0,0.0,1.0
2021-03-15,5.3,5.62,5.3,5.44,5.44,48147.0,0.0,1.0
2021-03-12,5.69,5.69,5.3,5.3,5.3,44668.0,0.0,1.0
2021-03-11,4.95,5.8,4.95,5.6,5.6,89378.0,0.0,1.0
2021-03-10,4.77,4.95,4.5201,4.9,4.9,142823.0,0.0,1.0
2021-03-09,4.27,4.63,4.27,4.49,4.49,107062.0,0.0,1.0
2021-03-08,4.49,4.65,4.2614,4.29,4.29,88238.0,0.0,1.0
2021-03-05,4.5,4.72,4.06,4.31,4.31,108299.0,0.0,1.0
2021-03-04,4.92,4.92,4.2801,4.3099,4.3099,188250.0,0.0,1.0
2021-03-03,5.0,5.2699,4.84,4.84,4.84,94988.0,0.0,1.0
2021-03-02,5.15,5.35,4.88,4.91,4.91,109781.0,0.0,1.0
2021-03-01,5.5,5.56,5.08,5.11,5.11,168433.0,0.0,1.0
2021-02-26,5.82,5.9399,5.04,5.26,5.26,139311.0,0.0,1.0
2021-02-25,6.5,6.5,5.8001,5.81,5.81,188875.0,0.0,1.0
2021-02-24,6.7,6.7,6.1601,6.4,6.4,78751.0,0.0,1.0
2021-02-23,6.8,6.88,6.225,6.7,6.7,93302.0,0.0,1.0
2021-02-22,6.89,7.1,6.8,7.04,7.04,124851.0,0.0,1.0
2021-02-19,6.95,7.1,6.6,6.96,6.96,90730.0,0.0,1.0
2021-02-18,6.96,7.27,6.65,6.99,6.99,161041.0,0.0,1.0
2021-02-17,7.0,7.0,6.19,6.95,6.95,138205.0,0.0,1.0
2021-02-16,7.34,7.5501,6.68,7.0,7.0,167265.0,0.0,1.0
2021-02-12,7.1,7.3299,6.6,7.15,7.15,197973.0,0.0,1.0
2021-02-11,7.23,7.66,6.7,7.1,7.1,443112.0,0.0,1.0
2021-02-10,5.15,6.96,5.05,6.79,6.79,555697.0,0.0,1.0
2021-02-09,5.4,5.45,5.0,5.15,5.15,179249.0,0.0,1.0
2021-02-08,5.5,5.5,4.85,5.1,5.1,603764.0,0.0,1.0
2021-02-05,8.0,8.8,4.58,5.74,5.74,1851032.0,0.0,1.0
