date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.07,10.07,9.97,10.0,10.0,607990.0,0.0,1.0
2021-04-15,10.03,10.06,10.0,10.05,10.05,300747.0,0.0,1.0
2021-04-14,10.02,10.08,10.015,10.02,10.02,168637.0,0.0,1.0
2021-04-13,10.0388,10.05,10.02,10.03,10.03,151193.0,0.0,1.0
2021-04-12,10.06,10.08,10.02,10.05,10.05,98189.0,0.0,1.0
2021-04-09,10.05,10.11,10.02,10.05,10.05,248247.0,0.0,1.0
2021-04-08,10.02,10.09,10.0,10.06,10.06,386669.0,0.0,1.0
2021-04-07,10.02,10.03,9.99,10.02,10.02,239404.0,0.0,1.0
2021-04-06,9.97,10.06,9.96,10.03,10.03,236589.0,0.0,1.0
2021-04-05,10.02,10.05,9.97,9.99,9.99,138225.0,0.0,1.0
2021-04-01,9.99,10.08,9.99,10.02,10.02,65301.0,0.0,1.0
2021-03-31,9.95,9.99,9.92,9.97,9.97,117907.0,0.0,1.0
2021-03-30,9.93,9.99,9.91,9.92,9.92,147246.0,0.0,1.0
2021-03-29,9.9,10.0,9.9,9.99,9.99,228064.0,0.0,1.0
2021-03-26,9.95,10.11,9.9,10.03,10.03,257218.0,0.0,1.0
2021-03-25,9.86,9.96,9.77,9.9,9.9,280886.0,0.0,1.0
2021-03-24,10.01,10.04,9.9,9.9,9.9,518194.0,0.0,1.0
2021-03-23,10.0,10.06,9.95,10.04,10.04,837545.0,0.0,1.0
2021-03-22,9.97,10.0279,9.96,9.99,9.99,548673.0,0.0,1.0
2021-03-19,10.02,10.03,9.99,10.01,10.01,1451800.0,0.0,1.0
2021-03-18,10.06,10.06,9.98,10.0,10.0,2094759.0,0.0,1.0
2021-03-17,10.01,10.11,10.0,10.08,10.08,568943.0,0.0,1.0
2021-03-16,10.12,10.17,10.03,10.06,10.06,480696.0,0.0,1.0
2021-03-15,10.13,10.15,10.0801,10.13,10.13,350067.0,0.0,1.0
2021-03-12,10.04,10.19,10.0109,10.1,10.1,734800.0,0.0,1.0
2021-03-11,10.045,10.09,10.0,10.06,10.06,405060.0,0.0,1.0
2021-03-10,10.05,10.1,9.96,9.99,9.99,376855.0,0.0,1.0
2021-03-09,10.13,10.13,10.0,10.01,10.01,174110.0,0.0,1.0
