date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.6152,0.66,0.6001,0.6501,0.6501,26102.0,0.0,1.0
2021-04-15,0.699899,0.699899,0.61,0.6501,0.6501,55788.0,0.0,1.0
2021-04-14,0.63,0.680348,0.6,0.66,0.66,57747.0,0.0,1.0
2021-04-13,0.64,0.685,0.6001,0.6107,0.6107,363274.0,0.0,1.0
2021-04-12,0.76,0.76,0.63,0.6401,0.6401,203529.0,0.0,1.0
2021-04-09,0.68,0.73,0.65,0.69,0.69,232552.0,0.0,1.0
2021-04-08,0.681,0.7,0.659819,0.68,0.68,247781.0,0.0,1.0
2021-04-07,0.68,0.78,0.63,0.73,0.73,80249.0,0.0,1.0
2021-04-06,0.7499,0.77,0.66,0.68,0.68,42475.0,0.0,1.0
2021-04-05,0.73,0.75,0.580049,0.72,0.72,35457.0,0.0,1.0
2021-04-01,0.98,0.98,0.691251,0.7,0.7,6752.0,0.0,1.0
