date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,35.79,36.22,35.55,36.02,36.02,534708.0,0.0,1.0
2021-04-15,35.68,35.82,35.3873,35.62,35.62,861538.0,0.0,1.0
2021-04-14,35.69,35.97,35.44,35.54,35.54,1197430.0,0.0,1.0
2021-04-13,35.49,35.49,35.17,35.31,35.31,1045246.0,0.0,1.0
2021-04-12,35.53,35.56,35.04,35.41,35.41,634368.0,0.0,1.0
2021-04-09,35.07,35.45,35.02,35.29,35.29,669611.0,0.0,1.0
2021-04-08,35.17,35.65,34.99,35.15,35.15,586339.0,0.0,1.0
2021-04-07,35.23,35.555,34.915,35.49,35.49,748454.0,0.0,1.0
2021-04-06,35.08,35.73,34.775,35.08,35.08,1183892.0,0.0,1.0
2021-04-05,35.84,35.925,34.75,35.2,35.2,1002435.0,0.31,1.0
2021-04-01,35.63,36.19,35.28,36.05,35.735285835,1292550.0,0.0,1.0
2021-03-31,35.93,36.01,35.28,35.35,35.0413967896,1386718.0,0.0,1.0
2021-03-30,35.85,36.235,35.785,36.11,35.7947620389,661423.0,0.0,1.0
2021-03-29,36.04,36.69,35.38,35.8,35.4874683188,954544.0,0.0,1.0
2021-03-26,35.73,36.36,35.495,36.3,35.9831033512,775227.0,0.0,1.0
2021-03-25,34.47,35.53,33.83,35.42,35.1107856942,888545.0,0.0,1.0
2021-03-24,34.26,35.4,34.05,34.6,34.2979442411,942011.0,0.0,1.0
2021-03-23,34.64,35.02,34.035,34.22,33.9212616164,774651.0,0.0,1.0
2021-03-22,35.0,35.155,34.265,34.93,34.6250633624,678067.0,0.0,1.0
2021-03-19,36.37,36.53,35.17,35.22,34.9125316812,1918333.0,0.0,1.0
2021-03-18,36.38,37.14,36.03,36.34,36.0227541538,1974576.0,0.0,1.0
2021-03-17,36.61,36.79,36.16,36.38,36.0624049564,1047999.0,0.0,1.0
2021-03-16,36.46,36.82,36.06,36.65,36.3300478738,1022192.0,0.0,1.0
2021-03-15,36.52,37.1,36.04,36.59,36.27057167,911416.0,0.0,1.0
2021-03-12,35.59,36.33,35.5,36.32,36.0029287525,873182.0,0.0,1.0
2021-03-11,35.5,35.97,35.15,35.27,34.9620951845,751729.0,0.0,1.0
2021-03-10,35.07,35.85,35.07,35.51,35.2,525885.0,0.0,1.0
2021-03-09,36.17,36.38,35.0,35.04,34.7341030696,703965.0,0.0,1.0
2021-03-08,35.37,36.35,34.99,36.03,35.7154604337,609954.0,0.0,1.0
2021-03-05,35.21,35.49,34.12,34.88,34.5754998592,734010.0,0.0,1.0
2021-03-04,34.81,35.38,34.2,34.73,34.4268093495,776761.0,0.0,1.0
2021-03-03,34.41,35.1799,34.33,34.68,34.3772458462,1342200.0,0.0,1.0
2021-03-02,34.29,34.85,33.96,34.45,34.1492537313,788686.0,0.0,1.0
2021-03-01,34.29,34.82,33.87,34.44,34.1393410307,804535.0,0.0,1.0
2021-02-26,33.72,34.33,33.42,33.54,33.2471979724,1173191.0,0.0,1.0
