date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.43,25.531,25.18,25.18,25.18,34720.0,0.0,1.0
2021-04-15,25.3405,25.46,25.25,25.455,25.455,8928.0,0.0,1.0
2021-04-14,25.31,25.38,25.22,25.38,25.38,10813.0,0.0,1.0
2021-04-13,25.39,25.395,25.31,25.31,25.31,8077.0,0.0,1.0
2021-04-12,25.36,25.4,25.32,25.385,25.385,6179.0,0.0,1.0
2021-04-09,25.3936,25.4299,25.2575,25.335,25.335,5164.0,0.0,1.0
2021-04-08,25.385,25.385,25.34,25.34,25.34,5737.0,0.0,1.0
2021-04-07,25.38,25.4,25.3,25.3,25.3,4979.0,0.0,1.0
2021-04-06,25.3618,25.39,25.316,25.32,25.32,13195.0,0.0,1.0
2021-04-05,25.35,25.35,25.17,25.22,25.22,10766.0,0.0,1.0
2021-04-01,25.1999,25.3289,25.1,25.259,25.259,12313.0,0.0,1.0
2021-03-31,25.19,25.19,24.98,25.08,25.08,52926.0,0.0,1.0
2021-03-30,25.15,25.25,25.05,25.099,25.099,5324.0,0.0,1.0
2021-03-29,25.1731,25.275,25.07,25.09,25.09,8219.0,0.0,1.0
2021-03-26,25.2075,25.3499,25.2075,25.25,25.25,3624.0,0.0,1.0
2021-03-25,25.255,25.3,25.24,25.25,25.25,4431.0,0.0,1.0
2021-03-24,25.14,25.21,25.1,25.1,25.1,10779.0,0.0,1.0
2021-03-23,25.15,25.2,25.11,25.15,25.15,4695.0,0.0,1.0
2021-03-22,25.14,25.24,25.13,25.15,25.15,4986.0,0.0,1.0
2021-03-19,24.94,25.1399,24.92,25.08,25.08,25203.0,0.0,1.0
2021-03-18,25.0,25.03,24.92,24.94,24.94,9245.0,0.0,1.0
2021-03-17,25.11,25.11,24.974,25.01,25.01,7900.0,0.0,1.0
2021-03-16,25.03,25.1199,25.01,25.01,25.01,12548.0,0.0,1.0
2021-03-15,24.94,25.12,24.94,25.12,25.12,25119.0,0.0,1.0
2021-03-12,24.68,25.0,24.68,24.92,24.92,14070.0,0.0,1.0
2021-03-11,24.75,24.76,24.7,24.7,24.7,14016.0,0.0,1.0
2021-03-10,24.78,24.78,24.6,24.72,24.72,22714.0,0.0,1.0
2021-03-09,24.8,24.8,24.72,24.72,24.72,6322.0,0.0,1.0
2021-03-08,24.75,24.75,24.7,24.73,24.73,8105.0,0.0,1.0
2021-03-05,24.8,24.8,24.65,24.75,24.75,7933.0,0.0,1.0
2021-03-04,24.95,25.03,24.65,24.75,24.75,38822.0,0.0,1.0
2021-03-03,24.95,25.11,24.89,24.95,24.95,12537.0,0.0,1.0
2021-03-02,24.9,25.03,24.828,24.98,24.98,10446.0,0.0,1.0
2021-03-01,24.61,24.93,24.61,24.85,24.85,27221.0,0.0,1.0
2021-02-26,25.61,25.61,24.33,24.4,24.4,126869.0,0.0,1.0
2021-02-25,25.36,25.94,25.0875,25.61,25.61,48763.0,0.0,1.0
2021-02-24,24.9,25.45,24.9,25.34,25.34,59390.0,0.0,1.0
2021-02-23,25.01,25.1,24.9,24.97,24.97,31711.0,0.0,1.0
2021-02-22,25.11,25.11,25.0,25.02,25.02,14534.0,0.0,1.0
2021-02-19,25.14,25.16,25.075,25.15,25.15,16760.0,0.0,1.0
2021-02-18,25.1213,25.19,24.99,25.19,25.19,11312.0,0.0,1.0
2021-02-17,25.33,25.33,25.11,25.2,25.2,16609.0,0.0,1.0
2021-02-16,25.3,25.3,25.0,25.16,25.16,39493.0,0.0,1.0
2021-02-12,25.23,25.3499,25.23,25.3499,25.3499,9018.0,0.0,1.0
2021-02-11,25.39,25.5994,25.35,25.35,25.35,8465.0,0.0,1.0
2021-02-10,25.26,25.4,25.26,25.37,25.37,7979.0,0.0,1.0
2021-02-09,25.55,25.55,25.27,25.41,25.41,5137.0,0.0,1.0
2021-02-08,25.4,25.6,25.3,25.5074,25.5074,11302.0,0.0,1.0
2021-02-05,25.25,25.47,25.25,25.46,25.46,7242.0,0.0,1.0
2021-02-04,25.2,25.6,25.1,25.47,25.47,11553.0,0.0,1.0
2021-02-03,25.39,25.6,24.93,25.06,25.06,15741.0,0.3438,1.0
2021-02-02,25.32,25.32,25.2501,25.3,24.9576538897,3823.0,0.0,1.0
2021-02-01,25.07,25.49,25.07,25.49,25.145082911,484.0,0.0,1.0
2021-01-29,25.25,25.5402,25.25,25.36,25.0168420017,12565.0,0.0,1.0
2021-01-28,25.354,25.4,25.35,25.3999,25.0562020961,5754.0,0.0,1.0
