date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,33.25,33.38,32.84,33.16,33.16,107677.0,0.0,1.0
2021-04-15,33.16,33.24,31.96,32.83,32.83,64645.0,0.0,1.0
2021-04-14,31.96,32.85,31.96,32.76,32.76,120233.0,0.0,1.0
2021-04-13,32.85,32.85,31.78,31.9,31.9,91749.0,0.0,1.0
2021-04-12,32.39,33.07,32.3661,32.94,32.94,81694.0,0.0,1.0
2021-04-09,33.01,33.01,31.94,32.4,32.4,103495.0,0.0,1.0
2021-04-08,31.48,31.95,30.8,31.94,31.94,105571.0,0.0,1.0
2021-04-07,31.56,31.97,30.93,31.67,31.67,177840.0,0.0,1.0
2021-04-06,31.7,33.98,31.65,31.86,31.86,219385.0,0.0,1.0
2021-04-05,30.58,30.58,29.85,30.4,30.4,135917.0,0.0,1.0
2021-04-01,29.87,30.2,29.51,30.05,30.05,176079.0,0.0,1.0
2021-03-31,30.6,30.8,29.88,30.14,30.14,175182.0,0.0,1.0
2021-03-30,30.43,31.24,30.16,30.65,30.65,118864.0,0.0,1.0
2021-03-29,30.56,30.915,29.78,30.0,30.0,119891.0,0.0,1.0
2021-03-26,30.9,31.12,30.42,30.87,30.87,86880.0,0.0,1.0
2021-03-25,30.17,30.69,29.08,30.43,30.43,131758.0,0.0,1.0
2021-03-24,30.34,31.29,29.75,29.85,29.85,133232.0,0.0,1.0
2021-03-23,30.93,31.19,29.74,29.95,29.95,143213.0,0.0,1.0
2021-03-22,32.3,32.625,30.76,31.18,31.18,97257.0,0.0,1.0
2021-03-19,31.02,32.69,30.02,32.57,32.57,611838.0,0.0,1.0
2021-03-18,32.58,33.4,31.33,32.17,32.17,157542.0,0.0,1.0
2021-03-17,32.43,32.68,31.84,32.27,32.27,123326.0,0.0,1.0
2021-03-16,32.46,32.46,31.505,32.35,32.35,120514.0,0.0,1.0
2021-03-15,33.28,33.28,32.0255,32.66,32.66,100926.0,0.0,1.0
2021-03-12,32.5,33.32,32.49,33.12,33.12,125122.0,0.0,1.0
2021-03-11,32.28,32.38,31.61,32.38,32.38,246955.0,0.0,1.0
2021-03-10,31.8,32.47,30.82,32.19,32.19,112747.0,0.0,1.0
2021-03-09,32.05,32.05,30.98,31.52,31.52,157438.0,0.0,1.0
2021-03-08,31.83,32.73,31.1252,32.18,32.18,202134.0,0.0,1.0
2021-03-05,30.95,31.19,30.24,30.96,30.96,282855.0,0.0,1.0
2021-03-04,30.71,31.35,29.97,30.14,30.14,174033.0,0.0,1.0
2021-03-03,30.32,31.44,29.99,30.52,30.52,178236.0,0.0,1.0
2021-03-02,30.2,30.84,29.748,29.95,29.95,121588.0,0.0,1.0
2021-03-01,30.09,30.36,29.4,30.28,30.28,145914.0,0.0,1.0
2021-02-26,30.12,30.14,29.07,29.41,29.41,278477.0,0.0,1.0
2021-02-25,30.77,31.42,30.05,30.41,30.41,206410.0,0.0,1.0
2021-02-24,29.41,31.37,29.4,30.8,30.8,302744.0,0.0,1.0
2021-02-23,28.78,29.44,28.65,29.04,29.04,232167.0,0.0,1.0
2021-02-22,28.18,28.94,28.0,28.76,28.76,142737.0,0.0,1.0
2021-02-19,27.7,28.2443,27.56,28.16,28.16,153261.0,0.0,1.0
2021-02-18,27.58,27.7,27.267,27.6,27.6,146121.0,0.0,1.0
2021-02-17,27.32,27.77,27.08,27.69,27.69,130574.0,0.0,1.0
2021-02-16,27.33,27.51,26.74,27.03,27.03,154936.0,0.0,1.0
2021-02-12,27.44,27.44,26.38,26.98,26.98,132349.0,0.0,1.0
2021-02-11,26.37,27.39,25.81,27.37,27.37,315522.0,0.0,1.0
2021-02-10,26.69,26.95,26.12,26.52,26.52,227562.0,0.0,1.0
2021-02-09,25.96,26.725,25.6,26.41,26.41,186881.0,0.0,1.0
2021-02-08,25.99,26.36,25.63,25.96,25.96,216690.0,0.0,1.0
2021-02-05,27.27,27.275,25.8,25.86,25.86,223560.0,0.0,1.0
2021-02-04,25.9,27.48,25.9,27.38,27.38,323017.0,0.24,1.0
2021-02-03,25.45,26.33,24.55,26.12,25.8930340333,416996.0,0.0,1.0
2021-02-02,26.23,26.5,24.17,25.59,25.3676393917,724882.0,0.0,1.0
2021-02-01,25.11,26.55,24.48,25.41,25.1892034757,406978.0,0.0,1.0
2021-01-29,27.73,28.66,24.34,24.43,24.2177190442,3788311.0,0.0,1.0
2021-01-28,28.06,28.12,26.93,27.83,27.5881752353,444551.0,0.0,1.0
2021-01-27,28.43,28.84,27.46,27.69,27.4493917451,474660.0,0.0,1.0
2021-01-26,29.0,29.92,28.53,29.07,28.8174004345,1082412.0,0.0,1.0
2021-01-25,26.87,27.26,26.11,27.16,26.9239971035,178727.0,0.0,1.0
2021-01-22,26.28,27.27,26.04,27.24,27.0033019551,238601.0,0.0,1.0
2021-01-21,26.46,27.07,26.05,26.69,26.4580811007,206920.0,0.0,1.0
2021-01-20,27.16,27.16,25.7,26.52,26.2895582911,270182.0,0.0,1.0
2021-01-19,27.36,27.535,26.87,27.38,27.1420854453,89398.0,0.0,1.0
2021-01-15,27.25,27.305,26.6,26.98,26.7455611875,85718.0,0.0,1.0
2021-01-14,27.43,27.805,27.14,27.52,27.2808689356,104657.0,0.0,1.0
2021-01-13,26.205,27.37,26.205,27.03,26.7951267198,79248.0,0.0,1.0
2021-01-12,26.81,27.685,26.81,27.4,27.1619116582,100498.0,0.0,1.0
2021-01-11,25.75,26.6,25.54,26.56,26.3292107169,113809.0,0.0,1.0
2021-01-08,26.26,26.26,25.128,25.98,25.7542505431,82420.0,0.0,1.0
2021-01-07,26.79,26.79,25.625,26.07,25.8434685011,176369.0,0.0,1.0
2021-01-06,25.8,26.87,24.99,25.24,25.0206806662,287711.0,0.0,1.0
2021-01-05,24.22,25.02,24.22,24.77,24.5547646633,128516.0,0.0,1.0
2021-01-04,24.32,24.55,23.45,24.2,23.9897175959,100277.0,0.0,1.0
2020-12-31,24.3,24.41,23.79,24.18,23.9698913831,121756.0,0.0,1.0
2020-12-30,23.97,24.25,23.97,24.17,23.9599782766,61434.0,0.0,1.0
2020-12-29,24.43,24.52,23.78,23.91,23.7022375091,57650.0,0.0,1.0
2020-12-28,24.415,25.15,24.415,24.57,24.3565025344,65001.0,0.0,1.0
2020-12-24,24.48,24.57,24.14,24.48,24.2672845764,42574.0,0.0,1.0
2020-12-23,24.315,24.52,23.71,24.47,24.2573714699,70803.0,0.0,1.0
2020-12-22,23.97,24.6571,23.42,23.51,23.3057132513,49295.0,0.0,1.0
2020-12-21,24.14,24.39,23.63,24.09,23.8806734251,76476.0,0.0,1.0
2020-12-18,25.03,25.03,24.11,24.27,24.0591093411,215877.0,0.0,1.0
2020-12-17,24.985,25.21,24.5,25.04,24.8224185373,90513.0,0.0,1.0
2020-12-16,24.41,25.54,24.41,25.29,25.0702461984,150245.0,0.0,1.0
2020-12-15,24.29,25.0,23.94,24.9,24.6836350471,77967.0,0.0,1.0
2020-12-14,24.75,25.043,24.07,24.16,23.9500651702,44755.0,0.0,1.0
2020-12-11,24.09,24.81,23.96,24.33,24.1185879797,80006.0,0.0,1.0
2020-12-10,23.9,24.51,23.88,24.47,24.2573714699,54613.0,0.0,1.0
2020-12-09,25.78,25.78,23.78,24.28,24.0690224475,113279.0,0.0,1.0
2020-12-08,24.3,24.92,24.29,24.32,24.1086748733,132716.0,0.0,1.0
2020-12-07,24.78,25.33,24.44,24.91,24.6935481535,109812.0,0.0,1.0
2020-12-04,24.32,25.21,23.68,25.08,24.8620709631,92643.0,0.0,1.0
2020-12-03,23.68,23.95,23.2,23.65,23.4444967415,61799.0,0.0,1.0
2020-12-02,22.87,23.76,22.87,23.68,23.4742360608,65671.0,0.0,1.0
2020-12-01,23.365,23.42,22.49,23.08,22.8794496741,85756.0,0.0,1.0
2020-11-30,23.54,23.61,22.23,22.32,22.1260535844,121967.0,0.0,1.0
2020-11-27,25.16,25.16,23.51,23.59,23.3850181028,128580.0,0.0,1.0
2020-11-25,23.92,24.35,23.35,24.29,24.0789355539,106788.0,0.0,1.0
2020-11-24,23.31,23.77,22.75,23.63,23.4246705286,83639.0,0.0,1.0
2020-11-23,22.77,22.77,22.045,22.28,22.0864011586,91617.0,0.0,1.0
2020-11-20,21.23,21.97,21.23,21.79,21.6006589428,91781.0,0.0,1.0
2020-11-19,20.67,21.58,20.67,21.52,21.3330050688,111734.0,0.0,1.0
2020-11-18,21.99,21.99,21.05,21.07,20.8869152788,160117.0,0.0,1.0
2020-11-17,21.15,21.28,20.91,21.17,20.9860463432,87401.0,0.0,1.0
2020-11-16,21.2,21.695,21.2,21.59,21.4023968139,121167.0,0.0,1.0
2020-11-13,21.39,21.39,20.5,20.68,20.5003041274,161295.0,0.0,1.0
2020-11-12,20.53,20.85,20.0,20.45,20.2723026792,69132.0,0.0,1.0
2020-11-11,22.29,22.29,20.83,21.2,21.0157856626,57284.0,0.0,1.0
2020-11-10,22.125,22.46,21.34,22.26,22.0665749457,84105.0,0.0,1.0
2020-11-09,20.43,22.1,19.745,21.4,21.2140477915,192433.0,0.0,1.0
2020-11-06,19.42,19.65,18.52,18.73,18.5672483707,62293.0,0.0,1.0
2020-11-05,18.81,19.63,18.81,19.44,19.2710789283,74679.0,0.0,1.0
2020-11-04,19.66,19.66,18.55,18.84,18.6762925416,102773.0,0.0,1.0
2020-11-03,20.13,20.44,19.93,20.15,19.9749094859,82899.0,0.0,1.0
2020-11-02,20.29,20.29,19.44,19.62,19.4495148443,73391.0,0.0,1.0
2020-10-30,19.4,19.74,19.145,19.54,19.3702099928,123437.0,0.0,1.0
2020-10-29,18.42,19.43,18.24,19.41,19.241339609,64073.0,0.0,1.0
2020-10-28,18.99,19.705,18.58,18.62,18.4582041999,81390.0,0.0,1.0
2020-10-27,19.73,20.05,19.06,19.18,19.0133381608,56227.0,0.0,1.0
2020-10-26,20.04,20.16,19.7,20.15,19.9749094859,40068.0,0.0,1.0
2020-10-23,20.69,20.69,20.02,20.36,20.1830847212,78900.0,0.0,1.0
2020-10-22,19.35,20.09,19.325,20.06,19.8856915279,73365.0,0.24,1.0
2020-10-21,19.5,19.61,19.38,19.52,19.1216107697,53645.0,0.0,1.0
2020-10-20,19.88,19.88,19.3,19.43,19.0334476053,50352.0,0.0,1.0
2020-10-19,19.68,19.8499,19.23,19.29,18.8963049051,30514.0,0.0,1.0
2020-10-16,19.38,19.7,19.035,19.51,19.1118148625,38216.0,0.0,1.0
2020-10-15,18.62,19.51,18.425,19.48,19.082427141,51625.0,0.0,1.0
2020-10-14,18.97,19.1,18.88,18.88,18.4946727116,49251.0,0.0,1.0
2020-10-13,19.44,19.45,18.84,19.0,18.6122235975,43719.0,0.0,1.0
2020-10-12,19.29,19.67,19.18,19.62,19.2195698412,44947.0,0.0,1.0
2020-10-09,18.54,19.59,18.54,19.32,18.9256926265,61060.0,0.0,1.0
2020-10-08,19.26,19.51,18.637,19.38,18.9844680695,80561.0,0.0,1.0
2020-10-07,18.97,19.2699,18.755,19.04,18.6514072261,59079.0,0.0,1.0
2020-10-06,18.81,19.39,18.64,18.75,18.3673259186,126982.0,0.0,1.0
2020-10-05,18.12,18.58,18.06,18.54,18.1616118683,79923.0,0.0,1.0
2020-10-02,17.935,18.16,17.27,17.91,17.5444697175,116672.0,0.0,1.0
2020-10-01,17.37,17.56,17.05,17.56,17.201612967,82544.0,0.0,1.0
2020-09-30,17.27,17.81,17.27,17.43,17.0742661739,63173.0,0.0,1.0
2020-09-29,17.45,17.45,16.92,17.34,16.9861030095,47175.0,0.0,1.0
2020-09-28,17.39,17.8099,17.35,17.54,17.1820211527,64393.0,0.0,1.0
2020-09-25,16.77,17.155,16.77,17.1,16.7510012378,97643.0,0.0,1.0
2020-09-24,16.68,17.55,16.64,17.01,16.6628380734,137800.0,0.0,1.0
2020-09-23,17.15,17.44,16.51,16.53,16.1926345298,173382.0,0.0,1.0
2020-09-22,17.77,17.84,17.01,17.12,16.7705930521,172971.0,0.0,1.0
2020-09-21,18.37,18.45,17.41,17.7,17.3387556672,151420.0,0.0,1.0
2020-09-18,19.56,19.59,18.81,18.84,18.455489083,329686.0,0.0,1.0
2020-09-17,19.42,19.71,19.42,19.56,19.1607943983,45693.0,0.0,1.0
2020-09-16,19.66,19.84,19.51,19.73,19.32732482,53161.0,0.0,1.0
2020-09-15,20.04,20.23,19.62,19.64,19.2391616555,60959.0,0.0,1.0
2020-09-14,19.53,20.08,19.53,19.97,19.5624265917,69297.0,0.0,1.0
2020-09-11,19.69,19.69,19.32,19.54,19.141202584,69527.0,0.0,1.0
