date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.2,10.2,10.05,10.16,10.16,32808.0,0.0,1.0
2021-04-15,10.0798,10.0798,10.06,10.06,10.06,501072.0,0.0,1.0
2021-04-14,10.05,10.05,10.03,10.03,10.03,10446.0,0.0,1.0
2021-04-13,10.0601,10.0601,10.02,10.05,10.05,6269.0,0.0,1.0
2021-04-12,10.07,10.07,10.01,10.01,10.01,7043.0,0.0,1.0
2021-04-09,10.07,10.11,10.06,10.08,10.08,35292.0,0.0,1.0
2021-04-08,10.02,10.1759,10.02,10.06,10.06,11931.0,0.0,1.0
2021-04-07,10.0,10.105,10.0,10.0,10.0,67696.0,0.0,1.0
2021-04-06,10.02,10.02,10.0,10.0,10.0,6035.0,0.0,1.0
2021-04-05,10.1,10.1,9.9701,10.02,10.02,7994.0,0.0,1.0
2021-04-01,9.965,9.99,9.95,9.98,9.98,29667.0,0.0,1.0
2021-03-31,9.96,9.995,9.95,9.96,9.96,11386.0,0.0,1.0
2021-03-30,10.0,10.0,9.95,9.95,9.95,31049.0,0.0,1.0
2021-03-29,10.01,10.025,9.97,10.0,10.0,31871.0,0.0,1.0
2021-03-26,9.925,10.1,9.89,10.0,10.0,765110.0,0.0,1.0
2021-03-25,9.8,9.93,9.8,9.85,9.85,2967702.0,0.0,1.0
2021-03-24,9.9,9.9,9.825,9.88,9.88,4948859.0,0.0,1.0
