date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.7,12.89,12.36,12.8,12.8,181737.0,0.0,1.0
2021-04-15,13.26,13.3,12.17,12.67,12.67,220814.0,0.0,1.0
2021-04-14,13.14,13.3,12.76,13.1,13.1,115957.0,0.0,1.0
2021-04-13,12.85,13.4828,12.8,12.93,12.93,86863.0,0.0,1.0
2021-04-12,13.74,13.74,12.85,12.9,12.9,100206.0,0.0,1.0
2021-04-09,13.68,13.94,13.1501,13.79,13.79,88732.0,0.0,1.0
2021-04-08,14.11,14.29,13.13,13.57,13.57,119664.0,0.0,1.0
2021-04-07,13.99,14.33,13.77,14.0,14.0,202392.0,0.0,1.0
2021-04-06,15.2,15.2,13.85,13.9,13.9,340086.0,0.0,1.0
2021-04-05,13.19,15.19,12.23,15.1,15.1,1310251.0,0.0,1.0
2021-04-01,12.42,13.64,12.21,12.25,12.25,674975.0,0.0,1.0
2021-03-31,12.7,15.04,11.685,12.42,12.42,8280537.0,0.0,1.0
2021-03-30,15.98,16.43,15.25,16.28,16.28,113939.0,0.0,1.0
2021-03-29,16.83,16.99,15.85,16.06,16.06,139884.0,0.0,1.0
2021-03-26,17.21,17.4243,16.4001,16.89,16.89,51272.0,0.0,1.0
2021-03-25,16.94,17.35,16.285,16.82,16.82,90673.0,0.0,1.0
2021-03-24,18.58,18.58,17.2,17.2,17.2,97348.0,0.0,1.0
2021-03-23,18.25,18.41,17.5,17.99,17.99,79788.0,0.0,1.0
2021-03-22,19.59,19.59,18.26,18.31,18.31,169777.0,0.0,1.0
2021-03-19,18.93,19.99,18.29,18.31,18.31,156593.0,0.0,1.0
2021-03-18,19.84,20.3,18.65,19.0,19.0,167360.0,0.0,1.0
2021-03-17,18.13,20.2,17.896,20.15,20.15,104528.0,0.0,1.0
2021-03-16,19.13,19.3364,17.94,18.27,18.27,93586.0,0.0,1.0
2021-03-15,19.1,19.36,18.18,18.95,18.95,164325.0,0.0,1.0
2021-03-12,19.01,19.02,18.05,18.9,18.9,57290.0,0.0,1.0
2021-03-11,19.42,19.7999,18.85,19.09,19.09,44335.0,0.0,1.0
2021-03-10,19.52,20.1999,18.5,18.86,18.86,71533.0,0.0,1.0
2021-03-09,19.28,20.33,18.59,19.49,19.49,109273.0,0.0,1.0
2021-03-08,18.02,18.26,17.01,17.65,17.65,78343.0,0.0,1.0
2021-03-05,17.69,17.91,16.01,17.91,17.91,122859.0,0.0,1.0
2021-03-04,19.74,19.75,17.26,17.27,17.27,158228.0,0.0,1.0
2021-03-03,19.5,20.0267,18.75,19.5,19.5,77818.0,0.0,1.0
2021-03-02,19.79,20.4599,19.05,19.28,19.28,58976.0,0.0,1.0
2021-03-01,18.47,20.02,18.01,20.01,20.01,78676.0,0.0,1.0
2021-02-26,18.46,18.605,16.85,18.01,18.01,132033.0,0.0,1.0
2021-02-25,19.36,19.7499,18.15,18.3,18.3,80036.0,0.0,1.0
2021-02-24,19.81,20.76,19.0601,19.19,19.19,58393.0,0.0,1.0
2021-02-23,20.62,20.9558,18.72,19.24,19.24,119763.0,0.0,1.0
2021-02-22,20.28,21.19,19.6,21.11,21.11,101303.0,0.0,1.0
2021-02-19,19.86,20.98,19.01,20.07,20.07,148915.0,0.0,1.0
2021-02-18,21.14,21.7999,19.45,19.95,19.95,187205.0,0.0,1.0
2021-02-17,23.5,23.5,20.71,21.58,21.58,117751.0,0.0,1.0
2021-02-16,22.12,23.7899,21.67,23.66,23.66,97114.0,0.0,1.0
2021-02-12,23.31,23.82,21.495,21.66,21.66,84235.0,0.0,1.0
2021-02-11,24.05,25.18,21.82,23.18,23.18,159631.0,0.0,1.0
2021-02-10,23.81,24.0,21.6401,23.81,23.81,212537.0,0.0,1.0
2021-02-09,22.9,23.99,21.7,22.84,22.84,226306.0,0.0,1.0
2021-02-08,19.75,21.45,19.73,21.34,21.34,143241.0,0.0,1.0
2021-02-05,20.14,20.3537,18.63,19.62,19.62,157011.0,0.0,1.0
2021-02-04,20.06,20.61,19.5001,20.04,20.04,159415.0,0.0,1.0
2021-02-03,16.99,19.94,16.99,19.93,19.93,269551.0,0.0,1.0
2021-02-02,17.21,17.35,16.63,16.85,16.85,124827.0,0.0,1.0
2021-02-01,16.03,17.13,15.14,16.91,16.91,254420.0,0.0,1.0
2021-01-29,16.02,16.41,15.47,16.15,16.15,113732.0,0.0,1.0
2021-01-28,16.73,16.9651,15.6,15.75,15.75,80169.0,0.0,1.0
2021-01-27,17.4,17.4,16.62,16.7,16.7,67000.0,0.0,1.0
