date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,13.38,13.38,12.51,13.19,13.19,37966.0,0.0,1.0
2021-04-15,13.8911,13.8911,12.88,13.41,13.41,24169.0,0.0,1.0
2021-04-14,13.65,13.99,13.39,13.5,13.5,82078.0,0.0,1.0
2021-04-13,14.16,14.26,13.08,13.5,13.5,311734.0,0.0,1.0
2021-04-12,13.99,14.51,13.99,14.0,14.0,197301.0,0.0,1.0
2021-04-09,13.53,14.0,13.53,13.97,13.97,64805.0,0.0,1.0
2021-04-08,13.44,13.44,12.5897,13.4,13.4,49815.0,0.0,1.0
2021-04-07,12.51,13.43,11.92,13.3,13.3,184029.0,0.0,1.0
2021-04-06,12.45,13.36,12.45,12.7,12.7,8337.0,0.0,1.0
2021-04-05,12.495,12.65,11.99,12.62,12.62,12151.0,0.0,1.0
2021-04-01,12.1,12.44,11.7,12.14,12.14,158910.0,0.0,1.0
2021-03-31,12.245,12.59,11.94,12.12,12.12,56435.0,0.0,1.0
2021-03-30,12.1501,12.58,12.0,12.53,12.53,41920.0,0.0,1.0
2021-03-29,13.14,13.14,12.2,12.6,12.6,35383.0,0.0,1.0
2021-03-26,13.48,13.48,12.51,13.05,13.05,40262.0,0.0,1.0
2021-03-25,13.78,13.96,13.04,13.53,13.53,16081.0,0.0,1.0
2021-03-24,14.1332,14.25,13.36,13.82,13.82,42524.0,0.0,1.0
2021-03-23,14.24,14.8,14.03,14.03,14.03,98059.0,0.0,1.0
2021-03-22,14.1,14.67,14.1,14.15,14.15,14450.0,0.0,1.0
2021-03-19,14.45,14.6,13.99,14.05,14.05,69144.0,0.0,1.0
2021-03-18,14.0,14.82,13.8832,14.62,14.62,39119.0,0.0,1.0
2021-03-17,14.02,14.5,13.53,14.19,14.19,51931.0,0.0,1.0
2021-03-16,14.35,14.98,13.8248,14.12,14.12,98649.0,0.0,1.0
2021-03-15,12.71,14.76,12.6,14.5,14.5,181123.0,0.0,1.0
2021-03-12,12.255,12.86,11.98,12.85,12.85,57503.0,0.0,1.0
2021-03-11,12.27,12.52,11.77,12.17,12.17,56848.0,0.0,1.0
2021-03-10,12.26,12.5,11.57,12.23,12.23,78702.0,0.0,1.0
2021-03-09,12.33,12.9,12.14,12.4,12.4,77315.0,0.0,1.0
2021-03-08,11.65,12.74,11.6,12.24,12.24,180622.0,0.0,1.0
2021-03-05,12.38,12.6,10.68,11.71,11.71,562633.0,0.0,1.0
2021-03-04,13.1,13.1,12.26,12.39,12.39,206671.0,0.0,1.0
2021-03-03,13.35,13.56,12.8,13.29,13.29,281561.0,0.0,1.0
2021-03-02,13.1,13.4253,12.65,12.65,12.65,21365.0,0.0,1.0
2021-03-01,12.98,13.824,12.7,13.13,13.13,190163.0,0.0,1.0
2021-02-26,13.07,13.654,12.54,12.69,12.69,56753.0,0.0,1.0
2021-02-25,13.45,13.45,12.77,12.91,12.91,55242.0,0.0,1.0
2021-02-24,13.37,13.694,12.95,13.26,13.26,173034.0,0.0,1.0
2021-02-23,13.83,13.88,13.1,13.41,13.41,95099.0,0.0,1.0
2021-02-22,14.25,14.25,13.6606,14.02,14.02,27608.0,0.0,1.0
2021-02-19,14.38,14.5958,13.67,14.16,14.16,90277.0,0.0,1.0
2021-02-18,13.99,14.8,13.05,14.5,14.5,106006.0,0.0,1.0
2021-02-17,14.36,14.38,13.86,14.01,14.01,18470.0,0.0,1.0
2021-02-16,14.56,15.1,14.0301,14.5,14.5,24085.0,0.0,1.0
2021-02-12,13.68,14.5799,13.68,14.4,14.4,122145.0,0.0,1.0
2021-02-11,13.35,13.83,12.9,13.55,13.55,324729.0,0.0,1.0
2021-02-10,13.34,13.82,12.87,12.91,12.91,221247.0,0.0,1.0
2021-02-09,13.32,13.56,13.08,13.11,13.11,22946.0,0.0,1.0
2021-02-08,13.57,13.9099,13.42,13.48,13.48,76244.0,0.0,1.0
2021-02-05,13.08,13.4,13.02,13.39,13.39,25247.0,0.0,1.0
2021-02-04,13.84,13.84,13.08,13.13,13.13,88605.0,0.0,1.0
2021-02-03,13.42,13.8,13.355,13.51,13.51,33395.0,0.0,1.0
