date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,30.58,30.63,30.555,30.6,30.6,18081.0,0.0,1.0
2021-04-15,30.5,30.56,30.4999,30.56,30.56,9308.0,0.0,1.0
2021-04-14,30.45,30.45,30.4234,30.4234,30.4234,219.0,0.0,1.0
2021-04-13,30.46,30.53,30.411,30.4766,30.4766,20440.0,0.0,1.0
2021-04-12,30.4,30.46,30.4,30.4372,30.4372,11525.0,0.0,1.0
2021-04-09,30.41,30.46,30.38,30.46,30.46,5081.0,0.0,1.0
2021-04-08,30.38,30.4,30.345,30.39,30.39,6255.0,0.0,1.0
2021-04-07,30.37,30.37,30.3,30.3298,30.3298,42047.0,0.0,1.0
2021-04-06,30.31,30.37,30.302,30.3027,30.3027,20058.0,0.0,1.0
2021-04-05,30.31,30.37,30.268,30.3385,30.3385,28080.0,0.0,1.0
2021-04-01,30.11,30.17,30.11,30.16,30.16,13891.0,0.0,1.0
2021-03-31,30.039,30.12,30.01,30.0428,30.0428,91791.0,0.0,1.0
2021-03-30,29.91,30.01,29.9099,29.93,29.93,21635.0,0.0,1.0
2021-03-29,29.98,30.03,29.9,29.9718,29.9718,53311.0,0.0,1.0
2021-03-26,29.83,29.9466,29.819,29.9466,29.9466,8827.0,0.0,1.0
2021-03-25,29.64,29.77,29.58,29.7655,29.7655,57920.0,0.0,1.0
2021-03-24,29.96,29.96,29.7,29.7,29.7,141678.0,0.0,1.0
2021-03-23,29.95,29.95,29.715,29.7324,29.7324,88056.0,0.0,1.0
2021-03-22,29.72,29.84,29.7,29.81,29.81,1248701.0,0.0,1.0
