date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.94,8.94,8.88,8.9,8.9,25625.0,0.0,1.0
2021-04-15,8.86,8.94,8.81,8.94,8.94,35586.0,0.0,1.0
2021-04-14,8.87,8.91,8.81,8.86,8.86,37931.0,0.035,1.0
2021-04-13,8.86,8.93,8.83,8.91,8.87494097808,23607.0,0.0,1.0
2021-04-12,8.84,8.9,8.84,8.9,8.86498032603,45065.0,0.0,1.0
2021-04-09,8.86,8.89,8.86,8.88,8.84505902192,26487.0,0.0,1.0
2021-04-08,8.86,8.87,8.85,8.855,8.82015739179,22156.0,0.0,1.0
2021-04-07,8.79,8.84,8.78,8.81,8.77533445756,28323.0,0.0,1.0
2021-04-06,8.77,8.8,8.7501,8.79,8.75541315346,17447.0,0.0,1.0
2021-04-05,8.83,8.83,8.72,8.77,8.73549184935,26711.0,0.0,1.0
2021-04-01,8.75,8.79,8.73,8.77,8.73549184935,26811.0,0.0,1.0
2021-03-31,8.66,8.75,8.66,8.75,8.71557054525,27211.0,0.0,1.0
2021-03-30,8.66,8.71,8.66,8.71,8.67572793704,28486.0,0.0,1.0
2021-03-29,8.65,8.69,8.65,8.67,8.63588532884,32316.0,0.0,1.0
2021-03-26,8.53,8.64,8.53,8.62,8.58608206858,22880.0,0.0,1.0
2021-03-25,8.62,8.64,8.5,8.58,8.54623946037,58373.0,0.0,1.0
2021-03-24,8.64,8.64,8.48,8.62,8.58608206858,82568.0,0.0,1.0
2021-03-23,8.58,8.62,8.5,8.58,8.54623946037,158081.0,0.0,1.0
2021-03-22,8.5,8.6211,8.5,8.58,8.54623946037,77924.0,0.0,1.0
2021-03-19,8.57,8.62,8.51,8.61,8.57612141653,58275.0,0.0,1.0
2021-03-18,8.65,8.68,8.57,8.61,8.57612141653,48071.0,0.0,1.0
2021-03-17,8.7,8.73,8.65,8.71,8.67572793704,51440.0,0.0,1.0
2021-03-16,8.81,8.88,8.71,8.72,8.68568858909,50675.0,0.0,1.0
